player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Chandler Morris,122938,QB,N TEXAS,1,2.91,2.58,5.9,5.2,71,251,69.7,33,33,7.1,1.8,0,1,3.0,69.7,23,3,0.0,33,46.5,0,11,,,,68.5,48.7,74.1,,48.8,,,,,0,0,33,0.0,91.4,0.0,0,0,0,0,1,3,9.1,167,5.1,51.9,27,28,15.9,3.97,0,1,3.0,46.4,13,16,7.1,37,52.1,1,12,,,,69.1,52.4,74.9,,47.9,,68.0,,,0,1,42,18.8,91.1,8.1,3,6,0,1,2,4,9.5,278,9.9
Jalen Kitna,146688,QB,UAB,1,3.08,3.0,3.63,4.9,64,321,72.7,22,22,2.1,1.9,0,0,0.0,63.6,14,6,12.5,23,35.9,2,5,,,,67.6,45.5,73.0,,45.5,,,,,0,0,24,16.7,87.9,4.3,1,0,0,0,1,2,8.3,93,4.2,66.7,30,34,10.6,3.84,0,1,2.9,55.9,19,19,5.0,40,62.5,1,13,,,,15.4,47.6,74.9,,62.0,,24.4,,,1,1,42,15.8,81.9,7.5,3,3,0,3,1,4,9.5,291,8.6
Paxton DeLaurent,159618,QB,SE MO ST,1,2.17,2.1,2.7,3.75,60,293,66.7,45,45,6.7,1.66,0,1,2.1,62.2,28,9,6.7,45,75.0,2,15,,,,69.5,66.7,75.4,,66.2,,,,,0,0,47,0.0,86.1,0.0,0,0,0,0,1,0,0.0,267,5.9,33.3,12,12,10.3,3.69,0,1,8.3,33.3,4,6,0.0,15,25.0,0,3,,,,66.4,62.7,71.4,,61.1,,62.4,,,0,0,15,16.7,53.5,6.7,1,2,0,0,0,0,0.0,68,5.7
Rocco Becht,157567,QB,IOWA STATE,1,2.94,2.6,3.13,4.3,60,193,53.8,26,27,8.4,1.94,1,0,0.0,40.7,11,4,21.4,27,45.0,3,5,,,,68.1,36.1,73.6,,36.5,,,,,0,2,29,0.0,32.8,0.0,0,0,0,0,1,2,6.9,99,3.7,64.3,14,19,18.4,3.75,0,3,15.8,47.4,9,20,0.0,33,55.0,0,13,,,,68.5,75.4,74.1,,69.4,,70.2,,,0,0,33,15.0,79.9,9.1,3,11,0,5,0,1,3.0,175,9.2
Cole Gonzales,159939,QB,W CAROLINA,1,2.48,2.34,4.48,,59,344,71.0,31,32,8.0,1.87,1,0,0.0,68.8,22,1,0.0,32,54.2,0,11,,,,68.5,76.4,74.1,,75.7,,,,,0,0,33,0.0,116.0,0.0,0,0,0,0,2,0,0.0,275,8.6,63.6,22,23,19.9,3.21,1,5,20.0,56.5,13,13,7.1,27,45.8,1,10,,,,68.1,91.3,73.6,,90.9,,,,,0,0,29,30.8,140.9,14.8,4,0,0,0,3,0,0.0,345,15.0
Jake Willcox,148649,QB,BROWN,1,2.71,2.4,6.1,4.41,58,123,75.0,28,29,3.6,1.67,1,0,0.0,72.4,21,7,0.0,29,50.0,0,8,,,,68.1,61.8,73.6,,61.5,,,,,0,2,29,0.0,53.4,0.0,0,0,0,0,0,1,3.4,137,4.7,73.3,15,21,9.4,3.74,0,1,4.8,52.4,11,12,0.0,29,50.0,0,9,,,,68.1,65.4,73.6,,65.6,,60.7,,,0,1,29,8.3,52.5,3.4,1,7,0,6,0,1,3.4,134,6.4
Josh Holst,171312,QB,N ILLINOIS,1,2.81,2.49,2.75,4.68,56,254,62.1,29,29,6.5,1.82,0,0,0.0,58.6,17,1,5.6,29,51.8,1,9,,,,68.1,51.6,73.6,,51.5,,,,,0,0,29,0.0,72.6,0.0,0,0,0,0,0,1,3.4,151,5.2,33.3,15,17,16.7,3.89,0,0,0.0,29.4,5,9,0.0,27,48.2,0,6,,,,68.0,47.9,73.5,,40.7,,64.6,,,0,0,28,22.2,41.5,7.4,2,8,0,2,0,1,3.6,59,3.5
Behren Morton,144747,QB,TEXAS TECH,1,3.0,2.73,3.65,5.95,55,315,90.5,21,23,5.1,1.9,2,0,0.0,73.9,17,1,10.5,23,41.8,2,7,,,,67.5,78.3,72.8,,77.6,,,,,0,0,23,0.0,99.5,0.0,0,0,0,0,1,0,0.0,118,5.1,75.0,24,26,10.7,3.79,0,5,16.7,61.5,16,8,11.1,32,58.2,2,10,,,,68.7,83.1,74.4,,86.2,,55.5,,,0,1,36,25.0,89.9,6.3,2,4,0,2,2,2,5.6,168,6.5
Owen McCown,157688,QB,UTSA,1,2.57,2.26,3.75,4.92,55,331,66.7,33,33,8.3,1.84,0,1,2.9,57.6,19,6,13.6,33,60.0,3,12,,,,68.6,63.6,74.3,,63.2,,,,,0,2,35,0.0,64.0,0.0,0,0,0,0,1,2,5.7,230,7.0,72.7,11,12,20.2,3.85,1,2,15.4,58.3,7,7,12.5,21,38.2,1,7,,,,67.4,71.1,72.7,,67.6,,66.6,,,0,0,22,57.1,116.7,19.0,4,5,0,0,1,0,0.0,110,9.2
Billy Edwards Jr.,144185,QB,MARYLAND,1,2.01,1.87,3.4,4.7,54,215,92.1,38,40,2.8,1.6,1,0,0.0,85.0,34,7,2.9,40,74.1,1,12,,,,69.2,74.4,75.0,,73.8,,,,,0,0,43,0.0,105.4,0.0,0,0,0,1,1,0,0.0,292,7.3,66.7,9,10,16.8,3.16,1,2,18.2,50.0,5,8,16.7,14,25.9,1,6,,,,66.4,68.9,71.4,,65.4,,64.3,,,0,1,15,37.5,71.3,21.4,3,1,0,0,1,1,6.7,81,8.1
Tyler Shough,83537,QB,LOUISVILLE,1,2.66,2.64,3.1,,54,210,85.7,21,21,5.2,1.81,0,0,0.0,85.7,18,2,0.0,21,38.9,0,9,,,,67.2,86.0,72.5,,85.1,,,,,0,0,21,0.0,135.9,0.0,0,0,0,0,2,0,0.0,189,9.0,53.8,26,31,11.3,3.2,0,2,6.1,41.9,13,22,7.1,33,61.1,1,9,,,,68.7,76.3,74.4,,73.9,,64.3,,,0,0,36,9.1,79.1,6.1,2,0,0,5,2,1,2.8,153,4.9
Jameson Wang,148782,QB,CORNELL,1,2.85,2.67,,5.77,53,147,81.0,21,21,4.1,1.93,0,0,0.0,76.2,16,1,5.9,21,39.6,1,5,,,,67.2,60.8,72.5,,60.5,,,,,0,1,21,0.0,98.3,0.0,0,0,0,0,2,1,4.8,105,5.0,65.4,26,29,13.9,3.45,0,2,6.5,55.2,16,4,5.9,32,60.4,1,12,,,,68.5,69.3,0.0,,65.9,,73.3,,,0,1,34,0.0,69.5,0.0,0,3,0,3,1,2,5.9,169,5.8
Zach Marker,173615,QB,DELAWARE,1,3.11,2.94,3.33,4.85,51,151,82.6,23,24,8.4,2.02,1,1,3.7,66.7,16,8,15.8,25,49.0,3,7,,,,68.0,74.6,73.5,,73.9,,,,,0,0,28,12.5,82.3,4.0,1,0,0,0,0,1,3.6,142,5.9,31.3,16,20,19.4,4.17,0,1,5.0,25.0,5,11,0.0,26,51.0,0,6,,,,26.7,59.1,73.6,,58.9,,59.6,,,0,0,27,18.2,67.7,7.7,2,4,0,4,1,1,3.7,115,5.8
Miller Moss,70727,QB,USC,1,2.52,2.52,2.3,,51,326,75.0,24,25,8.3,1.82,1,1,4.0,72.0,18,3,0.0,26,51.0,0,8,,,,67.8,60.1,73.3,,59.8,,,,,0,0,26,33.3,115.6,3.8,1,0,0,0,2,0,0.0,161,6.4,72.0,25,25,10.2,3.24,0,1,3.8,64.0,16,9,11.1,25,49.0,2,9,,,,67.8,74.4,73.3,,73.8,,,,,0,1,26,0.0,81.3,0.0,0,0,0,0,1,1,3.8,175,7.0
Carson Conklin,170765,QB,SACRAMENTO,1,3.0,2.78,3.3,6.4,51,279,87.0,23,24,1.7,1.88,1,0,0.0,83.3,20,2,0.0,24,47.1,0,10,,,,67.7,68.4,73.1,,68.0,,,,,0,0,25,0.0,111.3,0.0,0,0,0,0,1,0,0.0,177,7.4,68.4,19,23,14.3,4.0,0,2,8.0,52.2,12,12,7.7,27,52.9,1,7,,,,68.1,63.5,73.6,,64.2,,58.5,,,0,0,29,8.3,107.2,3.7,1,3,0,4,2,1,3.4,180,7.8
Aidan Sayin,148974,QB,PENN,1,2.53,2.37,3.2,6.15,51,267,73.3,30,30,4.7,1.72,0,0,0.0,66.7,20,1,9.1,30,58.8,2,8,,,,68.5,47.6,74.1,,47.6,,,,,0,1,33,0.0,63.9,0.0,0,0,0,0,0,1,3.0,145,4.8,52.9,17,18,14.4,3.7,0,2,10.0,38.9,7,4,22.2,21,41.2,2,4,,,,67.5,60.1,72.8,,58.9,,62.0,,,0,1,23,25.0,32.9,4.8,1,2,0,1,0,1,4.3,93,5.2
Jackson Arnold,173684,QB,OKLAHOMA,1,2.99,2.72,2.84,4.82,50,261,66.7,18,18,7.4,2.04,0,1,5.0,55.6,10,3,16.7,20,40.0,2,4,,,,67.2,66.1,72.7,,65.7,,,,,0,0,22,66.7,93.1,10.0,2,0,0,0,1,0,0.0,113,6.3,53.3,15,18,13.2,3.63,0,0,0.0,44.4,8,21,0.0,30,60.0,0,5,,,,68.3,50.5,73.9,,55.4,,50.5,,,0,0,31,28.6,64.1,20.0,6,6,0,3,0,0,0.0,108,6.0
Quinn Ewers,127253,QB,TEXAS,1,2.69,2.66,3.24,4.0,50,311,71.4,21,22,2.4,1.91,1,0,0.0,68.2,15,5,0.0,23,46.0,0,6,,,,25.6,35.1,73.0,,35.3,,,,,0,1,24,20.0,88.1,4.3,1,0,0,0,2,4,16.7,94,4.3,72.2,18,21,9.8,3.49,0,0,0.0,47.6,10,14,23.1,26,52.0,3,4,,,,67.9,34.0,73.5,,35.1,,57.3,,,1,0,28,28.6,65.0,15.4,4,1,0,2,0,3,10.7,117,5.6
Gevani McCoy,147609,QB,OREGON ST,1,3.14,2.91,3.27,4.5,50,265,76.9,13,13,5.6,1.86,0,0,0.0,76.9,10,2,0.0,14,28.0,0,3,,,,66.2,46.7,71.2,,46.6,,,,,0,0,14,50.0,84.5,7.1,1,0,0,0,0,1,7.1,57,4.4,62.5,24,25,11.5,3.64,0,0,0.0,48.0,12,14,20.0,36,72.0,3,13,,,,68.8,82.3,74.6,,73.0,,80.5,,,1,0,38,35.7,71.3,13.9,5,6,0,0,0,0,0.0,175,7.0
Jalen Milroe,146590,QB,ALABAMA,1,2.79,2.74,3.15,4.1,49,103,72.7,22,22,4.0,1.81,0,0,0.0,68.2,15,6,6.3,23,46.9,1,8,,,,67.5,43.3,72.8,,43.3,,,,,0,1,23,16.7,79.0,4.3,1,0,0,0,1,1,4.3,126,5.7,55.0,20,24,12.2,3.65,0,0,0.0,41.7,10,14,9.1,26,53.1,1,6,,,,68.1,51.4,73.6,,49.1,,64.0,,,2,1,29,7.1,39.1,3.8,1,1,0,2,0,1,3.4,113,4.7
Alonza Barnett III,156710,QB,JAMES MAD,1,2.46,2.32,2.83,4.1,49,197,60.0,20,23,7.8,1.9,3,0,0.0,52.2,12,3,0.0,24,49.0,0,6,,,,67.6,39.9,73.0,,40.1,,,,,0,0,24,33.3,63.1,4.2,1,0,0,0,0,1,4.2,97,4.2,66.7,15,18,9.9,3.0,0,0,0.0,55.6,10,13,0.0,25,51.0,0,3,,,,67.8,50.1,73.3,,52.8,,53.1,,,0,0,26,38.5,87.5,20.0,5,2,0,3,1,0,0.0,89,4.9
