player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ben Finley,122864,QB,AKRON,1,2.83,2.61,3.35,5.9,67,102,71.4,28,30,10.0,2.08,1,0,0.0,60.0,18,7,10.0,32,47.8,2,9,,,,,68.5,71.8,74.1,,71.2,,,,,1,0,33,28.6,118.8,6.3,2,0,0,0,3,0,0.0,240,8.0,63.0,27,28,15.0,3.5,0,0,0.0,50.0,14,11,17.6,35,52.2,3,11,,,,,29.7,62.4,74.6,,59.8,,66.5,,,0,1,38,36.4,56.3,11.4,4,3,0,1,0,3,7.9,184,6.6
Jack Henry,192029,QB,S DAK ST,1,2.75,2.4,3.67,4.47,64,292,78.4,37,38,7.2,1.96,0,0,0.0,71.1,27,3,6.9,38,59.4,2,13,,,,,68.9,61.6,74.6,,61.3,,,,,0,1,38,0.0,79.4,0.0,0,0,0,1,1,1,2.6,185,4.9,41.7,12,13,19.5,3.9,1,0,0.0,38.5,5,13,0.0,26,40.6,0,5,,,,,68.0,59.3,73.5,,57.7,,61.4,,,0,1,28,46.2,24.2,23.1,6,7,0,0,0,1,3.6,69,5.3
Sawyer Robertson,146839,QB,BAYLOR,1,2.24,2.18,3.2,3.1,63,118,54.8,42,45,12.1,1.9,2,4,8.2,46.7,21,9,8.7,45,71.4,2,11,,,,,69.6,78.7,75.5,,77.7,,,,,1,2,49,0.0,64.0,0.0,0,0,0,0,2,1,2.0,289,6.4,69.2,13,14,15.9,3.09,0,0,0.0,57.1,8,8,11.1,18,28.6,1,8,,,,,67.0,80.0,72.2,,85.0,,51.8,,,0,0,19,25.0,115.5,11.1,2,2,0,1,1,0,0.0,141,10.1
Caden Veltkamp,156642,QB,FAU,1,2.28,2.25,4.1,,58,165,87.2,39,39,6.9,1.7,0,0,0.0,84.6,33,6,2.9,39,67.2,1,16,,,,,69.1,83.1,74.9,,82.1,,,,,0,1,41,0.0,97.0,0.0,0,0,0,0,1,1,2.4,304,7.8,71.4,14,18,13.7,3.48,0,0,0.0,33.3,6,7,40.0,19,32.8,4,5,,,,,67.6,62.1,73.0,,61.8,,,,,0,2,24,14.3,25.2,5.3,1,0,0,4,1,2,8.3,71,3.9
Roman Gagliano,183961,QB,MIDDLE TN,1,2.8,2.33,4.0,5.78,51,224,70.4,27,28,7.6,1.77,1,0,0.0,53.6,15,4,21.1,28,54.9,4,5,,,,,68.1,70.2,73.6,,69.7,,,,,0,0,29,0.0,83.3,0.0,0,0,0,0,1,0,0.0,166,5.9,71.4,14,15,14.0,4.06,0,0,0.0,66.7,10,11,0.0,23,45.1,0,9,,,,,67.9,71.4,73.4,,66.2,,69.2,,,0,0,27,18.2,131.9,8.7,2,6,0,1,1,1,3.7,212,14.1
Caden Pinnick,185116,QB,UC DAVIS,1,3.25,2.68,4.42,4.74,51,322,93.3,15,17,5.9,2.01,1,0,0.0,64.7,11,2,21.4,17,33.3,3,4,,,,,66.7,79.8,71.8,,79.1,,,,,1,0,17,0.0,107.5,0.0,0,0,0,0,1,0,0.0,130,7.6,58.8,17,18,10.3,3.98,0,0,0.0,55.6,10,19,0.0,33,64.7,0,10,,,,,28.9,57.4,74.2,,42.3,,76.1,,,0,2,34,31.6,50.7,18.2,6,9,0,1,1,2,5.9,101,5.6
Cason Carswell,206621,QB,W ILLINOIS,1,3.01,2.86,3.6,4.85,51,345,58.8,17,17,12.2,2.09,0,2,11.8,58.8,10,7,0.0,18,35.3,0,6,,,,,66.8,73.9,72.0,,73.3,,,,,0,1,18,14.3,58.2,5.6,1,0,0,0,0,1,5.6,129,7.6,60.0,25,27,14.5,3.51,1,4,13.3,44.4,12,17,20.0,33,64.7,3,7,,,,,29.5,61.7,74.4,,60.6,,62.1,,,0,0,36,23.5,88.2,12.1,4,2,0,1,2,2,5.6,158,5.9
Brendon Lewis,131687,QB,MEMPHIS,1,3.17,2.94,3.25,5.0,49,218,88.2,17,17,4.4,1.78,0,0,0.0,82.4,14,1,6.7,17,34.7,1,3,,,,,66.7,55.9,71.8,,55.8,,,,,0,0,17,0.0,82.8,0.0,0,0,0,0,0,0,0.0,66,3.9,78.3,23,25,8.8,3.9,0,0,0.0,68.0,17,6,5.6,32,65.3,1,9,,,,,68.5,74.5,74.2,,73.8,,63.2,,,0,1,34,33.3,78.4,6.3,2,5,0,2,1,0,0.0,138,5.5
Henry Hesson,145798,QB,MIAMI OH,1,3.34,2.94,4.18,5.32,49,221,43.8,16,16,15.0,2.17,0,0,0.0,37.5,6,3,14.3,16,32.7,1,3,,,,,66.7,47.9,71.8,,48.1,,,,,0,1,17,0.0,24.5,0.0,0,0,0,0,0,2,11.8,66,4.1,37.5,16,22,16.3,3.9,0,0,0.0,22.7,5,23,16.7,33,67.3,1,6,,,,,68.5,46.9,0.0,,46.8,,61.2,,,0,2,33,26.1,4.5,18.2,6,5,0,6,0,2,6.1,81,3.7
Anthony Colandrea,170131,QB,UNLV,1,3.4,3.18,2.95,6.9,49,325,85.7,14,15,5.1,1.87,1,0,0.0,80.0,12,1,0.0,15,30.6,0,5,,,,,66.4,63.9,71.4,,63.6,,,,,0,0,15,0.0,92.8,0.0,0,0,0,0,0,0,0.0,94,6.3,51.9,27,29,18.0,4.07,1,2,6.7,41.4,12,9,14.3,34,69.4,2,10,,,,,68.6,63.9,74.3,,65.1,,56.5,,,0,1,35,22.2,59.8,5.9,2,3,0,1,1,2,5.7,182,6.3
