player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jake Willcox,148649,QB,BROWN,1,2.56,2.48,3.78,5.2,67,123,83.8,37,39,3.4,1.87,1,0,0.0,74.4,29,7,6.5,39,58.2,2,14,,68.9,71.3,74.7,70.7,,,0,0,39,0.0,106.0,0.0,0,0,0,1,2,0,0.0,233,6.0,78.9,19,22,6.8,3.64,1,0,0.0,54.5,12,14,20.0,27,40.3,3,6,,68.0,53.1,73.6,50.9,,62.5,0,1,29,28.6,48.7,14.8,4,1,0,2,0,2,6.9,106,4.8
Cam Ward,133244,QB,WASH STATE,1,3.25,2.94,3.7,6.63,65,341,67.9,28,29,7.1,1.77,1,0,0.0,51.7,15,5,21.1,31,47.7,4,12,,68.4,69.1,74.0,68.5,,,0,1,32,40.0,76.7,6.5,2,0,0,0,1,0,0.0,239,8.2,57.9,19,25,11.7,4.6,0,0,0.0,40.0,10,19,9.1,34,52.3,1,6,,19.2,33.4,74.2,30.0,,61.9,0,0,34,26.3,53.1,14.7,5,4,0,6,0,2,5.9,106,4.2
Kyle Vantrease,55029,QB,GA SOUTHRN,1,2.07,2.07,,,63,174,67.4,46,47,7.8,1.72,0,3,6.4,63.8,30,7,3.2,47,74.6,1,19,,69.5,66.1,75.4,65.6,,,0,1,47,0.0,94.4,0.0,0,0,0,1,2,4,8.5,381,8.1,61.5,13,16,13.8,3.09,0,1,5.9,50.0,8,8,0.0,16,25.4,0,6,,22.9,58.1,72.0,70.1,,43.7,0,0,18,0.0,134.6,0.0,0,0,0,3,2,1,5.6,197,12.3
Cade Brister,154186,QB,LNDNWD,1,3.35,2.78,3.72,5.21,60,949,86.4,22,23,6.0,2.01,1,1,4.3,82.6,19,1,0.0,24,40.0,0,14,,25.6,72.6,73.0,72.1,,,0,0,24,100.0,115.2,4.2,1,0,0,0,1,2,8.3,188,8.2,66.7,15,20,13.2,4.24,0,0,0.0,45.0,9,24,10.0,36,60.0,1,14,,29.9,63.9,74.6,56.7,,68.3,0,2,38,16.7,57.5,11.1,4,12,0,5,2,2,5.3,116,5.8
Spencer Brasch,100574,QB,CAL POLY,1,2.31,2.19,2.78,3.6,58,129,76.5,34,34,3.9,1.79,0,1,2.9,70.6,24,6,7.7,35,60.3,2,13,,68.6,59.7,74.3,59.4,,,0,1,35,16.7,104.9,2.9,1,0,0,0,2,1,2.9,299,8.8,61.5,13,13,13.5,3.25,0,1,7.7,38.5,5,12,37.5,22,37.9,3,6,,24.8,41.0,72.7,36.9,,62.1,0,3,22,41.7,60.4,22.7,5,4,0,0,2,4,18.2,82,6.3
Bryce Young,123943,QB,ALABAMA,1,2.87,2.73,3.0,6.2,57,103,90.0,30,32,6.8,2.01,0,1,3.1,75.0,24,9,11.1,32,56.1,3,14,,68.4,90.1,74.0,89.5,,,2,0,32,0.0,100.3,0.0,0,0,0,0,0,0,0.0,274,8.6,75.0,16,20,14.4,4.15,0,1,4.2,55.0,11,13,8.3,24,42.1,1,8,,27.4,78.8,73.5,84.4,,50.0,2,0,28,7.7,119.0,4.2,1,3,0,2,2,2,7.1,181,9.1
Aidan O'Connell,60516,QB,PURDUE,1,2.61,2.45,8.5,5.4,56,273,88.2,34,34,5.7,1.83,0,1,2.9,70.6,24,5,20.0,34,60.7,6,13,,68.6,90.9,74.3,90.5,,,0,0,35,0.0,130.8,0.0,0,0,0,0,4,0,0.0,250,7.4,76.5,17,20,10.8,3.83,1,2,9.5,55.0,11,8,15.4,22,39.3,2,8,,67.5,77.3,72.8,74.9,,63.7,0,1,23,12.5,56.5,4.5,1,1,0,2,0,1,4.3,141,7.1
Dylan McCaffrey,60451,QB,N COLORADO,1,2.27,2.17,3.2,3.5,55,253,84.8,33,34,4.5,1.75,0,0,0.0,73.5,25,6,10.7,35,63.6,3,6,,68.7,79.3,74.4,78.6,,,1,0,36,16.7,83.3,2.9,1,0,0,0,0,0,0.0,163,4.8,69.2,13,16,8.0,3.19,0,2,12.5,56.3,9,10,0.0,20,36.4,0,5,,67.1,59.2,72.4,63.1,,52.9,1,1,20,20.0,67.2,10.0,2,2,0,2,1,2,10.0,90,5.6
Shedeur Sanders,131396,QB,JACKSON ST,1,2.78,2.36,,6.17,55,194,88.2,34,36,1.9,1.73,1,0,0.0,83.3,30,1,0.0,36,65.5,0,14,,68.7,50.7,74.4,50.6,,,1,0,36,0.0,130.8,0.0,0,0,0,0,4,1,2.8,234,6.5,58.3,12,13,9.4,4.77,0,0,0.0,53.8,7,9,0.0,19,34.5,0,4,,67.0,34.3,72.2,37.0,,50.3,0,2,19,0.0,47.4,0.0,0,6,0,1,1,2,10.5,45,3.5
Jack Plummer,83543,QB,CAL,1,2.4,2.4,2.4,,54,130,73.5,34,34,7.2,1.81,0,0,0.0,64.7,22,8,12.0,35,64.8,3,9,,68.7,66.2,74.4,65.7,,,0,1,36,12.5,63.2,2.9,1,0,0,0,0,1,2.8,159,4.7,46.7,15,18,15.6,3.49,1,2,10.0,38.9,7,10,0.0,19,35.2,0,4,,67.2,57.4,72.5,57.3,,,1,0,21,10.0,76.9,5.3,1,0,0,1,1,2,9.5,103,5.7
