player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Will Rogers,124184,QB,MISS STATE,1,2.74,2.7,3.1,4.4,70,227,78.6,28,29,4.0,1.73,0,0,0.0,75.9,22,2,0.0,29,41.4,0,8,,,,68.1,55.0,73.6,54.8,,,,0,0,29,0.0,107.8,0.0,0,0,0,1,2,0,0.0,136,4.7,88.6,35,38,7.5,3.46,2,2,5.0,73.7,28,11,9.7,41,58.6,3,12,,,,69.4,85.8,75.2,88.0,,53.1,,0,0,45,18.2,103.3,4.9,2,1,0,1,1,0,0.0,283,7.4
E.J. Perry,60349,QB,BROWN,1,2.89,2.65,4.85,4.7,70,123,82.1,28,31,5.0,1.94,2,0,0.0,67.7,21,3,8.7,31,44.3,2,9,,,,68.3,58.4,0.0,60.5,,,,0,1,31,0.0,76.3,0.0,0,0,0,1,1,1,3.2,152,4.9,68.0,25,31,11.4,3.64,2,1,3.2,51.6,16,14,5.9,39,55.7,1,13,,,,20.9,62.2,74.8,64.8,,55.4,,0,1,40,14.3,68.2,5.1,2,6,0,4,1,3,7.5,192,6.2
D'Eriq King,26636,QB,MIAMI FL,1,2.91,2.72,3.33,4.84,68,220,95.2,21,21,3.8,1.9,0,0,0.0,85.7,18,3,10.0,23,33.8,2,6,,,,67.5,90.6,73.0,90.3,,,,0,0,24,66.7,96.6,8.7,2,0,0,0,0,0,0.0,151,7.2,65.7,35,38,12.0,3.43,2,1,2.6,52.6,20,12,13.0,45,66.2,3,15,,,,35.5,61.7,75.4,66.9,,49.0,,0,2,47,16.7,67.5,4.4,2,5,0,1,2,3,6.4,237,6.2
Kenyon Oblad,83576,QB,DIXIE,1,2.56,2.37,3.75,4.5,66,1285,69.7,33,35,8.2,1.83,1,1,2.6,57.1,20,8,13.0,36,54.5,3,11,,,,68.9,52.8,74.7,52.6,,,,0,4,39,12.5,54.4,2.8,1,0,0,1,2,2,5.1,212,6.1,71.4,21,23,10.6,3.45,0,0,0.0,52.2,12,18,20.0,30,45.5,3,12,,,,68.6,58.7,74.3,55.3,,68.2,,1,1,35,27.8,82.9,16.7,5,2,0,1,2,1,2.9,146,6.3
Rogan Wells,149999,QB,W CAROLINA,1,2.82,2.69,3.18,4.98,65,344,73.7,19,21,7.5,1.95,0,3,12.5,52.4,11,2,21.4,21,32.3,3,5,,,,67.6,68.4,73.0,67.9,,,,0,2,24,0.0,46.0,0.0,0,0,0,2,1,2,8.3,121,5.8,56.3,32,35,11.8,3.31,0,0,0.0,37.1,13,21,27.8,43,66.2,5,10,,,,69.4,67.9,75.2,63.6,,71.0,,0,1,45,19.0,63.2,9.3,4,4,0,3,2,1,2.2,193,5.5
Jake Haener,60596,QB,FRESNO ST,1,2.84,2.56,2.98,5.18,63,169,84.4,32,32,6.3,1.89,0,0,0.0,81.3,26,9,3.7,34,54.0,1,11,,,,29.1,55.6,74.3,55.4,,,,0,0,35,22.2,109.1,5.9,2,0,0,0,1,2,5.7,246,7.7,75.0,20,21,13.8,3.94,0,4,19.0,61.9,13,10,13.3,29,46.0,2,12,,,,68.1,78.7,73.6,88.2,,49.8,,0,1,29,20.0,90.4,6.9,2,6,0,1,1,1,3.4,205,9.8
Brennan Armstrong,77696,QB,VIRGINIA,1,2.88,2.67,2.83,5.65,61,335,84.6,26,26,6.2,1.99,0,0,0.0,76.9,20,5,9.1,26,42.6,2,9,,,,67.9,77.5,73.4,76.8,,,,0,0,27,0.0,110.1,0.0,0,0,0,0,1,0,0.0,194,7.5,74.1,27,28,17.2,3.54,0,6,20.0,67.9,19,13,5.0,35,57.4,1,17,,,,30.6,84.6,74.6,90.5,,46.0,,0,1,38,23.1,131.5,8.6,3,4,0,1,3,3,7.9,360,12.9
Davis Brin,77642,QB,TULSA,1,2.64,2.59,2.8,5.4,58,320,81.5,27,27,8.6,1.89,0,1,3.7,70.4,19,4,13.6,27,46.6,3,8,,,,67.9,82.3,73.4,81.5,,,,0,0,27,0.0,95.0,0.0,0,0,0,0,0,0,0.0,222,8.2,60.0,25,29,14.1,3.29,0,3,9.1,44.8,13,16,13.3,31,53.4,2,9,,,,68.6,71.9,74.3,72.5,,57.8,,1,2,35,6.3,63.1,3.2,1,1,0,3,2,2,5.7,205,7.1
Kaleb Fletcher,60499,QB,NWSTATE,1,2.42,2.07,3.25,4.28,57,257,59.4,32,34,9.0,1.65,1,2,5.9,55.9,19,10,0.0,34,59.6,0,12,,,,68.5,58.3,74.2,58.1,,,,1,1,34,0.0,64.7,0.0,0,0,0,0,1,2,5.9,151,4.4,81.8,11,13,9.7,3.57,0,1,7.1,69.2,9,13,0.0,23,40.4,0,6,,,,67.6,45.1,73.0,42.0,,57.8,,0,1,24,15.4,59.1,8.7,2,8,0,2,0,1,4.2,98,7.5
Tanner Mordecai,77656,QB,SMU,1,2.75,2.32,7.3,5.45,55,287,89.7,29,29,4.8,1.75,0,2,6.9,79.3,23,1,11.5,29,52.7,3,11,,,,68.1,73.7,73.6,73.1,,,,0,0,29,0.0,138.0,0.0,0,0,0,0,4,0,0.0,221,7.6,72.2,18,19,11.6,3.87,0,1,4.8,68.4,13,13,0.0,26,47.3,0,13,,,,68.1,74.3,73.6,73.1,,64.6,,1,0,29,7.7,114.8,3.8,1,6,0,0,1,1,3.4,174,9.2
Holton Ahlers,77651,QB,E CAROLINA,1,2.33,2.22,2.86,4.7,54,156,71.4,35,36,5.8,1.98,1,0,0.0,66.7,24,11,4.0,37,68.5,1,13,,,,69.0,66.5,74.8,66.0,,,,0,0,40,9.1,95.8,2.7,1,0,0,0,1,0,0.0,250,6.9,60.0,10,12,14.1,3.08,0,2,15.4,50.0,6,9,0.0,17,31.5,0,5,,,,66.8,59.1,72.0,55.5,,64.3,,0,0,18,44.4,112.5,23.5,4,1,0,2,1,0,0.0,118,9.8
Corey Fields Jr.,78539,QB,SCAR STATE,1,2.73,2.38,6.7,5.53,52,290,70.6,34,34,8.8,1.93,0,3,8.3,67.6,23,8,4.2,34,65.4,1,11,,,,68.7,60.9,74.4,60.6,,,,0,3,36,0.0,71.8,0.0,0,0,0,0,2,3,8.3,249,7.3,66.7,12,13,13.8,4.24,0,2,15.4,53.8,7,11,12.5,18,34.6,1,8,,,,66.8,74.0,72.0,76.1,,58.8,,0,0,18,18.2,119.6,11.1,2,3,0,1,2,0,0.0,103,7.9
Nick Starkel,40326,QB,S JOSE ST,1,2.5,2.48,3.05,,52,285,86.2,29,29,6.7,1.85,0,3,10.3,62.1,18,1,28.0,29,55.8,7,10,,,,68.1,87.0,73.6,86.0,,,,0,0,29,0.0,102.2,0.0,0,0,0,0,2,1,3.4,177,6.1,42.1,19,21,14.9,3.32,0,1,4.8,23.8,5,9,37.5,23,44.2,3,3,,,,25.2,43.1,72.8,43.3,,,,0,1,23,22.2,19.7,8.7,2,0,0,2,0,3,13.0,58,2.8
Shedeur Sanders,131396,QB,JACKSON ST,1,2.9,2.51,3.87,5.08,51,194,73.1,26,27,4.3,1.91,0,1,3.7,70.4,19,6,0.0,27,52.9,0,9,,,,67.9,66.7,73.4,66.3,,,,1,0,27,0.0,96.8,0.0,0,0,0,0,1,0,0.0,154,5.7,83.3,12,15,10.1,4.01,0,0,0.0,60.0,9,17,10.0,24,47.1,1,5,,,,67.7,54.3,73.3,61.2,,50.5,,1,1,26,17.6,53.5,12.5,3,6,0,2,0,1,3.8,105,7.0
Connor Sampson,33374,QB,W ILLINOIS,1,2.71,2.53,4.47,4.3,51,345,95.0,20,23,3.2,1.89,1,1,4.2,73.9,17,2,10.5,23,45.1,2,9,,,,67.5,90.5,73.0,90.2,,,,0,0,24,0.0,130.0,0.0,0,0,0,2,2,0,0.0,206,9.0,75.0,20,23,10.2,3.39,1,3,12.5,60.9,14,14,6.7,28,54.9,1,12,,,,68.0,90.4,73.6,90.5,,60.5,,0,1,29,21.4,103.4,10.7,3,2,0,2,2,1,3.4,219,9.5
Mark Pappas,109046,QB,MOREHEAD,1,2.91,2.9,,3.4,51,234,54.5,22,22,6.2,1.81,0,0,0.0,54.5,12,2,0.0,22,43.1,0,7,,,,67.7,29.3,73.1,29.5,,,,0,1,25,0.0,45.1,0.0,0,0,0,0,0,3,12.0,87,4.0,45.5,22,28,14.0,3.74,0,0,0.0,32.1,9,8,10.0,29,56.9,1,6,,,,68.2,49.7,73.7,47.3,,64.3,,0,1,30,0.0,45.4,0.0,0,1,0,6,1,1,3.3,131,4.7
Rasean McKay,88321,QB,FL A&M,1,2.02,1.98,3.9,,50,164,63.9,36,41,6.3,1.82,4,0,0.0,46.3,19,13,17.4,41,82.0,4,11,,,,69.1,47.5,74.9,47.6,,,,0,0,41,0.0,65.5,0.0,0,0,0,1,1,2,4.9,164,4.0,75.0,8,8,14.9,2.93,0,1,12.5,75.0,6,4,0.0,9,18.0,0,4,,,,65.1,77.4,69.8,76.9,,,,0,0,9,25.0,108.3,11.1,1,0,0,0,0,0,0.0,84,10.5
