player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Pat McQuaide,145792,QB,NICHOLLS,1,2.57,2.2,3.71,4.3,63,243,69.4,36,36,7.2,1.85,0,1,2.7,66.7,24,9,4.0,36,57.1,1,12,,,,68.8,69.7,74.5,69.1,,,,0,2,37,0.0,67.6,0.0,0,0,0,0,1,1,2.7,206,5.7,45.5,11,14,14.0,3.53,1,1,6.7,21.4,3,14,40.0,27,42.9,2,0,,,,67.9,32.9,73.5,39.7,,44.6,,0,1,28,50.0,9.8,25.9,7,6,0,2,0,1,3.6,38,2.7
Cade Klubnik,156253,QB,CLEMSON,1,3.16,2.92,4.83,6.0,62,140,76.0,25,26,4.0,1.91,1,0,0.0,69.2,18,1,5.3,26,41.9,1,7,,,,67.8,51.5,73.3,51.4,,,,0,0,26,0.0,90.1,0.0,0,0,0,0,1,1,3.8,109,4.2,63.0,27,30,11.9,4.06,0,1,3.2,50.0,15,22,11.8,36,58.1,2,9,,,,68.8,77.8,74.5,78.5,,58.7,,0,0,37,13.6,60.3,8.3,3,3,0,3,0,0,0.0,119,4.0
Brayden Schager,146078,QB,HAWAII,1,2.85,2.72,2.8,4.72,60,180,78.3,23,23,5.3,1.95,0,0,0.0,69.6,16,5,11.1,24,40.0,2,8,,,,26.0,57.1,73.1,56.9,,,,0,0,25,20.0,114.4,4.2,1,0,0,0,2,1,4.0,140,6.1,62.5,24,29,15.2,3.54,1,1,3.3,41.4,12,16,20.0,35,58.3,3,8,,,,68.7,70.2,74.4,71.5,,58.6,,1,1,36,6.3,48.8,2.9,1,5,0,3,1,0,0.0,105,3.6
Adam Urena,186682,QB,MERCYHURST,1,2.33,2.19,3.05,4.55,60,977,94.3,35,36,3.5,1.69,0,2,5.3,88.9,32,6,3.0,36,60.0,1,14,,,,68.9,74.0,74.7,73.4,,,,1,0,38,0.0,113.9,0.0,0,0,0,0,2,2,5.3,248,6.9,50.0,14,18,13.0,3.28,0,1,5.6,38.9,7,11,0.0,24,40.0,0,6,,,,67.6,57.3,73.0,60.5,,53.1,,2,1,24,36.4,53.5,16.7,4,2,0,2,1,0,0.0,102,5.7
Seth Henigan,144267,QB,MEMPHIS,1,2.8,2.68,3.23,4.47,58,218,79.2,24,24,5.7,1.94,0,0,0.0,79.2,19,5,0.0,25,43.1,0,11,,,,67.8,62.0,73.3,61.6,,,,0,0,26,20.0,117.9,4.0,1,0,0,0,1,0,0.0,215,9.0,65.4,26,28,15.8,3.46,0,4,13.3,57.1,16,14,5.9,33,56.9,1,10,,,,68.6,67.9,74.3,64.9,,67.6,,0,1,35,14.3,106.1,6.1,2,3,0,2,3,2,5.7,239,8.5
Taron Dickens,177946,QB,W CAROLINA,1,2.99,2.77,2.67,4.88,57,344,94.4,18,19,2.2,1.82,1,1,5.0,84.2,16,1,5.9,20,35.1,1,12,,,,67.2,75.4,72.5,74.9,,,,0,0,21,100.0,140.6,5.0,1,0,0,0,2,1,4.8,177,9.3,71.4,28,29,15.2,3.62,0,3,9.7,62.1,18,17,10.0,37,64.9,2,12,,,,30.3,72.0,74.7,77.3,,51.4,,0,1,39,11.8,110.3,5.4,2,6,0,1,3,1,2.6,253,8.7
Eli Holstein,172381,QB,PITTSBURGH,1,2.61,2.67,3.13,4.45,56,268,81.5,27,28,3.8,1.81,1,1,3.4,71.4,20,1,9.1,28,50.0,2,9,,,,68.1,86.5,73.6,85.6,,,,0,0,29,0.0,83.5,0.0,0,0,0,0,0,0,0.0,147,5.3,57.9,19,20,9.3,3.82,0,0,0.0,45.0,9,15,18.2,25,44.6,2,5,,,,10.2,34.6,73.7,37.5,,50.2,,0,1,30,20.0,39.8,12.0,3,2,0,1,0,5,16.7,101,5.1
Draylen Ellis,121346,QB,TENN STATE,1,2.37,2.33,3.5,3.5,53,308,78.1,32,33,5.8,1.76,1,0,0.0,72.7,24,7,4.0,33,62.3,1,14,,,,68.5,68.2,74.2,67.7,,,,0,1,34,0.0,85.5,0.0,0,0,0,0,1,1,2.9,201,6.1,66.7,18,18,14.2,3.38,0,2,10.5,50.0,9,11,25.0,20,37.7,3,6,,,,67.1,73.9,72.5,71.7,,63.1,,0,1,21,9.1,63.7,5.0,1,1,0,0,1,2,9.5,106,5.9
Blaine Hipa,167662,QB,PRINCETON,1,2.72,2.39,3.53,4.1,52,272,76.2,21,21,3.2,1.54,0,0,0.0,76.2,16,0,0.0,21,40.4,0,6,,,,67.4,53.4,72.7,53.3,,,,0,0,22,,103.3,0.0,0,0,0,0,1,0,0.0,110,5.2,55.6,18,19,15.4,3.51,0,0,0.0,52.6,10,10,0.0,31,59.6,0,9,,,,28.3,56.9,74.0,58.4,,56.4,,1,0,32,60.0,113.3,19.4,6,6,0,0,2,2,6.3,147,7.7
Miller Moss,70727,QB,USC,1,3.33,3.33,,,50,326,100.0,11,13,3.3,2.06,2,0,0.0,84.6,11,0,0.0,13,26.0,0,5,,,,66.0,68.0,71.0,67.6,,,,0,0,13,,116.3,0.0,0,0,0,0,1,0,0.0,75,5.8,61.8,34,37,11.4,3.78,0,2,5.3,51.4,19,14,9.5,37,74.0,2,9,,,,68.9,51.4,74.6,51.4,,,,1,3,38,0.0,44.7,0.0,0,0,0,2,1,2,5.3,218,5.9
Cam Fancher,145266,QB,FAU,1,3.21,2.94,4.55,4.95,50,165,75.0,16,18,1.8,1.79,0,0,0.0,61.1,11,4,8.3,18,36.0,1,4,,,,67.0,59.1,72.2,58.8,,,,1,0,19,0.0,106.0,0.0,0,0,0,1,1,0,0.0,149,8.3,50.0,22,24,12.5,4.01,0,1,3.8,45.8,11,20,0.0,32,64.0,0,7,,,,28.9,56.0,74.2,58.1,,53.8,,0,0,34,30.0,67.5,18.8,6,2,0,2,0,1,2.9,157,6.5
Nathan Lamb,98020,QB,W ILLINOIS,1,2.92,2.77,3.85,4.53,48,345,85.7,14,15,6.6,1.92,1,0,0.0,80.0,12,1,0.0,15,31.3,0,5,,,,66.4,79.2,71.4,78.5,,,,0,0,15,0.0,119.4,0.0,0,0,0,0,1,0,0.0,110,7.3,63.0,27,28,9.6,3.38,0,2,7.1,60.7,17,22,0.0,33,68.8,0,10,,,,68.5,68.4,74.1,73.1,,49.4,,1,0,33,9.1,106.1,6.1,2,3,0,0,2,1,3.0,199,7.1
Cole Snyder,97617,QB,E MICHIGAN,1,2.81,2.72,3.25,6.2,48,160,66.7,21,22,8.3,1.84,1,1,4.2,54.5,12,3,14.3,22,45.8,2,6,,,,67.6,69.9,73.0,69.4,,,,0,0,24,0.0,81.1,0.0,0,0,0,0,1,0,0.0,97,4.4,63.2,19,23,16.2,3.64,0,2,8.0,52.2,12,14,0.0,26,54.2,0,8,,,,68.0,62.8,73.7,64.1,,57.3,,1,1,28,14.3,72.4,7.7,2,1,0,3,1,1,3.6,168,7.3
Ben Finley,122864,QB,AKRON,1,3.01,2.83,4.33,4.8,47,102,72.2,18,19,9.9,2.14,1,0,0.0,63.2,12,3,7.7,19,40.4,1,8,,,,67.0,66.1,72.2,65.7,,,,0,0,19,0.0,110.9,0.0,0,0,0,0,1,0,0.0,176,9.3,55.0,20,23,16.2,3.6,0,4,15.4,47.8,11,15,0.0,28,59.6,0,10,,,,68.3,85.3,73.9,84.8,,62.0,,0,1,31,20.0,100.0,10.7,3,2,0,3,3,1,3.2,202,8.8
Derek Robertson,142298,QB,MONMOUTH,1,1.99,1.97,2.97,,47,231,85.2,27,29,3.9,1.62,1,0,0.0,75.9,22,1,4.3,29,61.7,1,12,,,,68.1,80.7,73.6,79.9,,,,0,0,29,0.0,114.2,0.0,0,0,0,1,2,0,0.0,180,6.2,61.5,13,14,20.9,2.74,0,2,14.3,42.9,6,10,25.0,17,36.2,2,6,,,,22.4,68.6,71.8,68.2,,,,0,0,17,30.0,65.5,17.6,3,0,0,1,0,1,5.9,93,6.6
Quincy Crittendon,149944,QB,SAMFORD,1,2.95,2.86,2.43,5.7,46,282,90.5,21,21,4.1,1.65,0,0,0.0,90.5,19,0,0.0,22,47.8,0,6,,,,22.6,44.2,72.8,44.2,,,,0,0,23,,92.3,4.5,1,0,0,0,0,3,13.0,129,6.1,80.0,15,20,9.3,4.15,1,0,0.0,60.0,12,14,0.0,24,52.2,0,9,,,,67.6,56.8,73.0,60.2,,52.4,,1,0,24,14.3,92.3,8.3,2,2,0,3,1,2,8.3,113,5.7
Colton Joseph,172283,QB,DOMINION,1,2.76,2.48,3.54,4.97,46,263,81.8,22,22,3.5,1.64,0,1,4.5,81.8,18,2,0.0,22,47.8,0,9,,,,67.4,82.4,72.7,81.8,,,,0,0,22,0.0,126.1,0.0,0,0,0,0,1,0,0.0,234,10.6,71.4,14,16,13.8,3.78,0,1,5.6,56.3,9,12,10.0,24,52.2,1,6,,,,16.6,32.3,73.3,30.8,,58.8,,1,1,26,41.7,69.3,20.8,5,3,0,1,1,4,15.4,98,6.1
Behren Morton,144747,QB,TEXAS TECH,1,3.6,3.32,4.7,6.37,46,315,82.4,17,18,9.5,2.01,1,1,5.3,72.2,13,1,7.1,18,39.1,1,6,,,,67.0,91.1,72.2,90.8,,,,0,1,19,0.0,85.2,0.0,0,0,0,0,1,1,5.3,119,6.6,44.4,18,22,18.9,4.63,1,0,0.0,36.4,8,12,0.0,28,60.9,0,6,,,,27.7,35.6,73.7,34.5,,59.2,,0,1,30,25.0,50.9,10.7,3,3,0,3,1,3,10.0,118,5.4
Nico Iamaleava,174728,QB,TENNESSEE,1,2.56,2.27,4.85,4.83,45,307,85.0,20,22,4.7,1.76,1,0,0.0,77.3,17,1,0.0,22,48.9,0,8,,,,67.4,75.1,72.7,74.5,,,,1,0,22,0.0,93.9,0.0,0,0,0,0,0,0,0.0,145,6.6,81.3,16,16,14.3,3.48,0,1,5.6,68.8,11,10,15.4,22,48.9,2,10,,,,67.6,89.6,73.0,90.6,,60.4,,0,0,24,20.0,118.5,9.1,2,4,0,0,1,0,0.0,147,9.2
Zach Gibson,100201,QB,GA STATE,1,2.56,2.31,3.0,4.98,45,175,84.0,25,25,4.8,1.74,0,0,0.0,76.0,19,8,9.5,25,55.6,2,7,,,,67.7,57.2,73.1,57.0,,,,0,1,25,0.0,84.6,0.0,0,0,0,0,1,2,8.0,135,5.4,83.3,12,15,7.3,3.6,0,1,5.6,60.0,9,10,10.0,20,44.4,1,6,,,,67.6,63.9,73.0,61.1,,63.9,,0,0,24,10.0,86.0,5.0,1,4,0,3,0,1,4.2,122,8.1
Eric Phoenix,177526,QB,SCAR STATE,1,2.72,2.23,5.8,4.55,45,290,95.5,22,22,3.3,1.67,0,0,0.0,95.5,21,0,0.0,22,48.9,0,14,,,,67.5,88.6,72.8,87.8,,,,0,0,23,,141.3,0.0,0,0,0,0,2,0,0.0,234,10.6,35.7,14,14,18.6,3.73,0,1,6.7,35.7,5,12,0.0,23,51.1,0,6,,,,67.7,47.2,73.1,41.6,,61.0,,0,1,25,8.3,28.0,4.3,1,8,0,0,0,1,4.0,87,6.2
Victor Gabalis,131932,QB,TARLETON,1,2.72,2.56,3.0,5.7,44,401,63.2,19,19,12.8,2.07,0,1,5.3,52.6,10,1,16.7,19,43.2,2,8,,,,67.0,51.2,72.2,51.2,,,,0,2,19,0.0,59.6,0.0,0,0,0,0,1,2,10.5,163,8.6,60.0,20,22,17.3,3.21,0,1,4.0,31.8,7,6,41.7,25,56.8,5,2,,,,68.0,44.1,73.5,46.5,,52.8,,1,1,28,16.7,23.1,4.0,1,2,0,1,0,1,3.6,71,3.2
Brady Meitz,149729,QB,STETSON,1,2.54,2.44,2.95,4.15,44,302,77.3,22,23,6.0,1.96,1,0,0.0,69.6,16,3,5.9,23,52.3,1,6,,,,67.6,64.4,73.0,64.0,,,,0,1,24,0.0,59.7,0.0,0,0,0,0,0,1,4.2,98,4.3,87.5,16,17,8.4,3.18,0,0,0.0,64.7,11,7,21.4,21,47.7,3,9,,,,67.2,76.0,72.7,80.4,,52.6,,0,1,22,28.6,78.6,9.5,2,2,0,1,1,1,4.5,112,6.6
Zach Calzada,98006,QB,INCAR WORD,1,2.23,2.23,,,44,189,75.9,29,29,3.4,1.68,0,0,0.0,72.4,21,1,4.5,29,65.9,1,8,,,,68.1,65.7,73.6,65.3,,,,0,0,29,0.0,107.7,0.0,0,0,0,0,2,0,0.0,155,5.3,57.1,14,15,20.6,3.31,0,1,6.7,53.3,8,2,0.0,15,34.1,0,7,,,,66.4,88.1,71.4,87.1,,,,0,0,15,0.0,128.1,0.0,0,0,0,1,2,0,0.0,151,10.1
Mike Chandler II,139371,QB,CAMPBELL,1,2.9,2.68,3.1,4.9,44,131,77.3,22,23,7.6,1.72,0,0,0.0,60.9,14,1,17.6,23,52.3,3,7,,,,67.6,79.7,73.0,79.0,,,,0,0,24,0.0,111.5,0.0,0,0,0,1,2,0,0.0,164,7.1,57.1,14,16,17.0,4.18,0,1,6.3,50.0,8,13,0.0,21,47.7,0,6,,,,67.2,63.3,72.5,61.5,,62.8,,0,0,21,7.7,133.1,4.8,1,4,0,2,2,2,9.5,191,11.9
Cam Ward,133244,QB,MIAMI FL,1,2.71,2.74,3.6,,44,220,78.3,23,24,6.7,1.62,1,2,8.0,70.8,17,1,5.6,25,56.8,1,11,,,,26.7,83.5,73.3,82.7,,,,0,0,26,100.0,150.3,4.0,1,0,0,0,3,1,3.8,286,11.9,60.0,15,17,15.7,4.38,0,1,5.9,47.1,8,10,11.1,18,40.9,1,7,,,,66.8,64.8,72.0,64.5,,,,0,1,18,10.0,83.9,5.6,1,0,0,2,2,1,5.6,114,6.7
Ja'Shawn Scroggins,160545,QB,HOWARD,1,2.55,2.41,6.2,4.5,44,184,61.9,21,22,7.3,1.73,1,0,0.0,59.1,13,0,0.0,22,50.0,0,9,,,,67.5,62.2,72.8,61.9,,,,0,0,23,,75.6,0.0,0,0,0,0,0,0,0.0,128,5.8,60.0,20,20,17.9,3.37,0,0,0.0,60.0,12,5,0.0,22,50.0,0,11,,,,67.7,82.6,73.1,79.9,,64.1,,0,0,25,20.0,132.9,4.5,1,1,0,0,4,0,0.0,198,9.9
Maalik Murphy,157302,QB,DUKE,1,2.33,2.3,2.95,,43,154,67.9,28,28,6.7,1.83,0,0,0.0,60.7,17,4,10.5,28,65.1,2,9,,,,68.2,53.1,73.7,53.0,,,,0,2,30,0.0,82.1,0.0,0,0,0,0,3,1,3.3,158,5.6,81.8,11,13,17.1,3.27,0,1,7.7,61.5,8,5,11.1,15,34.9,1,7,,,,21.3,59.6,71.4,59.4,,,,0,1,15,40.0,73.4,13.3,2,0,0,2,0,2,13.3,167,12.8
Cooper Legas,101286,QB,TULSA,1,2.56,2.47,3.13,3.4,43,320,73.7,19,20,10.6,2.01,1,1,4.8,65.0,13,4,7.1,21,48.8,1,7,,,,67.4,80.7,72.7,79.9,,,,0,0,22,25.0,113.1,4.8,1,0,0,0,2,0,0.0,113,5.7,50.0,16,18,12.4,3.08,0,1,5.0,44.4,8,15,0.0,22,51.2,0,4,,,,25.6,45.4,73.0,46.7,,57.3,,0,1,24,20.0,43.1,13.6,3,1,0,2,0,3,12.5,117,6.5
Carson Beck,124010,QB,GEORGIA,1,2.53,2.4,4.3,4.4,43,173,90.9,22,24,1.5,1.7,2,0,0.0,79.2,19,2,5.0,24,55.8,1,11,,,,67.7,73.6,73.1,73.1,,,,0,0,25,0.0,125.9,0.0,0,0,0,0,2,0,0.0,181,7.5,46.7,15,16,17.2,3.58,0,0,0.0,37.5,6,8,14.3,19,44.2,1,7,,,,67.1,38.9,72.4,35.9,,64.1,,0,3,20,25.0,27.1,10.5,2,1,0,1,0,4,20.0,128,8.0
Dean DeNobile,159740,QB,LAFAYETTE,1,2.87,2.71,3.93,5.6,43,203,88.2,17,18,7.8,1.76,0,0,0.0,77.8,14,2,6.7,18,41.9,1,6,,,,66.8,74.1,72.0,73.5,,,,1,0,18,0.0,133.6,0.0,0,0,0,0,2,0,0.0,129,7.2,55.0,20,21,15.2,3.66,0,0,0.0,47.6,10,15,9.1,25,58.1,1,2,,,,67.8,51.3,73.5,52.6,,57.3,,1,0,26,20.0,54.3,12.0,3,1,0,0,0,1,3.8,47,2.2
T.J. Smith,156533,QB,N ALABAMA,1,2.6,2.26,3.7,5.65,43,389,77.3,22,24,4.1,1.78,2,0,0.0,66.7,16,2,5.9,24,55.8,1,5,,,,67.6,48.3,73.0,48.2,,,,0,1,24,0.0,66.3,0.0,0,0,0,0,0,1,4.2,150,6.3,69.2,13,14,11.1,3.65,0,1,6.7,57.1,8,11,11.1,19,44.2,1,9,,,,67.1,81.9,72.7,79.4,,67.7,,1,0,20,9.1,109.5,5.3,1,4,0,0,1,0,0.0,121,8.6
Drew VanVleet,177653,QB,DAYTON,1,2.6,2.69,2.15,,43,150,75.0,24,24,4.9,1.83,0,0,0.0,75.0,18,2,0.0,26,60.5,0,7,,,,67.9,72.8,73.5,72.2,,,,0,0,28,100.0,89.2,7.7,2,0,0,0,0,0,0.0,142,5.9,57.1,14,16,13.4,4.03,0,0,0.0,50.0,8,1,0.0,16,37.2,0,6,,,,66.5,53.9,71.6,53.8,,,,0,1,16,0.0,40.9,0.0,0,0,0,2,0,2,12.5,89,5.6
Rocco Becht,157567,QB,IOWA STATE,1,2.8,2.62,3.9,5.25,42,193,81.8,22,22,6.2,1.98,0,0,0.0,72.7,16,4,11.1,22,52.4,2,12,,,,67.7,88.2,73.1,87.2,,,,0,0,25,0.0,94.9,0.0,0,0,0,0,0,0,0.0,170,7.7,53.8,13,16,13.5,3.72,0,1,5.6,37.5,6,14,14.3,20,47.6,1,4,,,,67.4,32.7,72.7,35.1,,52.6,,0,1,22,14.3,78.9,10.0,2,2,0,3,2,4,18.2,123,7.7
Owen McCown,157688,QB,UTSA,1,2.95,2.75,,4.48,42,331,60.0,15,17,9.4,1.91,1,1,5.6,52.9,9,4,0.0,17,40.5,0,7,,,,66.8,67.6,72.0,67.2,,,,1,0,18,0.0,108.3,0.0,0,0,0,0,3,0,0.0,92,5.4,75.0,16,20,14.4,3.66,1,1,4.0,55.0,11,9,8.3,25,59.5,1,7,,,,68.2,73.9,73.7,76.6,,57.5,,0,0,30,0.0,103.8,0.0,0,5,0,3,1,1,3.3,188,9.4
Jaden Craig,159342,QB,HARVARD,1,2.83,2.81,3.7,,42,179,91.7,24,24,4.1,1.87,0,1,4.2,91.7,22,1,0.0,24,57.1,0,12,,,,67.6,88.0,73.0,87.1,,,,0,0,24,0.0,124.0,0.0,0,0,0,0,1,0,0.0,250,10.4,50.0,16,17,15.2,4.12,0,0,0.0,35.3,6,13,25.0,18,42.9,2,4,,,,66.8,42.0,72.0,42.2,,,,0,0,18,7.7,45.7,5.6,1,0,0,1,0,1,5.6,58,3.4
E.J. Warner,156185,QB,RICE,1,2.32,2.22,2.6,5.9,42,275,80.8,26,27,5.8,1.7,1,1,3.7,70.4,19,4,9.5,27,64.3,2,7,,,,67.9,81.7,73.4,80.9,,,,0,0,27,0.0,95.3,0.0,0,0,0,0,1,0,0.0,144,5.3,75.0,12,13,11.8,3.43,0,1,7.7,69.2,9,5,0.0,15,35.7,0,5,,,,21.6,47.5,71.4,49.5,,57.0,,0,1,15,20.0,58.2,6.7,1,1,0,1,0,2,13.3,95,7.3
Avery Johnson,173108,QB,KANSAS ST,1,3.25,3.16,,6.45,42,199,66.7,15,17,6.8,1.9,2,1,5.9,52.9,9,4,10.0,17,40.5,1,5,,,,66.7,71.8,71.8,71.3,,,,0,1,17,0.0,68.5,0.0,0,0,0,0,1,1,5.9,111,6.5,66.7,21,22,9.3,4.33,0,0,0.0,63.6,14,12,0.0,24,57.1,0,9,,,,67.7,61.0,73.1,60.0,,61.6,,1,1,25,0.0,60.2,0.0,0,2,0,0,0,2,8.0,127,5.8
JP Pickles,183996,QB,UTEP,1,3.02,2.7,3.6,4.92,42,330,85.7,14,15,4.4,1.87,1,0,0.0,80.0,12,2,0.0,15,35.7,0,5,,,,66.4,70.0,71.4,69.6,,,,0,0,15,0.0,88.9,0.0,0,0,0,0,0,0,0.0,80,5.3,42.9,14,17,15.8,3.8,0,1,5.6,29.4,5,12,16.7,26,61.9,1,5,,,,67.9,45.0,73.4,38.8,,64.0,,1,1,27,25.0,15.3,11.5,3,6,0,2,0,1,3.7,52,3.1
Sonny Mannino,166694,QB,MARIST,1,2.93,2.64,5.55,4.44,42,213,73.7,19,19,5.7,1.81,0,0,0.0,68.4,13,3,7.1,19,45.2,1,2,,,,67.0,57.2,72.2,57.0,,,,0,0,19,0.0,78.8,0.0,0,0,0,0,0,0,0.0,90,4.7,46.2,13,15,12.8,4.03,1,0,0.0,40.0,6,13,0.0,22,52.4,0,7,,,,67.4,68.0,72.7,52.8,,79.9,,0,0,22,15.4,47.9,9.1,2,5,0,1,0,0,0.0,30,2.0
Beau Brungard,164897,QB,YNGTOWN ST,1,3.43,2.87,4.9,5.45,42,353,81.8,11,11,3.2,1.95,0,0,0.0,81.8,9,0,0.0,11,26.2,0,4,,,,65.6,74.0,70.4,73.6,,,,0,0,11,,88.6,0.0,0,0,0,0,0,0,0.0,58,5.3,61.1,18,21,9.5,3.95,1,0,0.0,47.6,10,12,9.1,31,73.8,1,8,,,,68.3,47.9,73.9,39.0,,69.8,,0,1,31,33.3,57.4,12.9,4,6,0,2,1,3,9.7,99,4.7
