player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyle McCord,145053,QB,SYRACUSE,1,2.47,2.31,4.3,4.15,70,304,66.7,39,42,6.1,1.89,1,1,2.3,59.5,25,8,3.8,42,60.0,1,12,,,,,69.3,50.7,75.1,,50.6,,,,,,1,5,44,0.0,37.3,0.0,0,0,0,1,0,3,6.8,254,6.0,52.6,19,22,12.4,3.35,0,0,0.0,45.5,10,15,0.0,28,40.0,0,6,,,,,68.1,41.9,73.7,,41.3,,,59.4,,,3,0,30,26.7,52.7,14.3,4,2,0,0,0,1,3.3,67,3.0
Nathan Lamb,98020,QB,W ILLINOIS,1,2.64,2.47,2.55,5.05,61,345,85.7,28,29,6.6,1.85,0,0,0.0,82.8,24,4,0.0,30,49.2,0,15,,,,,68.3,86.1,74.0,,85.1,,,,,,1,0,32,25.0,137.1,3.3,1,0,0,0,4,1,3.1,215,7.4,73.1,26,26,16.7,3.4,0,3,10.3,69.2,18,14,5.3,31,50.8,1,15,,,,,28.9,92.0,74.2,,92.8,,,55.8,,,0,0,34,7.1,111.9,3.2,1,4,0,0,0,1,2.9,349,13.4
Paxton DeLaurent,159618,QB,SE MO ST,1,2.46,2.33,4.03,4.7,61,293,79.4,34,35,6.0,1.73,0,0,0.0,71.4,25,5,7.4,35,57.4,2,12,,,,,68.7,71.3,74.4,,70.7,,,,,,0,1,36,0.0,89.7,0.0,0,0,0,1,2,0,0.0,176,5.0,70.6,17,22,11.7,3.43,0,0,0.0,45.5,10,14,16.7,26,42.6,2,7,,,,,33.1,51.5,73.3,,52.9,,,57.3,,,1,1,26,21.4,46.8,11.5,3,1,0,4,0,1,3.8,136,6.2
Cole Gonzales,159939,QB,W CAROLINA,1,2.68,2.32,3.13,4.41,59,344,60.7,28,29,10.3,1.9,1,1,3.2,51.7,15,6,11.8,29,49.2,2,9,,,,,68.3,62.6,73.9,,62.2,,,,,,0,0,31,0.0,85.7,0.0,0,0,0,0,1,1,3.2,202,7.0,68.8,16,18,14.6,3.43,1,4,21.1,61.1,11,12,0.0,30,50.8,0,11,,,,,68.4,88.1,74.0,,84.9,,,71.1,,,1,0,32,25.0,117.1,10.0,3,9,0,0,1,1,3.1,197,10.9
Chandler Morris,122938,QB,N TEXAS,1,2.38,2.23,4.27,5.0,59,251,81.1,37,38,6.0,1.76,1,2,4.8,68.4,26,3,13.3,39,66.1,4,14,,,,,69.1,72.0,75.0,,71.3,,,,,,0,0,43,33.3,101.4,2.6,1,0,0,0,1,0,0.0,306,8.1,75.0,16,17,14.4,3.58,0,1,5.6,70.6,12,7,0.0,20,33.9,0,7,,,,,67.2,68.0,72.5,,64.9,,,64.1,,,0,0,21,28.6,135.2,10.0,2,1,0,1,2,1,4.8,143,8.4
Pierce Holley,108981,QB,E ILLINOIS,1,2.72,2.64,4.35,3.6,57,158,90.5,21,23,6.1,1.97,2,0,0.0,73.9,17,3,10.5,23,40.4,2,8,,,,,67.5,67.3,72.8,,66.9,,,,,,0,0,23,0.0,86.3,0.0,0,0,0,0,0,1,4.3,125,5.4,71.0,31,31,13.9,3.23,0,6,19.4,61.3,19,14,13.6,34,59.6,3,10,,,,,68.5,72.7,74.2,,70.7,,,63.2,,,0,3,34,14.3,65.1,5.9,2,1,0,0,2,3,8.8,223,7.2
Athan Kaliakmanis,144971,QB,RUTGERS,1,2.64,2.46,3.24,4.5,56,278,70.4,27,27,9.1,2.01,0,0,0.0,63.0,17,8,10.5,28,50.0,2,8,,,,,68.1,59.8,73.6,,59.5,,,,,,0,0,29,12.5,94.4,3.6,1,0,0,0,1,2,6.9,178,6.6,70.6,17,21,14.5,3.28,0,1,4.5,47.6,10,21,16.7,28,50.0,2,7,,,,,68.1,45.7,73.6,,45.3,,,58.6,,,2,0,29,19.0,68.6,14.3,4,3,0,2,0,2,6.9,135,6.4
Jake Willcox,148649,QB,BROWN,1,2.67,2.39,1.9,4.98,55,123,92.0,25,26,2.4,1.79,1,0,0.0,88.5,23,2,0.0,27,49.1,0,9,,,,,67.9,81.4,73.4,,80.6,,,,,,0,0,27,50.0,90.1,3.7,1,0,0,0,0,0,0.0,146,5.6,57.1,21,22,15.0,3.51,0,2,9.1,50.0,11,13,8.3,28,50.9,1,10,,,,,68.0,40.7,73.5,,43.9,,,50.7,,,0,3,28,0.0,51.5,0.0,0,6,0,1,1,2,7.1,170,7.7
Brady Meitz,149729,QB,STETSON,1,2.35,2.31,3.35,,54,302,62.5,32,33,9.2,1.95,0,1,2.7,57.6,19,9,5.0,33,61.1,1,9,,,,,68.8,60.3,74.5,,60.0,,,,,,0,0,37,0.0,81.1,0.0,0,0,0,1,1,0,0.0,166,5.0,62.5,16,19,16.1,2.97,0,1,5.0,42.1,8,9,20.0,21,38.9,2,5,,,,,67.5,55.1,72.8,,52.6,,,63.7,,,0,2,23,22.2,23.5,9.5,2,0,0,3,0,3,13.0,118,6.2
Owen McCown,157688,QB,UTSA,1,2.4,2.38,2.85,,53,331,79.3,29,29,6.4,1.86,0,0,0.0,65.5,19,8,17.4,30,56.6,4,10,,,,,68.3,63.8,74.1,,63.4,,,,,,0,0,33,12.5,92.6,3.3,1,0,0,0,1,0,0.0,170,5.9,60.0,20,22,14.9,3.1,0,3,13.0,54.5,12,8,0.0,23,43.4,0,9,,,,,67.6,80.7,73.0,,79.9,,,,,,1,0,24,12.5,137.9,4.3,1,0,0,1,3,0,0.0,268,12.2
