player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Behren Morton,144747,QB,TEXAS TECH,1,2.67,2.35,4.25,4.36,74,315,71.1,38,38,3.9,1.59,0,0,0.0,68.4,26,2,3.7,38,51.4,1,12,,,,,69.1,57.1,74.9,,56.9,,,,,0,1,41,0.0,78.8,0.0,0,0,0,0,1,1,2.4,200,5.3,68.4,19,24,15.4,3.82,1,2,8.3,54.2,13,21,0.0,36,48.6,0,8,,,,,68.8,62.0,74.5,,67.5,,53.1,,,2,0,37,19.0,92.2,11.1,4,8,0,2,1,0,0.0,179,7.5
Zachary Clement,105561,QB,NWSTATE,1,2.34,2.28,2.6,4.9,64,257,82.1,39,40,4.7,1.66,1,1,2.4,70.0,28,1,12.5,41,64.1,4,12,,,,,69.1,80.5,74.9,,79.7,,,,,0,0,42,100.0,97.0,2.4,1,0,0,0,2,0,0.0,191,4.8,66.7,15,19,14.5,3.55,0,1,4.8,47.4,9,11,10.0,23,35.9,1,8,,,,,67.7,74.3,73.1,,75.7,,57.0,,,0,2,25,27.3,37.7,13.0,3,1,0,4,0,2,8.0,163,8.6
Clayton Tune,77652,QB,HOUSTON,1,3.12,2.99,4.3,5.37,61,182,94.1,17,18,3.4,1.77,1,1,5.3,88.9,16,1,0.0,18,29.5,0,7,,,,,67.0,74.2,72.2,,73.6,,,,,0,0,19,0.0,132.2,0.0,0,0,0,0,3,0,0.0,112,6.2,62.9,35,39,12.6,3.69,1,3,7.3,51.3,20,12,9.1,43,70.5,2,14,,,,,69.4,68.3,75.2,,64.8,,70.4,,,1,1,45,8.3,61.3,2.3,1,3,0,2,0,2,4.4,254,6.5
Tyler Van Dyke,122225,QB,MIAMI FL,1,2.62,2.47,2.0,5.73,61,220,90.6,32,32,5.7,1.85,0,2,6.1,78.1,25,7,13.8,33,54.1,4,13,,,,,68.5,79.2,74.2,,78.4,,,,,0,0,34,14.3,123.0,3.0,1,0,0,0,2,0,0.0,273,8.5,78.3,23,25,11.6,3.53,0,1,3.7,68.0,17,10,5.6,28,45.9,1,11,,,,,68.2,53.6,73.7,,53.5,,58.7,,,1,1,30,0.0,92.6,0.0,0,3,0,1,1,2,6.7,223,8.9
Ian Corwin,109017,QB,DRAKE,1,2.85,2.64,3.15,6.0,61,153,54.2,24,25,11.2,1.98,1,2,8.0,48.0,12,10,7.7,25,41.0,1,6,,,,,67.7,53.6,73.1,,53.5,,,,,0,1,25,0.0,44.4,0.0,0,0,0,0,0,1,4.0,114,4.6,40.0,25,27,19.3,3.55,0,3,10.7,33.3,9,13,10.0,35,57.4,1,4,,,,,68.7,56.2,74.4,,57.6,,55.6,,,0,0,36,30.8,48.5,11.4,4,4,0,2,0,2,5.6,121,4.5
Chase Brice,60363,QB,APP STATE,1,2.39,2.21,2.65,4.63,59,108,78.1,32,32,5.3,1.77,0,1,3.0,78.1,25,4,0.0,33,55.9,0,12,,,,,68.5,67.8,74.2,,67.3,,,,,0,1,34,25.0,107.8,3.0,1,0,0,0,3,1,2.9,176,5.5,71.4,21,21,14.1,3.18,0,2,9.5,71.4,15,6,0.0,26,44.1,0,8,,,,,67.8,65.2,73.3,,72.3,,48.3,,,0,0,26,16.7,105.1,3.8,1,4,0,0,0,1,3.8,219,10.4
DJ Irons,145585,QB,AKRON,1,2.66,2.54,2.65,6.05,58,102,96.0,25,25,2.8,1.73,0,0,0.0,96.0,24,1,0.0,25,43.1,0,11,,,,,67.8,84.1,73.3,,83.3,,,,,0,0,26,0.0,89.3,0.0,0,0,0,0,0,0,0.0,136,5.4,65.5,29,29,14.0,3.37,0,0,0.0,65.5,19,9,0.0,33,56.9,0,15,,,,,68.5,66.6,74.2,,65.7,,61.8,,,0,1,34,22.2,82.8,6.1,2,2,0,0,0,1,2.9,282,9.7
Holton Ahlers,77651,QB,E CAROLINA,1,2.63,2.36,2.9,5.28,57,156,73.3,30,32,4.9,1.83,2,0,0.0,68.8,22,7,0.0,32,56.1,0,7,,,,,68.4,66.3,74.0,,65.9,,,,,0,1,32,0.0,81.0,0.0,0,0,0,0,1,0,0.0,186,5.8,72.2,18,19,9.3,3.65,0,0,0.0,52.6,10,12,23.1,25,43.9,3,8,,,,,67.9,60.5,73.4,,61.0,,58.9,,,1,1,27,8.3,46.4,4.0,1,5,0,0,0,2,7.4,102,5.4
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.43,2.38,3.9,3.9,55,340,77.4,31,31,4.4,1.78,0,0,0.0,74.2,23,3,4.2,31,56.4,1,12,,,,,68.5,64.5,74.1,,64.1,,,,,0,0,33,0.0,87.6,0.0,0,0,0,0,0,0,0.0,176,5.7,52.4,21,22,17.9,3.27,0,1,4.2,45.5,10,7,9.1,24,43.6,1,6,,,,,67.8,63.7,73.3,,64.8,,57.3,,,0,1,26,14.3,46.6,4.2,1,1,0,1,0,0,0.0,135,6.1
Connor Bazelak,99135,QB,INDIANA,1,2.32,2.23,2.91,,55,190,75.0,28,31,3.6,1.83,1,1,2.9,67.7,21,7,0.0,32,58.2,0,9,,,,,68.6,56.5,74.3,,56.2,,,,,0,0,35,14.3,91.2,3.1,1,0,0,2,1,1,2.9,163,5.3,50.0,10,17,13.0,3.0,0,0,0.0,23.5,4,16,20.0,23,41.8,1,3,,,,,67.7,49.7,73.1,,49.6,,,,,1,1,25,37.5,15.1,26.1,6,0,0,6,0,0,0.0,40,2.4
