player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ren Hefley,101621,QB,PRESBYTERN,1,2.23,2.0,2.74,5.63,64,271,79.1,43,44,3.2,1.66,0,1,2.0,72.7,32,13,5.9,46,71.9,2,13,,,,69.7,64.0,75.7,63.6,,,,1,3,51,15.4,77.5,4.3,2,0,0,0,2,4,7.8,296,6.7,62.5,8,12,13.8,3.68,1,0,0.0,33.3,4,14,20.0,18,28.1,1,4,,,,67.0,40.6,72.5,38.7,,58.6,,1,1,19,21.4,41.0,16.7,3,3,0,2,1,2,10.5,52,4.3
Bailey Fisher,88643,QB,GARD-WEBB,1,2.68,2.33,4.28,4.32,62,171,67.7,31,33,7.0,1.72,2,0,0.0,51.5,17,5,19.0,34,54.8,4,9,,,,68.5,46.2,74.2,46.2,,,,0,1,34,20.0,58.0,2.9,1,0,0,0,0,1,2.9,203,6.2,47.1,17,18,15.9,3.84,0,0,0.0,44.4,8,13,0.0,28,45.2,0,8,,,,27.7,37.6,73.7,40.4,,50.7,,0,1,30,30.8,85.9,14.3,4,6,0,1,2,3,10.0,142,7.9
Devin Leary,77628,QB,NC STATE,1,2.72,2.67,2.8,5.7,62,248,78.1,32,32,7.5,1.99,0,1,2.9,68.8,22,4,12.0,32,51.6,3,10,,,,68.5,69.0,74.2,68.4,,,,0,2,34,0.0,80.7,0.0,0,0,0,0,2,2,5.9,204,6.4,68.2,22,27,15.0,3.5,0,4,14.3,55.6,15,12,0.0,30,48.4,0,9,,,,27.7,77.0,73.9,74.4,,64.3,,2,0,31,16.7,104.2,6.7,2,1,0,3,2,1,3.2,202,7.5
Ben Bryant,77655,QB,E MICHIGAN,1,2.77,2.73,3.0,3.5,61,160,90.0,20,22,7.0,2.05,2,0,0.0,81.8,18,0,0.0,22,36.1,0,10,,,,67.4,84.0,72.7,83.2,,,,0,0,22,,110.8,0.0,0,0,0,0,1,0,0.0,153,7.0,68.6,35,35,10.5,3.17,0,0,0.0,65.7,23,7,4.2,39,63.9,1,12,,,,69.0,61.7,74.8,60.8,,61.8,,0,1,40,28.6,68.9,5.1,2,2,0,0,0,1,2.5,201,5.7
Eric Barriere,40109,QB,E WASHGTON,1,2.98,2.76,,6.03,59,161,76.9,26,28,5.2,1.83,2,2,6.7,67.9,19,0,5.0,28,47.5,1,9,,,,68.2,72.5,73.7,71.9,,,,0,0,30,,102.7,0.0,0,0,0,0,1,1,3.3,216,7.7,64.0,25,27,12.1,4.02,1,0,0.0,59.3,16,7,0.0,31,52.5,0,14,,,,68.4,65.3,74.0,61.9,,67.5,,0,0,32,0.0,107.3,0.0,0,4,0,1,2,1,3.1,202,7.5
Mark Pappas,109046,QB,MOREHEAD,1,2.53,2.43,2.85,4.95,59,234,63.6,33,33,10.7,1.81,0,4,11.1,54.5,18,8,14.3,34,57.6,3,14,,,,68.7,88.9,74.5,87.8,,,,0,0,37,12.5,110.9,2.9,1,0,0,0,3,0,0.0,262,7.9,47.4,19,22,18.8,3.52,1,1,4.3,36.4,8,7,11.1,25,42.4,1,7,,,,67.8,46.0,73.3,40.8,,70.8,,2,3,26,14.3,33.1,4.0,1,2,0,0,1,3,11.5,133,6.0
Liam Welch,19897,QB,SAMFORD,1,2.19,1.88,2.6,4.82,59,282,76.7,43,45,4.4,1.68,2,2,4.3,64.4,29,2,12.1,45,76.3,4,13,,,,69.4,79.1,75.3,78.3,,,,0,0,46,0.0,108.8,0.0,0,0,0,0,3,0,0.0,332,7.4,71.4,7,7,14.1,3.84,0,1,9.1,57.1,4,6,20.0,14,23.7,1,7,,,,66.8,71.3,72.0,63.8,,70.1,,0,1,18,16.7,51.2,7.1,1,6,0,0,0,0,0.0,69,9.9
Gunnar Watson,83570,QB,TROY,1,3.0,2.89,4.37,5.2,59,318,72.7,22,22,6.2,2.13,0,1,4.5,59.1,13,3,18.8,22,37.3,3,9,,,,67.4,76.0,72.7,75.3,,,,0,0,22,0.0,79.4,0.0,0,0,0,0,0,0,0.0,148,6.7,70.4,27,33,5.7,3.52,1,0,0.0,48.5,16,16,15.8,37,62.7,3,11,,,,31.3,68.4,74.7,66.2,,64.1,,3,1,39,18.8,65.0,8.1,3,1,0,2,1,1,2.6,198,6.0
Sam Hartman,77618,QB,WAKE,1,3.35,3.11,4.67,4.23,58,339,50.0,12,14,11.7,2.0,1,0,0.0,28.6,4,3,33.3,14,24.1,2,4,,,,66.4,57.9,71.4,57.7,,,,1,0,15,0.0,66.1,0.0,0,0,0,0,1,0,0.0,51,3.6,62.1,29,33,15.0,3.78,2,1,2.8,48.5,16,14,11.1,44,75.9,2,18,,,,69.5,66.1,75.4,67.7,,57.9,,1,3,48,21.4,55.0,6.8,3,8,0,1,2,1,2.1,239,7.2
Seth Morgan,103954,QB,VA MILT IN,1,2.2,2.14,2.3,5.3,58,336,68.3,41,44,9.0,1.8,2,6,12.5,63.6,28,12,0.0,45,77.6,0,17,,,,69.6,78.9,75.5,78.0,,,,0,0,49,8.3,110.9,2.2,1,0,0,1,3,0,0.0,349,7.9,45.5,11,12,14.4,3.55,0,0,0.0,41.7,5,8,0.0,13,22.4,0,4,,,,66.0,50.1,71.0,45.8,,64.3,,0,0,13,0.0,59.7,0.0,0,1,0,1,0,1,7.7,66,5.5
