player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Harrison Wallace III,145090,WR,PENN STATE,1,8,0,266,11.8,1,60.0,60.0,3,5,0.0,0,3,0,73.1,73.5,0,16,0.0,0,20,3,95.0,19,127.5,5,26.3,1,43,6,2.0,14.3,2.26,0,26.3,0,33.3,0.0,0,1,0.0,0,1,0,66.7,59.9,1,16,0.0,0,16,1,100.0,16,12.5,3,18.8,0,16,7,7.0,16.0,1.0
Tychaun Chapman,162741,WR,MARSHALL,1,8,0,214,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,4.9,3,100.0,,0,0,0.0,0,2,0,79.3,90.7,0,37,0.0,0,12,8,91.7,11,151.0,8,72.7,1,86,51,6.4,10.8,7.82
Romello Brinson,143936,WR,SMU,1,8,0,287,12.0,0,50.0,100.0,1,1,0.0,0,1,0,66.7,68.0,1,12,0.0,0,5,1,100.0,5,29.2,2,40.0,0,12,0,0.0,12.0,2.4,0,6.3,0,100.0,,0,0,0.0,0,0,0,73.1,58.7,0,9,0.0,0,24,3,95.8,23,95.8,3,13.0,0,21,2,0.7,7.0,0.91
Jake Briningstool,124831,TE,CLEMSON,1,7,0,140,7.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.4,0,6,0.0,0,9,1,100.0,9,131.3,1,11.1,1,6,0,0.0,6.0,0.67,0,4.5,0,50.0,0.0,0,2,0.0,0,2,0,73.1,64.5,0,8,3.7,1,27,3,92.6,25,95.8,6,24.0,1,18,15,5.0,6.0,0.72
Corey Thompson Jr.,174081,WR,UNLV,1,7,0,325,26.0,0,50.0,50.0,1,2,0.0,0,1,0,66.7,75.1,1,29,0.0,0,6,1,100.0,6,56.3,2,33.3,0,29,0,0.0,29.0,4.83,0,22.8,0,25.0,,0,0,0.0,0,0,0,66.7,54.8,0,3,0.0,0,15,1,100.0,15,39.6,4,26.7,0,3,1,1.0,3.0,0.2
Matt Lauter,145992,TE,BOISE ST,1,6,0,120,4.0,0,0.0,,0,0,,0,0,0,,53.5,0,0,11.1,1,9,0,88.9,8,39.6,1,12.5,0,0,0,,,0.0,0,7.8,1,100.0,,0,0,0.0,0,2,0,74.9,74.6,0,40,6.3,1,16,4,93.8,15,118.8,4,26.7,0,55,24,6.0,13.8,3.67
Cam Vaughn,170441,WR,JVILLE ST,1,6,0,196,27.6,1,60.0,100.0,1,1,0.0,0,3,0,73.1,87.0,0,34,0.0,0,9,3,100.0,9,143.8,5,55.6,1,73,14,4.7,24.3,8.11,0,16.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,68.5,0,18,0.0,0,4,1,100.0,4,118.8,1,25.0,0,18,2,2.0,18.0,4.5
Nicholas Singleton,164188,HB,PENN STATE,1,6,0,266,,0,,,0,0,,0,0,0,,53.5,0,0,7.7,1,13,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,66.7,,0,0,0.0,0,1,0,74.9,71.4,0,22,15.4,2,13,4,84.6,11,127.1,6,54.5,1,43,15,3.8,10.8,3.91
Jaylin Noel,125155,WR,IOWA STATE,1,6,0,193,26.0,0,100.0,,0,0,0.0,0,1,0,66.7,65.4,0,25,0.0,0,14,1,100.0,14,158.3,1,7.1,1,25,0,0.0,25.0,1.79,0,4.5,0,100.0,,0,0,0.0,0,0,0,70.7,54.8,0,8,0.0,0,18,2,88.9,16,97.9,2,12.5,0,15,6,3.0,7.5,0.94
Matthew Hibner,129581,TE,SMU,1,6,0,287,,0,,,0,0,,0,0,0,,55.3,0,0,33.3,3,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,0,12.2,0,80.0,100.0,1,1,20.0,1,2,0,45.4,58.6,0,30,10.3,4,39,4,84.6,33,157.1,5,15.2,1,61,6,1.5,15.3,1.85
Harvey Broussard III,176337,WR,LA LAFAYET,1,6,0,207,1.0,0,0.0,0.0,0,1,,0,0,0,,53.8,0,0,0.0,0,12,0,91.7,11,39.6,1,9.1,0,0,0,,,0.0,0,16.6,0,80.0,100.0,1,1,0.0,0,3,0,74.9,72.8,0,34,0.0,0,20,4,95.0,19,118.8,5,26.3,0,80,2,0.5,20.0,4.21
