player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Quinshon Judkins,157128,HB,OHIO STATE,1,3,0,260,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,1,100.0,,0,0,0.0,0,1,0,70.7,71.9,0,11,30.8,4,13,2,61.5,8,102.1,2,25.0,0,17,19,9.5,8.5,2.13
Jeremiah Smith,183710,WR,OHIO STATE,1,3,0,260,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,16.0,2,33.3,,0,0,0.0,0,0,0,70.7,56.2,1,3,0.0,0,32,1,93.8,30,2.8,3,10.0,0,3,8,8.0,3.0,0.1
Harrison Wallace III,145090,WR,PENN STATE,1,3,0,266,8.0,0,0.0,0.0,0,1,,0,0,0,,52.5,0,0,0.0,0,17,0,94.1,16,39.6,2,12.5,0,0,0,,,0.0,0,3.0,0,0.0,,0,0,,0,0,0,,55.4,0,0,0.0,0,7,0,85.7,6,39.6,1,16.7,0,0,0,,,0.0
Matthew Golden,156165,WR,TEXAS,1,3,0,311,,0,,,0,0,,0,0,0,,57.8,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,19.0,0,50.0,,0,0,0.0,0,1,0,66.7,62.4,0,27,0.0,0,11,1,100.0,11,95.8,2,18.2,0,27,1,1.0,27.0,2.45
Gunnar Helm,144726,TE,TEXAS,1,3,0,311,,0,,,0,0,,0,0,0,,53.1,0,0,0.0,0,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,100.0,,0,0,0.0,0,0,0,66.7,50.5,0,8,15.4,4,26,1,84.6,22,100.0,1,4.5,0,8,4,4.0,8.0,0.36
Omari Evans,164168,WR,PENN STATE,1,2,0,266,10.5,0,0.0,,0,0,,0,0,0,,54.0,1,0,0.0,0,8,0,87.5,7,0.0,2,28.6,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,56.9,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Will Kacmarek,145896,TE,OHIO STATE,1,2,0,260,,0,,,0,0,,0,0,0,,59.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,5.5,1,100.0,,0,0,0.0,0,0,0,70.7,80.3,0,12,28.6,4,14,2,64.3,9,110.4,2,22.2,0,21,10,5.0,10.5,2.33
Khalil Dinkins,145087,TE,PENN STATE,1,2,0,266,1.5,0,100.0,,0,0,0.0,0,1,0,70.7,69.3,0,20,22.2,2,9,2,77.8,7,110.4,2,28.6,0,21,18,9.0,10.5,3.0,0,,0,,,0,0,,0,0,0,,54.7,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,2,0,258,6.0,1,100.0,,0,0,0.0,0,1,0,66.7,61.6,0,14,0.0,0,14,1,100.0,14,118.8,1,7.1,0,14,8,8.0,14.0,1.0,0,-2.0,0,100.0,,0,0,0.0,0,1,0,66.7,62.8,0,11,0.0,0,12,1,100.0,12,112.5,1,8.3,0,11,13,13.0,11.0,0.92
Isaiah Bond,163586,WR,TEXAS,1,2,0,311,,0,,,0,0,,0,0,0,,58.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,50.0,,0,0,50.0,1,0,0,24.5,49.0,0,8,0.0,0,11,1,100.0,11,60.4,2,18.2,0,8,9,9.0,8.0,0.73
Kris Mitchell,97659,WR,NOTRE DAME,1,1,0,258,,0,,,0,0,,0,0,0,,55.0,0,0,0.0,0,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,100.0,,0,0,0.0,0,0,0,66.7,58.4,0,7,0.0,0,4,1,100.0,4,95.8,1,25.0,0,7,0,0.0,7.0,1.75
Luke Reynolds,183611,TE,PENN STATE,1,1,0,266,7.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,64.8,0,7,0.0,0,9,1,100.0,9,95.8,1,11.1,0,7,0,0.0,7.0,0.78,0,,0,,,0,0,,0,0,0,,57.6,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
TreVeyon Henderson,145059,HB,OHIO STATE,1,1,0,260,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,-6.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.9,0,75,5.3,1,19,1,94.7,18,158.3,1,5.6,1,75,81,81.0,75.0,4.17
Jeremiyah Love,171090,HB,NOTRE DAME,1,1,0,258,,0,,,0,0,,0,0,0,,57.8,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,100.0,,0,0,0.0,0,0,0,66.7,59.9,0,6,20.0,1,5,1,80.0,4,91.7,1,25.0,0,6,4,4.0,6.0,1.5
Juan Davis,144725,TE,TEXAS,1,1,0,311,,0,,,0,0,,0,0,0,,55.6,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,66.7,55.8,0,4,0.0,0,7,1,100.0,7,83.3,1,14.3,0,4,5,5.0,4.0,0.57
Jayden Harrison,98556,WR,NOTRE DAME,1,1,0,258,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,25.0,0,0.0,,0,0,,0,0,0,,59.0,1,0,0.0,0,2,0,100.0,2,0.0,1,50.0,0,0,0,,,0.0
Kaytron Allen,164158,HB,PENN STATE,1,1,0,266,,0,,,0,0,,0,0,0,,53.6,0,0,18.2,2,11,0,81.8,9,0.0,0,0.0,0,0,0,,,0.0,0,5.0,1,100.0,,0,0,0.0,0,0,0,66.7,61.1,0,6,0.0,0,2,1,50.0,1,91.7,1,100.0,0,6,1,1.0,6.0,6.0
Silas Bolden,71674,WR,TEXAS,1,1,0,311,5.0,1,100.0,,0,0,0.0,0,1,0,66.7,73.9,0,24,0.0,0,7,1,85.7,6,118.8,1,16.7,0,24,19,19.0,24.0,4.0,0,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
