player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jordan Addison,123000,WR,PITTSBURGH,1,17,0,268,17.4,0,100.0,100.0,1,1,0.0,0,4,0,76.3,93.3,0,62,0.0,0,12,5,91.7,11,158.3,5,45.5,4,133,55,11.0,26.6,12.09,0,10.3,0,75.0,100.0,1,1,14.3,1,3,0,53.4,64.7,0,13,0.0,0,23,6,95.7,22,89.1,8,36.4,0,47,17,2.8,7.8,2.14
Romeo Doubs,84329,WR,NEVADA,1,17,0,239,16.3,1,100.0,100.0,1,1,0.0,0,1,0,73.1,69.8,0,61,0.0,0,19,3,78.9,15,158.3,3,20.0,1,71,22,7.3,23.7,4.73,0,17.0,2,70.0,0.0,0,1,0.0,0,4,0,78.5,74.6,0,19,0.0,0,26,7,96.2,25,125.4,10,40.0,1,76,18,2.6,10.9,3.04
Chris Pierce,61794,WR,VANDERBILT,1,16,0,333,4.5,0,100.0,,0,0,0.0,0,1,0,70.7,61.2,0,8,0.0,0,16,2,93.8,15,89.6,2,13.3,0,11,2,1.0,5.5,0.73,0,12.2,3,61.5,,0,0,11.1,1,5,0,58.9,77.3,0,26,0.0,0,31,8,100.0,31,86.1,13,41.9,0,102,34,4.3,12.8,3.29
David Bell,97989,WR,PURDUE,1,16,0,273,18.0,0,0.0,0.0,0,1,,0,0,0,,55.4,0,0,0.0,0,7,0,57.1,4,39.6,1,25.0,0,0,0,,,0.0,0,5.9,1,85.7,,0,0,7.7,1,4,0,66.1,69.5,0,21,0.0,0,30,12,100.0,30,94.3,14,46.7,0,93,35,2.9,7.8,3.1
Rome Odunze,73774,WR,WASHINGTON,1,15,0,340,14.7,0,40.0,,0,0,33.3,2,2,0,26.0,52.9,0,17,0.0,0,33,4,100.0,33,50.0,10,30.3,0,35,14,3.5,8.8,1.06,0,3.0,0,100.0,,0,0,0.0,0,1,0,73.1,59.7,0,11,0.0,0,22,3,100.0,22,100.0,3,13.6,0,24,15,5.0,8.0,1.09
Jerreth Sterns,102597,WR,W KENTUCKY,1,15,0,346,16.7,0,33.3,,0,0,0.0,0,1,0,66.7,59.9,1,19,0.0,0,15,1,80.0,12,16.7,3,25.0,0,19,21,21.0,19.0,1.58,0,4.5,0,87.5,100.0,2,2,0.0,0,4,0,78.5,82.7,0,28,0.0,0,22,7,90.9,20,105.7,8,40.0,0,75,35,5.0,10.7,3.75
Skyy Moore,97116,WR,W MICHIGAN,1,14,0,347,29.0,1,100.0,,0,0,0.0,0,1,0,66.7,91.5,0,74,0.0,0,2,1,100.0,2,158.3,1,50.0,1,74,45,45.0,74.0,37.0,0,5.3,6,80.0,0.0,0,1,11.1,1,4,0,59.3,72.7,1,29,0.0,0,22,8,100.0,22,58.8,10,45.5,0,76,44,5.5,9.5,3.45
Jaivon Heiligh,84159,WR,COAST CAR,1,14,0,141,7.0,0,50.0,,0,0,0.0,0,1,0,66.7,66.9,0,5,0.0,0,5,1,100.0,5,95.8,2,40.0,1,5,1,1.0,5.0,1.0,0,9.5,0,81.8,,0,0,0.0,0,7,0,80.1,90.1,0,19,0.0,0,24,9,100.0,24,103.0,11,45.8,0,96,9,1.0,10.7,4.0
Jacob Cowing,100894,WR,UTEP,1,14,0,330,14.8,2,77.8,100.0,1,1,0.0,0,7,0,78.5,90.0,1,32,0.0,0,22,7,95.5,21,116.2,9,42.9,1,119,33,4.7,17.0,5.67,0,7.5,1,100.0,,0,0,0.0,0,2,0,74.9,72.9,0,21,0.0,0,10,4,90.0,9,118.8,4,44.4,0,51,21,5.3,12.8,5.67
Keytaon Thompson,60457,WR,VIRGINIA,1,14,0,335,5.2,0,83.3,100.0,1,1,0.0,0,2,0,76.3,76.9,0,9,0.0,0,12,5,91.7,11,131.9,6,54.5,1,37,16,3.2,7.4,3.36,0,9.6,1,75.0,100.0,2,2,14.3,1,5,0,53.4,70.1,0,23,3.2,1,31,6,93.5,29,110.9,8,27.6,0,89,37,6.2,14.8,3.07
