player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Mike Washington Jr.,145672,HB,BUFFALO,1,11,0,126,,0,,,0,0,,0,0,0,,59.5,0,0,85.7,6,7,0,14.3,1,0.0,0,0.0,0,0,0,,,0.0,0,1.3,1,77.8,,0,0,0.0,0,2,0,78.5,81.7,0,17,27.6,8,29,7,69.0,20,93.5,9,45.0,0,58,41,5.9,8.3,2.9
Shocky Jacques-Louis,77960,WR,AKRON,1,11,0,102,19.8,0,50.0,100.0,2,2,0.0,0,3,0,73.1,83.4,0,33,0.0,0,14,3,92.9,13,92.4,6,46.2,0,70,20,6.7,23.3,5.38,0,9.3,1,50.0,0.0,0,1,0.0,0,2,0,73.1,67.5,0,17,0.0,0,32,2,87.5,28,68.8,4,14.3,0,24,18,9.0,12.0,0.86
Daniel George,84378,WR,AKRON,1,10,0,102,-0.5,0,100.0,,0,0,0.0,0,0,0,70.7,55.3,0,5,0.0,0,16,2,93.8,15,79.2,2,13.3,0,5,6,3.0,2.5,0.33,0,10.9,1,57.1,50.0,1,2,0.0,0,4,0,74.9,73.6,0,29,0.0,0,34,4,88.2,30,141.1,7,23.3,1,87,37,9.3,21.8,2.9
Alex Adams,124085,WR,AKRON,1,10,0,102,10.5,0,50.0,,0,0,0.0,0,1,0,66.7,60.2,0,1,0.0,0,16,1,93.8,15,95.8,2,13.3,1,1,0,0.0,1.0,0.07,0,3.3,0,75.0,,0,0,14.3,1,1,0,53.4,54.7,2,19,0.0,0,34,6,88.2,30,37.5,8,26.7,0,17,15,2.5,2.8,0.57
Justin Marshall,61394,WR,BUFFALO,1,8,0,126,38.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,73.7,0,38,0.0,0,7,1,85.7,6,158.3,1,16.7,1,38,0,0.0,38.0,6.33,0,10.6,1,80.0,100.0,1,1,20.0,1,2,0,45.4,64.5,0,12,0.0,0,22,4,90.9,20,99.2,5,25.0,0,39,7,1.8,9.8,1.95
Quian Williams,61237,WR,BUFFALO,1,5,0,126,15.0,0,50.0,,0,0,0.0,0,1,0,66.7,71.7,0,16,0.0,0,9,1,88.9,8,116.7,2,25.0,1,16,1,1.0,16.0,2.0,0,11.5,0,50.0,,0,0,0.0,0,1,0,31.6,50.6,0,14,0.0,0,35,1,88.6,31,72.9,2,6.5,0,14,2,2.0,14.0,0.45
Marlyn Johnson,98289,WR,BUFFALO,1,5,0,126,28.0,0,0.0,,0,0,100.0,1,0,0,16.4,45.9,0,0,0.0,0,5,0,100.0,5,39.6,2,40.0,0,0,0,,,0.0,0,17.0,0,33.3,,0,0,50.0,1,0,0,24.5,45.5,1,6,0.0,0,19,1,100.0,19,2.8,3,15.8,0,6,1,1.0,6.0,0.32
Clyde Price,99493,HB,AKRON,1,5,0,102,,0,,,0,0,,0,0,0,,56.5,0,0,60.0,9,15,0,33.3,5,0.0,0,0.0,0,0,0,,,0.0,0,-0.7,0,100.0,,0,0,0.0,0,1,0,73.1,63.8,0,6,17.6,6,34,3,73.5,25,79.2,3,12.0,0,7,9,3.0,2.3,0.28
T.J. Banks,77923,TE,AKRON,1,4,0,102,4.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,83.4,0,4,25.0,1,4,1,75.0,3,83.3,1,33.3,0,4,0,0.0,4.0,1.33,0,3.5,0,50.0,,0,0,0.0,0,0,0,66.7,53.9,0,6,20.0,3,15,1,73.3,11,56.3,2,18.2,0,6,2,2.0,6.0,0.55
Jovany Ruiz-Navarro,78055,WR,BUFFALO,1,3,0,126,12.0,0,0.0,0.0,0,1,,0,0,0,,57.9,0,0,0.0,0,3,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0,0,6.5,0,100.0,100.0,1,1,0.0,0,1,0,70.7,60.3,0,8,0.0,0,19,2,78.9,15,93.8,2,13.3,0,13,0,0.0,6.5,0.87
