player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Ben Black,184652,WR,RUTGERS,1,5,0,278,8.5,1,100.0,,0,0,0.0,0,2,0,70.7,75.6,0,22,0.0,0,13,2,100.0,13,118.8,2,15.4,0,38,21,10.5,19.0,2.92,0,6.3,0,66.7,,0,0,0.0,0,1,0,70.7,59.0,0,11,0.0,0,19,2,100.0,19,82.6,3,15.8,0,18,8,4.0,9.0,0.95
Major Everhart,157295,WR,TCU,1,5,0,305,7.7,0,66.7,,0,0,0.0,0,1,0,70.7,70.3,0,26,0.0,0,9,2,88.9,8,99.3,3,37.5,0,30,26,13.0,15.0,3.75,0,-3.0,2,100.0,,0,0,0.0,0,1,0,70.7,66.5,0,18,0.0,0,16,2,100.0,16,97.9,2,12.5,0,15,21,10.5,7.5,0.94
Daniel Hill,184536,HB,ALABAMA,1,5,0,103,8.0,1,50.0,,0,0,0.0,0,1,0,66.7,72.6,0,41,0.0,0,8,1,100.0,8,95.8,2,25.0,0,41,27,27.0,41.0,5.13,0,3.5,1,100.0,,0,0,0.0,0,1,0,70.7,73.9,0,21,12.5,2,16,2,81.3,13,118.8,2,15.4,0,30,23,11.5,15.0,2.31
Keaton Kubecka,173077,WR,KANSAS,1,5,0,198,13.7,0,0.0,0.0,0,2,100.0,1,0,0,16.8,45.7,1,0,0.0,0,6,0,83.3,5,0.0,3,60.0,0,0,0,,,0.0,0,4.5,1,100.0,100.0,1,1,0.0,0,0,0,70.7,63.9,0,8,0.0,0,10,2,100.0,10,93.8,2,20.0,0,13,4,2.0,6.5,1.3
Junior Sherrill,172627,WR,VANDERBILT,1,5,0,333,14.0,0,0.0,0.0,0,1,100.0,1,0,0,16.8,47.4,0,0,0.0,0,17,0,88.2,15,39.6,3,20.0,0,0,0,,,0.0,0,5.0,0,50.0,,0,0,0.0,0,0,0,66.7,57.2,0,8,0.0,0,6,1,100.0,6,60.4,2,33.3,0,8,1,1.0,8.0,1.33
Ayden Williams,172531,WR,MISS STATE,1,5,0,227,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Harold Mack,198380,WR,E MICHIGAN,1,5,0,160,5.0,0,100.0,,0,0,0.0,0,1,0,66.7,74.8,0,11,0.0,0,1,1,100.0,1,112.5,1,100.0,0,11,6,6.0,11.0,11.0,0,17.3,0,33.3,0.0,0,1,0.0,0,0,0,66.7,58.0,0,12,0.0,0,20,1,100.0,20,46.5,3,15.0,0,12,0,0.0,12.0,0.6
Jacob Petersen,149424,TE,TOLEDO,1,5,0,316,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Bailey Stockton,175368,WR,GA TECH,1,5,0,176,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Trond Grizzell,146290,WR,CAL,1,5,0,130,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,17.3,0,50.0,0.0,0,1,33.3,1,2,0,39.5,66.5,0,34,0.0,0,26,2,96.2,25,93.8,4,16.0,0,48,14,7.0,24.0,1.92
Trech Kekahuna,175527,WR,WISCONSIN,1,5,0,349,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jeremy Scott,190098,WR,S ALABAMA,1,5,0,288,15.0,0,50.0,,0,0,33.3,1,2,0,32.3,80.1,0,74,0.0,0,7,2,100.0,7,135.4,4,57.1,1,82,70,35.0,41.0,11.71,0,36.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,67.2,0,39,0.0,0,11,1,90.9,10,118.8,1,10.0,0,39,3,3.0,39.0,3.9
Dawson Pough,207820,WR,BOSTON COL,1,5,0,121,-0.5,0,50.0,,0,0,0.0,0,0,0,70.7,59.1,0,-1,0.0,0,7,1,85.7,6,56.3,2,33.3,0,-1,2,2.0,-1.0,-0.17,0,12.5,0,0.0,,0,0,,0,0,0,,51.6,0,0,0.0,0,33,0,100.0,33,39.6,2,6.1,0,0,0,,,0.0
