player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Anthony Smith,122885,WR,E CAROLINA,1,15,0,156,,0,,,0,0,,0,0,0,,55.4,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,9.2,2,83.3,,0,0,0.0,0,5,0,80.9,80.1,0,31,0.0,0,26,10,96.2,25,109.7,12,48.0,0,124,74,7.4,12.4,4.96
Ted Hurst,187922,WR,GA STATE,1,15,0,175,16.3,0,25.0,100.0,1,1,0.0,0,1,0,66.7,72.2,1,1,0.0,0,7,1,100.0,7,39.6,4,57.1,1,1,0,0.0,1.0,0.14,0,14.9,3,90.0,66.7,2,3,0.0,0,6,0,80.1,91.3,0,52,0.0,0,18,9,100.0,18,152.1,10,55.6,1,171,70,7.8,19.0,9.5
Trent Walker,146340,WR,OREGON ST,1,15,0,265,5.3,0,100.0,,0,0,0.0,0,1,0,73.1,66.4,0,11,0.0,0,8,3,100.0,8,101.4,3,37.5,0,25,9,3.0,8.3,3.13,0,12.8,0,33.3,,0,0,50.0,2,2,0,17.0,55.5,1,15,0.0,0,15,2,100.0,15,9.0,6,40.0,0,27,1,0.5,13.5,1.8
Easton Messer,163051,WR,FAU,1,14,0,165,5.0,0,100.0,,0,0,0.0,0,1,0,66.7,69.8,0,5,0.0,0,3,1,100.0,3,87.5,1,33.3,0,5,0,0.0,5.0,1.67,0,8.4,2,66.7,,0,0,0.0,0,3,0,79.3,69.5,1,23,0.0,0,41,8,100.0,41,72.2,12,29.3,1,62,37,4.6,7.8,1.51
Beau Sparks,173021,WR,TEXAS ST,1,14,0,314,4.7,0,100.0,,0,0,0.0,0,0,1,73.1,51.6,0,7,0.0,0,8,3,75.0,6,91.7,3,50.0,0,18,4,1.3,6.0,3.0,0,6.9,0,66.7,,0,0,0.0,0,2,0,77.5,64.8,0,11,0.0,0,32,6,96.9,31,74.3,9,29.0,0,36,19,3.2,6.0,1.16
Jaden Barnes,173738,WR,APP STATE,1,13,0,108,,0,,,0,0,,0,0,0,,54.6,0,0,0.0,0,10,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0,0,8.1,1,71.4,100.0,1,1,16.7,1,4,0,49.8,78.2,0,42,0.0,0,20,5,95.0,19,113.7,7,36.8,0,97,59,11.8,19.4,5.11
Ryan Davis,97321,WR,UTAH,1,13,0,328,5.0,0,100.0,,0,0,0.0,0,1,0,74.9,64.7,0,15,0.0,0,11,4,100.0,11,94.8,4,36.4,0,27,7,1.8,6.8,2.45,0,7.2,0,60.0,0.0,0,1,25.0,1,2,0,40.2,52.2,0,24,0.0,0,16,3,93.8,15,80.4,5,33.3,0,34,8,2.7,11.3,2.27
Le'Meke Brockington,144969,WR,MINNESOTA,1,12,0,225,14.3,1,50.0,100.0,1,1,0.0,0,2,0,70.7,76.7,0,23,0.0,0,10,2,90.0,9,88.5,4,44.4,0,43,10,5.0,21.5,4.78,0,9.9,1,75.0,0.0,0,1,0.0,0,4,0,77.5,76.6,1,16,0.0,0,17,6,94.1,16,57.8,8,50.0,0,63,7,1.2,10.5,3.94
Braylon Staley,184893,WR,TENNESSEE,1,12,0,307,7.2,0,60.0,,0,0,0.0,0,3,0,73.1,66.8,1,15,0.0,0,14,3,85.7,12,42.5,5,41.7,0,36,17,5.7,12.0,3.0,0,5.6,1,85.7,,0,0,0.0,0,2,0,77.5,68.6,0,32,0.0,0,24,6,91.7,22,142.6,7,31.8,1,61,33,5.5,10.2,2.77
Skyler Bell,145163,WR,UCONN,1,12,0,146,,0,,,0,0,,0,0,0,,56.7,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,10.6,2,55.6,,0,0,16.7,1,4,0,49.8,71.9,0,31,0.0,0,20,5,95.0,19,85.9,9,47.4,0,81,32,6.4,16.2,4.26
