player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Chandler Strong,158365,C,GA SOUTHRN,13,0,174,68.0,4,10,630,100.0,100.0,98.6,1,16,2,662,662,60.3,1,6,170,100.0,100.0,96.8,9,2,178,178
Khalil Crowder,78240,G,GA SOUTHRN,13,0,174,65.2,2,17,615,99.7,99.7,98.1,1,21,2,647,649,41.1,1,11,168,100.0,100.0,96.4,12,0,176,176
Pichon Wimbley,158371,G,GA SOUTHRN,13,0,174,79.1,2,18,615,100.0,100.0,97.9,0,23,3,647,647,67.5,1,9,170,100.0,100.0,95.3,13,3,178,178
Eliki Tanuvasa,79663,C,HAWAII,13,0,180,70.0,5,19,606,100.0,100.0,97.7,2,26,2,636,636,59.1,4,14,273,100.0,100.0,96.0,20,2,284,284
Josh Atkins,144243,T,HAWAII,13,3,180,68.0,7,19,604,100.0,100.0,96.7,4,33,7,634,634,61.6,5,13,273,100.0,100.0,94.9,23,5,284,284
Roger Rosengarten,131912,T,WASHINGTON,15,1,340,80.8,3,12,585,100.0,100.0,98.7,3,15,0,625,625,79.8,3,8,217,100.0,100.0,97.5,11,0,232,232
Troy Fautanu,100521,T,WASHINGTON,15,0,340,88.2,3,18,584,99.8,99.7,97.9,1,23,2,623,625,77.6,1,15,217,100.0,100.0,95.9,17,1,232,232
Joe Michalski,99426,C,OKLA STATE,14,0,262,76.6,2,7,590,100.0,100.0,99.2,2,9,0,617,617,73.5,1,3,156,100.0,100.0,98.7,4,0,163,163
Parker Brailsford,162482,C,WASHINGTON,15,1,340,78.4,2,11,574,100.0,100.0,98.7,3,14,1,612,612,66.9,2,9,214,100.0,100.0,97.0,12,1,228,228
Christian Hilborn,146501,G,WASH STATE,12,1,341,70.3,2,15,573,100.0,100.0,98.0,1,20,3,596,596,53.7,1,9,145,100.0,100.0,95.9,11,1,156,156
Mike Lofton,123751,C,USF,13,3,327,58.7,3,23,555,100.0,100.0,97.3,9,28,2,593,593,56.1,2,7,148,100.0,100.0,97.0,9,0,160,160
Konner Gomness,100542,C,WASH STATE,12,0,341,78.9,0,10,570,100.0,100.0,99.1,1,10,0,591,591,80.1,0,4,144,100.0,100.0,98.6,4,0,155,155
Sergio Muasau,86114,G,HAWAII,13,0,180,60.3,8,15,557,100.0,100.0,97.4,1,26,3,583,583,51.7,5,12,255,100.0,100.0,95.5,20,3,265,265
Fa'alili Fa'amoe,131930,T,WASH STATE,12,1,341,65.4,0,21,560,100.0,100.0,97.1,2,27,6,582,582,49.9,0,12,143,100.0,100.0,93.7,15,3,154,154
Braylen Nelson,146050,T,FRESNO ST,13,2,169,69.8,5,12,556,100.0,100.0,97.9,5,20,3,581,581,55.2,0,8,141,100.0,100.0,95.7,10,2,148,148
Gerad Christian-Lichtenhan,131673,T,COLORADO,12,0,143,64.5,8,27,550,100.0,100.0,95.5,3,42,7,581,581,43.5,7,22,216,100.0,100.0,91.0,34,5,229,229
Victor Stoffel,98528,T,TEMPLE,12,0,306,72.4,9,12,544,99.8,99.8,97.7,0,23,2,578,579,60.6,6,6,153,100.0,100.0,95.4,13,1,161,161
Dalton Cooper,98482,T,OKLA STATE,14,1,262,74.1,0,19,551,100.0,100.0,97.7,2,22,3,576,576,54.1,0,16,143,100.0,100.0,93.7,17,1,150,150
Spencer Rolland,108693,T,N CAROLINA,13,4,245,71.9,3,18,536,100.0,100.0,97.5,4,24,3,574,574,74.0,0,10,176,100.0,100.0,96.6,11,1,195,195
Nate Kalepo,100522,G,WASHINGTON,15,0,340,60.6,1,15,534,100.0,99.8,98.3,0,17,1,572,573,43.7,1,10,199,100.0,100.0,97.2,11,0,214,214
John Lanz,76563,C,TCU,12,0,305,71.5,3,9,547,100.0,100.0,98.7,2,13,1,565,565,71.8,0,4,151,100.0,100.0,98.7,4,0,151,151
Levi Rogers,131781,C,STANFORD,12,0,300,75.6,3,12,520,100.0,100.0,98.4,2,16,1,564,564,71.1,1,7,191,100.0,100.0,97.9,8,0,209,209
Derek Bowman,123654,T,USF,13,0,327,55.4,3,22,526,100.0,100.0,95.9,1,34,9,561,561,56.8,0,10,143,100.0,100.0,93.7,14,4,154,154
