player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Hawk Wimmer,104200,G,AIR FORCE,13,0,101,63.0,100.0,242,32.5,242,75.6,0,100.0,745,745,60.1,100.0,91,12.2,91
Everett Smalley,131512,T,AIR FORCE,12,0,101,81.5,100.0,217,34.1,217,87.4,3,100.0,636,636,68.5,100.0,70,11.0,70
Kip Frankland,100901,T,NAVY,12,0,237,67.1,100.0,129,20.3,129,83.2,0,100.0,634,634,73.1,100.0,100,15.8,100
Nolan Potter,77521,T,N ILLINOIS,14,0,254,71.5,100.0,385,60.9,385,76.7,2,100.0,632,632,78.3,100.0,201,31.8,201
Brayden Patton,40463,C,N ILLINOIS,14,0,254,53.9,100.0,383,60.8,383,62.8,0,100.0,630,630,72.2,100.0,201,31.9,201
Logan Zschernitz,100262,G,N ILLINOIS,14,0,254,65.3,100.0,381,60.6,381,70.1,3,100.0,629,629,71.8,100.0,202,32.1,202
Noah Knapp,81582,G,ARMY,13,0,114,66.5,100.0,238,38.0,238,70.9,1,100.0,627,627,60.5,100.0,87,13.9,87
Marques Cox,77518,T,N ILLINOIS,14,1,254,62.3,100.0,375,60.7,375,70.4,4,100.0,618,618,79.3,100.0,197,31.9,197
Cole Brown,81768,T,N TEXAS,13,0,251,44.5,100.0,460,77.8,460,45.3,0,100.0,591,591,55.8,100.0,109,18.4,109
Connor Finucane,121569,G,ARMY,13,0,114,68.6,100.0,224,38.4,224,76.9,1,100.0,584,584,71.3,100.0,76,13.0,76
Jacob Brammer,59944,T,N TEXAS,13,0,251,56.0,100.0,453,77.7,453,57.8,0,100.0,583,583,60.8,100.0,108,18.5,108
Manase Mose,59950,C,N TEXAS,13,0,251,74.4,100.0,447,77.5,447,69.3,2,100.0,577,577,58.6,100.0,108,18.7,108
Daizion Carroll,81769,G,N TEXAS,13,0,251,65.3,100.0,433,77.3,433,66.5,2,100.0,560,560,67.7,100.0,106,18.9,106
Sam Schlueter,41640,T,MINNESOTA,13,0,225,57.4,100.0,294,52.7,294,59.8,1,100.0,558,558,62.2,100.0,243,43.5,243
Conner Olson,41504,G,MINNESOTA,13,0,225,63.8,100.0,294,52.7,294,74.3,1,100.0,558,558,79.4,100.0,243,43.5,243
Haaziq Daniels,125263,QB,AIR FORCE,12,0,101,60.0,81.5,189,34.2,232,60.0,0,76.7,552,720,60.0,64.8,57,10.3,88
Bill Kuduk,59777,T,KENT STATE,14,0,201,73.6,100.0,305,55.5,305,66.0,0,100.0,550,550,55.0,100.0,212,38.5,212
Gabe Blair,145323,G,N TEXAS,13,0,251,57.6,100.0,426,77.6,426,56.9,1,100.0,549,549,59.4,100.0,103,18.8,103
Liam Soraghan,60986,TE,N ILLINOIS,14,2,254,67.9,100.0,324,60.4,324,73.2,3,100.0,536,536,75.5,100.0,174,32.5,174
