player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Vincent Fiacable,144836,C,FAU,12,0,165,82.0,1,7,621,100.0,100.0,99.2,1,9,1,661,661,70.8,0,4,182,100.0,100.0,98.9,4,0,197,197
Scarlee Jean,160961,G,FAU,12,0,165,81.4,2,17,618,99.5,99.5,98.5,2,19,0,660,663,70.9,2,11,181,99.5,99.5,96.4,13,0,196,197
Ja'Kavion Nonar,162800,T,FAU,11,2,165,75.4,5,18,562,100.0,100.0,97.4,4,26,3,602,602,63.4,5,9,169,100.0,100.0,94.7,16,2,184,184
Fintan Brose,142242,G,DELAWARE,12,1,151,79.5,1,10,560,100.0,99.8,98.7,1,13,2,601,602,66.7,1,9,229,100.0,100.0,96.9,12,2,243,243
Anthony Caccese,173606,G,DELAWARE,12,0,151,75.2,4,7,553,100.0,100.0,98.6,2,13,2,595,595,79.0,2,3,226,100.0,100.0,98.0,7,2,240,240
Zhen Sotelo,146067,G,HAWAII,12,0,180,76.7,0,6,568,100.0,100.0,99.5,2,6,0,595,595,66.2,0,3,185,100.0,100.0,99.2,3,0,197,197
James Milovale,175703,T,HAWAII,12,0,180,60.6,5,15,568,100.0,100.0,97.7,1,23,3,595,595,60.7,3,5,185,100.0,100.0,97.3,9,1,197,197
Ryan Lengyel,144516,G,BAYLOR,12,0,118,62.2,3,18,544,100.0,100.0,97.7,0,23,2,590,590,35.5,2,15,216,100.0,100.0,95.1,19,2,232,232
Kaden Sieracki,158571,T,BAYLOR,12,2,118,57.3,3,30,537,100.0,100.0,96.9,3,33,0,583,583,50.1,2,19,215,100.0,100.0,95.1,21,0,231,231
Riley McGehee,188347,T,ARK STATE,12,0,113,72.6,1,23,545,100.0,100.0,97.1,1,28,4,582,582,66.0,1,11,215,100.0,100.0,96.3,14,2,232,232
Malik Williams,128441,T,NEW MEX ST,12,0,242,51.5,8,18,537,100.0,100.0,96.1,0,34,8,577,577,50.2,5,11,189,100.0,100.0,92.6,22,6,207,207
Tyhler Williams,156886,G,GA STATE,12,0,175,58.9,9,13,524,100.0,100.0,97.9,0,22,0,566,566,41.0,8,8,174,100.0,100.0,95.4,16,0,187,187
Wil Saxton,156838,G,ARK STATE,12,0,113,71.0,1,20,526,100.0,100.0,97.6,0,23,2,563,563,62.5,1,13,206,100.0,100.0,95.6,16,2,223,223
BJ Tolo,175687,G,NEW MEX ST,12,0,242,59.8,3,13,524,100.0,100.0,98.1,0,18,2,562,562,60.5,2,7,187,100.0,100.0,97.1,10,1,204,204
Anwar O'neal,178137,T,DELAWARE,11,1,151,67.0,1,13,515,100.0,100.0,97.5,2,20,6,554,554,57.3,1,10,207,100.0,100.0,95.4,15,4,221,221
Peseti Lapuaho,159070,T,S JOSE ST,12,0,285,31.3,4,26,521,99.8,99.8,96.9,0,31,1,554,555,32.3,4,12,182,100.0,100.0,95.6,16,0,196,196
Will Flowers,138993,C,APP STATE,12,0,108,73.7,0,9,526,100.0,100.0,99.0,0,10,1,552,552,57.9,0,8,153,100.0,100.0,97.4,8,0,164,164
Mateo Guevara,156598,G,MIDDLE TN,12,0,224,79.5,0,7,517,100.0,100.0,99.1,3,8,1,551,551,65.2,0,6,145,100.0,100.0,97.2,7,1,153,153
Cayden Sweatt,175006,G,APP STATE,12,1,108,70.6,1,9,521,100.0,100.0,98.3,1,14,4,547,547,57.4,1,2,153,100.0,100.0,97.7,5,2,163,163
Joseph Harbert,157842,C,S JOSE ST,12,0,285,55.8,4,19,514,100.0,100.0,97.8,1,23,0,546,546,32.7,2,10,179,100.0,100.0,96.6,12,0,192,192
Logan Taylor,151098,G,BOSTON COL,12,0,121,71.2,2,16,519,99.8,99.8,97.5,1,22,4,538,539,62.7,2,10,234,99.6,99.6,96.2,15,3,244,245
Ethan Spencer,158188,C,HAWAII,11,0,180,78.7,0,9,511,100.0,100.0,98.3,1,13,4,532,532,55.4,0,8,173,100.0,100.0,95.4,12,4,184,184
Mason Myers,172201,C,ARK STATE,11,1,113,70.8,1,16,495,100.0,100.0,98.1,1,18,1,529,529,68.0,1,9,198,100.0,100.0,97.5,10,0,214,214
Coleton Price,158567,C,BAYLOR,11,1,118,82.9,0,6,483,100.0,100.0,99.2,4,7,1,526,526,75.5,0,5,199,100.0,100.0,98.7,5,0,214,214
Quincy Jenkins,122299,G,W KENTUCKY,12,2,346,67.6,2,13,494,100.0,100.0,98.5,4,15,0,522,522,52.0,1,9,130,100.0,100.0,96.2,10,0,140,140
Michael Hershey,188250,C,MARYLAND,12,1,215,87.1,2,6,511,99.8,99.8,99.2,1,8,0,522,523,82.0,2,4,241,99.6,99.6,98.8,6,0,249,250
Marshall Jackson,72689,T,W KENTUCKY,12,0,346,70.1,4,10,493,99.8,99.8,97.6,1,19,5,521,522,60.2,4,4,130,100.0,100.0,95.4,10,2,140,140
