player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Edward Collins,77408,T,UCF,5,0,323,71.9,1,0,16,100.0,100.0,96.9,0,1,0,16,16,71.0,0,0,1,100.0,100.0,100.0,0,0,1,1
Mahamane Moussa,145114,T,PURDUE,2,0,273,76.1,0,1,16,100.0,100.0,96.9,0,1,0,16,16,66.6,0,1,5,100.0,100.0,90.0,1,0,5,5
Terion Stewart,130386,HB,BOWL GREEN,9,0,122,71.7,0,1,15,39.5,40.0,96.7,1,1,0,16,40,79.0,0,0,3,42.9,44.4,100.0,0,0,4,9
Keyon Henry-Brooks,98564,HB,LA TECH,9,0,208,26.0,0,2,15,17.0,17.4,93.3,0,2,0,16,92,81.4,0,0,6,20.0,22.6,100.0,0,0,7,31
Brody Belt,83717,WR,NEBRASKA,8,0,238,25.7,0,2,16,25.4,23.9,93.7,0,2,0,16,67,79.9,0,0,5,26.3,22.7,100.0,0,0,5,22
Braydon Bennett,122318,HB,COAST CAR,13,0,141,46.0,0,1,15,12.6,13.0,90.0,0,2,1,16,123,8.7,0,1,2,14.3,12.5,75.0,1,0,2,16
Tyler Falvey,78287,G,MIDDLE TN,5,0,224,28.3,0,0,16,100.0,100.0,100.0,0,0,0,16,16,0.0,0,0,2,100.0,100.0,100.0,0,0,2,2
Ronnie Garza,145518,T,UTSA,2,1,331,36.4,0,1,16,100.0,100.0,96.9,1,1,0,16,16,15.1,0,1,6,100.0,100.0,91.7,1,0,6,6
Donta Anthony Jr.,84030,TE,DOMINION,12,0,263,68.4,0,0,15,10.1,10.5,100.0,0,0,0,16,153,67.8,0,0,1,2.0,1.9,100.0,0,0,1,52
Dontae Smith,77717,HB,GA TECH,11,0,176,73.6,0,0,14,25.0,27.6,100.0,0,0,0,16,58,78.9,0,0,4,36.4,41.7,100.0,0,0,5,12
Luke Benson,99708,TE,SYRACUSE,10,0,304,70.7,0,1,16,29.1,27.1,96.9,0,1,0,16,59,75.3,0,0,6,30.0,30.0,100.0,0,0,6,20
Christopher Toudle,99705,TE,NC STATE,12,0,248,36.2,0,2,15,7.6,7.7,93.3,1,2,0,16,207,22.8,0,2,7,8.3,8.1,85.7,2,0,7,86
Tyler Warren,129798,TE,PENN STATE,13,0,266,68.5,0,0,16,14.7,13.9,100.0,0,0,0,16,115,66.8,0,0,1,4.0,3.4,100.0,0,0,1,29
Jordan Boatman,59721,T,HOUSTON,4,0,182,81.7,0,0,15,100.0,100.0,100.0,0,0,0,16,16,78.1,0,0,2,100.0,100.0,100.0,0,0,3,3
Eli Wilson,122259,TE,APP STATE,9,0,108,41.2,0,1,14,33.3,34.8,96.4,1,1,0,16,46,,0,0,0,0.0,0.0,,0,0,0,3
Steven Anderson,60542,HB,TULSA,9,0,320,84.6,0,0,15,53.6,55.2,100.0,0,0,0,16,29,81.8,0,0,5,71.4,75.0,100.0,0,0,6,8
Trey Knox,98359,TE,ARKANSAS,12,0,111,40.6,0,3,14,11.9,13.1,82.1,0,4,1,16,122,72.1,0,0,3,10.0,10.0,100.0,0,0,3,30
Emmanuel Michel,145972,FB,AIR FORCE,9,0,101,34.6,0,1,16,80.0,76.2,84.4,0,3,2,16,21,30.0,0,1,12,92.3,92.3,79.2,3,2,12,13
Caden Prieskorn,121783,TE,MEMPHIS,12,0,218,52.6,0,0,14,18.9,20.3,100.0,0,0,0,16,79,65.9,0,0,0,0.0,4.5,,0,0,1,22
Zack Kuntz,84084,TE,DOMINION,13,0,263,63.3,1,0,16,4.7,4.6,96.9,1,1,0,16,349,59.7,0,0,4,2.7,2.6,100.0,0,0,4,156
Jack Murphy,121743,G,MARSHALL,3,0,214,82.3,0,0,14,100.0,100.0,100.0,0,0,0,16,16,78.7,0,0,4,100.0,100.0,100.0,0,0,5,5
Jacob Golden,101248,G,BOISE ST,5,0,120,71.6,0,1,14,100.0,100.0,96.4,0,1,0,15,15,56.6,0,1,5,100.0,100.0,90.0,1,0,5,5
Max Banes,77433,G,HOUSTON,4,0,182,82.6,0,0,14,100.0,100.0,100.0,0,0,0,15,15,77.2,0,0,2,100.0,100.0,100.0,0,0,3,3
Austin Hopp,65055,T,HAWAII,4,0,180,37.3,0,1,13,100.0,100.0,96.2,1,1,0,15,15,4.5,0,1,5,100.0,100.0,90.0,1,0,6,6
Tyler Brown,98070,G,LA LAFAYET,1,0,207,82.0,0,0,13,100.0,100.0,100.0,0,0,0,15,15,79.6,0,0,6,100.0,100.0,100.0,0,0,6,6
Sage Ennis,122147,TE,CLEMSON,10,0,140,73.6,0,0,14,19.4,20.3,100.0,0,0,0,15,74,72.0,0,0,2,10.5,15.0,100.0,0,0,3,20
John Chenal,82534,FB,WISCONSIN,11,0,349,65.9,0,2,15,34.9,33.3,93.3,1,2,0,15,45,,0,0,0,0.0,0.0,,0,0,0,9
Sam Glover,121844,T,NAVY,4,0,237,43.4,0,2,15,100.0,100.0,93.3,0,2,0,15,15,20.6,0,1,3,100.0,100.0,83.3,1,0,3,3
Trey Sanders,97433,HB,ALABAMA,9,0,103,76.6,0,1,15,19.0,18.5,96.7,0,1,0,15,81,84.3,0,0,10,25.6,24.4,100.0,0,0,10,41
Harrison Waylee,130584,HB,N ILLINOIS,5,0,254,35.5,1,0,14,24.6,24.6,96.4,0,1,0,15,61,77.1,0,0,2,16.7,20.0,100.0,0,0,3,15
Kendre Miller,123091,HB,TCU,10,0,305,57.1,0,1,15,15.5,15.3,90.0,0,2,1,15,98,81.2,0,0,7,23.3,22.6,100.0,0,0,7,31
Amauri Pesek-Hickson,122573,HB,KANSAS,10,0,198,31.6,0,1,14,15.7,16.5,89.3,1,2,1,15,91,23.0,0,1,8,26.7,29.0,81.2,2,1,9,31
Miller Gibbs,83927,TE,APP STATE,11,0,108,57.0,1,1,15,25.4,25.0,93.3,0,2,0,15,60,19.2,0,1,1,50.0,50.0,50.0,1,0,1,2
Jahleel Billingsley,98221,TE,ALABAMA,15,0,103,66.9,0,0,14,4.6,4.7,100.0,0,0,0,15,319,,0,0,0,0.0,0.0,,0,0,0,132
Dezmon Jackson,98690,HB,OKLA STATE,6,0,262,85.0,0,1,14,20.3,19.5,96.4,0,1,0,15,77,72.9,0,0,1,6.7,6.3,100.0,0,0,1,16
Brian Battie,123274,HB,USF,10,0,327,47.8,1,1,13,26.5,26.9,92.3,0,2,0,14,52,1.8,1,0,1,12.5,11.1,50.0,1,0,1,9
Dan Dishman,123308,TE,UTSA,7,0,331,75.2,0,0,13,24.1,23.7,100.0,0,0,0,14,59,72.9,0,0,5,29.4,31.6,100.0,0,0,6,19
Gavin Gerhardt,123561,C,CINCINNATI,4,0,138,8.4,0,1,14,100.0,100.0,96.4,0,1,0,14,14,0.0,0,1,2,100.0,100.0,75.0,1,0,2,2
Max Wright,82434,TE,TEXAS A&M,11,0,312,39.6,1,0,13,31.7,33.3,96.2,0,1,0,14,42,70.0,0,0,2,28.6,28.6,100.0,0,0,2,7
Ross Painter,83936,TE,ARK STATE,7,0,113,56.0,0,0,13,26.5,28.0,100.0,0,0,0,14,50,,0,0,0,0.0,0.0,,0,0,0,8
Tyler Ostrom,81818,G,S JOSE ST,2,0,285,45.9,0,0,14,100.0,100.0,100.0,0,0,0,14,14,48.3,0,0,3,100.0,100.0,100.0,0,0,3,3
Velton Gardner,97110,HB,KANSAS,3,0,198,24.2,0,3,14,32.6,31.1,89.3,0,3,0,14,45,16.4,0,2,5,29.4,29.4,80.0,2,0,5,17
LD Brown,40346,HB,OKLA STATE,4,0,262,36.9,0,1,14,26.9,25.5,96.4,0,1,0,14,55,82.8,0,0,10,41.7,40.0,100.0,0,0,10,25
Christian Hilborn,146501,T,WASH STATE,1,0,341,0.0,0,2,13,100.0,100.0,84.6,0,3,1,14,14,0.0,0,2,6,100.0,100.0,66.7,3,1,7,7
Torry Locklin,97792,HB,KANSAS,9,0,198,15.3,1,1,13,21.3,21.9,92.3,0,2,0,14,64,14.6,1,1,5,26.3,25.0,80.0,2,0,5,20
Joey Capra,98230,G,S DIEGO ST,4,0,284,80.5,0,0,10,100.0,100.0,100.0,0,0,0,14,14,75.3,0,0,1,100.0,100.0,100.0,0,0,2,2
Marcus Mbow,145113,G,PURDUE,3,0,273,70.4,0,1,14,100.0,100.0,96.4,0,1,0,14,14,78.5,0,0,3,100.0,100.0,100.0,0,0,3,3
Josh McMullen,77407,G,UCF,4,0,323,46.0,0,0,13,100.0,100.0,92.3,0,1,1,14,14,0.0,0,0,1,100.0,100.0,0.0,1,1,1,1
Hudson Henry,99189,TE,ARKANSAS,9,0,111,41.4,0,0,13,27.7,28.0,92.3,0,1,1,14,50,70.2,0,0,2,18.2,18.2,100.0,0,0,2,11
Benjamin Yurosek,131786,TE,STANFORD,11,0,300,75.8,0,0,13,3.6,3.6,100.0,0,0,0,14,384,71.4,0,0,1,0.8,1.5,100.0,0,0,2,130
Tony Mathis Jr.,99481,HB,W VIRGINIA,10,0,343,31.7,0,2,14,17.5,16.7,85.7,0,3,1,14,84,45.7,0,1,6,23.1,21.4,91.7,1,0,6,28
Brett Bell,42044,T,UCF,4,0,323,82.5,0,0,13,100.0,100.0,100.0,0,0,0,14,14,71.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Dylan Deveney,99692,TE,GA TECH,3,0,176,69.8,0,0,13,25.5,25.0,100.0,1,0,0,14,56,72.1,0,0,4,19.0,17.4,100.0,0,0,4,23
Chip Trayanum,131631,HB,ARIZONA ST,9,0,110,19.7,1,1,14,18.2,18.2,85.7,0,3,1,14,77,26.0,0,1,6,19.4,19.4,91.7,1,0,6,31
Jack Coco,62966,TE,GA TECH,5,0,176,77.4,0,0,12,48.0,50.0,100.0,0,0,0,14,28,,0,0,0,0.0,0.0,,0,0,0,6
Jaylon Bester,61430,HB,MIAMI OH,2,0,221,71.3,0,0,14,82.4,82.4,100.0,0,0,0,14,17,73.0,0,0,2,50.0,50.0,100.0,0,0,2,4
Khalan Griffin,129847,HB,RICE,12,0,275,42.0,0,1,13,22.4,23.7,96.2,0,1,0,14,59,23.1,0,0,2,18.2,25.0,100.0,0,0,3,12
DeAndre Hughes,101359,HB,AIR FORCE,10,0,101,49.8,0,2,14,15.2,14.7,92.9,0,2,0,14,95,27.1,0,1,4,8.3,8.0,87.5,1,0,4,50
Jake Orlando,102912,TE,UMASS,11,0,216,72.6,0,0,13,19.4,19.2,100.0,1,0,0,14,73,,0,0,0,0.0,0.0,,0,0,0,17
Keegan Cossou,55058,TE,C MICHIGAN,13,0,134,36.5,0,1,14,29.2,29.2,96.4,0,1,0,14,48,,0,0,0,0.0,0.0,,0,0,0,14
Zach Fryar,122015,TE,UTEP,13,0,330,47.6,0,0,12,40.0,38.9,100.0,1,0,0,14,36,72.2,0,0,3,42.9,36.4,100.0,0,0,4,11
JT Zakkak,124193,G,MISS STATE,1,0,227,70.0,0,0,14,100.0,100.0,100.0,0,0,0,14,14,78.3,0,0,8,100.0,100.0,100.0,0,0,8,8
Mike Lofton,123751,C,UCF,3,0,323,23.4,0,0,13,100.0,100.0,92.3,0,1,1,13,13,0.0,0,0,1,100.0,100.0,0.0,1,1,1,1
Johnny Ford,86854,HB,FAU,11,0,165,17.4,0,1,13,9.4,9.2,88.5,0,2,1,13,141,17.3,0,0,3,11.1,10.7,66.7,1,1,3,28
Mark Goode,123450,G,W KENTUCKY,4,0,346,51.0,0,0,12,100.0,100.0,100.0,0,0,0,13,13,74.2,0,0,1,100.0,100.0,100.0,0,0,2,2
Liam Ryan,59940,T,GA SOUTHRN,2,0,174,22.7,0,0,12,100.0,100.0,91.7,0,1,1,13,13,7.4,0,0,6,100.0,100.0,83.3,1,1,6,6
Chris Hughes,23029,G,KANSAS,3,0,198,81.1,0,0,13,100.0,100.0,100.0,0,0,0,13,13,80.0,0,0,7,100.0,100.0,100.0,0,0,7,7
Tommy McIntyre,91786,TE,SMU,10,0,287,62.0,0,2,12,15.0,15.5,91.7,0,2,0,13,84,,0,0,0,0.0,0.0,,0,0,0,19
Jager Burton,146741,G,KENTUCKY,3,0,202,20.3,0,0,13,100.0,100.0,92.3,0,1,1,13,13,0.0,0,0,1,100.0,100.0,0.0,1,1,1,1
Cody Lamb,55083,G,CINCINNATI,4,0,138,64.6,1,0,13,100.0,100.0,96.2,0,1,0,13,13,75.1,0,0,2,100.0,100.0,100.0,0,0,2,2
Caleb Driskill,128410,FB,WYOMING,10,0,351,80.4,0,0,13,48.1,48.1,100.0,0,0,0,13,27,75.0,0,0,3,100.0,100.0,100.0,0,0,3,3
Colin O'Brien,128424,TE,WYOMING,11,0,351,49.6,0,1,13,29.5,28.9,96.2,0,1,0,13,45,71.0,0,0,3,23.1,21.4,100.0,0,0,3,14
Jaylen Coleman,97624,HB,DUKE,9,0,154,59.9,0,1,12,41.4,38.2,95.8,0,1,0,13,34,28.5,0,1,3,75.0,75.0,83.3,1,0,3,4
Matthew Stefanski Jr.,131595,G,ARIZONA,1,0,109,32.3,0,1,12,100.0,100.0,95.8,0,1,0,13,13,25.1,0,1,7,100.0,100.0,92.9,1,0,7,7
Cole Caterbone,102943,WR,ARMY,12,0,114,52.6,0,1,12,24.0,24.1,95.8,0,1,0,13,54,17.7,0,1,1,9.1,9.1,50.0,1,0,1,11
