player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Makenzie McGill II,173209,HB,N TEXAS,7,18.0,0,251,71.9,57.2,47.5,0,2,26,23.0,23.0,96.2,1,2,0,37,0,0,0,206,28,122,0,0,9,0
Daniel Bray,199445,HB,UTAH,4,40.7,0,328,75.1,63.9,60.0,0,0,1,3.1,3.0,100.0,0,0,0,37,0,0,0,91,1,33,0,0,36,1
Trent Battle,144683,HB,TCU,8,21.4,0,305,77.3,62.3,72.2,0,1,22,23.2,23.5,93.2,1,2,1,36,0,0,0,168,24,102,0,0,12,1
Kahlee Tafai,171941,T,MINNESOTA,3,100.0,0,225,78.6,53.3,78.0,0,0,10,100.0,100.0,90.0,1,1,1,36,0,0,36,36,11,11,0,0,25,0
Jon Adair,200280,T,VIRGINIA,2,100.0,0,335,67.7,81.9,62.7,0,0,16,100.0,100.0,100.0,0,0,0,36,0,0,33,36,16,16,0,0,20,3
Kaelan Chudzinski,207814,TE,BOSTON COL,8,29.8,0,121,75.1,67.8,67.8,0,0,5,5.9,5.6,100.0,3,0,0,36,0,0,0,121,5,90,0,0,31,44
Grant Ellinger,183286,G,VIRGINIA,3,100.0,0,335,64.6,80.3,61.5,0,0,13,100.0,100.0,100.0,0,0,0,36,17,2,0,36,13,13,17,0,23,0
Si Stovall,181174,TE,LA MONROE,6,92.3,0,209,36.2,25.0,46.3,0,0,9,75.0,75.0,100.0,0,0,0,36,0,0,0,39,9,12,0,0,27,34
Derrick Avery Jr.,204904,WR,GA STATE,8,35.0,0,175,45.3,60.9,41.3,0,0,1,1.6,1.5,100.0,0,0,0,36,0,0,0,103,1,68,0,0,35,0
Chris Terek,171101,G,NOTRE DAME,4,100.0,0,258,51.7,20.9,54.1,0,2,11,100.0,100.0,90.9,0,2,0,36,0,0,0,36,12,12,35,0,24,0
Gavin Garcia,156916,HB,KENT STATE,8,17.8,0,201,63.5,58.3,52.4,0,1,18,19.4,20.6,97.2,1,1,0,36,0,0,0,202,20,97,0,0,16,0
Kelsey Johnson,158559,TE,BAYLOR,6,70.6,0,118,53.9,67.5,60.7,0,0,3,16.7,21.1,100.0,1,0,0,36,0,0,0,51,4,19,0,0,32,37
Naeer Jackson,156546,T,LOUISVILLE,2,100.0,1,210,62.4,53.8,63.1,0,1,13,100.0,100.0,96.2,1,1,0,36,0,0,0,36,15,15,0,36,21,0
Vic Cutler,98229,G,LOUISVILLE,2,100.0,0,210,53.1,83.8,46.8,0,0,16,100.0,100.0,100.0,0,0,0,36,0,9,0,36,19,19,27,0,17,0
Angel Flores,164493,QB,C MICHIGAN,8,20.8,0,134,79.2,,60.0,0,0,0,0.0,0.0,,2,0,0,36,0,0,0,173,0,37,0,0,36,0
Terion Stewart,130386,HB,VA TECH,6,26.9,0,337,75.2,81.0,51.3,0,0,10,19.2,19.2,100.0,1,0,0,36,0,0,0,134,10,52,0,0,26,0
Jae Beasley II,184203,TE,UNLV,6,83.7,0,325,56.6,72.2,57.4,0,0,10,58.8,58.8,100.0,0,0,0,36,0,0,0,43,10,17,0,0,26,35
Jevon Edwards,198291,HB,COAST CAR,7,36.4,0,141,60.0,57.8,44.6,0,0,10,25.6,27.9,90.0,1,1,1,36,0,0,0,99,12,43,0,0,24,0
Keyon Cox,174344,T,OREGON ST,1,100.0,0,265,86.5,82.4,82.4,0,0,11,100.0,100.0,100.0,0,0,0,36,0,0,36,36,12,12,0,0,24,0
CharMar Brown,174409,HB,MIAMI FL,7,21.8,0,220,75.6,85.4,47.0,0,0,12,16.7,16.2,100.0,0,0,0,36,0,0,0,165,12,74,0,0,24,0
Trent Ferguson,184843,T,OREGON,5,100.0,0,264,56.3,75.8,54.8,0,0,3,100.0,100.0,100.0,0,0,0,36,0,0,34,36,3,3,0,1,33,1
Michael Myslinski,144857,C,IOWA,4,100.0,0,192,59.7,78.3,57.9,0,0,10,100.0,100.0,100.0,0,0,0,36,36,0,0,36,10,10,0,0,26,0
Rayfield Lotten,175897,TE,SM HOUSTON,6,41.9,0,281,52.9,70.7,63.9,0,0,4,7.8,9.1,100.0,1,0,0,36,0,0,0,86,5,55,0,0,31,30
Dramodd Odoms,199161,T,SMU,3,100.0,0,287,43.8,7.4,55.5,1,0,19,100.0,100.0,92.1,0,2,1,36,0,0,35,36,20,20,0,0,16,1
Tre Averhart,166392,WR,LA TECH,5,72.0,0,208,61.5,63.9,58.3,0,0,1,7.1,6.7,100.0,0,0,0,36,0,0,0,50,1,15,0,0,35,0
Donovan Lewis,178135,WR,DELAWARE,3,33.7,0,151,69.0,,68.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,104,0,69,0,0,35,0
Dalton Carnes,173042,WR,N TEXAS,6,55.6,0,251,68.2,,66.1,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,63,0,28,0,0,35,0
Cam Barfield,162657,HB,HAWAII,8,22.7,0,180,66.3,38.4,60.0,1,1,31,28.4,28.6,96.8,1,2,0,35,0,0,0,154,32,112,0,0,3,0
Logan Muckey,124972,WR,MISSOURI,5,94.6,0,229,60.1,,62.9,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,37,0,2,0,0,35,2
Jadon Porter,184818,WR,BAYLOR,7,53.0,0,118,57.6,,49.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,66,0,31,0,0,35,0
Max Ware,163277,WR,HAWAII,7,29.7,0,180,49.0,,61.8,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,118,0,83,0,0,35,0
Nolan Ray,170203,HB,MARYLAND,7,21.6,0,215,69.0,55.3,58.7,0,1,26,26.0,26.2,98.1,0,1,0,35,0,0,0,162,27,103,0,0,8,0
Trey Kukuk,198675,QB,LA TECH,5,30.2,0,208,68.4,,60.0,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,116,0,53,0,0,35,0
Tyler Johnson,164176,WR,E CAROLINA,6,43.8,0,156,52.1,,60.3,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,80,0,45,0,0,35,0
Jer'Michael Carter,172737,WR,OKLAHOMA,8,49.3,0,261,53.8,,72.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,71,0,36,0,0,35,0
James Bomba,130512,TE,INDIANA,5,89.7,0,190,66.8,66.9,70.2,0,0,3,42.9,42.9,100.0,0,0,0,35,0,0,0,39,3,7,0,0,32,29
Kaylon Miller,183623,G,USC,4,100.0,0,326,59.5,70.8,57.0,0,1,16,100.0,100.0,96.9,0,1,0,35,0,14,0,35,17,17,20,0,18,1
Juelz Goff,183271,HB,PITTSBURGH,8,16.9,0,268,66.9,18.1,58.2,0,5,21,15.9,16.4,88.1,0,5,0,35,0,0,0,207,23,140,0,0,12,0
Nate Kibble,190247,G,TEXAS,2,100.0,0,311,61.5,80.3,59.4,0,1,10,100.0,100.0,95.0,0,1,0,35,0,0,0,35,10,10,35,0,25,0
JP Benzschawel,145164,G,WISCONSIN,2,100.0,0,349,54.5,83.6,47.2,0,0,18,100.0,100.0,100.0,0,0,0,35,0,12,0,35,18,18,22,0,17,1
Lofton Howard,173439,TE,W KENTUCKY,5,47.9,0,346,49.8,70.1,55.9,0,0,4,10.8,11.6,100.0,0,0,0,35,0,0,0,73,5,43,0,0,30,46
Anthony Woods,158969,HB,UCLA,7,20.2,0,324,70.9,39.6,83.2,0,5,22,20.2,20.3,88.6,0,5,0,35,0,0,0,173,24,118,0,0,11,1
Kory Pettigrew,199436,WR,USF,4,63.6,0,327,70.5,65.5,74.3,0,0,1,5.0,4.8,100.0,0,0,0,35,0,0,0,55,1,21,0,0,34,2
Micah Woods,171218,WR,S ALABAMA,8,52.2,0,288,58.6,,35.1,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,67,0,31,0,0,35,0
Leon Haughton Jr.,162793,TE,MARYLAND,4,50.7,0,215,52.5,28.2,59.0,1,0,2,5.6,8.1,75.0,0,1,0,35,0,0,0,69,3,37,0,0,32,47
Connor Carty,199312,G,TEXAS TECH,3,100.0,0,315,52.1,27.2,54.1,0,1,13,100.0,100.0,96.2,0,1,0,35,0,0,0,35,15,15,35,0,20,0
Dillon Newton-Short,200284,WR,VIRGINIA,6,58.3,0,335,66.5,,61.0,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,60,0,25,0,0,35,0
Brandon Phelps,183731,WR,ARIZONA,5,39.3,0,109,58.2,,62.9,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,89,0,54,0,0,35,0
Luke Wysong,146110,WR,ARIZONA,7,29.2,0,109,70.0,,55.1,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,120,0,84,0,0,35,1
Jordan McDonald,158449,HB,BOSTON COL,8,19.2,0,121,68.5,43.2,67.7,0,3,26,25.0,24.8,90.4,0,4,1,35,0,0,0,182,26,105,0,0,9,0
Justin Ruffin Jr.,198249,WR,C MICHIGAN,8,45.5,0,134,63.1,,41.4,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,77,0,41,0,0,35,0
Brandon Ramirez,173514,FB,FRESNO ST,8,40.7,0,169,79.3,30.0,65.4,0,1,6,21.4,20.7,91.7,0,1,0,35,0,0,0,86,6,29,0,0,29,1
Caleb Hawkins,199001,HB,N TEXAS,7,13.9,0,251,87.7,29.5,58.5,0,1,17,12.3,13.1,85.3,0,3,2,35,0,0,0,252,19,145,0,0,16,0
Linkon Cure,204094,WR,KANSAS ST,5,53.8,0,199,54.0,,49.5,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,65,0,30,0,0,35,0
Jayden Limar,174130,HB,OREGON,6,23.6,0,264,70.9,68.2,53.3,0,1,15,18.8,18.1,96.7,1,1,0,34,0,0,0,144,15,83,0,0,19,0
