player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Will Miles,189505,TE,NAVY,2,0,237,57.0,100.0,6,50.0,6,55.8,0,100.0,12,12,,,0,0.0,0
Jake Polito,189512,C,NAVY,1,0,237,58.1,100.0,7,58.3,7,56.8,0,100.0,12,12,,,0,0.0,0
Malachi Thomas,189541,TE,PITTSBURGH,2,0,268,46.9,100.0,7,58.3,7,44.6,0,100.0,12,12,52.9,100.0,4,33.3,4
Lysander Moeolo,176034,G,TEXAS ST,2,0,314,60.0,100.0,1,8.3,1,57.7,0,100.0,12,12,57.4,100.0,8,66.7,8
TJ Starks,188361,WR,ARK STATE,2,0,113,60.0,100.0,2,16.7,2,60.9,0,100.0,12,12,60.5,100.0,9,75.0,9
TJ McMillen,174029,C,ILLINOIS,2,0,187,66.8,100.0,3,25.0,3,74.0,0,100.0,12,12,70.6,100.0,5,41.7,5
Chris Lawson,199517,WR,WASHINGTON,1,0,340,60.0,100.0,1,8.3,1,59.5,0,100.0,12,12,59.5,100.0,11,91.7,11
Zarian Simms,175265,T,NAVY,1,0,237,55.0,100.0,7,58.3,7,53.2,0,100.0,12,12,,,0,0.0,0
Jayden Ballard,145054,WR,WISCONSIN,2,0,349,60.0,100.0,3,25.0,3,59.2,0,100.0,12,12,58.9,100.0,8,66.7,8
Nick Townsend,205406,TE,TEXAS,2,0,311,43.1,100.0,8,66.7,8,49.3,0,100.0,12,12,67.6,100.0,3,25.0,3
Toric Goins Jr.,199470,WR,UTEP,2,0,330,60.0,100.0,3,25.0,3,56.5,0,100.0,12,12,61.0,100.0,8,66.7,8
KJ Parker,189691,WR,IOWA,2,0,192,60.0,100.0,3,25.0,3,61.7,0,100.0,12,12,61.0,100.0,7,58.3,7
Malachi Hosley,177483,HB,GA TECH,2,0,176,56.6,50.0,8,66.7,16,55.3,0,42.9,12,28,60.0,20.0,1,8.3,5
Nolan Hay,161411,C,S CAROLINA,1,0,289,64.8,100.0,10,83.3,10,60.2,0,100.0,12,12,56.2,100.0,2,16.7,2
Josh Schuetzmann,184336,T,DOMINION,1,0,263,55.2,100.0,4,33.3,4,54.2,0,100.0,12,12,56.5,100.0,5,41.7,5
Oscar Adaway III,100835,HB,S CAROLINA,2,0,289,69.7,37.5,6,50.0,16,78.2,0,36.4,12,33,60.0,15.4,2,16.7,13
Nick Sharpe,144205,G,S CAROLINA,1,0,289,62.1,100.0,10,83.3,10,61.8,0,100.0,12,12,59.9,100.0,2,16.7,2
Dasheen Jackson,172351,WR,DELWARE ST,1,0,152,,,0,0.0,0,62.1,0,100.0,12,12,61.9,100.0,11,91.7,11
Davis Dalton,163558,WR,SO MISS,2,0,296,60.0,100.0,2,16.7,2,62.0,0,100.0,12,12,61.6,100.0,10,83.3,10
Elijah Hoskin,156833,C,DOMINION,1,0,263,59.3,100.0,4,33.3,4,50.8,0,100.0,12,12,59.1,100.0,5,41.7,5
Preston Fox,123418,WR,W VIRGINIA,2,0,343,60.4,100.0,6,50.0,6,61.1,0,100.0,12,12,60.3,100.0,4,33.3,4
Tony Johnson,145189,WR,MIAMI FL,2,0,220,81.5,100.0,7,58.3,7,88.7,0,100.0,12,12,60.2,100.0,5,41.7,5
George Pettaway,156351,HB,JAMES MAD,2,0,197,56.9,53.8,7,58.3,13,55.8,0,44.4,12,27,,0.0,0,0.0,9
Hank Brown,172439,QB,IOWA,1,0,192,60.0,100.0,2,16.7,2,60.0,0,80.0,12,15,60.0,83.3,10,83.3,12
Dominic Rulli,164183,C,PENN STATE,2,0,266,58.7,100.0,9,75.0,9,57.3,0,100.0,12,12,58.6,100.0,2,16.7,2
Carson Bruno,145245,G,TCU,1,0,305,63.6,100.0,9,75.0,9,61.6,0,100.0,12,12,59.8,100.0,2,16.7,2
Lucky Sutton,158807,HB,S DIEGO ST,2,0,284,55.9,24.1,7,58.3,29,55.9,0,24.0,12,50,59.7,20.0,4,33.3,20
Cam Fancher,145266,QB,UCF,1,0,323,60.0,100.0,3,25.0,3,60.0,0,85.7,12,14,60.0,81.8,9,75.0,11
Reese Poffenbarger,145346,QB,N TEXAS,1,0,251,60.0,100.0,6,50.0,6,60.0,0,70.6,12,17,60.0,66.7,6,50.0,9
Rasheed Jackson,172954,G,TCU,1,0,305,57.4,100.0,5,41.7,5,57.3,0,100.0,12,12,58.7,100.0,6,50.0,6
