player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Cole Smith,99094,G,MISS STATE,13,0,227,71.6,2,13,656,100.0,100.0,98.7,0,16,1,694,694,33.5,2,9,168,100.0,100.0,96.1,12,1,176,176
Dennis Wilburn,157314,C,TEXAS TECH,13,0,315,50.2,3,33,665,100.0,100.0,97.0,1,38,2,687,687,47.4,0,13,220,100.0,100.0,96.1,15,2,226,226
Caleb Rogers,123157,T,TEXAS TECH,13,1,315,63.0,2,32,665,100.0,100.0,95.2,1,49,15,687,687,57.0,1,17,220,100.0,100.0,91.8,27,9,226,226
Nick Jones,146837,T,MISS STATE,13,0,227,75.7,5,7,646,100.0,100.0,98.3,0,17,5,683,683,68.1,4,1,166,100.0,100.0,95.5,10,5,174,174
Rusty Staats,81941,C,W KENTUCKY,14,1,346,82.2,1,7,651,100.0,100.0,99.2,2,9,1,683,683,73.4,0,3,150,100.0,100.0,99.0,3,0,161,161
Gunner Britton,81937,T,W KENTUCKY,14,0,346,84.0,2,5,651,100.0,100.0,99.0,0,10,3,683,683,60.6,2,4,150,100.0,100.0,96.0,9,3,161,161
Vincent Murphy,99046,G,W KENTUCKY,14,0,346,75.7,2,12,651,100.0,100.0,98.9,1,14,0,683,683,61.8,1,6,150,100.0,100.0,97.7,7,0,161,161
Quantavious Leslie,123456,G,W KENTUCKY,14,1,346,82.7,2,10,642,100.0,100.0,98.9,1,13,1,671,671,66.5,1,7,147,100.0,100.0,97.3,8,0,157,157
Ed Montilus,77353,G,N CAROLINA,14,1,245,52.3,6,20,642,100.0,100.0,97.2,2,31,5,669,669,44.3,2,13,201,100.0,100.0,94.8,18,3,207,207
Corey Gaynor,59844,C,N CAROLINA,14,1,245,71.8,1,10,641,100.0,100.0,98.8,2,13,2,668,668,58.7,0,6,201,100.0,100.0,97.5,8,2,207,207
Asim Richards,99674,T,N CAROLINA,14,0,245,75.5,2,15,640,100.0,100.0,98.2,1,20,3,667,667,67.5,1,8,201,100.0,100.0,96.3,12,3,207,207
Logan Langemeier,108708,C,GA SOUTHRN,13,0,174,69.9,7,12,628,100.0,100.0,98.5,2,19,0,659,659,70.9,0,4,113,100.0,100.0,98.2,4,0,119,119
Khalil Crowder,78240,G,GA SOUTHRN,13,1,174,73.2,3,9,628,100.0,100.0,99.0,1,12,0,659,659,67.1,0,2,113,100.0,100.0,99.1,2,0,119,119
Caleb Kelly,59709,T,GA SOUTHRN,13,1,174,72.0,3,13,606,100.0,100.0,98.7,1,16,0,636,636,68.9,1,5,104,100.0,100.0,97.1,6,0,110,110
Spencer Rolland,108693,T,N CAROLINA,13,0,245,66.2,2,35,608,100.0,100.0,96.0,0,43,6,632,632,66.9,1,17,192,100.0,100.0,94.8,19,1,198,198
Caleb Etienne,144643,T,OKLA STATE,13,0,262,65.0,6,17,585,100.0,100.0,97.9,2,24,1,619,619,33.0,4,12,143,100.0,100.0,93.7,17,1,154,154
Konner Gomness,100542,C,WASH STATE,13,0,341,74.3,1,16,592,100.0,100.0,98.2,2,19,2,617,617,74.1,1,6,185,100.0,100.0,97.6,8,1,194,194
Christian Hilborn,146501,G,WASH STATE,13,1,341,53.4,3,26,590,100.0,100.0,96.7,1,34,5,615,615,27.0,2,13,185,100.0,100.0,93.2,20,5,194,194
Brian Miller,56358,T,GA SOUTHRN,12,0,174,62.8,8,19,582,100.0,100.0,97.3,1,29,2,612,612,42.1,4,9,97,100.0,100.0,92.3,14,1,103,103
Roger Rosengarten,131912,T,WASHINGTON,13,0,340,78.5,2,15,575,100.0,100.0,98.5,2,17,0,610,610,78.2,1,6,199,100.0,100.0,98.2,7,0,212,212
Jack Freeman,77435,C,HOUSTON,13,1,182,76.8,0,14,579,100.0,100.0,98.4,4,16,2,610,610,71.9,0,9,209,100.0,100.0,97.4,10,1,222,222
Jonah Monheim,86461,T,USC,14,2,326,85.1,0,21,569,100.0,100.0,98.2,4,21,0,608,608,78.1,0,15,164,100.0,100.0,95.4,15,0,185,185
Troy Fautanu,100521,T,WASHINGTON,13,1,340,79.2,2,13,574,100.0,100.0,98.7,6,15,0,608,608,76.7,1,7,199,100.0,100.0,98.0,8,0,212,212
Ahofitu Maka,100803,C,UTSA,14,0,331,72.1,0,22,569,100.0,100.0,97.9,0,23,1,600,600,54.0,0,11,125,100.0,100.0,95.6,11,0,135,135
Weston Wright,77494,G,TEXAS TECH,12,0,315,57.3,3,17,575,100.0,100.0,97.6,1,24,4,595,595,34.3,1,10,177,100.0,100.0,94.6,15,4,182,182
Patrick Paul,101019,T,HOUSTON,13,0,182,91.1,3,14,565,100.0,100.0,98.3,4,18,1,595,595,86.1,2,8,204,100.0,100.0,97.5,10,0,217,217
LaQuinston Sharp,99095,C,MISS STATE,12,0,227,77.8,1,11,560,100.0,100.0,98.9,1,12,0,594,594,68.3,0,5,131,100.0,100.0,98.1,5,0,136,136
Matt Dale,98648,T,MEMPHIS,13,0,218,74.6,3,21,554,100.0,100.0,97.1,0,28,4,591,591,73.3,2,14,214,100.0,100.0,95.3,18,2,228,228
Jacob Likes,101023,C,MEMPHIS,13,0,218,74.0,3,5,554,100.0,100.0,98.2,0,14,6,591,591,59.8,1,2,214,100.0,100.0,97.0,8,5,228,228
Eric Miller,52938,T,PURDUE,14,0,273,58.1,4,18,553,100.0,100.0,97.3,0,26,4,587,587,41.1,2,9,161,100.0,100.0,94.1,15,4,169,169
Kameron Jones,81739,T,MISS STATE,12,2,227,65.9,4,22,550,100.0,100.0,97.1,5,29,3,586,586,55.5,2,11,150,100.0,100.0,94.3,15,2,158,158
William Barnes,77356,G,N CAROLINA,13,0,245,57.2,2,23,562,100.0,100.0,97.4,0,27,2,586,586,51.1,0,11,173,100.0,100.0,96.2,12,1,178,178
Cam'Ron Johnson,101018,G,HOUSTON,13,1,182,79.4,2,10,556,100.0,100.0,98.7,5,13,1,586,586,81.5,0,3,206,100.0,100.0,98.8,4,1,219,219
Nate Williams,130322,T,AKRON,12,0,102,74.5,2,20,556,100.0,100.0,97.1,2,27,5,583,583,75.2,1,15,297,100.0,100.0,96.3,19,3,308,308
Luke Haggard,129442,T,INDIANA,12,1,190,72.8,7,10,539,100.0,100.0,97.9,1,20,3,573,573,72.4,4,6,193,100.0,100.0,96.4,12,2,209,209
Mike Katic,101575,G,INDIANA,12,0,190,71.3,3,7,539,100.0,100.0,98.3,0,14,4,573,573,66.0,2,6,193,100.0,100.0,96.4,11,3,209,209
Grant Stephens,63524,G,WASH STATE,13,1,341,74.6,2,19,549,100.0,100.0,97.7,3,23,2,573,573,67.9,1,13,169,100.0,100.0,95.3,15,1,177,177
Vinny Sciury,130632,G,TOLEDO,14,2,316,61.8,0,20,543,100.0,100.0,97.8,5,22,2,570,570,46.6,0,13,174,100.0,100.0,95.7,14,1,185,185
DeVonte Gordon,98391,T,WAKE,13,0,339,80.7,2,16,536,100.0,100.0,97.6,3,22,4,570,570,79.3,1,7,205,100.0,100.0,96.1,12,4,216,216
Anthony Pardue,81819,C,S JOSE ST,12,0,285,65.0,2,12,536,100.0,100.0,98.3,1,16,2,569,569,39.2,1,5,158,100.0,100.0,96.8,8,2,167,167
Fernando Carmona,146185,T,S JOSE ST,12,0,285,67.4,3,20,536,100.0,100.0,97.3,3,26,3,569,569,49.5,2,15,158,100.0,100.0,93.4,19,2,167,167
Bula Schmidt,97646,C,FRESNO ST,14,0,169,59.2,2,14,534,100.0,100.0,97.9,2,19,3,566,566,52.2,0,6,191,100.0,100.0,96.9,9,3,204,204
Pichon Wimbley,158371,G,GA SOUTHRN,13,0,174,69.5,6,14,538,100.0,100.0,98.0,0,21,1,566,566,40.1,1,9,99,100.0,100.0,94.9,10,0,105,105
Justin Dedich,83018,G,USC,13,1,326,90.0,0,11,527,100.0,100.0,99.0,1,11,0,564,564,83.8,0,5,150,100.0,100.0,98.3,5,0,170,170
Nick Rosi,77511,T,TOLEDO,14,1,316,77.8,1,13,536,100.0,100.0,98.5,2,15,1,562,562,74.4,0,8,171,100.0,100.0,97.1,9,1,181,181
Branson Hickman,121928,C,SMU,12,0,287,78.8,1,6,529,100.0,100.0,99.1,1,8,1,562,562,77.1,0,4,162,100.0,100.0,98.1,5,1,178,178
Sean Maginn,55446,G,WAKE,13,1,339,66.1,4,16,527,100.0,100.0,97.5,3,23,3,560,560,51.4,4,9,202,100.0,100.0,95.3,16,3,213,213
Austin Hopp,65055,T,HAWAII,13,2,180,51.3,11,33,534,99.8,99.8,95.3,6,47,3,559,560,39.4,8,27,222,100.0,100.0,92.1,35,0,234,234
Ilm Manning,75852,T,HAWAII,13,1,180,71.2,5,14,530,99.8,99.8,97.3,6,24,5,555,556,63.5,4,6,221,100.0,100.0,95.9,14,4,233,233
Loic Ngassam Nya,55442,G,WAKE,13,1,339,80.0,0,10,521,100.0,100.0,98.7,2,12,2,555,555,82.9,0,4,197,100.0,100.0,98.5,5,1,208,208
