player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kenny Pickett,60515,QB,PITTSBURGH,1,-13.33,0,64,268,74.0,50,51,10.3,3.12,0,3,5.8,70.6,36,18,2.7,60,93.8,1,23,,,,70.4,80.7,77.5,84.3,59.8,51.9,,0,2,63,22.2,105.9,6.7,4,5,0,1,3,2,3.2,511,10.0,77.3,44,45,8.7,2.86,0,3,6.5,73.3,33,13,2.9,52,81.3,1,20,,,,70.0,87.6,77.1,89.7,59.8,55.9,,0,1,55,30.8,110.3,7.7,4,3,0,1,2,1,1.8,449,10.0,66.7,9,10,13.2,3.76,0,0,0.0,60.0,6,5,0.0,12,18.8,0,4,,,,65.8,49.8,70.7,54.0,,53.1,,0,1,12,0.0,75.0,0.0,0,2,0,1,1,1,8.3,70,7.0,0,100.0,3,4,-4.7,1.65,0,0,0.0,75.0,3,0,0.0,4,6.3,0,1,,,,63.3,61.6,67.4,61.4,,,,0,0,4,,77.1,0.0,0,0,0,1,0,0,0.0,8,2.0,-2.98
Sean Clifford,51708,QB,PENN STATE,1,4.87,0,56,266,78.1,32,39,9.8,2.86,2,2,4.8,56.4,22,20,12.0,43,76.8,3,16,,,,48.4,75.9,77.1,73.9,,65.9,,1,1,46,20.0,76.5,9.3,4,0,0,4,1,1,2.2,277,7.1,89.7,29,35,5.5,2.54,2,1,2.6,65.7,23,16,11.5,39,69.6,3,12,,,,46.9,74.0,76.8,71.8,,65.9,,0,0,42,25.0,83.5,10.3,4,0,0,4,0,0,0.0,224,6.4,75.0,16,17,8.0,2.53,0,1,5.9,70.6,12,6,0.0,17,30.4,0,8,,,,66.7,73.8,71.8,73.2,,,,1,1,17,0.0,89.6,0.0,0,0,0,0,1,1,5.9,137,8.1,0,100.0,13,13,-1.8,1.48,0,0,0.0,100.0,13,2,0.0,13,23.2,0,4,,,,66.0,68.9,71.0,68.6,,,,0,0,13,0.0,93.6,0.0,0,0,0,0,0,0,0.0,84,6.5,1.66
Ethan Garbers,131896,QB,UCLA,1,6.14,0,55,324,72.2,36,39,8.4,3.06,2,3,7.3,56.4,22,16,15.4,50,90.9,4,14,,,,70.5,73.6,77.5,73.4,,62.8,,0,1,52,12.5,80.1,4.0,2,9,0,1,2,1,1.9,230,5.9,72.2,36,38,6.3,2.91,2,2,5.0,60.5,23,12,11.5,47,85.5,3,14,,,,70.4,71.1,77.3,67.7,,67.1,,0,1,49,16.7,80.0,4.3,2,7,0,0,2,1,2.0,191,5.0,100.0,5,6,11.2,2.88,0,1,16.7,66.7,4,4,20.0,8,14.5,1,3,,,,64.9,75.2,69.5,86.3,,52.7,,0,0,8,0.0,109.0,0.0,0,2,0,1,0,0,0.0,74,12.3,0,100.0,5,5,-4.0,1.44,0,0,0.0,100.0,5,0,0.0,5,9.1,0,3,,,,63.8,65.1,68.1,64.8,,,,0,0,5,,95.8,0.0,0,0,0,0,0,0,0.0,35,7.0,7.3
Carson Strong,83524,QB,NEVADA,1,5.0,0,51,239,83.8,37,41,8.1,2.75,0,2,4.7,73.2,30,12,3.2,42,82.4,1,20,,,,69.3,79.2,20.5,81.5,,57.3,,0,1,44,0.0,120.8,0.0,0,1,0,4,4,1,2.3,348,8.5,85.0,40,44,6.1,2.52,0,1,2.2,75.0,33,11,2.9,46,90.2,1,20,,,,69.5,73.0,22.4,75.1,,57.3,,0,1,48,9.1,111.8,2.2,1,1,0,4,3,1,2.1,359,8.2,80.0,5,5,8.0,2.68,0,1,20.0,80.0,4,1,0.0,5,9.8,0,3,,,,63.8,85.7,68.1,85.0,,,,0,0,5,0.0,154.6,0.0,0,0,0,0,1,0,0.0,58,11.6,0,87.5,8,8,-2.0,1.53,0,0,0.0,87.5,7,0,0.0,9,17.6,0,3,,,,65.1,60.2,69.8,60.0,,,,0,0,9,,102.6,11.1,1,0,0,0,0,0,0.0,69,8.6,3.44
Gavin Hardison,100827,QB,UTEP,1,31.41,0,51,330,53.8,39,42,17.3,2.91,1,2,4.5,42.9,18,7,14.3,46,90.2,3,11,,,,70.3,57.5,25.5,53.8,,74.7,,0,2,49,42.9,54.9,6.5,3,1,1,1,1,3,6.1,292,7.0,52.8,36,39,14.9,2.8,1,2,5.0,43.6,17,7,10.5,43,84.3,2,10,,,,70.1,55.2,23.9,50.9,,74.7,,0,2,45,42.9,60.4,7.0,3,1,1,1,2,3,6.7,246,6.3,87.5,8,8,15.0,2.83,0,0,0.0,75.0,6,1,14.3,8,15.7,1,3,,,,65.1,70.3,69.8,69.9,,,,0,0,9,0.0,110.9,0.0,0,0,0,0,0,0,0.0,89,11.1,0,100.0,5,5,-3.8,1.84,0,0,0.0,100.0,5,1,0.0,5,9.8,0,2,,,,63.8,65.7,68.1,65.5,,,,0,0,5,0.0,142.1,0.0,0,0,0,0,1,0,0.0,43,8.6,4.82
Bailey Zappe,60396,QB,W KENTUCKY,1,2.27,0,48,346,79.4,34,34,12.2,2.77,0,2,5.1,67.6,23,5,14.8,37,77.1,4,17,,,,69.6,81.0,21.5,82.2,60.0,62.8,,0,2,42,0.0,114.8,0.0,0,3,0,0,4,2,4.8,340,10.0,78.8,33,33,10.1,2.38,0,2,5.3,72.7,24,3,7.7,35,72.9,2,15,,,,69.5,74.3,20.5,76.7,60.0,58.1,,0,1,40,0.0,128.4,0.0,0,2,0,0,4,2,5.0,307,9.3,100.0,11,12,4.5,2.51,0,0,0.0,75.0,9,2,18.2,13,27.1,2,6,,,,66.0,85.9,71.0,82.3,,64.1,,0,1,13,0.0,59.0,0.0,0,1,0,1,0,0,0.0,84,7.0,0,100.0,10,11,-3.3,1.22,0,0,0.0,90.9,10,0,0.0,11,22.9,0,4,,,,65.6,66.3,70.4,65.9,,,,0,0,11,,86.0,0.0,0,0,0,1,0,0,0.0,51,4.6,-2.3
Clayton Tune,77652,QB,HOUSTON,1,0.46,0,48,182,83.9,31,35,13.4,3.26,2,3,7.9,68.6,24,12,7.7,44,91.7,2,16,,,,69.5,84.7,77.2,90.7,,45.7,,0,0,47,25.0,142.8,6.8,3,6,1,1,4,0,0.0,382,10.9,88.9,27,31,8.4,3.13,2,1,2.9,71.0,22,11,8.3,38,79.2,2,13,,,,69.1,79.1,76.8,85.9,,47.5,,0,0,41,18.2,127.9,5.3,2,5,1,1,3,0,0.0,256,8.3,71.4,7,7,25.7,3.44,0,2,28.6,71.4,5,2,0.0,10,20.8,0,5,,,,65.4,82.2,70.1,90.1,,53.1,,0,0,10,50.0,153.3,10.0,1,2,0,0,1,0,0.0,156,22.3,0,100.0,3,3,-2.0,2.48,0,0,0.0,100.0,3,1,0.0,4,8.3,0,2,,,,63.3,59.2,67.4,63.9,,57.8,,0,0,4,0.0,108.3,0.0,0,1,0,0,0,0,0.0,30,10.0,14.03
Aidan O'Connell,60516,QB,PURDUE,1,-16.67,0,48,273,79.5,39,41,7.4,2.54,0,1,2.4,75.6,31,14,0.0,44,91.7,0,17,,,,70.6,72.3,77.6,72.3,,58.2,,0,0,45,14.3,104.4,4.5,2,1,0,2,2,1,2.2,227,5.5,87.0,23,24,3.4,2.08,0,0,0.0,83.3,20,5,0.0,25,52.1,0,7,,,,69.5,69.4,76.5,69.7,,58.2,,0,0,25,0.0,101.2,0.0,0,1,0,1,1,1,4.0,119,5.0,70.0,20,21,9.9,2.83,0,1,4.5,66.7,14,9,0.0,23,47.9,0,10,,,,67.6,71.6,73.0,71.0,,,,0,0,24,22.2,96.1,8.7,2,0,0,1,1,0,0.0,114,5.4,0,75.0,4,4,-3.3,1.35,0,0,0.0,75.0,3,0,0.0,4,8.3,0,0,,,,63.3,64.9,67.4,64.7,,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,6,1.5,0.47
Cade McNamara,101620,QB,MICHIGAN,1,4.76,0,47,222,73.8,42,45,9.8,2.39,2,3,6.4,62.2,28,19,9.7,47,100.0,3,17,,,,69.6,77.3,77.0,76.3,,62.0,,0,1,49,0.0,95.0,0.0,0,2,0,1,2,1,2.0,383,8.5,74.4,39,42,9.8,2.22,2,3,6.8,61.9,26,17,10.3,42,89.4,3,15,,,,69.3,79.1,76.8,78.2,,,,0,1,44,0.0,96.4,0.0,0,0,0,1,2,1,2.3,371,8.8,66.7,3,3,10.0,3.78,0,0,0.0,66.7,2,2,0.0,5,10.6,0,2,,,,63.8,57.7,68.1,53.6,,62.0,,0,0,5,0.0,74.3,0.0,0,2,0,0,0,0,0.0,12,4.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.83
Cameron Friel,146195,QB,UNLV,1,12.93,0,47,325,77.4,31,33,10.2,2.82,1,1,2.9,57.6,19,23,20.8,39,83.0,5,12,,,,69.1,67.5,76.3,68.0,,57.3,,0,3,41,21.7,50.8,12.8,5,1,0,1,1,4,9.8,226,6.8,82.1,28,29,5.5,2.43,0,0,0.0,62.1,18,17,21.7,33,70.2,5,7,,,,68.6,67.1,75.9,66.3,,,,0,2,35,23.5,46.5,12.1,4,0,0,1,0,2,5.7,149,5.1,81.8,11,12,12.9,2.84,1,1,8.3,75.0,9,6,0.0,14,29.8,0,7,,,,66.2,67.3,71.2,69.5,,57.3,,0,1,14,16.7,116.0,7.1,1,1,0,0,2,2,14.3,134,11.2,0,100.0,8,8,-2.8,1.25,0,0,0.0,100.0,8,0,0.0,8,17.0,0,2,,,,64.9,67.1,69.5,66.8,,,,0,0,8,,135.9,0.0,0,0,0,0,1,0,0.0,57,7.1,6.03
