player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jeff Undercuffler,78501,QB,AKRON,1,-2.16,0,52,102,66.7,36,39,9.0,2.79,1,1,2.3,53.8,21,16,12.5,44,84.6,3,13,69.6,51.1,76.8,51.7,55.4,0,2,49,25.0,68.3,9.1,4,1,0,2,2,2,4.1,240,6.2,72.2,36,37,5.9,2.43,1,1,2.6,62.2,23,11,11.5,40,76.9,3,10,69.1,51.2,76.4,50.7,60.0,0,2,42,27.3,61.2,7.5,3,0,0,0,1,2,4.8,185,5.0,75.0,8,10,11.4,3.1,0,0,0.0,60.0,6,5,0.0,12,23.1,0,3,66.4,60.8,71.4,63.0,57.3,0,0,15,20.0,114.2,8.3,1,1,0,2,1,0,0.0,69,6.9,0,100.0,8,8,-2.6,1.49,0,0,0.0,100.0,8,0,0.0,8,15.4,0,0,64.9,67.2,69.5,66.9,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,14,1.8,1.9
Cole Snyder,97617,QB,BUFFALO,1,10.0,0,48,126,65.8,38,43,11.3,2.63,1,3,6.0,51.2,22,17,12.0,47,97.9,3,12,45.1,77.9,77.3,82.6,50.2,0,1,54,11.8,84.0,4.3,2,2,0,4,3,0,0.0,265,6.2,64.5,31,34,11.2,2.54,0,2,5.4,50.0,17,14,15.0,36,75.0,3,10,39.2,73.0,76.5,80.3,45.6,0,1,39,7.1,85.5,2.8,1,1,0,3,3,0,0.0,201,5.9,75.0,8,10,9.8,2.73,1,1,7.1,60.0,6,3,0.0,12,25.0,0,2,66.5,80.1,71.6,76.7,64.3,0,0,16,33.3,78.3,8.3,1,1,0,1,0,0,0.0,63,6.3,0,100.0,1,1,-4.0,0.6,0,0,0.0,100.0,1,0,0.0,1,2.1,0,0,60.3,60.8,63.6,60.6,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0,0.39
Ryan Jankowski,145600,QB,AKRON,1,0.0,0,1,102,0.0,1,1,18.0,3.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,60.3,53.5,63.6,53.7,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,18.0,3.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,60.3,53.5,63.6,53.7,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
