player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Riley Leonard,143862,QB,NOTRE DAME,1,-70.97,0,35,258,72.7,22,25,9.0,3.12,0,2,6.9,64.0,16,10,0.0,29,82.9,0,10,73.7,77.5,76.1,73.1,57.2,70.7,2,0,33,20.0,121.8,6.9,2,2,0,1,2,0,0.0,238,9.5,78.6,28,31,6.6,2.92,0,2,5.6,71.0,22,11,0.0,34,97.1,0,11,73.7,76.6,76.4,73.3,,68.8,2,0,39,18.2,117.0,5.9,2,1,0,1,2,0,0.0,255,8.2,,0,0,,2.7,0,0,,,0,0,,1,2.9,0,0,60.3,68.5,65.5,,57.2,64.1,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,100.0,6,6,-2.3,1.92,0,0,0.0,100.0,6,1,0.0,6,17.1,0,1,64.6,65.5,69.1,65.3,,,0,0,7,0.0,79.2,0.0,0,0,0,0,0,0,0.0,17,2.8,-8.23
Will Howard,122599,QB,OHIO STATE,1,28.57,0,25,260,82.4,17,17,10.2,3.02,0,1,5.3,82.4,14,6,0.0,21,84.0,0,11,73.3,90.2,76.3,88.8,,72.3,0,0,23,33.3,152.5,9.5,2,2,0,0,2,0,0.0,190,11.2,71.4,14,14,9.7,2.79,0,1,6.7,71.4,10,4,0.0,17,68.0,0,10,73.3,86.9,76.0,83.0,,72.3,0,0,18,25.0,131.8,5.9,1,2,0,0,1,0,0.0,156,11.1,100.0,7,7,4.1,2.66,0,0,0.0,100.0,7,2,0.0,8,32.0,0,2,65.1,77.1,69.8,76.6,,,0,0,9,50.0,150.9,12.5,1,0,0,0,1,0,0.0,75,10.7,0,75.0,4,4,-2.0,1.33,0,0,0.0,75.0,3,0,0.0,4,16.0,0,1,63.3,57.6,67.4,57.5,,,0,0,4,,107.3,0.0,0,0,0,0,0,0,0.0,41,10.3,-0.43
Steve Angeli,156966,QB,NOTRE DAME,1,0.0,0,1,258,100.0,1,1,5.0,2.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,60.3,54.9,60.0,52.7,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,5.0,2.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,60.3,54.9,60.0,52.7,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
