player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Ben Finley,122864,QB,AKRON,1,19.7,0,67,102,66.0,53,56,13.0,2.85,1,0,0.0,55.4,31,18,11.4,65,97.0,4,20,,,,66.7,46.2,69.8,78.2,,66.0,89.2,65.4,,,1,1,69,33.3,89.8,9.2,6,3,0,1,3,3,4.3,419,7.5,59.5,37,39,12.4,3.01,0,0,0.0,48.7,19,12,13.6,47,70.1,3,11,,,,,39.2,58.3,77.4,,55.4,,65.4,,,1,1,51,41.7,74.1,10.6,5,3,0,1,2,2,3.9,234,6.0,83.3,18,19,12.7,2.39,1,0,0.0,68.4,13,6,13.3,20,29.9,2,9,,,,66.7,67.4,87.8,72.5,,83.1,89.2,,,,0,0,20,16.7,118.3,5.0,1,0,0,0,1,1,5.0,190,10.0,0,100.0,2,2,-1.5,2.1,0,0,0.0,50.0,1,0,50.0,2,3.0,1,0,,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,5,2.5,4.0
Sawyer Robertson,146839,QB,BAYLOR,1,-18.16,0,63,118,55.8,52,56,14.0,2.29,2,4,6.6,46.4,26,17,10.3,60,95.2,3,19,,,,,70.5,82.7,78.2,,83.8,,51.8,,,1,2,65,11.8,75.2,3.3,2,2,0,1,3,1,1.5,423,7.6,67.6,37,40,10.1,2.35,1,2,4.8,55.0,22,14,12.0,43,68.3,3,14,,,,,69.4,90.4,77.3,,91.0,,51.8,,,1,1,45,7.1,74.5,2.3,1,2,0,1,1,0,0.0,275,6.9,38.9,18,19,19.1,2.02,1,2,9.1,36.8,7,3,0.0,20,31.7,0,5,,,,,67.5,60.0,72.8,,59.8,,,,,0,1,23,33.3,79.9,5.0,1,0,0,0,2,1,4.3,155,8.2,0,100.0,3,3,-3.7,1.33,0,0,0.0,100.0,3,0,0.0,3,4.8,0,0,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,7,2.3,1.28
Caden Veltkamp,156642,QB,FAU,1,-8.92,0,58,165,80.0,45,49,10.6,2.46,0,0,0.0,63.3,31,13,13.9,50,86.2,5,17,,,,,44.5,69.9,77.7,,75.7,,43.3,,,0,3,57,7.7,70.5,2.0,1,0,0,4,2,3,5.4,325,6.6,83.3,42,44,9.4,2.29,0,0,0.0,70.5,31,10,11.4,45,77.6,4,18,,,,,42.4,72.0,77.4,,78.6,,43.3,,,0,3,51,10.0,77.1,2.2,1,0,0,2,2,3,6.0,312,7.1,81.8,11,13,6.2,2.25,0,0,0.0,61.5,8,3,11.1,13,22.4,1,3,,,,,66.4,61.1,71.4,,60.9,,,,,0,0,15,0.0,73.6,0.0,0,0,0,2,0,0,0.0,63,4.8,0,100.0,8,8,-1.9,1.19,0,0,0.0,100.0,8,0,0.0,8,13.8,0,4,,,,,65.1,67.0,69.8,,66.7,,,,,0,0,9,,92.7,0.0,0,0,0,0,0,0,0.0,50,6.3,-2.24
Roman Gagliano,183961,QB,MIDDLE TN,1,-9.46,0,51,224,67.6,37,39,10.9,2.94,1,0,0.0,53.8,21,15,16.0,47,92.2,4,14,,,,,72.2,73.5,25.8,,69.4,,71.5,,,0,0,52,13.3,102.1,4.3,2,6,0,1,2,1,1.9,356,9.1,71.4,35,37,9.0,2.83,1,0,0.0,59.5,22,14,12.0,45,88.2,3,13,,,,,72.1,75.5,24.6,,71.6,,71.5,,,0,0,49,14.3,102.5,4.4,2,6,0,1,1,1,2.0,372,10.1,66.7,6,6,14.2,2.58,0,0,0.0,50.0,3,1,25.0,6,11.8,1,1,,,,,64.6,58.3,69.1,,58.2,,,,,0,0,7,0.0,95.8,0.0,0,0,0,0,1,0,0.0,6,1.0,0,100.0,4,4,-1.3,1.13,0,0,0.0,100.0,4,0,0.0,4,7.8,0,0,,,,,63.3,65.0,67.4,,64.8,,,,,0,0,4,,89.6,0.0,0,0,0,0,0,0,0.0,22,5.5,-9.05
T.J. Finley,124093,QB,GA STATE,1,-32.38,0,51,175,75.8,33,38,10.4,2.89,0,2,4.9,57.9,22,14,12.0,48,94.1,3,14,,,,,38.1,55.1,77.3,,64.4,,37.4,,,2,2,52,21.4,64.1,6.3,3,7,2,1,1,3,5.8,246,6.5,75.0,32,35,9.9,2.74,0,2,5.3,65.7,23,12,4.2,44,86.3,1,13,,,,,36.1,53.2,77.1,,61.4,,39.0,,,1,2,48,25.0,69.8,6.8,3,6,2,0,1,3,6.3,229,6.5,100.0,4,6,4.8,3.13,0,0,0.0,33.3,2,2,50.0,7,13.7,2,1,,,,,64.6,69.0,69.1,,75.7,,56.3,,,1,0,7,0.0,45.1,0.0,0,1,0,1,0,0,0.0,22,3.7,0,100.0,3,3,-2.3,1.33,0,0,0.0,100.0,3,0,0.0,3,5.9,0,0,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,5,1.7,-2.87
Henry Hesson,145798,QB,MIAMI OH,1,-34.38,0,49,221,40.6,32,38,15.7,3.34,0,0,0.0,28.9,11,26,15.4,49,100.0,2,9,,,,,70.1,44.7,23.3,,44.8,,59.1,,,0,3,50,23.1,10.3,12.2,6,5,0,6,0,4,8.0,147,3.9,46.4,28,32,16.6,3.28,0,0,0.0,34.4,11,20,15.4,41,83.7,2,9,,,,,69.6,52.9,19.7,,52.7,,61.6,,,0,2,42,25.0,23.8,12.2,5,4,0,4,0,3,7.1,147,4.6,0.0,4,6,9.0,3.61,0,0,0.0,0.0,0,6,,8,16.3,0,0,,,,,64.9,28.8,69.5,,29.1,,57.3,,,0,1,8,16.7,0.0,12.5,1,1,0,2,0,1,12.5,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.59
Brendon Lewis,131687,QB,MEMPHIS,1,1.32,0,49,218,80.6,36,38,8.1,3.32,0,0,0.0,71.1,27,7,6.9,44,89.8,2,12,,,,,71.7,70.3,77.2,,67.4,,66.0,,,0,1,46,28.6,80.7,4.5,2,4,0,2,1,0,0.0,197,5.2,83.3,36,38,7.2,3.27,0,0,0.0,73.7,28,6,6.7,43,87.8,2,11,,,,,71.6,73.7,77.1,,71.5,,66.0,,,0,1,45,16.7,83.1,2.3,1,4,0,2,1,0,0.0,199,5.2,75.0,4,4,4.5,2.42,0,0,0.0,75.0,3,1,0.0,6,12.2,0,1,,,,,64.2,45.7,68.6,,48.8,,57.3,,,0,0,6,100.0,77.1,16.7,1,1,0,0,0,0,0.0,5,1.3,0,100.0,4,4,-3.5,1.78,0,0,0.0,100.0,4,0,0.0,5,10.2,0,0,,,,,63.8,59.3,68.1,,64.8,,57.3,,,0,0,5,,79.2,0.0,0,1,0,0,0,0,0.0,7,1.8,-3.99
Anthony Colandrea,170131,QB,UNLV,1,-5.88,0,49,325,61.5,39,42,14.4,3.49,2,2,4.7,52.4,22,10,8.3,47,95.9,2,15,,,,,45.3,63.0,77.5,,65.2,,56.1,,,0,1,48,20.0,70.7,4.3,2,3,0,1,1,2,4.2,272,6.5,67.7,31,34,10.9,3.4,2,1,2.9,55.9,19,10,9.5,39,79.6,2,12,,,,,42.0,71.7,77.1,,76.5,,56.1,,,0,1,39,20.0,69.0,5.1,2,3,0,1,1,1,2.6,186,5.5,50.0,10,10,22.0,3.38,0,1,9.1,50.0,5,0,0.0,10,20.4,0,3,,,,,65.6,38.9,70.4,,39.2,,,,,0,0,11,,81.3,0.0,0,0,0,0,0,1,9.1,90,9.0,0,100.0,2,2,-2.5,1.15,0,0,0.0,100.0,2,0,0.0,2,4.1,0,0,,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,4,2.0,3.53
Bryson Barnes,131845,QB,UTAH ST,1,-5.26,0,48,329,64.7,34,35,14.1,3.05,0,2,5.6,48.6,17,15,22.7,45,93.8,5,12,,,,,73.5,73.6,77.2,,71.1,,66.8,,,0,0,46,40.0,81.0,13.3,6,4,0,1,1,0,0.0,243,6.9,66.7,18,19,14.9,3.11,0,2,10.5,52.6,10,8,16.7,22,45.8,2,7,,,,,73.3,84.8,75.8,,80.3,,72.4,,,0,0,22,25.0,89.8,9.1,2,1,0,1,1,0,0.0,120,6.3,68.4,19,19,10.9,2.87,0,0,0.0,47.4,9,7,30.8,26,54.2,4,5,,,,,67.8,54.2,73.4,,58.4,,50.5,,,0,0,27,57.1,71.4,15.4,4,3,0,0,0,0,0.0,136,7.2,0,100.0,3,3,-1.7,1.93,0,0,0.0,66.7,2,0,33.3,3,6.3,1,0,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,75.7,0.0,0,0,0,0,0,0,0.0,13,4.3,0.84
Malik Washington,198729,QB,MARYLAND,1,14.17,0,48,215,67.6,37,41,9.8,2.78,3,0,0.0,48.8,20,8,20.0,42,87.5,5,13,,,,,70.1,60.5,76.4,,58.8,,63.5,,,0,1,44,12.5,54.2,2.4,1,0,0,1,0,1,2.3,213,5.2,69.4,36,40,8.3,2.69,3,0,0.0,52.5,21,6,16.0,40,83.3,4,11,,,,,70.0,61.8,76.3,,60.1,,63.5,,,0,1,42,0.0,54.6,0.0,0,0,0,1,0,0,0.0,184,4.6,83.3,6,6,8.7,2.91,0,0,0.0,66.7,4,4,20.0,8,16.7,1,3,,,,,64.9,56.3,69.5,,59.5,,57.3,,,0,0,8,25.0,95.1,12.5,1,1,0,0,0,1,12.5,54,9.0,0,100.0,5,5,-2.4,2.35,0,0,0.0,100.0,5,2,0.0,6,12.5,0,1,,,,,64.2,60.4,68.6,,65.5,,57.3,,,0,0,6,0.0,87.5,0.0,0,1,0,0,0,0,0.0,25,5.0,4.4
