player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
AJ Padgett,163006,QB,RICE,1,6.67,0,26,275,64.3,14,15,9.3,2.83,1,0,0.0,53.3,8,5,11.1,19,73.1,1,8,,,,,72.1,44.3,76.3,36.1,,60.3,0,2,21,20.0,54.2,5.3,1,3,0,0,1,3,14.3,90,6.0,73.3,15,15,6.5,2.13,0,0,0.0,60.0,9,4,18.2,18,69.2,2,6,,,,,72.1,42.5,76.2,35.3,,59.7,0,2,20,25.0,60.0,5.6,1,1,0,0,1,3,15.0,91,6.1,80.0,5,6,3.4,2.95,1,0,0.0,66.7,4,1,0.0,8,30.8,0,4,,,,,64.9,65.0,69.5,64.3,,61.1,0,0,8,0.0,84.7,0.0,0,2,0,0,0,0,0.0,39,6.5,0,100.0,6,6,-2.5,1.19,0,0,0.0,83.3,5,0,16.7,7,26.9,1,2,,,,,64.6,63.7,69.1,63.4,,,0,0,7,,94.4,0.0,0,0,0,0,0,0,0.0,40,6.7,0.43
Jase Bauer,145714,QB,C MICHIGAN,1,-28.57,0,26,134,60.0,15,19,13.7,3.43,0,1,4.8,42.1,8,13,11.1,24,92.3,1,4,,,,,28.8,51.2,75.7,56.3,,48.9,1,1,27,23.1,87.6,12.5,3,2,0,3,2,2,7.4,170,8.9,72.7,11,14,8.3,3.31,0,0,0.0,57.1,8,9,0.0,19,73.1,0,3,,,,,69.7,58.2,75.2,66.4,,48.9,1,1,21,33.3,69.9,15.8,3,2,0,2,1,1,4.8,88,6.3,50.0,6,7,17.8,3.27,0,1,14.3,28.6,2,4,33.3,7,26.9,1,1,,,,,15.7,43.7,69.5,43.8,,,0,0,8,0.0,107.7,0.0,0,0,0,1,1,1,12.5,69,9.9,0,100.0,2,2,-3.5,1.65,0,0,0.0,100.0,2,0,0.0,2,7.7,0,0,,,,,61.8,62.8,65.5,62.6,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,-13,-6.5,3.57
J.J. McCarthy,144918,QB,MICHIGAN,1,-2.63,0,25,222,65.2,23,23,12.6,3.03,0,0,0.0,52.2,12,8,20.0,25,100.0,3,9,,,,,69.1,47.3,76.9,47.4,,53.9,0,1,27,12.5,53.0,4.0,1,1,0,0,0,4,14.8,141,6.1,63.2,19,19,12.2,2.9,0,0,0.0,52.6,10,7,16.7,21,84.0,2,7,,,,,68.8,48.1,76.7,48.2,,53.9,0,1,23,14.3,51.4,4.8,1,1,0,0,0,3,13.0,125,6.6,75.0,4,4,14.3,3.73,0,0,0.0,50.0,2,1,33.3,4,16.0,1,2,,,,,63.3,52.9,67.4,52.9,,,0,0,4,0.0,60.4,0.0,0,0,0,0,0,1,25.0,16,4.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-2.58
Tate Rodemaker,122414,QB,FLORIDA ST,1,-10.0,0,25,167,70.6,17,20,11.6,3.48,0,1,4.5,50.0,10,9,16.7,22,88.0,2,10,,,,,26.6,74.1,11.6,75.6,,61.8,0,0,25,11.1,95.4,4.5,1,1,0,3,1,1,4.0,168,8.4,76.9,13,15,11.5,3.23,0,1,6.3,60.0,9,5,10.0,16,64.0,1,9,,,,,23.8,71.6,6.0,76.0,,57.7,0,0,18,20.0,139.4,6.3,1,0,0,2,2,1,5.6,172,11.5,71.4,7,8,5.3,3.69,0,0,0.0,50.0,4,4,20.0,9,36.0,1,4,,,,,65.4,71.7,70.1,67.2,,64.0,0,0,10,0.0,67.2,0.0,0,1,0,1,0,0,0.0,45,5.6,0,100.0,3,3,-3.7,2.73,0,0,0.0,100.0,3,0,0.0,3,12.0,0,3,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,158.3,0.0,0,0,0,0,1,0,0.0,49,16.3,-5.84
Preston Stone,124716,QB,SMU,1,26.15,0,25,287,72.2,18,20,21.2,3.55,0,5,23.8,60.0,12,8,7.7,22,88.0,1,13,,,,,71.7,93.7,76.5,93.8,,69.0,0,0,23,12.5,137.5,4.5,1,1,0,2,2,1,4.3,268,13.4,66.7,12,13,22.5,3.15,0,3,21.4,53.8,7,4,12.5,15,60.0,1,8,,,,,71.6,91.4,76.0,91.5,,69.0,0,0,16,25.0,124.7,6.7,1,1,0,1,1,1,6.3,171,13.2,88.9,9,10,11.3,3.4,0,2,20.0,80.0,8,4,0.0,10,40.0,0,6,,,,,65.4,92.0,70.1,91.7,,,0,0,10,0.0,147.9,0.0,0,0,0,1,1,0,0.0,115,11.5,0,100.0,3,3,-3.3,1.0,0,0,0.0,100.0,3,0,0.0,3,12.0,0,1,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,91.7,0.0,0,0,0,0,0,0,0.0,18,6.0,-1.65
Kurtis Rourke,97998,QB,OHIO,1,-20.59,0,25,259,61.1,18,18,15.6,2.65,0,1,5.3,55.6,10,6,9.1,20,80.0,1,7,,,,66.7,71.0,77.2,76.5,72.6,62.8,70.2,0,0,22,33.3,84.7,10.0,2,0,0,0,0,0,0.0,157,8.7,76.5,17,17,10.9,2.35,0,1,5.9,70.6,12,4,7.7,19,76.0,1,7,,,,,70.8,79.2,76.3,74.6,,70.2,0,0,20,50.0,101.1,10.5,2,0,0,0,0,0,0.0,164,9.6,50.0,6,6,15.3,2.85,0,0,0.0,50.0,3,2,0.0,6,24.0,0,3,,,,66.7,65.2,64.3,69.5,63.5,62.8,,0,0,7,0.0,84.0,0.0,0,0,0,0,0,0,0.0,58,9.7,0,100.0,5,5,-0.6,1.76,0,0,0.0,100.0,5,0,0.0,5,20.0,0,3,,,,,63.8,65.6,68.1,65.3,,,0,0,5,,118.8,0.0,0,0,0,0,0,0,0.0,65,13.0,0.02
Cole Ballard,173062,QB,KANSAS,1,-2.56,0,24,198,71.4,14,15,11.3,3.23,0,2,12.5,66.7,10,6,0.0,22,91.7,0,9,,,,,27.0,53.2,77.8,65.7,,43.3,0,2,24,16.7,84.7,4.5,1,6,0,1,1,3,12.5,160,10.7,75.0,12,13,10.0,2.98,0,2,14.3,69.2,9,5,0.0,17,70.8,0,6,,,,,68.3,66.5,77.5,66.6,,61.3,0,2,18,20.0,73.1,5.9,1,3,0,1,1,2,11.1,85,6.5,66.7,3,3,10.7,3.67,0,0,0.0,66.7,2,2,0.0,7,29.2,0,3,,,,,15.7,28.2,69.5,52.3,,33.4,0,0,8,50.0,109.7,14.3,1,3,0,0,0,1,12.5,77,25.7,0,100.0,1,1,-6.0,2.65,0,0,0.0,100.0,1,1,0.0,2,8.3,0,0,,,,,61.8,50.6,65.5,50.9,,,0,0,2,100.0,79.2,50.0,1,0,0,0,0,0,0.0,2,2.0,19.13
Haynes King,124329,QB,GA TECH,1,0.0,0,24,176,72.7,11,12,11.2,2.73,1,1,6.7,66.7,8,4,0.0,16,66.7,0,6,,,,,71.7,89.0,75.8,83.4,,74.0,0,1,19,25.0,83.0,6.3,1,3,0,0,1,0,0.0,93,7.8,85.7,14,15,2.5,2.01,1,1,5.6,80.0,12,3,0.0,17,70.8,0,5,,,,,71.7,85.0,75.9,82.6,,69.5,0,1,20,33.3,79.7,5.9,1,1,0,0,1,0,0.0,67,4.5,80.0,5,5,11.6,2.44,0,0,0.0,80.0,4,1,0.0,7,29.2,0,4,,,,,64.6,78.4,69.1,67.5,,71.1,0,0,7,0.0,158.3,0.0,0,2,0,0,1,0,0.0,71,14.2,0,100.0,8,8,-3.8,0.96,0,0,0.0,100.0,8,0,0.0,8,33.3,0,3,,,,,64.9,67.2,69.5,66.9,,,0,0,8,,129.7,0.0,0,0,0,0,1,0,0.0,45,5.6,9.73
Dillon Gabriel,86272,QB,OKLAHOMA,1,0.96,0,23,261,65.0,20,20,14.8,3.21,0,2,9.5,60.0,12,4,7.7,22,95.7,1,8,,,,,68.8,84.6,74.6,88.8,,53.5,0,0,23,25.0,124.8,4.5,1,1,0,0,2,0,0.0,189,9.5,61.5,13,13,12.5,3.13,0,1,7.7,61.5,8,1,0.0,13,56.5,0,7,,,,,67.8,81.4,73.5,84.6,,56.5,0,0,13,0.0,127.2,0.0,0,0,0,0,2,0,0.0,107,8.2,75.0,8,8,16.9,3.1,0,1,11.1,62.5,5,3,16.7,10,43.5,1,2,,,,,65.6,74.7,70.4,77.9,,57.3,0,0,11,33.3,97.9,10.0,1,1,0,0,0,0,0.0,84,10.5,0,100.0,1,1,1.0,1.1,0,0,0.0,100.0,1,0,0.0,1,4.3,0,1,,,,,60.3,56.0,63.6,56.1,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,2.27
Dylan Hopkins,83571,QB,NEW MEXICO,1,0.0,0,23,241,53.3,15,18,15.5,3.12,0,0,0.0,44.4,8,10,0.0,23,100.0,0,4,,,,,68.4,46.2,75.8,44.6,,57.5,0,2,26,20.0,28.2,8.7,2,3,0,3,0,2,7.7,124,6.9,57.1,7,9,11.7,3.01,0,0,0.0,44.4,4,6,0.0,12,52.2,0,2,,,,,67.3,55.2,75.0,52.4,,60.6,0,1,15,16.7,31.9,8.3,1,2,0,2,0,1,6.7,70,7.8,50.0,8,9,18.8,3.24,0,0,0.0,44.4,4,4,0.0,11,47.8,0,2,,,,,65.6,40.1,70.4,42.1,,57.3,0,1,11,25.0,24.5,9.1,1,1,0,1,0,1,9.1,54,6.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-1.78
