player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Taylen Green,145996,QB,BOISE ST,1,-10.0,0,21,120,50.0,16,16,15.9,3.32,0,0,0.0,50.0,8,5,0.0,19,90.5,0,8,,,,71.7,50.1,77.2,47.9,,56.8,,0,1,20,40.0,90.1,10.5,2,1,0,0,2,1,5.0,126,7.9,60.0,10,10,7.5,3.35,0,0,0.0,60.0,6,4,0.0,13,61.9,0,5,,,,71.6,44.3,76.9,37.5,,56.8,,0,1,14,50.0,77.9,15.4,2,1,0,0,2,1,7.1,62,6.2,50.0,8,8,21.9,2.94,0,0,0.0,50.0,4,1,0.0,8,38.1,0,3,,,,64.9,68.2,69.5,67.8,,,,0,0,8,0.0,77.6,0.0,0,0,0,0,0,0,0.0,65,8.1,0,100.0,2,2,-2.5,2.0,0,0,0.0,100.0,2,0,0.0,2,9.5,0,0,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.5,1.93
Artur Sitkowski,83547,QB,ILLINOIS,1,-2.56,0,20,187,72.7,11,12,9.6,2.68,0,1,7.7,58.3,7,2,12.5,13,65.0,1,3,,,,68.7,59.7,75.6,56.1,,62.6,,0,1,14,0.0,43.1,0.0,0,1,0,1,0,1,7.1,78,6.5,83.3,12,13,3.7,2.49,0,0,0.0,69.2,9,1,10.0,14,70.0,1,2,,,,68.8,56.7,75.7,52.2,,62.6,,0,1,15,0.0,41.2,0.0,0,1,0,1,0,1,6.7,42,3.2,66.7,6,6,7.2,2.05,0,1,16.7,66.7,4,1,0.0,6,30.0,0,1,,,,64.2,67.8,68.6,67.4,,,,0,0,6,0.0,85.4,0.0,0,0,0,0,0,0,0.0,40,6.7,0,85.7,7,7,-2.7,1.74,0,0,0.0,85.7,6,0,0.0,7,35.0,0,0,,,,64.6,61.1,69.1,60.8,,,,0,0,7,,79.2,0.0,0,0,0,0,0,0,0.0,4,0.6,3.44
Aveon Smith,130529,QB,MIAMI OH,1,33.33,0,19,221,63.6,11,12,16.4,3.36,0,0,0.0,58.3,7,5,0.0,17,89.5,0,7,,,,70.7,68.2,76.7,61.7,,66.7,,0,1,17,0.0,68.1,0.0,0,5,0,1,0,1,5.9,171,14.3,57.1,7,8,12.1,3.28,0,0,0.0,50.0,4,3,0.0,11,57.9,0,2,,,,70.5,56.2,76.3,40.4,,66.4,,0,1,11,0.0,18.8,0.0,0,3,0,1,0,1,9.1,28,3.5,83.3,6,6,14.8,3.13,0,0,0.0,83.3,5,2,0.0,8,42.1,0,5,,,,64.9,84.1,69.5,85.2,,62.0,,0,0,8,0.0,118.8,0.0,0,2,0,0,0,0,0.0,151,25.2,0,100.0,2,2,-3.0,2.0,0,0,0.0,100.0,2,0,0.0,2,10.5,0,0,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0,21.67
Evan Simon,129906,QB,RUTGERS,1,-40.0,0,18,278,40.0,15,15,18.1,2.91,0,1,5.9,40.0,6,5,0.0,18,100.0,0,4,,,,67.1,28.5,73.6,28.7,,57.3,,0,3,20,40.0,23.6,11.1,2,1,0,0,0,4,20.0,100,6.7,40.0,15,15,18.1,2.91,0,1,6.3,40.0,6,5,0.0,18,100.0,0,4,,,,67.0,28.4,73.5,28.6,,57.3,,0,3,19,40.0,23.6,11.1,2,1,0,0,0,4,21.1,100,6.7,,0,0,,,0,0,0.0,,0,0,,0,0.0,0,0,,,,60.3,55.2,63.6,55.3,,,,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-6.67
Anthony Richardson,124393,QB,FLORIDA,1,-10.0,0,18,163,55.6,9,9,14.7,3.5,0,1,10.0,55.6,5,5,0.0,14,77.8,0,5,,,,23.0,62.3,75.2,52.4,,69.1,,0,1,15,20.0,70.4,7.1,1,3,0,0,1,2,13.3,53,5.9,60.0,5,5,1.6,2.91,0,0,0.0,60.0,3,4,0.0,8,44.4,0,3,,,,19.5,53.2,74.6,29.2,,72.8,,0,1,8,25.0,28.3,12.5,1,2,0,0,0,1,12.5,19,3.8,50.0,8,8,13.6,3.06,0,1,11.1,50.0,4,1,0.0,10,55.6,0,3,,,,65.6,65.3,70.4,68.1,,57.3,,0,0,11,0.0,107.3,0.0,0,1,0,0,1,1,9.1,46,5.8,0,50.0,4,4,-3.8,1.23,0,0,0.0,50.0,2,0,0.0,4,22.2,0,1,,,,63.3,50.5,67.4,50.6,,,,0,0,4,,56.3,0.0,0,0,0,0,0,0,0.0,12,3.0,1.95
Noah Vedral,55406,QB,RUTGERS,1,-20.45,0,17,278,36.4,11,13,14.7,2.86,0,1,7.1,30.8,4,8,0.0,15,88.2,0,2,,,,70.1,58.1,74.6,51.9,,65.0,,1,0,16,12.5,53.7,6.7,1,1,0,1,0,0,0.0,81,6.2,55.6,9,11,10.8,2.72,0,1,8.3,45.5,5,6,0.0,13,76.5,0,4,,,,70.0,65.3,74.4,60.5,,65.0,,1,0,14,16.7,87.3,7.7,1,1,0,1,0,0,0.0,125,11.4,25.0,4,4,15.0,2.65,0,0,0.0,25.0,1,2,0.0,4,23.5,0,0,,,,63.3,44.2,67.4,44.4,,,,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,8,2.0,0,100.0,2,2,-2.5,1.55,0,0,0.0,100.0,2,0,0.0,2,11.8,0,2,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,118.8,0.0,0,0,0,0,0,0,0.0,52,26.0,-9.36
Davis Beville,99588,QB,OKLAHOMA,1,0.0,0,15,261,57.1,7,7,15.1,3.09,0,0,0.0,57.1,4,4,0.0,10,66.7,0,2,,,,67.5,52.1,78.2,51.1,58.0,57.1,,0,1,10,75.0,32.1,30.0,3,0,0,0,0,1,10.0,37,5.3,55.6,9,10,9.1,2.49,1,0,0.0,50.0,5,3,0.0,12,80.0,0,1,,,,67.7,47.1,78.2,43.9,58.5,57.1,,0,1,12,66.7,16.7,16.7,2,0,0,0,0,1,8.3,22,2.2,50.0,2,2,5.5,2.9,0,0,0.0,50.0,1,1,0.0,3,20.0,0,1,,,,62.7,58.7,68.9,63.1,53.8,,,0,0,3,100.0,77.1,33.3,1,0,0,0,0,0,0.0,16,8.0,0,50.0,4,5,-3.3,1.54,1,0,0.0,40.0,2,0,0.0,5,33.3,0,0,,,,63.8,47.0,69.6,48.9,54.0,,,0,0,5,,47.9,0.0,0,0,0,0,0,0,0.0,1,0.2,5.8
Haaziq Daniels,125263,QB,AIR FORCE,1,10.0,0,13,101,58.3,12,12,18.4,3.54,0,0,0.0,41.7,5,1,28.6,13,100.0,2,4,,,,72.5,63.8,77.0,54.7,,68.2,,0,1,16,0.0,62.8,0.0,0,1,0,0,1,2,12.5,95,7.9,60.0,10,10,15.3,3.03,0,0,0.0,40.0,4,0,33.3,10,76.9,2,3,,,,72.5,70.8,76.7,60.2,,70.9,,0,1,11,,62.9,0.0,0,0,0,0,1,1,9.1,81,8.1,50.0,2,2,34.0,5.23,0,0,0.0,50.0,1,1,0.0,3,23.1,0,1,,,,63.8,45.3,68.1,48.6,,57.0,,0,0,5,0.0,72.9,0.0,0,1,0,0,0,1,20.0,14,7.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-1.1
Tommy DeVito,60545,QB,ILLINOIS,1,16.67,0,13,187,50.0,8,8,11.8,2.95,0,0,0.0,37.5,3,6,25.0,10,76.9,1,3,,,,67.5,65.3,72.8,57.9,,67.4,,0,0,10,0.0,49.5,0.0,0,2,0,0,0,0,0.0,31,3.9,50.0,8,8,8.8,2.54,0,0,0.0,50.0,4,5,0.0,10,76.9,0,2,,,,67.5,60.9,72.8,52.0,,67.4,,0,0,10,0.0,56.3,0.0,0,2,0,0,0,0,0.0,18,2.3,100.0,3,3,4.7,2.5,0,0,0.0,66.7,2,1,33.3,3,23.1,1,1,,,,62.7,74.3,66.6,73.9,,,,0,0,3,0.0,91.0,0.0,0,0,0,0,0,0,0.0,24,8.0,0,100.0,3,3,-3.3,1.13,0,0,0.0,100.0,3,0,0.0,3,23.1,0,0,,,,62.7,64.1,66.6,63.9,,,,0,0,3,,81.9,0.0,0,0,0,0,0,0,0.0,11,3.7,5.75
Jalon Daniels,122555,QB,KANSAS,1,23.81,0,12,198,55.6,9,10,13.4,3.36,0,1,10.0,50.0,5,4,0.0,12,100.0,0,4,,,,24.4,55.1,73.4,71.9,,43.0,,0,0,12,25.0,80.8,8.3,1,1,0,1,0,0,0.0,89,8.9,42.9,7,7,12.1,3.08,0,1,14.3,42.9,3,3,0.0,9,75.0,0,2,,,,22.9,51.0,73.0,69.7,,43.0,,0,0,9,33.3,53.9,11.1,1,1,0,0,0,0,0.0,27,3.9,100.0,2,3,18.0,4.2,0,0,0.0,66.7,2,1,0.0,3,25.0,0,2,,,,62.7,68.4,66.6,68.1,,,,0,0,3,0.0,109.7,0.0,0,0,0,1,0,0,0.0,62,20.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,16.81
