player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Todd Centeio,60552,QB,COLO STATE,1,-34.44,0,58,144,68.2,44,47,11.2,3.04,0,4,8.3,61.7,29,25,3.3,57,98.3,1,20,,,,44.5,75.1,77.8,79.7,,51.8,,0,2,58,20.0,118.0,8.8,5,5,0,3,5,2,3.4,527,11.2,73.3,30,30,11.5,2.82,0,2,6.5,73.3,22,17,0.0,37,63.8,0,14,,,,35.8,86.4,76.7,90.4,,55.1,,0,1,38,23.5,141.0,10.8,4,3,0,0,4,0,0.0,413,13.8,53.3,15,18,9.8,3.4,0,2,11.1,38.9,7,8,12.5,21,36.2,1,6,,,,67.2,48.1,72.5,51.3,,52.9,,0,1,21,12.5,56.3,4.8,1,2,0,3,1,2,9.5,114,6.3,0,0.0,1,1,0.0,2.6,0,0,0.0,0.0,0,0,,1,1.7,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-7.44
Dylan Morris,100570,QB,WASHINGTON,1,-45.45,0,56,340,69.7,33,39,12.6,2.85,2,3,7.7,53.8,21,12,8.7,43,76.8,2,14,,,,25.0,72.2,76.7,79.3,54.3,41.1,,1,2,43,16.7,64.9,4.7,2,2,0,3,1,2,4.7,288,7.4,85.0,40,44,7.7,2.5,1,3,6.8,70.5,31,9,8.8,48,85.7,3,18,,,,26.1,79.1,77.0,86.4,54.3,41.1,,1,1,48,22.2,102.1,4.2,2,2,0,2,2,2,4.2,376,8.5,33.3,6,8,10.8,2.84,1,0,0.0,25.0,2,3,0.0,8,14.3,0,0,,,,64.9,44.5,69.5,44.6,,,,0,1,8,0.0,0.0,0.0,0,0,0,1,0,0,0.0,11,1.4,0,100.0,13,13,-3.3,1.52,0,0,0.0,92.3,12,0,7.7,13,23.2,1,4,,,,66.0,68.8,71.0,68.4,,,,0,0,13,,124.0,0.0,0,0,0,0,1,0,0.0,99,7.6,-7.17
Brennan Armstrong,77696,QB,VIRGINIA,1,24.24,0,56,335,80.9,47,49,11.4,2.55,0,4,7.8,73.5,36,15,5.3,55,98.2,2,23,,,,70.8,88.0,77.6,89.9,59.9,53.3,,0,1,57,33.3,116.5,9.1,5,1,1,1,3,0,0.0,485,9.9,75.7,37,39,11.1,2.58,0,2,4.9,66.7,26,12,7.1,45,80.4,2,16,,,,70.3,75.2,76.9,77.0,,53.3,,0,1,47,41.7,107.7,11.1,5,1,1,1,3,0,0.0,329,8.4,90.9,11,11,11.4,2.41,0,2,18.2,90.9,10,3,0.0,11,19.6,0,7,,,,65.6,94.6,71.1,94.5,59.9,,,0,0,11,0.0,118.8,0.0,0,0,0,0,0,0,0.0,156,14.2,0,0.0,1,1,-2.0,2.2,0,0,0.0,0.0,0,0,,1,1.8,0,0,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,5.74
Layne Hatcher,82068,QB,ARK STATE,1,-36.87,0,55,113,61.1,36,41,12.0,2.96,1,0,0.0,51.2,21,21,4.5,48,87.3,1,9,,,,69.7,47.7,76.9,48.7,,56.4,,0,2,50,28.6,41.5,12.5,6,1,0,4,0,3,6.0,168,4.1,87.0,23,25,6.2,2.91,0,0,0.0,76.0,19,15,5.0,31,56.4,1,7,,,,68.5,66.9,75.8,68.6,,56.4,,0,1,33,33.3,98.9,16.1,5,1,0,2,1,1,3.0,221,8.8,45.0,20,23,13.3,2.69,1,0,0.0,39.1,9,6,0.0,24,43.6,0,3,,,,67.6,32.7,73.0,33.1,,,,0,1,24,16.7,29.1,4.2,1,0,0,2,0,2,8.3,52,2.3,0,100.0,7,7,-3.4,1.81,0,0,0.0,100.0,7,0,0.0,7,12.7,0,1,,,,64.6,66.6,69.1,66.3,,,,0,0,7,,158.3,0.0,0,0,0,0,1,0,0.0,105,15.0,-6.58
Carson Strong,83524,QB,NEVADA,1,-28.57,0,53,239,63.9,36,39,15.8,2.75,0,2,4.5,56.4,22,19,4.3,47,88.7,1,17,,,,69.7,71.0,24.6,70.4,,64.1,,0,1,52,36.8,108.8,14.9,7,1,0,3,4,2,3.8,339,8.7,67.5,40,42,12.1,2.54,0,2,4.3,61.9,26,17,3.7,50,94.3,1,16,,,,69.9,72.3,77.1,70.2,,64.1,,0,1,55,41.2,109.3,14.0,7,1,0,2,4,2,3.6,341,8.1,50.0,2,3,36.0,2.87,0,0,0.0,33.3,1,2,0.0,3,5.7,0,1,,,,62.7,51.5,0.0,60.1,,,,0,0,3,0.0,50.7,0.0,0,0,0,1,0,0,0.0,15,5.0,0,83.3,6,6,-2.0,1.03,0,0,0.0,83.3,5,0,0.0,6,11.3,0,0,,,,64.2,60.0,68.6,59.8,,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,17,2.8,-3.12
Sam Hartman,77618,QB,WAKE,1,16.22,0,52,339,65.0,40,40,13.3,3.2,0,1,2.4,62.5,25,20,3.8,48,92.3,1,19,,,,42.0,70.4,77.2,76.9,,42.6,,0,1,50,30.0,83.6,12.5,6,2,0,0,1,3,6.0,303,7.6,60.0,25,25,11.2,3.26,0,1,3.8,56.0,14,16,6.7,30,57.7,1,11,,,,32.0,56.6,76.0,62.1,,45.1,,0,1,31,31.3,69.9,16.7,5,0,0,0,1,3,9.7,147,5.9,72.2,18,18,14.4,2.96,0,0,0.0,72.2,13,6,0.0,22,42.3,0,8,,,,67.5,74.1,72.8,77.7,,52.6,,0,0,23,33.3,100.5,9.1,2,2,0,0,0,1,4.3,165,9.2,0,66.7,3,3,3.3,2.38,0,0,0.0,66.7,2,2,0.0,4,7.7,0,0,,,,63.3,28.2,67.4,28.4,,,,0,0,4,50.0,70.1,25.0,1,0,0,0,0,1,25.0,9,3.0,3.29
Brock Purdy,77672,QB,IOWA STATE,1,-0.77,0,52,193,80.6,31,37,10.3,3.13,0,1,2.5,64.9,24,17,4.0,45,86.5,1,12,,,,23.8,70.5,76.8,71.3,,57.9,,0,1,48,35.3,82.4,13.3,6,2,2,4,1,2,4.2,253,6.8,84.0,25,30,9.8,3.09,0,1,3.2,70.0,21,13,0.0,36,69.2,0,9,,,,21.3,68.5,76.2,71.6,,52.7,,0,1,37,38.5,77.4,13.9,5,1,2,3,0,2,5.4,222,7.4,83.3,12,13,4.4,2.77,0,0,0.0,69.2,9,5,10.0,16,30.8,1,5,,,,66.8,68.0,72.0,66.9,,62.1,,0,0,18,20.0,104.3,6.3,1,2,0,1,1,0,0.0,59,4.5,0,100.0,6,6,-3.5,2.1,0,0,0.0,100.0,6,1,0.0,7,13.5,0,2,,,,64.6,61.3,69.1,66.1,,57.3,,0,0,7,0.0,86.1,0.0,0,1,0,0,0,0,0.0,28,4.7,-2.86
Nicholas Vattiato,145302,QB,MIDDLE TN,1,-13.08,0,52,224,69.0,29,32,16.1,3.05,0,4,11.1,53.1,17,14,15.0,35,67.3,3,10,,,,69.0,68.7,76.6,71.8,,49.9,,0,1,40,7.1,68.8,2.9,1,2,0,3,1,4,10.0,192,6.0,80.0,30,31,6.8,2.34,0,1,2.9,74.2,23,9,4.2,34,65.4,1,8,,,,68.8,53.4,76.4,54.8,,52.8,,0,1,37,11.1,75.2,2.9,1,2,0,1,0,3,8.1,184,5.9,81.3,16,18,13.4,2.56,0,3,15.8,61.1,11,6,15.4,18,34.6,2,6,,,,67.1,90.3,72.4,90.9,,57.0,,0,0,20,0.0,99.3,0.0,0,0,0,2,1,1,5.0,120,6.7,0,100.0,17,17,-2.8,1.13,0,0,0.0,100.0,17,1,0.0,17,32.7,0,4,,,,66.7,69.8,71.8,69.4,,,,0,0,17,0.0,94.1,0.0,0,0,0,0,0,0,0.0,112,6.6,0.73
Mike Wright Jr.,124366,QB,VANDERBILT,1,-25.48,0,52,333,65.9,41,44,9.6,3.06,0,2,4.3,50.0,22,18,18.5,52,100.0,5,15,,,,44.6,69.5,78.5,64.5,,69.7,,0,1,55,11.1,57.1,3.8,2,6,0,3,0,3,5.5,241,5.5,73.5,34,37,6.9,3.1,0,1,2.6,54.1,20,17,20.0,45,86.5,5,13,,,,71.7,76.0,78.0,71.5,,69.7,,0,1,46,11.8,58.1,4.4,2,6,0,3,0,1,2.2,197,5.3,28.6,7,7,22.7,2.79,0,1,12.5,28.6,2,1,0.0,7,13.5,0,2,,,,16.7,45.2,70.3,45.0,,,,0,0,9,0.0,53.3,0.0,0,0,0,0,0,2,22.2,44,6.3,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.97
Seth Henigan,144267,QB,MEMPHIS,1,10.08,0,51,218,42.9,35,37,13.9,2.61,0,3,7.5,37.8,14,17,6.7,43,84.3,1,11,,,66.7,70.0,61.9,76.9,58.5,87.9,60.7,,0,2,46,11.8,41.8,4.7,2,4,0,2,1,3,6.5,193,5.2,46.4,28,28,9.5,2.51,0,0,0.0,42.9,12,13,7.7,32,62.7,1,5,,,,69.0,55.7,76.1,52.7,,63.8,,0,0,33,7.7,50.3,3.1,1,3,0,0,0,1,3.0,71,2.5,66.7,15,17,12.2,2.39,0,3,15.8,52.9,9,6,10.0,19,37.3,1,7,,,66.7,67.5,72.2,72.7,69.9,87.9,57.3,,0,2,21,16.7,59.8,5.3,1,1,0,2,1,2,9.5,137,8.1,0,100.0,8,8,-4.6,1.69,0,0,0.0,87.5,7,2,12.5,8,15.7,1,1,,,,64.9,66.7,69.5,66.4,,,,0,0,8,0.0,79.2,0.0,0,0,0,0,0,0,0.0,15,1.9,5.52
