player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Seth Henigan,144267,QB,MEMPHIS,1,-17.59,0,66,218,65.9,44,49,13.7,2.89,0,4,7.5,57.1,28,24,3.4,58,87.9,1,25,,,,43.1,79.4,78.2,,76.3,,,69.7,,,2,2,62,12.5,82.4,5.2,3,6,0,3,2,4,6.5,425,8.7,71.4,42,46,11.2,2.8,0,4,8.2,63.0,29,21,3.3,53,80.3,1,24,,,,70.4,90.3,77.9,,88.9,,,69.7,,,2,1,56,4.8,98.1,1.9,1,6,0,2,2,2,3.6,420,9.1,60.0,10,11,11.8,2.55,0,0,0.0,45.5,5,3,16.7,13,19.7,1,2,,,,20.6,34.7,71.2,,35.0,,,,,,0,1,14,66.7,18.4,15.4,2,0,0,1,0,2,14.3,43,3.9,0,87.5,8,8,-1.8,1.7,0,0,0.0,75.0,6,0,14.3,8,12.1,1,1,,,,64.9,67.2,69.5,,66.9,,,,,,0,0,8,,84.4,0.0,0,0,0,0,0,0,0.0,38,4.8,-5.22
Brennan Armstrong,77696,QB,VIRGINIA,1,14.32,0,66,335,69.8,53,54,11.9,2.74,0,1,1.8,61.1,33,14,10.8,59,89.4,4,25,,,,70.7,87.5,77.9,,82.6,,,79.2,,,0,2,62,35.7,93.4,8.5,5,0,1,0,3,1,1.6,483,8.9,68.6,51,52,9.8,2.45,0,1,1.9,63.5,33,10,5.7,56,84.8,2,20,,,,70.5,81.2,77.7,,75.9,,,79.2,,,0,2,59,40.0,75.8,7.1,4,0,1,0,1,1,1.7,380,7.3,100.0,9,9,11.4,3.3,0,0,0.0,77.8,7,4,22.2,10,15.2,2,5,,,,65.4,90.8,70.7,,90.4,,,,,,0,0,10,25.0,155.8,10.0,1,0,0,0,2,0,0.0,107,11.9,0,100.0,7,7,-4.0,1.19,0,0,0.0,100.0,7,0,0.0,7,10.6,0,0,,,,64.6,66.8,69.1,,66.5,,,,,,0,0,7,,79.2,0.0,0,0,0,0,0,0,0.0,4,0.6,4.58
Bailey Zappe,60396,QB,W KENTUCKY,1,4.44,0,65,346,81.8,44,50,11.1,2.84,3,6,11.5,58.0,29,7,19.4,55,84.6,7,20,,,,70.5,75.9,77.7,,79.6,,,47.4,,,1,1,58,28.6,108.3,3.6,2,3,0,2,4,3,5.2,474,9.5,82.9,41,45,8.9,2.47,2,5,10.4,62.2,28,5,17.6,49,75.4,6,21,,,,70.2,75.9,77.5,,80.2,,,47.4,,,1,1,53,20.0,109.8,2.0,1,3,0,1,4,3,5.7,383,8.5,84.6,13,15,7.6,3.23,1,1,6.7,66.7,10,3,9.1,16,24.6,1,6,,,,66.5,69.1,71.6,,68.6,,,,,,0,0,16,33.3,118.8,6.3,1,0,0,1,1,0,0.0,140,9.3,0,90.0,10,10,-2.5,1.65,0,0,0.0,90.0,9,1,0.0,10,15.4,0,7,,,,65.6,68.1,70.4,,67.7,,,,,,0,0,11,0.0,120.4,0.0,0,0,0,0,1,0,0.0,49,4.9,0.82
Bryce Young,123943,QB,ALABAMA,1,-16.7,0,56,103,71.4,35,39,11.4,3.05,0,3,7.3,48.7,19,19,24.0,47,83.9,6,15,,,,69.6,84.5,77.4,,82.6,,,66.4,,,2,1,49,21.1,87.7,8.5,4,3,0,2,3,1,2.0,281,7.2,79.4,34,35,6.7,2.7,0,2,5.6,62.9,22,14,18.5,41,73.2,5,14,,,,69.1,84.6,77.0,,84.1,,,61.5,,,1,1,42,28.6,101.3,9.8,4,2,0,0,3,1,2.4,253,7.2,70.0,10,13,13.7,2.99,0,1,7.1,46.2,6,5,14.3,15,26.8,1,5,,,,66.5,72.0,71.6,,68.5,,,64.3,,,1,0,16,0.0,77.7,0.0,0,1,0,2,0,0,0.0,116,8.9,0,100.0,9,9,-3.8,1.36,0,0,0.0,100.0,9,0,0.0,9,16.1,0,4,,,,65.1,67.6,69.8,,67.3,,,,,,0,0,9,,107.4,0.0,0,0,0,0,0,0,0.0,88,9.8,1.69
Kedon Slovis,100580,QB,USC,1,27.2,0,55,326,70.3,37,40,11.6,2.93,0,4,9.5,55.0,22,15,15.4,42,76.4,4,17,,,,69.3,88.2,76.8,,87.0,,,,,,1,1,44,13.3,88.3,4.8,2,0,0,2,2,2,4.5,328,8.2,72.7,33,37,7.9,2.53,1,2,5.1,54.1,20,13,16.7,39,70.9,4,12,,,,69.1,82.3,76.6,,81.3,,,,,,1,1,41,15.4,59.5,5.1,2,0,0,2,0,1,2.4,210,5.7,86.7,15,16,9.6,2.76,1,2,12.5,81.3,13,3,0.0,16,29.1,0,10,,,,66.5,81.9,71.6,,81.2,,,,,,0,0,16,0.0,156.0,0.0,0,0,0,0,2,1,6.3,191,11.9,0,100.0,11,13,-2.5,1.54,2,0,0.0,84.6,11,1,0.0,13,23.6,0,5,,,,66.0,65.2,71.0,,64.9,,,,,,0,0,13,0.0,90.1,0.0,0,0,0,0,0,0,0.0,73,5.6,6.26
Grant Wells,97784,QB,MARSHALL,1,-6.67,0,51,214,72.5,40,42,11.8,2.87,0,7,14.9,61.9,26,13,10.3,46,90.2,3,12,,,,70.5,86.2,77.4,,86.3,,,59.1,,,0,2,51,23.1,76.2,6.5,3,1,0,2,2,0,0.0,267,6.4,77.1,35,36,10.9,2.82,0,3,7.7,66.7,24,9,11.1,38,74.5,3,9,,,,70.0,76.7,76.9,,76.8,,,59.1,,,0,2,41,11.1,79.9,2.6,1,1,0,1,2,0,0.0,232,6.4,66.7,9,10,8.2,2.41,0,4,30.8,60.0,6,4,0.0,13,25.5,0,5,,,,66.5,90.5,71.6,,90.3,,,,,,0,0,16,50.0,80.0,15.4,2,0,0,1,0,0,0.0,67,6.7,0,100.0,4,4,-4.0,1.3,0,0,0.0,100.0,4,0,0.0,5,9.8,0,2,,,,64.2,63.4,68.6,,63.1,,,,,,0,0,6,,100.0,0.0,0,0,0,0,0,0,0.0,32,8.0,0.26
Tanner McKee,131770,QB,STANFORD,1,6.2,0,51,300,72.1,43,44,9.5,2.43,0,5,10.9,61.4,27,10,12.9,49,96.1,4,17,,,,70.1,76.2,76.6,,75.8,,,59.5,,,0,3,51,50.0,66.1,10.2,5,0,0,1,1,3,5.9,356,8.1,71.4,42,43,8.9,2.36,0,5,10.9,60.5,26,7,13.3,46,90.2,4,15,,,,70.0,74.0,76.5,,73.6,,,59.5,,,0,3,49,42.9,62.0,6.5,3,0,0,1,1,3,6.1,318,7.4,100.0,2,3,13.5,3.2,0,0,0.0,66.7,2,3,0.0,5,9.8,0,2,,,,63.8,74.0,68.1,,73.6,,,,,,0,0,5,66.7,109.7,40.0,2,0,0,1,0,0,0.0,42,14.0,0,100.0,1,2,-7.0,2.75,0,0,0.0,50.0,1,0,0.0,2,3.9,0,0,,,,62.7,60.3,66.6,,60.2,,,,,,0,0,3,,56.3,0.0,0,0,0,1,0,0,0.0,4,2.0,6.6
Kyle Vantrease,55029,QB,BUFFALO,1,0.0,0,48,126,59.0,39,41,13.4,2.72,1,1,2.2,51.2,21,14,8.7,45,93.8,2,15,,,,70.8,74.5,77.8,,65.1,,,86.7,,,1,2,49,14.3,55.6,4.4,2,2,0,0,1,0,0.0,227,5.5,60.6,33,33,12.2,2.64,0,0,0.0,54.5,18,10,10.0,35,72.9,2,11,,,,70.2,66.8,77.2,,56.8,,,84.9,,,0,2,38,10.0,54.4,2.9,1,1,0,0,1,0,0.0,174,5.3,66.7,9,11,12.7,2.63,1,1,8.3,54.5,6,4,0.0,13,27.1,0,4,,,,66.2,85.0,71.2,,81.5,,,64.3,,,1,0,14,25.0,71.0,7.7,1,1,0,0,0,0,0.0,62,5.6,0,100.0,3,3,-3.0,1.47,0,0,0.0,100.0,3,0,0.0,3,6.3,0,0,,,,62.7,64.1,66.6,,63.8,,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,9,3.0,0.37
Jayden de Laura,131928,QB,WASH STATE,1,-10.73,0,47,341,73.2,41,42,9.3,2.87,0,1,2.4,66.7,28,7,6.7,43,91.5,2,14,,,,69.7,77.8,76.7,,76.9,,,60.0,,,0,1,43,14.3,99.2,2.3,1,0,0,1,2,1,2.3,359,8.5,77.5,40,41,7.6,2.74,0,1,2.4,70.7,29,7,6.5,42,89.4,2,14,,,,69.6,78.7,76.7,,77.9,,,60.0,,,0,1,42,14.3,104.6,2.4,1,0,0,1,2,1,2.4,369,9.0,60.0,5,5,14.2,2.78,0,0,0.0,60.0,3,0,0.0,5,10.6,0,3,,,,63.8,64.0,68.1,,63.8,,,,,,0,0,5,,116.7,0.0,0,0,0,0,1,0,0.0,30,6.0,0,100.0,4,4,-1.8,1.43,0,0,0.0,100.0,4,0,0.0,4,8.5,0,3,,,,63.3,65.0,67.4,,64.7,,,,,,0,0,4,,147.9,0.0,0,0,0,0,1,0,0.0,40,10.0,-3.0
Taulia Tagovailoa,97271,QB,MARYLAND,1,-0.57,0,46,215,66.7,21,23,9.1,3.35,0,0,0.0,60.9,14,16,0.0,29,63.0,0,9,,,,19.3,53.6,76.1,,54.1,,,55.4,,,0,2,31,31.3,56.3,17.2,5,1,0,2,1,2,6.5,139,6.0,78.3,23,25,5.1,2.72,1,0,0.0,72.0,18,9,0.0,29,63.0,0,8,,,,29.2,60.1,76.1,,59.6,,,58.7,,,0,1,31,33.3,104.1,10.3,3,0,0,1,2,1,3.2,192,7.7,84.6,13,14,2.8,2.97,0,0,0.0,71.4,10,8,9.1,17,37.0,1,7,,,,22.4,54.1,71.8,,56.2,,,57.3,,,0,1,17,25.0,57.7,11.8,2,1,0,1,0,1,5.9,87,6.2,0,100.0,15,16,-2.5,1.89,1,0,0.0,87.5,14,1,6.7,17,37.0,1,6,,,,66.7,66.3,71.8,,66.0,,,,,,0,0,17,0.0,124.0,0.0,0,0,0,0,1,0,0.0,140,8.8,-1.47
Bo Nix,97790,QB,AUBURN,1,-18.62,0,46,115,85.2,27,34,8.3,3.43,0,3,8.8,50.0,17,17,26.1,40,87.0,6,10,,,,35.1,78.1,76.3,,80.6,,,57.1,,,1,1,40,17.6,57.7,7.5,3,3,0,6,0,2,5.0,214,6.3,84.6,26,29,5.1,2.91,0,2,6.9,58.6,17,11,22.7,36,78.3,5,8,,,,70.1,75.8,76.1,,78.7,,,57.1,,,0,1,36,27.3,60.6,8.3,3,3,0,3,0,1,2.8,167,5.8,83.3,6,10,11.5,3.92,0,1,10.0,40.0,4,6,20.0,10,21.7,1,2,,,,17.6,68.6,70.1,,68.2,,,,,,1,0,10,0.0,56.3,0.0,0,0,0,3,0,1,10.0,50,5.0,0,80.0,5,5,-4.6,1.15,0,0,0.0,80.0,4,0,0.0,6,13.0,0,0,,,,64.2,57.1,68.6,,56.9,,,,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,3,0.6,-0.76
Ken Seals,124359,QB,VANDERBILT,1,-21.93,0,46,333,54.3,35,38,8.2,2.42,0,1,2.6,44.7,17,20,10.5,40,87.0,2,9,,,,69.5,54.0,21.0,,54.5,60.0,,60.0,,,0,2,41,10.0,36.6,5.0,2,0,0,3,0,2,4.9,175,4.6,63.9,36,38,6.7,2.24,0,1,2.6,55.3,21,18,8.7,39,84.8,2,9,,,,69.5,60.9,20.0,,61.3,,,60.0,,,0,2,40,5.6,47.6,2.6,1,0,0,2,0,2,5.0,195,5.1,40.0,5,6,6.6,2.53,0,0,0.0,33.3,2,4,0.0,7,15.2,0,0,,,,64.6,41.7,69.5,,41.7,60.0,,,,,0,0,7,25.0,42.4,14.3,1,0,0,1,0,0,0.0,5,0.8,0,100.0,6,6,-2.2,1.38,0,0,0.0,100.0,6,2,0.0,6,13.0,0,0,,,,64.2,66.2,68.6,,65.9,,,,,,0,0,6,0.0,84.0,0.0,0,0,0,0,0,0,0.0,25,4.2,-4.3
Chase Cunningham,78533,QB,MIDDLE TN,1,-23.64,0,46,224,58.8,34,38,10.7,2.79,0,3,7.7,47.4,18,19,10.0,42,91.3,2,8,,,,29.6,51.4,76.3,,49.4,,,62.6,,,1,1,43,15.8,62.5,7.1,3,1,0,3,1,2,4.7,211,5.6,75.0,20,22,10.7,2.74,0,3,12.5,63.6,14,10,6.7,25,54.3,1,7,,,,25.4,69.9,75.1,,66.4,,,67.4,,,1,0,27,30.0,102.7,12.0,3,0,0,1,1,1,3.7,171,7.8,50.0,18,20,8.3,2.75,0,0,0.0,40.0,8,10,11.1,21,45.7,1,3,,,,67.2,33.1,72.5,,35.0,,,56.7,,,0,1,21,0.0,43.8,0.0,0,1,0,2,1,1,4.8,59,3.0,0,100.0,4,4,-0.5,2.25,0,0,0.0,100.0,4,1,0.0,4,8.7,0,2,,,,63.8,64.2,68.1,,63.9,,,,,,0,0,5,0.0,126.0,0.0,0,0,0,0,1,0,0.0,19,4.8,-4.82
Henry Colombi,60583,QB,TEXAS TECH,1,-14.56,0,45,315,65.7,35,40,11.9,2.87,3,1,2.4,55.0,22,15,4.3,44,97.8,1,15,,,,70.2,71.0,77.1,,73.1,,,54.6,,,1,1,46,6.7,72.4,2.3,1,3,0,1,0,0,0.0,335,8.4,68.0,25,28,10.6,2.95,1,0,0.0,60.7,17,13,0.0,31,68.9,0,11,,,,69.4,62.5,76.3,,63.2,,,57.0,,,1,0,32,7.7,86.9,3.2,1,2,0,1,0,0,0.0,230,8.2,63.6,11,13,13.2,2.59,2,1,7.1,46.2,6,2,14.3,14,31.1,1,4,,,,66.4,81.0,71.4,,83.4,,,57.3,,,0,1,15,0.0,45.0,0.0,0,1,0,0,0,0,0.0,114,8.8,0,100.0,1,1,-5.0,1.6,0,0,0.0,100.0,1,0,0.0,1,2.2,0,0,,,,60.3,60.8,63.6,,60.6,,,,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,0.56
AJ Mayer,63860,QB,MIAMI OH,1,2.86,0,43,221,44.1,34,38,17.1,2.58,3,1,2.6,39.5,15,11,0.0,42,97.7,0,14,,,,71.2,59.3,76.9,,56.9,,,64.2,,,1,0,43,27.3,62.4,7.1,3,1,0,0,0,0,0.0,250,6.6,45.5,22,25,12.0,2.27,3,0,0.0,40.0,10,6,0.0,26,60.5,0,8,,,,70.6,58.2,75.9,,57.1,,,60.2,,,0,0,27,16.7,53.9,3.8,1,0,0,0,0,0,0.0,111,4.4,46.2,13,14,24.4,3.0,0,1,7.1,42.9,6,5,0.0,17,39.5,0,6,,,,66.5,61.8,71.8,,58.4,,,64.1,,,1,0,17,40.0,81.8,11.8,2,1,0,0,0,0,0.0,148,10.6,0,100.0,1,1,-1.0,1.5,0,0,0.0,100.0,1,0,0.0,1,2.3,0,0,,,,60.3,60.6,63.6,,60.4,,,,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,6.13
Max Johnson,124099,QB,LSU,1,7.66,0,43,211,64.7,34,36,15.6,3.04,1,2,5.4,52.8,19,14,13.6,40,93.0,3,11,,,,31.8,57.6,24.6,,59.4,,,57.0,,,0,0,41,21.4,86.2,7.5,3,1,0,1,1,3,7.3,267,7.4,69.0,29,31,12.4,2.87,1,2,6.3,54.8,17,13,15.0,34,79.1,3,8,,,,29.1,54.5,21.9,,56.6,,,57.0,,,0,0,35,15.4,85.8,5.9,2,1,0,1,1,3,8.6,203,6.5,62.5,8,8,19.6,2.92,0,0,0.0,62.5,5,1,0.0,9,20.9,0,3,,,,65.1,68.7,69.8,,68.3,,,,,,0,0,9,100.0,84.4,11.1,1,0,0,0,0,0,0.0,58,7.3,0,100.0,3,3,-4.7,0.73,0,0,0.0,100.0,3,0,0.0,3,7.0,0,0,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-6,-2.0,0.7
