player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Leavitt,175465,QB,ARIZONA ST,1,-45.45,0,22,110,63.6,11,12,19.8,3.27,1,0,0.0,58.3,7,8,0.0,17,77.3,0,8,,68.2,70.5,74.8,61.6,60.0,71.8,0,0,17,12.5,142.4,5.9,1,4,0,0,2,1,5.9,167,13.9,100.0,6,6,2.3,2.39,0,0,0.0,100.0,6,3,0.0,8,36.4,0,4,,67.2,69.7,73.5,64.6,,65.2,0,0,8,0.0,158.3,0.0,0,2,0,0,2,0,0.0,78,13.0,60.0,10,11,18.4,3.09,1,0,0.0,54.5,6,5,0.0,14,63.6,0,7,,66.2,68.3,71.8,61.7,60.0,70.8,0,0,14,20.0,129.9,7.1,1,2,0,0,1,1,7.1,141,12.8,0,100.0,5,5,-4.0,1.36,0,0,0.0,100.0,5,0,0.0,5,22.7,0,3,,63.8,65.6,68.1,65.3,,,0,0,5,,149.6,0.0,0,0,0,0,1,0,0.0,52,10.4,-0.18
Gunner Stockton,157072,QB,GEORGIA,1,13.33,0,20,173,77.8,9,11,6.8,3.1,1,0,0.0,63.6,7,6,0.0,14,70.0,0,5,,70.0,51.3,74.7,45.1,,61.7,0,1,15,33.3,41.5,14.3,2,1,0,1,0,1,6.7,64,5.8,77.8,9,10,5.7,2.21,1,0,0.0,70.0,7,3,0.0,12,60.0,0,3,,69.9,49.1,74.4,44.5,,59.7,0,1,12,33.3,39.6,8.3,1,0,0,0,0,1,8.3,45,4.5,100.0,5,6,-1.0,2.99,0,0,0.0,83.3,5,3,0.0,8,40.0,0,2,,65.1,65.4,69.8,62.0,,61.7,0,0,9,33.3,84.7,12.5,1,1,0,1,0,0,0.0,26,4.3,0,100.0,5,5,-3.0,1.17,0,0,0.0,100.0,5,0,0.0,6,30.0,0,0,,64.2,63.4,68.6,63.2,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,7,1.4,-0.17
Tyler Huff,142567,QB,JVILLE ST,1,-30.77,0,15,196,71.4,14,14,16.9,2.43,0,1,6.7,71.4,10,0,0.0,14,93.3,0,7,,76.7,90.6,76.9,86.7,,76.3,0,0,15,,149.7,0.0,0,0,0,0,2,0,0.0,163,11.6,100.0,2,2,4.5,2.0,0,0,0.0,100.0,2,0,0.0,2,13.3,0,1,,77.3,85.3,76.2,67.8,,76.3,0,0,3,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,69.2,13,13,17.6,2.4,0,1,7.7,69.2,9,0,0.0,13,86.7,0,7,,66.0,87.8,71.0,86.9,,,0,0,13,,151.4,0.0,0,0,0,0,2,0,0.0,163,12.5,0,100.0,1,1,1.0,1.2,0,0,0.0,100.0,1,0,0.0,1,6.7,0,1,,60.3,61.1,63.6,61.0,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0,6.04
Carson Beck,124010,QB,GEORGIA,1,42.5,0,14,173,55.6,9,9,14.1,2.94,0,1,7.7,33.3,3,6,40.0,10,71.4,2,2,,21.7,39.3,73.0,38.4,,59.9,0,0,14,16.7,46.1,10.0,1,0,0,0,0,2,14.3,35,3.9,62.5,8,8,9.9,2.52,0,1,9.1,37.5,3,5,40.0,9,64.3,2,1,,20.5,37.5,72.7,36.2,,59.9,0,0,12,20.0,45.8,11.1,1,0,0,0,0,2,16.7,18,2.3,80.0,5,5,7.2,2.3,0,0,0.0,80.0,4,1,0.0,5,35.7,0,2,,64.2,60.6,68.6,60.4,,,0,0,6,0.0,98.3,0.0,0,0,0,0,0,0,0.0,38,7.6,0,100.0,4,4,-3.0,1.2,0,0,0.0,100.0,4,0,0.0,4,28.6,0,1,,63.3,64.9,67.4,64.7,,,0,0,4,,88.5,0.0,0,0,0,0,0,0,0.0,21,5.3,5.35
Chandler Fields,97286,QB,LA LAFAYET,1,0.0,0,9,207,66.7,6,8,16.7,2.63,2,1,12.5,50.0,4,2,0.0,9,100.0,0,2,,66.3,75.1,71.8,80.0,,56.4,0,0,9,0.0,95.8,0.0,0,1,0,0,0,0,0.0,104,13.0,75.0,4,6,12.8,2.44,2,1,16.7,50.0,3,2,0.0,7,77.8,0,1,,65.9,72.1,71.4,78.1,,56.4,0,0,7,0.0,83.3,0.0,0,1,0,0,0,0,0.0,57,9.5,50.0,2,2,24.5,3.3,0,0,0.0,50.0,1,0,0.0,2,22.2,0,1,,61.8,70.0,65.5,69.7,,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,47,23.5,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,14.0
Connor Moberly,184835,QB,IOWA STATE,1,0.0,0,5,193,0.0,3,3,12.3,3.38,0,0,0.0,0.0,0,0,,5,100.0,0,0,,65.7,36.3,69.8,39.3,,52.6,0,0,6,,39.6,0.0,0,2,0,0,0,0,0.0,0,0.0,0.0,3,3,12.3,2.95,0,0,0.0,0.0,0,0,,4,80.0,0,0,,65.5,38.2,69.5,39.3,,55.7,0,0,5,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,,0,0,,5.1,0,0,,,0,0,,1,20.0,0,0,,60.3,53.7,63.6,,,57.3,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Bryson Daily,147303,QB,ARMY,1,0.0,0,3,114,100.0,2,2,4.5,2.87,0,0,0.0,100.0,2,2,0.0,3,100.0,0,2,,77.5,84.3,76.2,72.7,,74.4,0,0,3,0.0,102.1,0.0,0,1,0,0,0,0,0.0,17,8.5,100.0,1,1,1.0,1.6,0,0,0.0,100.0,1,0,0.0,1,33.3,0,0,,77.7,80.5,76.0,60.4,,73.1,0,0,1,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0,100.0,1,1,8.0,3.5,0,0,0.0,100.0,1,2,0.0,2,66.7,0,2,,61.8,81.1,65.5,71.5,,64.3,0,0,2,0.0,104.2,0.0,0,1,0,0,0,0,0.0,9,9.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.0
Henry Hesson,145798,QB,MIAMI OH,1,0.0,0,2,221,,0,0,,5.9,0,0,,,0,2,,2,100.0,0,0,,61.8,48.1,69.8,,,52.6,0,0,2,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0,,,0,0,,6.2,0,0,,,0,1,,1,50.0,0,0,,60.3,53.8,69.5,,,57.0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,,0,0,,5.6,0,0,,,0,1,,1,50.0,0,0,,60.3,53.7,63.6,,,57.3,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Roderick Daniels Jr.,144356,WR,SMU,1,0.0,0,1,287,0.0,1,1,24.0,5.1,0,0,0.0,0.0,0,0,,1,100.0,0,0,49.8,65.9,62.9,0.0,50.8,66.2,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,45.4,65.0,53.6,0.0,,55.1,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,24.0,5.1,0,0,0.0,0.0,0,0,,1,100.0,0,0,74.9,65.3,90.4,72.0,50.8,92.5,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,73.1,64.1,69.0,69.5,,68.2,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Drew Bobo,163736,C,GEORGIA,1,-100.0,0,1,173,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-7.0,0.8,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,60.3,60.5,60.0,60.6,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-7.0,0.8,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,60.3,60.5,60.0,60.6,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,-9.0
Beau Pribula,164182,QB,PENN STATE,1,0.0,0,1,266,,0,0,,3.2,0,0,,,0,1,,1,100.0,0,0,,65.9,59.0,68.1,60.0,,60.5,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,3.2,0,0,,,0,1,,1,100.0,0,0,,65.9,59.0,68.1,60.0,,60.5,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Cam Skattebo,147787,HB,ARIZONA ST,1,0.0,0,1,110,,0,1,,6.7,0,0,0.0,0.0,0,1,,1,100.0,0,0,,75.4,88.1,76.1,60.0,53.9,91.1,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,70.7,75.5,91.0,74.7,,67.9,91.1,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,6.7,0,0,0.0,0.0,0,1,,1,100.0,0,0,,60.3,57.6,73.0,60.0,54.9,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,70.7,62.9,65.4,68.6,,76.7,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
