player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Cam Ward,133244,QB,WASH STATE,1,28.07,0,67,341,74.4,43,47,8.3,3.81,0,1,2.0,59.6,28,34,12.5,62,92.5,4,13,,,,,44.8,54.1,31.9,57.7,,52.6,0,0,65,20.6,91.6,11.3,7,7,0,4,2,1,1.5,290,6.2,68.8,32,35,8.3,3.74,0,1,2.8,54.3,19,26,13.6,47,70.1,3,10,,,,,38.7,50.9,26.2,51.5,,58.4,0,0,49,26.9,89.9,14.9,7,4,0,3,2,1,2.0,198,5.7,93.8,16,17,5.0,3.36,0,0,0.0,82.4,14,8,6.7,20,29.9,1,6,,,,,67.2,65.5,72.5,72.8,,49.4,0,0,21,0.0,97.1,0.0,0,3,0,1,0,0,0.0,124,7.3,0,100.0,5,5,-2.4,1.3,0,0,0.0,100.0,5,0,0.0,5,7.5,0,3,,,,,63.8,65.1,68.1,64.8,,,0,0,5,,93.3,0.0,0,0,0,0,0,0,0.0,32,6.4,1.63
E.J. Warner,156185,QB,TEMPLE,1,-9.78,0,63,306,75.9,54,57,10.7,2.45,3,3,5.2,70.2,40,10,2.4,57,90.5,1,27,,,,,40.7,81.4,77.1,80.4,,,0,1,58,0.0,120.1,0.0,0,0,0,0,5,2,3.4,515,9.0,78.9,38,40,7.6,2.22,1,3,7.3,75.0,30,5,0.0,40,63.5,0,17,,,,,31.8,82.7,76.1,82.0,,,0,0,41,0.0,121.9,0.0,0,0,0,1,3,1,2.4,310,7.8,76.2,21,23,12.7,2.7,2,0,0.0,65.2,15,6,6.3,23,36.5,1,10,,,,,67.5,69.7,72.8,69.2,,,0,1,23,0.0,106.6,0.0,0,0,0,0,2,1,4.3,217,9.4,0,100.0,5,6,-3.8,1.87,0,0,0.0,83.3,5,1,0.0,6,9.5,0,0,,,,,64.2,63.5,68.6,63.2,,,0,0,6,0.0,79.2,0.0,0,0,0,1,0,0,0.0,12,2.0,1.68
Drake Maye,143969,QB,N CAROLINA,1,-42.86,0,57,245,63.6,44,47,8.7,3.0,0,2,4.0,57.4,27,21,3.6,55,96.5,1,15,,,,,72.1,61.2,78.0,64.4,,53.0,0,1,58,9.5,68.8,3.6,2,6,0,3,1,1,1.7,233,5.0,75.8,33,35,6.1,2.69,0,1,2.8,71.4,25,13,0.0,41,71.9,0,13,,,,,71.5,68.7,77.3,72.1,,55.9,0,1,42,15.4,74.8,4.9,2,4,0,2,0,0,0.0,211,6.0,38.5,13,14,13.4,3.59,0,1,6.3,28.6,4,8,20.0,16,28.1,1,2,,,,,66.8,47.1,72.0,50.3,,52.9,0,0,18,0.0,63.4,0.0,0,2,0,1,1,1,5.6,22,1.6,0,100.0,2,2,-3.0,1.35,0,0,0.0,100.0,2,0,0.0,2,3.5,0,0,,,,,61.8,62.8,65.5,62.6,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,-4.46
Clayton Tune,77652,QB,HOUSTON,1,14.04,0,56,182,80.0,35,40,11.0,3.98,1,3,7.5,50.0,20,15,28.6,49,87.5,8,16,,,,,70.1,89.1,76.7,91.8,,52.3,0,1,50,13.3,77.3,4.1,2,7,0,4,1,0,0.0,342,8.6,79.4,34,38,9.8,3.82,1,3,7.9,52.6,20,12,25.9,46,82.1,7,15,,,,,69.9,86.4,76.5,90.7,,53.8,0,1,47,16.7,71.4,4.3,2,6,0,3,0,0,0.0,332,8.7,100.0,7,9,4.9,3.58,0,0,0.0,66.7,6,4,14.3,10,17.9,1,3,,,,,65.4,77.3,70.1,81.4,,57.3,0,0,10,0.0,122.2,0.0,0,1,0,2,2,0,0.0,54,6.0,0,100.0,6,7,-3.3,2.39,0,0,0.0,85.7,6,1,0.0,7,12.5,0,2,,,,,64.6,64.1,69.1,63.9,,,0,0,7,0.0,132.4,0.0,0,0,0,1,1,0,0.0,44,6.3,-2.74
Haden Carlson,123620,QB,FIU,1,2.8,0,56,166,66.7,45,50,13.6,2.29,2,4,7.8,52.0,26,24,13.3,53,94.6,4,21,,,,,70.6,65.1,77.0,63.0,,66.1,0,4,54,8.3,72.8,3.8,2,1,1,2,4,7,13.0,408,8.2,69.0,42,46,12.7,2.28,1,4,8.7,54.3,25,21,13.8,48,85.7,4,20,,,,,70.3,72.9,76.7,70.8,,66.1,0,3,48,4.8,83.9,2.1,1,1,1,2,4,5,10.4,383,8.3,66.7,6,7,12.3,2.31,1,0,0.0,57.1,4,4,0.0,8,14.3,0,2,,,,,65.1,35.6,69.8,35.9,,,0,1,9,25.0,31.0,12.5,1,0,0,0,0,2,22.2,35,5.0,0,100.0,3,3,-2.7,2.13,0,0,0.0,100.0,3,1,0.0,3,5.4,0,1,,,,,62.7,64.1,66.6,63.9,,,0,0,3,0.0,80.6,0.0,0,0,0,0,0,0,0.0,10,3.3,-3.33
Tyler Shough,83537,QB,TEXAS TECH,1,18.59,0,55,315,73.7,38,44,9.8,3.01,2,3,6.8,56.8,25,16,10.7,48,87.3,3,19,,,,,71.4,89.7,78.2,83.5,,78.3,0,1,48,6.3,92.2,2.1,1,3,1,3,2,1,2.1,392,8.9,75.8,33,39,9.2,2.97,2,1,2.6,56.4,22,12,12.0,43,78.2,3,18,,,,,71.2,84.9,78.0,77.5,,78.3,0,1,43,8.3,90.1,2.3,1,3,1,3,2,1,2.3,324,8.3,75.0,12,12,4.3,2.21,0,2,16.7,75.0,9,5,0.0,12,21.8,0,4,,,,,65.8,84.9,70.7,84.2,,,0,0,12,0.0,103.5,0.0,0,0,0,0,0,0,0.0,112,9.3,0,85.7,7,7,-2.0,1.39,0,0,0.0,85.7,6,1,0.0,7,12.7,0,3,,,,,64.6,66.6,69.1,66.3,,,0,0,7,0.0,92.9,0.0,0,0,0,0,0,0,0.0,44,6.3,1.02
Trenton Bourguet,97285,QB,ARIZONA ST,1,-8.04,0,54,110,81.8,33,36,11.2,2.93,0,1,2.6,72.2,26,17,3.7,42,77.8,1,22,,,,,36.7,76.9,77.3,77.7,,59.9,0,2,45,11.8,98.6,4.8,2,4,0,3,2,2,4.4,354,9.8,92.0,25,26,6.5,2.82,0,0,0.0,80.8,21,12,8.7,31,57.4,2,14,,,,,29.7,72.6,76.7,75.1,,56.5,0,1,33,16.7,125.0,6.5,2,3,0,1,3,1,3.0,224,8.6,80.0,20,22,8.5,2.35,0,1,4.3,72.7,16,6,0.0,23,42.6,0,10,,,,,67.6,76.8,73.0,74.6,,63.7,0,1,24,0.0,72.5,0.0,0,1,0,2,0,1,4.2,152,6.9,0,100.0,12,12,-3.0,1.53,0,0,0.0,91.7,11,1,8.3,12,22.2,1,2,,,,,65.8,68.7,70.7,68.3,,,0,0,12,0.0,106.9,0.0,0,0,0,0,1,0,0.0,22,1.8,-1.71
Austin Reed,111760,QB,W KENTUCKY,1,0.89,0,54,346,50.0,38,40,17.6,2.7,2,4,9.1,42.5,17,2,10.5,41,75.9,2,14,,,,,71.6,62.9,77.3,60.8,,64.1,0,1,45,0.0,88.4,0.0,0,1,0,0,3,3,6.7,349,8.7,57.5,40,41,13.9,2.49,1,4,9.1,53.7,22,2,4.3,43,79.6,1,15,,,,,71.7,61.6,77.3,59.3,,64.1,0,1,46,0.0,97.2,0.0,0,1,0,0,3,3,6.5,356,8.7,70.0,10,11,9.1,2.22,1,0,0.0,54.5,6,0,14.3,11,20.4,1,2,,,,,65.8,66.6,70.7,66.3,,,0,0,12,,65.7,0.0,0,0,0,0,0,0,0.0,48,4.4,0,91.7,12,12,-1.8,1.58,0,0,0.0,91.7,11,0,0.0,13,24.1,0,3,,,,,66.0,62.9,71.0,62.6,,,0,0,13,,85.8,0.0,0,0,0,0,0,0,0.0,55,4.6,-4.32
Aveon Smith,130529,QB,MIAMI OH,1,-22.38,0,54,221,46.2,39,43,16.3,2.73,2,0,0.0,34.9,15,14,16.7,51,94.4,3,17,,,,,74.2,51.7,77.6,36.2,,78.9,0,1,54,21.4,47.6,5.9,3,5,0,2,1,4,7.4,190,4.4,51.6,31,33,14.3,2.55,0,0,0.0,45.5,15,7,6.3,37,68.5,1,15,,,,,74.0,60.7,76.9,47.7,,75.9,0,1,40,14.3,59.3,2.7,1,3,0,2,1,2,5.0,173,5.2,45.5,11,13,16.3,2.94,2,0,0.0,23.1,3,7,40.0,17,31.5,2,4,,,,,66.7,37.0,71.8,29.5,,71.1,0,0,17,28.6,39.9,11.8,2,2,0,0,0,2,11.8,40,3.1,0,100.0,3,3,-4.0,1.77,0,0,0.0,100.0,3,0,0.0,3,5.6,0,2,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,98.6,0.0,0,0,0,0,0,0,0.0,23,7.7,-2.16
Kyle Vantrease,55029,QB,GA SOUTHRN,1,15.74,0,52,174,65.1,43,44,13.2,2.5,0,4,8.5,61.4,27,5,3.6,44,84.6,1,14,,,,,38.8,68.7,77.0,70.1,,53.6,0,1,47,0.0,93.5,0.0,0,0,0,1,2,1,2.1,365,8.3,60.9,23,24,8.5,2.12,0,1,3.8,58.3,14,2,0.0,25,48.1,0,5,,,,,28.5,62.5,75.7,64.7,,53.6,0,0,27,0.0,84.2,0.0,0,0,0,1,1,0,0.0,113,4.7,77.8,27,27,13.1,2.36,0,3,10.7,74.1,20,4,4.8,27,51.9,1,11,,,,,68.0,72.7,73.5,72.1,,,0,1,28,0.0,116.1,0.0,0,0,0,0,2,1,3.6,279,10.3,0,100.0,7,7,-2.9,0.86,0,0,0.0,100.0,7,1,0.0,8,15.4,0,2,,,,,64.9,64.8,69.5,64.5,,,0,0,8,0.0,122.3,0.0,0,0,0,0,1,0,0.0,27,3.9,5.62
