player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Austin Reed,111760,QB,W KENTUCKY,1,1.36,0,63,346,59.4,32,34,11.0,2.37,1,5,13.5,50.0,17,15,10.5,40,63.5,2,12,,,,,70.8,69.5,76.9,,64.6,,,71.4,,,0,1,43,33.3,83.7,12.5,5,1,0,1,2,2,4.7,266,7.8,74.4,39,39,7.0,2.16,0,4,9.8,69.2,27,11,6.9,44,69.8,2,14,,,,,70.9,69.5,77.0,,64.8,,,71.4,,,0,1,46,36.4,91.1,9.1,4,1,0,0,1,2,4.3,313,8.0,80.0,15,17,2.7,1.61,1,1,5.6,70.6,12,6,0.0,19,30.2,0,5,,,,,23.9,57.5,72.4,,57.2,,,,,,0,0,20,33.3,122.9,10.5,2,0,0,1,2,1,5.0,93,5.5,0,100.0,22,22,-1.8,1.33,0,0,0.0,100.0,22,2,0.0,23,36.5,0,7,,,,,25.2,58.2,72.8,,57.9,,,,,,0,0,23,50.0,108.3,4.3,1,0,0,0,1,1,4.3,140,6.4,-2.56
Chase Cunningham,78533,QB,MIDDLE TN,1,2.77,0,60,224,78.6,42,52,8.3,3.01,1,1,1.8,57.7,30,22,9.1,54,90.0,3,14,,,,,27.1,50.7,77.3,,57.4,,,41.3,,,2,0,58,4.5,85.7,1.9,1,1,1,6,1,3,5.2,363,7.0,81.1,37,46,6.4,2.87,1,1,2.0,60.9,28,19,6.7,49,81.7,2,10,,,,,26.3,46.9,77.0,,53.9,,,41.3,,,1,0,53,5.3,83.4,2.0,1,1,1,6,1,3,5.7,258,5.6,80.0,10,11,10.4,2.79,0,0,0.0,63.6,7,3,12.5,11,18.3,1,4,,,,,65.6,71.1,70.4,,70.7,,,,,,1,0,11,0.0,96.8,0.0,0,0,0,0,0,0,0.0,110,10.0,0,100.0,5,5,-1.8,1.42,0,0,0.0,100.0,5,0,0.0,6,10.0,0,0,,,,,64.2,63.4,68.6,,63.2,,,,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,5,1.0,4.39
John Paddock,77689,QB,BALL ST,1,7.0,0,59,117,78.0,41,45,9.3,2.29,2,1,2.0,68.9,31,12,3.1,46,78.0,1,20,,,,,70.5,75.7,77.6,,76.6,,,54.6,,,0,2,51,8.3,88.0,2.2,1,0,0,2,2,1,2.0,348,7.7,82.6,46,50,7.4,2.21,2,1,1.9,68.0,34,11,10.5,51,86.4,4,22,,,,,70.7,76.0,77.8,,76.9,,,54.6,,,0,2,55,9.1,91.8,2.0,1,0,0,2,3,1,1.8,357,7.1,75.0,8,8,2.5,2.01,0,0,0.0,75.0,6,1,0.0,8,13.6,0,2,,,,,65.1,62.2,69.8,,62.0,,,,,,0,0,9,0.0,90.6,0.0,0,0,0,0,0,0,0.0,50,6.3,0,92.3,13,13,-1.5,1.82,0,0,0.0,69.2,9,0,25.0,13,22.0,3,4,,,,,66.0,64.8,71.0,,64.5,,,,,,0,0,13,,104.3,0.0,0,0,0,0,1,0,0.0,59,4.5,-0.89
Seth Henigan,144267,QB,MEMPHIS,1,6.82,0,58,218,65.8,38,40,10.4,3.13,0,0,0.0,52.5,21,20,16.0,52,89.7,4,12,,,,,72.0,53.9,77.5,,50.8,,,61.9,,,0,0,57,20.0,73.3,7.7,4,8,0,2,1,3,5.3,184,4.6,70.0,30,33,8.2,3.17,1,0,0.0,51.5,17,15,19.0,41,70.7,4,8,,,,,71.5,58.8,76.7,,59.9,,,57.0,,,0,0,42,20.0,62.7,7.3,3,5,0,2,0,1,2.4,140,4.2,66.7,12,12,11.2,2.85,0,0,0.0,58.3,7,8,12.5,17,29.3,1,5,,,,,67.2,47.9,72.5,,42.3,,,65.7,,,0,0,21,12.5,97.6,5.9,1,4,0,0,1,2,9.5,55,4.6,0,100.0,4,5,-3.3,2.62,1,0,0.0,60.0,3,3,25.0,6,10.3,1,1,,,,,64.2,57.2,68.6,,62.3,,,57.0,,,0,0,6,0.0,64.6,0.0,0,1,0,0,0,0,0.0,11,2.2,0.34
Donovan Smith,73929,QB,TEXAS TECH,1,8.35,0,58,315,71.4,35,38,11.6,3.11,1,3,7.5,65.8,25,21,0.0,48,82.8,0,17,,,,,44.8,60.7,77.3,,59.5,,,60.9,,,0,2,51,33.3,87.4,14.6,7,3,0,2,2,4,7.8,318,8.4,75.0,32,35,9.3,3.0,1,2,5.4,68.6,24,18,0.0,44,75.9,0,12,,,,,43.4,56.0,77.1,,55.6,,,58.3,,,0,2,47,38.9,72.8,15.9,7,2,0,2,1,4,8.5,234,6.7,76.9,13,13,7.8,2.21,0,1,7.7,76.9,10,3,0.0,14,24.1,0,6,,,,,66.2,74.8,71.2,,71.3,,,64.0,,,0,0,14,0.0,131.9,0.0,0,1,0,0,1,0,0.0,125,9.6,0,90.0,10,10,-0.7,1.38,0,0,0.0,90.0,9,0,0.0,10,17.2,0,1,,,,,65.4,63.2,70.1,,63.0,,,,,,0,0,10,,83.8,0.0,0,0,0,0,0,0,0.0,41,4.1,2.93
Hayden Wolff,98362,QB,DOMINION,1,-43.41,0,55,263,73.7,38,41,8.0,2.98,2,2,4.5,53.7,22,21,21.4,50,90.9,6,15,,,,,24.8,67.4,77.5,,67.5,,,59.3,,,1,1,53,23.8,70.9,10.0,5,4,0,0,1,3,5.7,257,6.3,77.5,40,41,6.6,2.86,1,2,4.5,63.4,26,20,16.1,50,90.9,5,17,,,,,24.8,70.8,77.5,,71.1,,,59.3,,,0,1,53,25.0,90.5,10.0,5,4,0,0,2,3,5.7,290,7.1,66.7,3,5,7.7,2.94,1,0,0.0,20.0,1,1,50.0,5,9.1,1,0,,,,,63.8,47.9,68.1,,48.0,,,,,,1,0,5,0.0,39.6,0.0,0,0,0,0,0,0,0.0,7,1.4,0,100.0,5,5,-3.8,1.68,0,0,0.0,100.0,5,0,0.0,5,9.1,0,2,,,,,63.8,65.6,68.1,,65.3,,,,,,0,0,5,,139.6,0.0,0,0,0,0,1,0,0.0,40,8.0,-5.67
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.56,0,54,340,73.7,38,41,9.8,2.57,1,2,4.2,61.0,25,13,10.7,46,85.2,3,16,,,,,69.8,52.0,77.3,,52.2,,,56.0,,,0,2,53,15.4,94.0,4.3,2,3,1,1,4,2,3.8,284,6.9,79.4,34,36,7.4,2.37,0,1,2.3,66.7,24,9,11.1,38,70.4,3,15,,,,,69.4,57.2,76.9,,56.7,,,59.2,,,0,1,45,0.0,94.0,0.0,0,2,1,1,2,1,2.2,254,7.1,75.0,12,13,8.7,2.53,1,1,7.7,69.2,9,5,0.0,16,29.6,0,4,,,,,66.5,49.6,71.6,,51.6,,,57.0,,,0,1,16,40.0,96.5,12.5,2,1,0,0,2,1,6.3,91,7.0,0,100.0,8,8,-2.3,1.5,0,0,0.0,100.0,8,1,0.0,8,14.8,0,3,,,,,64.9,67.2,69.5,,66.9,,,,,,0,0,8,0.0,98.4,0.0,0,0,0,0,0,0,0.0,61,7.6,-0.06
Hunter Dekkers,122511,QB,IOWA STATE,1,-18.75,0,54,193,69.0,42,43,8.1,2.66,0,1,2.3,60.5,26,15,10.3,49,90.7,3,12,,,,,71.2,52.6,27.7,,49.9,,,67.6,,,1,1,52,33.3,74.9,10.2,5,1,0,0,1,2,3.8,251,5.8,80.6,31,32,4.9,2.53,0,0,0.0,68.8,22,9,12.0,36,66.7,3,8,,,,,70.7,60.5,22.4,,57.7,,,67.6,,,1,1,39,33.3,77.2,8.3,3,1,0,0,1,1,2.6,157,4.9,56.3,16,16,10.8,2.58,0,1,6.3,50.0,8,6,11.1,18,33.3,1,5,,,,,66.8,45.2,72.0,,45.3,,,,,,0,0,18,33.3,77.6,11.1,2,0,0,0,0,1,5.6,130,8.1,0,100.0,5,5,-3.0,1.44,0,0,0.0,80.0,4,0,20.0,5,9.3,1,1,,,,,63.8,65.7,68.1,,65.4,,,,,,0,0,5,,96.7,0.0,0,0,0,0,0,0,0.0,36,7.2,3.22
N'Kosi Perry,60446,QB,FAU,1,-21.32,0,54,165,60.0,40,42,14.0,3.02,0,6,14.0,47.6,20,15,16.7,46,85.2,4,15,,,,,69.9,75.2,77.2,,72.2,,,68.9,,,0,2,47,6.7,65.7,2.2,1,3,0,2,2,4,8.5,281,6.7,63.6,33,34,10.4,2.51,0,2,5.7,58.8,20,11,4.8,37,68.5,1,10,,,,,69.3,58.6,76.7,,52.8,,,73.1,,,0,2,38,9.1,56.7,2.7,1,2,0,1,1,3,7.9,166,4.9,60.0,15,16,12.7,3.42,0,4,25.0,37.5,6,4,33.3,17,31.5,3,6,,,,,66.7,90.8,71.8,,91.4,,,57.3,,,0,0,17,0.0,87.8,0.0,0,1,0,1,1,2,11.8,129,8.1,0,75.0,8,8,-3.0,1.54,0,0,0.0,75.0,6,0,0.0,8,14.8,0,1,,,,,64.9,53.0,69.5,,52.9,,,,,,0,0,8,,77.1,0.0,0,0,0,0,0,1,12.5,14,1.8,3.18
Jayden de Laura,131928,QB,ARIZONA,1,-18.75,0,53,109,81.6,38,43,10.1,2.98,1,2,4.5,65.1,28,12,9.7,47,88.7,3,25,,,,66.7,70.5,87.9,77.4,,84.3,89.1,,66.5,,,0,0,49,8.3,137.2,2.1,1,3,2,2,6,0,0.0,426,9.9,85.7,28,32,6.4,2.86,1,1,3.0,75.0,24,7,0.0,34,64.2,0,21,,,,66.7,69.8,80.9,76.7,,77.6,89.1,,62.8,,,0,0,36,0.0,146.0,0.0,0,2,2,1,4,0,0.0,321,10.0,80.0,15,16,12.3,2.6,0,1,6.3,56.3,9,5,25.0,19,35.8,3,7,,,,,67.0,85.2,72.2,,82.2,,,64.1,,,0,0,19,20.0,131.0,5.3,1,1,0,1,2,0,0.0,163,10.2,0,100.0,5,5,-4.0,1.13,0,0,0.0,100.0,5,0,0.0,6,11.3,0,3,,,,,64.2,63.4,68.6,,63.2,,,,,,0,0,6,,115.0,0.0,0,0,0,0,0,0,0.0,58,11.6,0.16
