player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Bailey Zappe,60396,QB,W KENTUCKY,1,10.0,0,70,346,74.5,51,54,9.4,2.76,0,4,6.9,66.7,36,15,5.3,59,84.3,2,23,,,,,43.4,73.2,77.6,76.8,,43.3,0,0,63,20.0,110.4,5.1,3,2,0,3,3,0,0.0,444,8.2,77.1,48,50,7.7,2.51,0,2,3.8,70.0,35,11,5.4,55,78.6,2,19,,,,,41.2,68.1,77.3,72.1,,43.3,0,0,57,27.3,95.8,5.5,3,2,0,2,1,0,0.0,345,6.9,85.7,14,15,6.6,2.57,0,2,11.8,80.0,12,4,0.0,15,21.4,0,6,,,,,66.7,79.1,71.8,78.4,,,0,0,17,0.0,145.1,0.0,0,0,0,1,2,0,0.0,140,9.3,0,100.0,11,11,-1.6,1.23,0,0,0.0,100.0,11,0,0.0,11,15.7,0,2,,,,,65.6,63.8,70.4,63.5,,,0,0,11,,82.2,0.0,0,0,0,0,0,0,0.0,41,3.7,2.43
Will Rogers,124184,QB,MISS STATE,1,-3.43,0,63,227,79.1,43,44,7.9,2.65,1,2,4.3,72.7,32,6,5.9,48,76.2,2,19,,,,,70.5,88.1,76.8,86.1,,65.9,0,0,52,50.0,114.0,6.3,3,1,0,0,3,0,0.0,302,6.9,84.3,51,51,5.1,2.35,0,2,3.7,78.4,40,5,7.0,54,85.7,3,20,,,,,70.8,86.5,77.1,84.5,,65.9,0,0,58,40.0,112.4,3.7,2,1,0,0,3,0,0.0,320,6.3,85.7,7,8,7.3,2.54,1,0,0.0,75.0,6,1,0.0,9,14.3,0,4,,,,,65.1,73.7,69.8,73.2,,,0,0,9,100.0,110.4,11.1,1,0,0,0,0,0,0.0,88,11.0,0,100.0,15,15,-1.9,1.53,0,0,0.0,93.3,14,0,6.7,15,23.8,1,5,,,,,66.4,69.4,71.4,69.0,,,0,0,15,,96.1,0.0,0,0,0,0,0,0,0.0,106,7.1,4.73
Jake Haener,60596,QB,FRESNO ST,1,38.67,0,56,169,55.0,40,43,13.9,3.34,1,2,4.4,48.8,21,17,4.5,49,87.5,1,15,,,,,50.4,51.4,77.3,48.5,,63.7,1,4,52,11.8,59.0,4.1,2,4,0,1,3,5,9.6,327,7.6,52.9,34,37,12.4,3.33,1,2,5.1,45.9,17,15,5.6,42,75.0,1,13,,,,,70.6,49.9,76.9,46.3,,63.7,1,4,45,6.7,58.9,2.4,1,4,0,1,3,5,11.1,276,7.5,84.6,13,13,8.8,2.65,0,0,0.0,84.6,11,3,0.0,14,25.0,0,7,,,,,25.7,64.9,71.2,64.6,,,0,0,14,33.3,101.9,7.1,1,0,0,0,0,0,0.0,110,8.5,0,100.0,7,7,-2.4,1.89,0,0,0.0,100.0,7,1,0.0,7,12.5,0,5,,,,,64.6,65.8,69.1,65.5,,,0,0,7,0.0,101.8,0.0,0,0,0,0,0,0,0.0,59,8.4,1.0
Austin Kendall,40056,QB,LA TECH,1,28.69,0,56,208,64.9,37,39,10.5,3.2,0,3,7.3,61.5,24,27,0.0,52,92.9,0,20,,,,,70.6,74.5,77.4,70.3,,69.3,0,2,54,11.1,94.2,5.8,3,10,0,2,3,1,1.9,342,8.8,60.0,30,32,9.7,3.13,0,3,9.1,53.1,17,21,5.6,41,73.2,1,13,,,,,70.0,69.6,76.7,64.0,,69.3,0,2,42,4.8,78.9,2.4,1,8,0,2,3,1,2.4,210,6.6,81.8,11,11,8.2,2.89,0,0,0.0,81.8,9,6,0.0,15,26.8,0,7,,,,,66.5,75.5,71.6,75.0,,62.1,0,0,16,33.3,116.3,13.3,2,2,0,0,0,0,0.0,131,11.9,0,75.0,4,4,-2.3,1.35,0,0,0.0,50.0,2,0,33.3,4,7.1,1,0,,,,,63.3,57.6,67.4,57.5,,,0,0,4,,56.3,0.0,0,0,0,0,0,0,0.0,-1,-0.3,5.35
Hank Bachmeier,101284,QB,BOISE ST,1,-27.14,0,56,120,84.2,38,43,9.1,2.92,1,3,6.7,67.4,29,23,9.4,50,89.3,3,16,,,,,41.0,74.4,77.4,73.7,,62.0,2,1,52,21.7,114.0,10.0,5,2,0,2,4,1,1.9,355,8.3,90.9,33,35,7.1,2.63,1,2,5.4,77.1,27,13,10.0,38,67.9,3,13,,,,,70.3,78.1,76.7,79.0,,58.3,0,0,40,15.4,130.2,5.3,2,1,0,1,3,0,0.0,296,8.5,72.7,11,14,9.9,3.05,0,1,7.1,50.0,7,10,12.5,18,32.1,1,5,,,,,22.9,61.2,72.0,58.2,,63.7,2,1,18,30.0,65.2,16.7,3,1,0,1,1,1,5.6,92,6.6,0,100.0,6,6,-0.7,1.43,0,0,0.0,83.3,5,0,16.7,6,10.7,1,2,,,,,64.2,65.6,68.6,65.4,,,0,0,6,,89.6,0.0,0,0,0,0,0,0,0.0,33,5.5,-1.89
Aidan O'Connell,60516,QB,PURDUE,1,0.48,0,55,273,65.2,46,47,10.8,2.55,0,5,10.4,61.7,29,15,3.3,51,92.7,1,20,,,,,24.1,62.8,77.4,61.9,,,0,1,52,26.7,82.2,7.8,4,0,0,1,1,5,9.6,344,7.3,66.7,30,31,8.3,2.39,0,2,6.3,64.5,20,11,0.0,35,63.6,0,11,,,,,20.2,45.2,76.5,44.1,,,0,1,36,36.4,67.5,11.4,4,0,0,1,0,5,13.9,187,6.0,70.0,20,20,12.0,2.61,0,3,15.0,65.0,13,4,7.1,20,36.4,1,10,,,,,67.1,88.1,72.4,87.1,,,0,0,20,0.0,110.8,0.0,0,0,0,0,1,0,0.0,182,9.1,0,100.0,4,4,-2.5,1.4,0,0,0.0,100.0,4,0,0.0,4,7.3,0,1,,,,,63.3,65.0,67.4,64.7,,,0,0,4,,92.7,0.0,0,0,0,0,0,0,0.0,25,6.3,3.07
Max Johnson,124099,QB,LSU,1,26.43,0,55,211,64.3,42,46,9.2,2.65,2,1,2.1,56.5,26,17,3.7,55,100.0,1,15,,,,,42.5,51.4,77.3,55.8,,47.7,0,1,58,17.6,76.8,5.5,3,6,0,2,1,3,5.2,325,7.1,57.1,35,37,10.5,2.76,1,1,2.6,51.4,19,15,5.0,45,81.8,1,11,,,,,37.8,49.9,76.7,52.8,,50.3,0,1,47,20.0,71.3,6.7,3,5,0,1,1,3,6.4,255,6.9,100.0,7,9,2.6,2.14,1,0,0.0,77.8,7,2,0.0,10,18.2,0,4,,,,,65.6,61.3,70.4,68.5,,53.1,0,0,11,0.0,99.1,0.0,0,1,0,1,0,0,0.0,70,7.8,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.89
Matt McDonald,60350,QB,BOWL GREEN,1,2.56,0,54,122,88.2,34,39,8.1,2.72,4,1,2.5,61.5,24,11,20.0,48,88.9,6,12,,,,,37.2,64.8,24.2,72.4,,45.3,0,1,49,45.5,75.1,10.4,5,4,0,1,1,3,6.1,223,5.7,88.6,35,39,7.2,2.62,3,1,2.5,64.1,25,8,19.4,46,85.2,6,11,,,,,36.1,65.7,23.3,73.6,,45.3,0,1,47,37.5,78.6,6.5,3,4,0,1,1,3,6.4,236,6.1,100.0,4,6,3.0,2.59,1,0,0.0,66.7,4,3,0.0,8,14.8,0,2,,,,,64.9,60.2,69.5,59.9,,,0,0,8,66.7,76.4,25.0,2,0,0,1,0,0,0.0,27,4.5,0,100.0,5,6,-2.4,1.73,0,0,0.0,83.3,5,0,0.0,6,11.1,0,1,,,,,64.2,63.4,68.6,63.2,,,0,0,6,,94.4,0.0,0,0,0,1,0,0,0.0,40,6.7,-1.55
D'Wan Mathis,99130,QB,TEMPLE,1,-22.09,0,52,306,64.7,34,35,11.6,2.97,0,2,5.7,60.0,21,13,4.5,38,73.1,1,12,,,,,69.8,63.8,76.8,59.9,,67.8,1,0,38,0.0,95.7,0.0,0,3,0,0,2,0,0.0,206,5.9,76.2,42,43,6.2,2.39,0,1,2.3,72.1,31,13,3.1,48,92.3,1,14,,,,,70.3,63.8,77.3,60.2,,67.8,1,0,48,0.0,112.1,0.0,0,3,0,0,3,0,0.0,275,6.4,50.0,4,4,23.5,3.1,0,1,25.0,50.0,2,0,0.0,4,7.7,0,1,,,,,63.3,67.0,67.4,66.8,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,34,8.5,0,100.0,12,12,-3.3,1.0,0,0,0.0,100.0,12,0,0.0,14,26.9,0,3,,,,,66.2,65.5,71.2,65.2,,,0,0,14,,130.2,0.0,0,0,0,0,1,0,0.0,103,8.6,2.1
Grant Wells,97784,QB,MARSHALL,1,-15.91,0,51,214,72.5,40,41,11.1,2.61,0,1,2.3,63.4,26,9,10.3,44,86.3,3,14,,,,,39.1,60.4,28.4,64.7,,48.7,1,2,46,22.2,72.3,4.5,2,1,0,0,1,2,4.3,291,7.1,76.7,43,44,8.7,2.5,0,1,2.2,65.9,29,8,12.1,47,92.2,4,16,,,,,40.5,61.0,29.4,65.2,,48.7,0,2,49,25.0,73.7,4.3,2,1,0,1,1,2,4.1,296,6.7,66.7,3,4,13.7,2.25,0,0,0.0,50.0,2,1,0.0,4,7.8,0,1,,,,,63.3,61.6,67.4,61.5,,,1,0,4,0.0,64.6,0.0,0,0,0,0,0,0,0.0,20,5.0,0,100.0,6,7,-4.8,1.67,0,0,0.0,71.4,5,0,16.7,7,13.7,1,3,,,,,64.6,64.1,69.1,63.8,,,0,0,7,,76.5,0.0,0,0,0,1,0,0,0.0,25,3.6,-1.73
