player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Blake Baker,170448,QB,LA TECH,1,-75.0,0,14,208,62.5,8,8,8.0,2.57,0,0,0.0,62.5,5,7,0.0,12,85.7,0,3,,,,70.0,64.1,74.0,72.0,,,54.6,0,1,13,28.6,64.6,16.7,2,2,0,0,0,0,0.0,96,12.0,87.5,8,8,5.5,2.47,0,0,0.0,75.0,6,4,14.3,11,78.6,1,4,,,,69.9,67.5,73.7,78.7,,,54.6,0,0,11,25.0,116.7,9.1,1,2,0,0,0,0,0.0,107,13.4,0.0,2,2,7.5,1.9,0,0,0.0,0.0,0,3,,3,21.4,0,0,,,,63.3,55.3,67.4,55.3,,,,0,1,4,33.3,0.0,33.3,1,0,0,0,0,0,0.0,0,0.0,0,100.0,2,2,-2.5,1.05,0,0,0.0,50.0,1,0,50.0,2,14.3,1,1,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,66.7,0.0,0,0,0,0,0,0,0.0,11,5.5,-13.38
Noah Kim,129623,QB,COAST CAR,1,-22.22,0,12,141,62.5,8,10,8.9,2.94,0,1,10.0,40.0,4,4,20.0,10,83.3,1,3,,,,65.4,68.8,70.7,68.4,,,,0,0,10,0.0,99.6,0.0,0,0,0,2,1,0,0.0,74,7.4,66.7,9,9,5.7,2.57,0,1,11.1,55.6,5,3,16.7,9,75.0,1,2,,,,65.1,75.4,70.4,75.0,,,,0,0,9,0.0,103.5,0.0,0,0,0,0,1,0,0.0,39,4.3,100.0,1,3,17.0,3.17,0,0,0.0,33.3,1,1,0.0,3,25.0,0,1,,,,62.7,50.9,66.6,51.0,,,,0,0,3,0.0,81.9,0.0,0,0,0,2,0,0,0.0,41,13.7,0,100.0,2,2,-1.5,1.6,0,0,0.0,100.0,2,0,0.0,2,16.7,0,0,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,9.34
Nate Yarnell,144037,QB,PITTSBURGH,1,-13.33,0,12,268,72.7,11,11,9.7,2.76,0,0,0.0,72.7,8,2,0.0,12,100.0,0,6,,,,65.8,69.4,71.8,65.5,,,64.3,0,0,12,0.0,131.6,0.0,0,1,0,0,1,0,0.0,102,9.3,80.0,5,5,6.4,2.78,0,0,0.0,80.0,4,0,0.0,6,50.0,0,3,,,,64.2,68.8,70.4,62.6,,,64.3,0,0,6,,146.3,0.0,0,1,0,0,1,0,0.0,48,9.6,66.7,6,6,12.5,2.73,0,0,0.0,66.7,4,2,0.0,6,50.0,0,3,,,,64.2,65.9,68.6,65.6,,,,0,0,6,0.0,95.1,0.0,0,0,0,0,0,0,0.0,54,9.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-0.6
Beau Pribula,164182,QB,PENN STATE,1,21.43,0,11,266,83.3,6,7,11.2,2.73,0,0,0.0,71.4,5,1,0.0,9,81.8,0,7,,,,68.4,88.6,74.5,74.1,,,80.3,1,0,10,0.0,145.8,0.0,0,2,0,0,1,0,0.0,75,10.7,50.0,2,2,13.0,3.17,0,0,0.0,50.0,1,0,0.0,3,27.3,0,2,,,,67.7,87.5,73.7,67.3,,,78.1,0,0,3,,83.3,0.0,0,1,0,0,0,0,0.0,19,9.5,83.3,6,7,6.7,2.55,0,0,0.0,71.4,5,1,0.0,8,72.7,0,5,,,,65.1,76.7,69.8,72.5,,,64.0,1,1,9,0.0,99.7,0.0,0,1,0,0,1,0,0.0,64,9.1,0,50.0,2,2,-0.5,2.65,0,0,0.0,50.0,1,0,0.0,2,18.2,0,0,,,,61.8,62.9,65.5,62.7,,,,0,1,2,,20.8,0.0,0,0,0,0,0,0,0.0,8,4.0,-0.36
Garret Rangel,157795,QB,OKLA STATE,1,-13.33,0,11,262,40.0,10,11,12.9,2.48,1,0,0.0,27.3,3,3,25.0,11,100.0,1,1,,,,66.7,32.3,0.0,37.0,,,57.5,0,0,11,0.0,39.6,0.0,0,0,0,0,0,1,9.1,31,2.8,33.3,6,6,12.5,2.35,0,0,0.0,33.3,2,3,0.0,6,54.5,0,1,,,,65.7,29.5,0.0,34.0,,,57.5,0,0,6,0.0,49.3,0.0,0,0,0,0,0,1,16.7,28,4.7,50.0,4,5,13.5,2.64,1,0,0.0,20.0,1,0,50.0,5,45.5,1,0,,,,63.8,52.0,68.1,52.1,,,,0,0,5,,39.6,0.0,0,0,0,0,0,0,0.0,3,0.6,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.07
Bryson Daily,147303,QB,ARMY,1,-60.0,0,10,114,75.0,8,9,14.8,2.11,1,1,11.1,66.7,6,4,0.0,10,100.0,0,5,,,,76.9,87.7,75.9,71.3,,,78.6,0,0,10,0.0,146.8,0.0,0,0,0,0,2,0,0.0,107,11.9,100.0,4,4,8.8,1.48,0,0,0.0,100.0,4,1,0.0,5,50.0,0,3,,,,77.1,87.4,75.5,65.6,,,78.6,0,0,5,0.0,158.3,0.0,0,0,0,0,1,0,0.0,52,13.0,50.0,4,5,20.8,2.74,1,1,20.0,40.0,2,3,0.0,5,50.0,0,2,,,,63.8,71.6,68.1,71.1,,,,0,0,5,0.0,120.8,0.0,0,0,0,0,1,0,0.0,55,11.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-2.0
Tayven Jackson,157615,QB,INDIANA,1,-40.0,0,9,190,25.0,4,6,22.0,3.05,1,0,0.0,16.7,1,4,0.0,8,88.9,0,1,,,,66.3,42.4,72.7,42.3,,,56.9,1,0,9,25.0,39.6,12.5,1,1,0,0,0,1,11.1,16,2.7,50.0,4,5,14.5,3.13,0,0,0.0,40.0,2,4,0.0,7,77.8,0,1,,,,65.9,54.9,72.4,56.7,,,56.9,1,0,7,25.0,60.4,14.3,1,1,0,0,0,0,0.0,30,6.0,0.0,1,2,30.0,2.25,1,0,0.0,0.0,0,0,,2,22.2,0,0,,,,62.7,36.1,66.6,36.6,,,,0,0,3,,39.6,0.0,0,0,0,0,0,1,33.3,0,0.0,0,100.0,1,1,0.0,2.0,0,0,0.0,100.0,1,0,0.0,1,11.1,0,0,,,,60.3,61.1,63.6,61.0,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0,-6.0
Connor Moberly,184835,QB,IOWA STATE,1,30.0,0,9,193,85.7,7,7,7.9,2.13,0,0,0.0,71.4,5,2,16.7,8,88.9,1,2,,,,68.2,78.9,73.3,70.0,,,71.5,0,1,8,50.0,51.2,12.5,1,0,0,0,0,0,0.0,49,7.0,50.0,2,2,14.0,1.2,0,0,0.0,50.0,1,1,0.0,3,33.3,0,0,,,,67.7,74.6,72.5,58.9,,,71.5,0,0,3,0.0,58.3,0.0,0,0,0,0,0,0,0.0,7,3.5,100.0,5,5,5.4,2.23,0,0,0.0,80.0,4,1,20.0,6,66.7,1,2,,,,64.2,71.5,68.6,71.1,,,,0,1,6,100.0,62.1,16.7,1,0,0,0,0,0,0.0,42,8.4,0,,0,0,,0.0,0,0,,,0,0,,1,11.1,0,0,,,,60.3,59.7,63.6,60.0,,,,0,0,1,,0.0,0.0,0,0,0,0,0,0,0.0,0,,4.9
Malachi Nelson,174203,QB,BOISE ST,1,6.67,0,9,120,66.7,6,6,10.0,2.64,0,0,0.0,66.7,4,1,0.0,7,77.8,0,3,,,,64.6,63.9,72.7,62.8,,,,0,0,7,100.0,100.0,14.3,1,0,0,0,0,0,0.0,61,10.2,60.0,5,5,10.2,2.16,0,0,0.0,60.0,3,0,0.0,5,55.6,0,1,,,,63.8,65.1,72.4,64.0,,,,0,0,5,,90.4,0.0,0,0,0,0,0,0,0.0,46,9.2,66.7,3,3,0.3,2.75,0,0,0.0,66.7,2,1,0.0,4,44.4,0,2,,,,63.3,54.0,67.4,54.0,,,,0,0,4,100.0,85.4,25.0,1,0,0,0,0,0,0.0,20,6.7,0,50.0,2,2,-4.0,1.65,0,0,0.0,50.0,1,0,0.0,2,22.2,0,0,,,,61.8,54.4,65.5,54.6,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,5,2.5,-2.53
Eddie Lee Marburger,145511,QB,UTSA,1,40.0,0,9,331,60.0,5,5,11.0,2.44,0,1,20.0,60.0,3,3,0.0,7,77.8,0,3,,,,69.0,70.4,73.5,77.3,,,55.6,0,1,7,33.3,73.8,14.3,1,1,0,0,1,0,0.0,26,5.2,60.0,5,5,9.8,2.27,0,1,20.0,60.0,3,3,0.0,7,77.8,0,3,,,,69.0,73.2,73.5,81.3,,,55.6,0,1,7,33.3,77.1,14.3,1,1,0,0,1,0,0.0,30,6.0,100.0,2,2,-1.0,1.8,0,0,0.0,100.0,2,0,0.0,2,22.2,0,1,,,,61.8,57.4,65.5,57.4,,,,0,0,2,,89.6,0.0,0,0,0,0,0,0,0.0,11,5.5,0,100.0,2,2,-4.0,1.2,0,0,0.0,100.0,2,0,0.0,2,22.2,0,1,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,97.9,0.0,0,0,0,0,0,0,0.0,15,7.5,-0.5
