player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Christopher Vizzina,170032,QB,CLEMSON,1,-10.0,0,8,140,50.0,4,4,12.0,2.6,0,0,0.0,50.0,2,3,0.0,5,62.5,0,0,,,,65.7,68.2,70.1,62.2,,,65.6,0,0,6,33.3,57.3,20.0,1,0,0,0,0,0,0.0,13,3.3,60.0,5,5,9.6,2.52,0,0,0.0,60.0,3,3,0.0,6,75.0,0,0,,,,65.9,68.4,70.4,62.9,,,65.6,0,0,7,33.3,70.4,16.7,1,0,0,0,0,0,0.0,22,4.4,100.0,1,2,0.0,1.5,1,0,0.0,50.0,1,0,0.0,2,25.0,0,1,,,,61.8,58.9,65.5,58.9,,,,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,19,9.5,0,100.0,2,3,0.0,1.7,1,0,0.0,66.7,2,0,0.0,3,37.5,0,1,,,,62.7,60.3,66.6,60.2,,,,0,0,3,,96.5,0.0,0,0,0,0,0,0,0.0,28,9.3,5.1
Evan Bullock,170452,QB,LA TECH,1,-66.67,0,8,208,100.0,3,5,14.3,2.74,0,1,16.7,60.0,3,3,0.0,7,87.5,0,2,,,,64.6,87.3,70.1,90.8,,,57.3,1,0,8,33.3,127.5,14.3,1,1,0,1,1,0,0.0,43,8.6,100.0,4,6,10.5,2.68,0,1,14.3,66.7,4,3,0.0,8,100.0,0,2,,,,64.9,86.4,70.4,90.4,,,57.3,1,0,9,33.3,131.3,12.5,1,1,0,1,1,0,0.0,49,8.2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-1.0,2.2,0,0,0.0,100.0,1,0,0.0,1,12.5,0,0,,,,60.3,61.1,63.6,61.0,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,-8.17
Zeon Chriss,156733,QB,HOUSTON,1,-50.0,0,8,182,33.3,3,3,11.0,3.38,0,0,0.0,33.3,1,3,0.0,6,75.0,0,3,,,,70.4,69.3,72.0,46.9,,,71.6,0,0,6,33.3,52.1,16.7,1,2,0,0,0,0,0.0,16,5.3,50.0,4,4,7.5,3.25,0,0,0.0,50.0,2,2,0.0,6,75.0,0,3,,,,70.4,70.8,72.0,50.4,,,71.6,0,0,6,0.0,63.5,0.0,0,2,0,0,0,0,0.0,19,4.8,100.0,1,1,-1.0,1.95,0,0,0.0,0.0,0,1,100.0,2,25.0,1,0,,,,61.8,58.9,65.5,58.9,,,,0,0,2,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,0,100.0,2,2,-2.0,1.55,0,0,0.0,50.0,1,0,50.0,2,25.0,1,0,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,-4.75
JD Sherrod,172365,QB,KENT STATE,1,25.0,0,8,201,40.0,5,6,18.0,2.59,0,0,0.0,33.3,2,5,0.0,8,100.0,0,1,,,,70.4,46.1,72.4,35.0,,,62.1,1,0,8,20.0,42.4,12.5,1,1,0,0,0,1,12.5,18,3.0,25.0,4,4,20.0,2.35,0,0,0.0,25.0,1,1,0.0,4,50.0,0,0,,,,70.4,46.3,71.6,29.6,,,65.1,0,0,4,0.0,39.6,0.0,0,0,0,0,0,1,25.0,5,1.3,100.0,1,2,10.0,2.83,0,0,0.0,50.0,1,4,0.0,4,50.0,0,1,,,,63.3,54.5,67.4,60.2,,,57.0,1,0,4,25.0,70.8,25.0,1,1,0,0,0,0,0.0,13,6.5,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,5.25
Devin Brown,156479,QB,OHIO STATE,1,0.0,0,7,260,50.0,4,4,7.8,2.68,0,0,0.0,25.0,1,0,50.0,5,71.4,1,1,,,,63.8,65.7,70.4,69.1,,,57.8,0,0,5,,39.6,0.0,0,1,0,0,0,0,0.0,10,2.5,66.7,3,3,4.3,2.58,0,0,0.0,33.3,1,0,50.0,4,57.1,1,1,,,,63.3,71.1,70.1,76.2,,,57.8,0,0,4,,43.8,0.0,0,1,0,0,0,0,0.0,10,3.3,33.3,3,3,4.7,1.87,0,0,0.0,33.3,1,0,0.0,3,42.9,0,1,,,,62.7,50.0,66.6,50.1,,,,0,0,3,,42.4,0.0,0,0,0,0,0,0,0.0,4,1.3,0,50.0,2,2,-2.0,1.25,0,0,0.0,50.0,1,0,0.0,2,28.6,0,1,,,,61.8,54.4,65.5,54.5,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,4,2.0,-2.0
DJ Lagway,184426,QB,FLORIDA,1,0.0,0,7,163,100.0,5,5,8.8,2.24,0,1,16.7,100.0,5,0,0.0,5,71.4,0,3,,,,18.6,61.7,72.7,75.9,,,47.7,0,0,6,,117.5,0.0,0,0,0,0,0,0,0.0,61,12.2,100.0,4,4,6.8,1.53,0,1,25.0,100.0,4,0,0.0,4,57.1,0,4,,,,16.8,62.0,72.4,80.9,,,47.7,0,0,4,,118.8,0.0,0,0,0,0,0,0,0.0,52,13.0,100.0,3,3,4.7,2.57,0,0,0.0,100.0,3,0,0.0,3,42.9,0,1,,,,63.3,62.1,67.4,61.9,,,,0,0,4,,100.0,0.0,0,0,0,0,0,0,0.0,24,8.0,0,100.0,2,2,-1.5,1.3,0,0,0.0,100.0,2,0,0.0,2,28.6,0,2,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,97.9,0.0,0,0,0,0,0,0,0.0,15,7.5,-5.0
Jase Bauer,145714,QB,SM HOUSTON,1,-60.0,0,6,281,100.0,2,2,15.0,3.43,0,1,50.0,100.0,2,1,0.0,3,50.0,0,3,,,,70.4,90.6,73.0,92.5,,,67.8,0,0,3,0.0,158.3,0.0,0,1,0,0,1,0,0.0,30,15.0,100.0,3,5,9.3,2.72,1,1,20.0,60.0,3,1,0.0,6,100.0,0,3,,,,70.4,87.3,73.4,89.4,,,67.8,0,0,6,0.0,123.3,0.0,0,1,0,1,1,0,0.0,38,7.6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,3,-2.0,2.0,1,0,0.0,33.3,1,0,0.0,3,50.0,0,0,,,,62.7,56.4,66.6,56.4,,,,0,0,3,,42.4,0.0,0,0,0,1,0,0,0.0,8,2.7,-7.6
Davis Beville,99588,QB,S CAROLINA,1,-25.0,0,6,289,80.0,5,5,13.6,2.52,0,0,0.0,60.0,3,2,25.0,5,83.3,1,1,,,,63.8,64.1,71.4,63.2,,,,0,0,5,0.0,72.1,0.0,0,0,0,0,0,0,0.0,24,4.8,100.0,4,4,4.3,2.28,0,0,0.0,75.0,3,2,25.0,4,66.7,1,1,,,,63.3,72.2,71.2,71.7,,,,0,0,4,0.0,89.6,0.0,0,0,0,0,0,0,0.0,24,6.0,50.0,2,2,26.0,3.2,0,0,0.0,50.0,1,1,0.0,2,33.3,0,1,,,,61.8,51.2,65.5,51.4,,,,0,0,2,0.0,102.1,0.0,0,0,0,0,1,0,0.0,9,4.5,0,100.0,1,1,1.0,2.9,0,0,0.0,100.0,1,1,0.0,1,16.7,0,1,,,,60.3,60.8,63.6,60.6,,,,0,0,1,0.0,143.8,0.0,0,0,0,0,1,0,0.0,9,9.0,-1.5
Aidan Armenta,175731,QB,LA MONROE,1,-75.0,0,6,209,50.0,4,4,13.3,3.38,0,0,0.0,25.0,1,1,50.0,4,66.7,1,0,,,,63.3,55.8,0.0,62.0,,,,0,1,4,0.0,0.0,0.0,0,0,0,0,0,1,25.0,5,1.3,100.0,2,2,-2.0,1.9,0,0,0.0,100.0,2,1,0.0,2,33.3,0,0,,,,61.8,53.8,0.0,62.7,,,,0,0,2,0.0,81.3,0.0,0,0,0,0,0,0,0.0,7,3.5,50.0,4,4,13.3,3.38,0,0,0.0,25.0,1,1,50.0,4,66.7,1,0,,,,63.3,62.2,67.4,62.0,,,,0,1,4,0.0,0.0,0.0,0,0,0,0,0,1,25.0,5,1.3,0,100.0,2,2,-2.0,1.9,0,0,0.0,100.0,2,1,0.0,2,33.3,0,0,,,,61.8,62.9,65.5,62.7,,,,0,0,2,0.0,81.3,0.0,0,0,0,0,0,0,0.0,7,3.5,-2.25
Brady Lichtenberg,144226,QB,CINCINNATI,1,-33.33,0,6,138,75.0,4,4,10.3,3.43,0,0,0.0,75.0,3,1,0.0,6,100.0,0,1,,,,18.6,47.3,72.2,54.8,,,50.8,0,0,6,100.0,90.6,16.7,1,1,0,0,0,0,0.0,25,6.3,100.0,1,1,6.0,2.75,0,0,0.0,100.0,1,1,0.0,2,33.3,0,0,,,,14.7,50.8,71.4,58.5,,,53.4,0,0,2,100.0,108.3,50.0,1,0,0,0,0,0,0.0,10,10.0,66.7,3,3,11.7,3.78,0,0,0.0,66.7,2,0,0.0,4,66.7,0,1,,,,63.3,50.6,67.4,55.0,,,57.3,0,0,4,,78.5,0.0,0,1,0,0,0,0,0.0,15,5.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-5.0
Tommy Ulatowski,163150,QB,KENT STATE,1,0.0,0,6,201,50.0,2,5,4.5,2.64,1,0,0.0,0.0,0,4,100.0,5,83.3,1,0,,,,65.7,55.0,73.0,52.1,,,60.0,1,0,6,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,100.0,1,4,4.0,2.85,1,0,0.0,0.0,0,3,100.0,4,66.7,1,0,,,,65.5,53.7,72.8,50.3,,,60.0,1,0,5,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0.0,1,2,5.0,2.6,0,0,0.0,0.0,0,2,,2,33.3,0,0,,,,61.8,58.9,65.5,58.9,,,,0,0,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,1,,3.4,0,0,0.0,0.0,0,1,,1,16.7,0,0,,,,60.3,59.7,63.6,60.0,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0.0
Lex Thomas,170381,QB,NC STATE,1,0.0,0,6,248,50.0,4,4,14.5,2.45,0,0,0.0,50.0,2,1,0.0,4,66.7,0,2,,,,65.2,70.6,70.7,64.4,,,62.8,0,0,4,0.0,135.4,0.0,0,0,0,0,1,0,0.0,54,13.5,66.7,3,3,20.0,2.47,0,0,0.0,66.7,2,1,0.0,3,50.0,0,2,,,,64.8,76.3,70.4,70.4,,,62.8,0,0,3,0.0,149.3,0.0,0,0,0,0,1,0,0.0,54,18.0,66.7,3,3,-2.3,1.9,0,0,0.0,66.7,2,0,0.0,3,50.0,0,0,,,,62.7,56.0,66.6,56.0,,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,-1,-0.3,0,100.0,2,2,-2.5,1.65,0,0,0.0,100.0,2,0,0.0,2,33.3,0,0,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-0.5,-18.33
Kaden Anderson,127312,QB,WYOMING,1,33.33,0,5,351,75.0,4,4,6.0,2.3,0,0,0.0,75.0,3,3,0.0,4,80.0,0,1,,,,63.3,58.1,68.6,57.8,,,,0,0,4,0.0,85.4,0.0,0,0,0,0,0,0,0.0,20,5.0,66.7,3,3,5.3,2.33,0,0,0.0,66.7,2,3,0.0,3,60.0,0,0,,,,62.7,57.5,68.1,57.2,,,,0,0,3,0.0,71.5,0.0,0,0,0,0,0,0,0.0,10,3.3,100.0,2,2,3.5,2.3,0,0,0.0,100.0,2,0,0.0,2,40.0,0,1,,,,61.8,61.9,65.5,61.7,,,,0,0,2,,87.5,0.0,0,0,0,0,0,0,0.0,10,5.0,0,100.0,1,1,-1.0,2.4,0,0,0.0,100.0,1,0,0.0,1,20.0,0,0,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,1.67
Jeremiah Salem,157478,QB,E MICHIGAN,1,0.0,0,5,160,100.0,4,4,6.8,2.5,0,0,0.0,100.0,4,2,0.0,4,80.0,0,1,,,,65.5,74.6,72.4,69.4,,,63.4,0,0,5,0.0,158.3,0.0,0,0,0,0,1,0,0.0,102,25.5,100.0,4,4,6.8,2.5,0,0,0.0,100.0,4,2,0.0,4,80.0,0,1,,,,65.5,74.6,72.4,69.4,,,63.4,0,0,5,0.0,158.3,0.0,0,0,0,0,1,0,0.0,102,25.5,100.0,1,1,-1.0,1.7,0,0,0.0,100.0,1,0,0.0,1,20.0,0,0,,,,60.3,60.7,63.6,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,1,1,-1.0,1.7,0,0,0.0,100.0,1,0,0.0,1,20.0,0,0,,,,60.3,60.7,63.6,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,-25.5
Tate Rodemaker,122414,QB,SO MISS,1,16.67,0,5,296,33.3,3,3,14.3,2.73,0,0,0.0,33.3,1,2,0.0,3,60.0,0,0,,,,64.8,31.6,70.1,27.8,,,62.4,0,2,3,0.0,2.8,0.0,0,0,0,0,0,2,66.7,9,3.0,50.0,2,2,11.5,1.4,0,0,0.0,50.0,1,1,0.0,2,40.0,0,0,,,,64.4,49.3,69.8,40.4,,,62.4,0,1,2,0.0,16.7,0.0,0,0,0,0,0,1,50.0,6,3.0,66.7,3,3,3.3,2.87,0,0,0.0,66.7,2,1,0.0,3,60.0,0,0,,,,62.7,37.9,66.6,38.3,,,,0,1,3,0.0,30.6,0.0,0,0,0,0,0,1,33.3,9,3.0,0,100.0,2,2,-5.0,1.6,0,0,0.0,100.0,2,0,0.0,2,40.0,0,0,,,,61.8,62.8,65.5,62.6,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,0.0
Gavin Wimsatt,155757,QB,KENTUCKY,1,-100.0,0,5,202,66.7,3,3,21.0,3.36,0,1,33.3,66.7,2,1,0.0,5,100.0,0,2,,,,71.1,92.0,71.6,90.2,,,76.3,0,0,5,100.0,109.7,20.0,1,1,0,0,0,0,0.0,45,15.0,100.0,2,2,22.5,3.57,0,1,50.0,100.0,2,0,0.0,3,60.0,0,2,,,,71.1,93.3,71.2,93.0,,,76.3,0,0,3,,118.8,0.0,0,1,0,0,0,0,0.0,45,22.5,0.0,1,1,18.0,3.05,0,0,0.0,0.0,0,1,,2,40.0,0,0,,,,61.8,56.2,65.5,56.2,,,,0,0,2,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-22.5
Roman Gagliano,183961,QB,MIDDLE TN,1,0.0,0,4,224,0.0,2,2,4.0,2.88,0,0,0.0,0.0,0,1,,4,100.0,0,0,,,,63.3,25.1,68.1,22.6,,,64.3,0,0,4,100.0,39.6,25.0,1,1,0,0,0,1,25.0,0,0.0,0.0,2,2,4.0,2.88,0,0,0.0,0.0,0,1,,4,100.0,0,0,,,,63.3,25.1,68.1,22.6,,,64.3,0,0,4,100.0,39.6,25.0,1,1,0,0,0,1,25.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Braylon Braxton,144442,QB,MARSHALL,1,-33.33,0,4,214,50.0,4,4,9.3,3.55,0,0,0.0,25.0,1,1,50.0,4,100.0,1,0,,,,66.6,48.4,69.8,45.1,,,60.1,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,2,0.5,33.3,3,3,10.3,4.17,0,0,0.0,33.3,1,1,0.0,3,75.0,0,0,,,,66.4,46.9,69.5,42.6,,,60.1,0,0,3,0.0,42.4,0.0,0,0,0,0,0,0,0.0,2,0.7,100.0,1,1,6.0,1.7,0,0,0.0,0.0,0,0,100.0,1,25.0,1,0,,,,60.3,60.4,63.6,60.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-0.67
Tahj Bullock,144070,QB,AKRON,1,100.0,0,4,102,,0,0,,1.6,0,0,,,0,1,,1,25.0,0,0,,,,65.9,71.1,71.2,60.0,58.3,,69.8,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,100.0,1,1,2.0,1.55,0,0,0.0,0.0,0,1,100.0,2,50.0,1,0,,,,66.2,66.5,72.7,58.9,55.7,,69.8,0,0,2,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,100.0,2,2,0.0,1.9,0,0,0.0,100.0,2,0,0.0,2,50.0,0,0,,,16.4,61.8,45.1,68.4,62.6,44.4,,,0,0,2,,81.3,0.0,0,0,0,0,0,0,0.0,7,3.5,0,100.0,3,3,0.7,1.77,0,0,0.0,66.7,2,0,33.3,3,75.0,1,0,,,16.4,62.7,47.6,70.8,63.9,45.1,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,7,2.3,3.5
Dexter Williams II,129457,QB,GA SOUTHRN,1,-66.67,0,4,174,75.0,4,4,17.0,1.88,0,1,25.0,50.0,2,0,33.3,4,100.0,1,1,,,,68.8,80.4,71.0,76.5,,,67.1,0,0,4,,81.3,0.0,0,0,0,0,0,0,0.0,36,9.0,66.7,3,3,22.0,2.03,0,1,33.3,66.7,2,0,0.0,3,75.0,0,1,,,,68.8,80.7,70.7,76.8,,,67.1,0,0,3,,107.6,0.0,0,0,0,0,0,0,0.0,36,12.0,100.0,1,1,2.0,1.4,0,0,0.0,0.0,0,0,100.0,1,25.0,1,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-12.0
Jacob Knuth,157493,QB,KANSAS ST,1,-100.0,0,3,199,100.0,1,1,5.0,3.67,0,0,0.0,100.0,1,1,0.0,3,100.0,0,0,,,,9.4,27.7,69.5,60.4,,,35.0,0,0,3,0.0,104.2,0.0,0,2,0,0,0,1,33.3,9,9.0,100.0,1,1,5.0,3.15,0,0,0.0,100.0,1,1,0.0,2,66.7,0,0,,,,61.8,55.7,69.1,60.4,,,57.3,0,0,2,0.0,104.2,0.0,0,1,0,0,0,0,0.0,9,9.0,,0,0,,4.7,0,0,,,0,0,,1,33.3,0,0,,,,23.7,28.0,63.6,,,,43.8,0,0,1,,0.0,0.0,0,1,0,0,0,1,100.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-9.0
Ken Seals,124359,QB,TCU,1,0.0,0,3,305,100.0,1,1,-1.0,2.8,0,0,0.0,100.0,1,0,0.0,1,33.3,0,1,,,,60.3,62.2,69.5,60.4,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0,100.0,2,2,-3.5,2.6,0,0,0.0,100.0,2,0,0.0,2,66.7,0,2,,,,61.8,63.1,69.8,62.1,,,,0,0,2,,145.8,0.0,0,0,0,0,1,0,0.0,19,9.5,100.0,1,1,-2.0,1.3,0,0,0.0,100.0,1,0,0.0,1,33.3,0,0,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,2,2,-4.0,1.85,0,0,0.0,100.0,2,0,0.0,2,66.7,0,1,,,,61.8,62.3,65.5,62.1,,,,0,0,2,,118.8,0.0,0,0,0,0,1,0,0.0,6,3.0,-9.5
Demond Williams Jr.,183648,QB,WASHINGTON,1,0.0,0,3,340,100.0,2,2,5.0,2.9,0,0,0.0,100.0,2,1,0.0,3,100.0,0,2,,,,66.4,75.5,69.8,69.9,,,65.3,0,0,3,100.0,116.7,33.3,1,0,0,0,0,0,0.0,24,12.0,100.0,1,1,5.0,3.6,0,0,0.0,100.0,1,1,0.0,2,66.7,0,1,,,,66.2,75.6,69.5,69.3,,,65.3,0,0,2,100.0,116.7,50.0,1,0,0,0,0,0,0.0,12,12.0,100.0,1,1,5.0,1.5,0,0,0.0,100.0,1,0,0.0,1,33.3,0,1,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,116.7,0.0,0,0,0,0,0,0,0.0,12,12.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Dewayne Coleman,163179,QB,ARMY,1,50.0,0,3,114,66.7,3,3,4.3,2.37,0,0,0.0,66.7,2,1,0.0,3,100.0,0,0,,,,71.1,63.6,0.0,55.9,,,67.5,0,0,3,0.0,75.7,0.0,0,0,0,0,0,0,0.0,13,4.3,50.0,2,2,4.5,1.65,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,,,,71.2,63.1,0.0,54.3,,,67.5,0,0,2,,62.5,0.0,0,0,0,0,0,0,0.0,9,4.5,100.0,1,1,4.0,3.8,0,0,0.0,100.0,1,1,0.0,1,33.3,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,0.0,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-0.5
Tony Muskett,142933,QB,VIRGINIA,1,-100.0,0,3,335,100.0,2,2,-1.0,2.93,0,0,0.0,100.0,2,0,0.0,3,100.0,0,2,,,,66.4,79.3,71.2,62.7,,,71.9,0,0,3,,87.5,0.0,0,1,0,0,0,0,0.0,10,5.0,100.0,2,2,-1.0,2.93,0,0,0.0,100.0,2,0,0.0,3,100.0,0,2,,,,66.4,79.3,71.2,62.7,,,71.9,0,0,3,,87.5,0.0,0,1,0,0,0,0,0.0,10,5.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-5.0
Bert Emanuel Jr.,158581,QB,C MICHIGAN,1,100.0,0,3,134,100.0,1,1,8.0,4.1,0,0,0.0,100.0,1,2,0.0,3,100.0,0,0,,,,69.7,78.7,70.4,61.3,,,73.2,0,0,3,100.0,135.4,66.7,2,0,0,0,1,0,0.0,7,7.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,69.7,82.2,69.5,,,,73.2,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,8.0,4.1,0,0,0.0,100.0,1,2,0.0,3,100.0,0,0,,,,62.7,61.5,66.6,61.3,,,,0,0,3,100.0,135.4,66.7,2,0,0,0,1,0,0.0,7,7.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,7.0
Steve Angeli,156966,QB,NOTRE DAME,1,-100.0,0,2,258,100.0,2,2,13.5,2.85,0,0,0.0,50.0,1,1,50.0,2,100.0,1,1,,,,62.7,71.3,69.8,70.8,,,,0,0,3,0.0,56.3,0.0,0,0,0,0,0,0,0.0,4,2.0,100.0,1,1,4.0,1.7,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,61.8,58.6,69.5,57.9,,,,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,100.0,1,1,23.0,4.0,0,0,0.0,0.0,0,1,100.0,1,50.0,1,0,,,,60.3,76.9,63.6,76.2,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.0
