player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Colton Joseph,172283,QB,DOMINION,1,-27.27,0,23,263,27.8,18,18,16.6,2.69,0,0,0.0,27.8,5,4,0.0,19,82.6,0,4,,,,,43.9,47.2,77.4,,30.3,,,68.2,,,0,1,22,25.0,22.7,5.3,1,0,0,0,0,2,9.1,81,4.5,54.5,11,11,8.5,2.38,0,0,0.0,54.5,6,2,0.0,12,52.2,0,3,,,,,39.6,60.3,76.8,,42.3,,,68.2,,,0,1,12,50.0,29.0,8.3,1,0,0,0,0,1,8.3,51,4.6,27.3,11,11,18.3,2.55,0,0,0.0,27.3,3,2,0.0,11,47.8,0,2,,,,,66.0,34.7,71.2,,35.2,,,,,,0,0,14,0.0,47.9,0.0,0,0,0,0,0,1,7.1,55,5.0,0,100.0,4,4,-1.0,1.35,0,0,0.0,100.0,4,0,0.0,4,17.4,0,1,,,,,63.3,65.0,67.4,,64.8,,,,,,0,0,4,,92.7,0.0,0,0,0,0,0,0,0.0,25,6.3,0.36
Hunter Simmons,148254,QB,WISCONSIN,1,45.83,0,23,349,66.7,15,16,10.8,3.35,0,2,12.5,62.5,10,4,0.0,19,82.6,0,5,,,,,67.0,56.0,73.9,,56.5,,,57.4,,,0,2,19,0.0,55.2,0.0,0,3,0,1,0,2,10.5,156,9.8,54.5,11,12,11.6,2.93,0,1,8.3,41.7,5,2,16.7,13,56.5,1,3,,,,,66.0,42.9,73.1,,44.6,,,56.3,,,0,2,13,0.0,32.3,0.0,0,1,0,1,0,2,15.4,101,8.4,87.5,8,8,3.5,3.2,0,1,12.5,87.5,7,2,0.0,10,43.5,0,2,,,,,65.4,80.3,70.1,,81.2,,,62.1,,,0,0,10,0.0,98.4,0.0,0,2,0,0,0,0,0.0,61,7.6,0,75.0,4,4,-1.5,1.63,0,0,0.0,50.0,2,0,33.3,4,17.4,1,0,,,,,63.3,64.9,67.4,,64.7,,,,,,0,0,4,,56.3,0.0,0,0,0,0,0,0,0.0,6,1.5,-0.79
E.J. Warner,156185,QB,FRESNO ST,1,25.25,0,23,169,71.4,14,14,9.4,2.81,0,1,7.1,64.3,9,2,10.0,17,73.9,1,6,,,,,25.0,56.9,76.8,,58.9,,,53.7,,,0,1,17,50.0,86.6,5.9,1,2,0,0,1,1,5.9,124,8.9,72.7,11,11,9.5,2.73,0,1,9.1,63.6,7,1,12.5,14,60.9,1,4,,,,,23.6,52.2,76.6,,53.1,,,53.7,,,0,1,14,100.0,82.4,7.1,1,2,0,0,1,1,7.1,92,8.4,88.9,9,9,1.3,2.61,0,0,0.0,88.9,8,1,0.0,9,39.1,0,3,,,,,65.1,72.6,69.8,,72.2,,,,,,0,0,9,0.0,88.0,0.0,0,0,0,0,0,0,0.0,46,5.1,0,100.0,6,6,-2.7,2.32,0,0,0.0,100.0,6,0,0.0,6,26.1,0,1,,,,,64.2,65.6,68.6,,65.4,,,,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,14,2.3,-3.25
Joseph Filardi,199227,QB,SYRACUSE,1,43.75,0,22,304,55.6,9,10,12.6,3.02,0,0,0.0,40.0,4,6,20.0,14,63.6,1,3,,,,,25.7,52.5,77.9,,50.2,,,56.8,,,0,0,15,33.3,49.6,14.3,2,2,0,1,0,0,0.0,34,3.4,73.3,15,16,5.6,2.75,0,0,0.0,56.3,9,6,18.2,20,90.9,2,3,,,,,27.6,51.6,78.1,,47.4,,,59.2,,,0,0,20,33.3,62.8,10.0,2,1,0,1,0,0,0.0,53,3.3,100.0,1,1,10.0,3.15,0,0,0.0,100.0,1,1,0.0,2,9.1,0,1,,,,,62.7,63.9,67.4,,70.2,,,57.0,,,0,0,3,0.0,116.7,0.0,0,1,0,0,0,0,0.0,12,12.0,0,100.0,7,7,-2.7,2.38,0,0,0.0,85.7,6,1,14.3,8,36.4,1,1,,,,,64.9,59.5,69.5,,59.3,,,,,,0,0,8,0.0,85.1,0.0,0,0,0,0,0,0,0.0,31,4.4,8.69
Ethan Grunkemeyer,183606,QB,PENN STATE,1,-43.33,0,22,266,75.0,12,12,17.6,3.28,0,1,7.1,66.7,8,9,11.1,13,59.1,1,6,,,,,67.3,78.8,75.4,,78.2,,,60.0,,,0,0,15,11.1,137.2,7.7,1,0,0,0,1,0,0.0,149,12.4,93.3,15,15,5.6,2.07,0,0,0.0,93.3,14,5,0.0,15,68.2,0,8,,,,,67.3,85.0,75.5,,85.2,,,60.0,,,0,0,16,0.0,107.8,0.0,0,0,0,0,0,0,0.0,148,9.9,66.7,6,6,17.5,3.4,0,1,11.1,50.0,3,4,25.0,7,31.8,1,3,,,,,65.4,60.1,70.1,,59.9,,,,,,0,0,10,25.0,125.7,14.3,1,0,0,0,1,0,0.0,61,10.2,0,100.0,9,9,-2.4,1.36,0,0,0.0,100.0,9,0,0.0,9,40.9,0,5,,,,,65.4,65.6,70.4,,65.3,,,,,,0,0,11,,94.4,0.0,0,0,0,0,0,0,0.0,60,6.7,0.3
Jalen Kitna,146688,QB,UAB,1,5.71,0,22,321,92.9,14,15,6.9,3.01,0,0,0.0,86.7,13,4,0.0,20,90.9,0,8,,,,,69.1,82.6,76.8,,82.6,,,65.2,,,0,0,20,50.0,151.3,10.0,2,3,0,1,2,0,0.0,162,10.8,88.9,9,10,5.4,3.21,0,0,0.0,80.0,8,3,0.0,14,63.6,0,5,,,,,68.7,84.6,76.4,,86.5,,,65.2,,,0,0,14,33.3,142.1,7.1,1,3,0,1,1,0,0.0,101,10.1,85.7,7,7,5.9,2.13,0,0,0.0,85.7,6,1,0.0,8,36.4,0,3,,,,,64.9,61.6,69.5,,61.3,,,,,,0,0,8,100.0,144.9,12.5,1,0,0,0,1,0,0.0,65,9.3,0,50.0,2,2,-3.0,0.95,0,0,0.0,50.0,1,0,0.0,2,9.1,0,0,,,,,61.8,54.4,65.5,,54.5,,,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,4,2.0,-0.81
Bryce Underwood,198795,QB,MICHIGAN,1,7.14,0,22,222,68.8,16,16,5.6,2.87,0,1,5.6,43.8,7,5,36.4,20,90.9,4,4,,,,,68.7,60.1,74.9,,58.0,,,61.9,,,0,1,22,60.0,28.9,15.0,3,1,0,0,0,0,0.0,63,3.9,71.4,14,14,3.4,2.66,0,0,0.0,42.9,6,5,40.0,16,72.7,4,3,,,,,68.3,55.8,74.6,,51.0,,,65.5,,,0,1,18,40.0,20.5,12.5,2,0,0,0,0,0,0.0,37,2.6,75.0,4,4,9.5,3.27,0,1,25.0,50.0,2,1,33.3,6,27.3,1,1,,,,,64.2,71.1,68.6,,76.6,,,57.3,,,0,0,6,100.0,70.8,16.7,1,1,0,0,0,0,0.0,26,6.5,0,100.0,2,2,-2.0,2.35,0,0,0.0,50.0,1,1,50.0,2,9.1,1,0,,,,,61.8,62.9,65.5,,62.7,,,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,0,0.0,3.86
Lunch Winfield,176367,QB,LA LAFAYET,1,-7.14,0,22,207,50.0,18,20,9.2,2.68,0,0,0.0,45.0,9,4,0.0,21,95.5,0,4,,,,,32.8,48.1,75.7,,53.3,,,49.6,,,0,0,24,0.0,52.1,0.0,0,1,0,2,0,0,0.0,53,2.7,50.0,14,14,8.2,2.18,0,0,0.0,50.0,7,2,0.0,14,63.6,0,5,,,,,29.1,52.2,75.2,,57.8,,,51.0,,,0,0,17,0.0,66.1,0.0,0,0,0,0,0,0,0.0,75,5.4,60.0,5,7,9.2,3.38,0,0,0.0,42.9,3,2,0.0,8,36.4,0,0,,,,,64.9,45.9,69.5,,49.0,,,57.0,,,0,0,8,0.0,50.3,0.0,0,1,0,2,0,0,0.0,7,1.0,0,100.0,1,1,-4.0,1.3,0,0,0.0,100.0,1,0,0.0,1,4.5,0,1,,,,,60.3,60.6,63.6,,60.4,,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,29,29.0,-4.36
Kyron Drones,144506,QB,VA TECH,1,-7.27,0,21,337,35.7,14,15,14.9,3.24,0,0,0.0,20.0,3,7,40.0,20,95.2,2,2,,,,,70.8,52.8,75.4,,53.3,,,56.0,,,1,2,20,28.6,30.6,10.0,2,3,0,0,1,0,0.0,75,5.0,50.0,10,11,13.7,3.26,0,0,0.0,27.3,3,6,40.0,16,76.2,2,2,,,,,70.6,62.3,75.0,,66.9,,,56.0,,,1,2,16,33.3,46.2,12.5,2,3,0,0,1,0,0.0,75,6.8,20.0,5,5,14.2,3.14,0,0,0.0,20.0,1,1,0.0,5,23.8,0,0,,,,,63.8,34.0,68.1,,34.4,,,,,,0,0,5,0.0,39.6,0.0,0,0,0,0,0,0,0.0,3,0.6,0,100.0,1,1,-1.0,3.2,0,0,0.0,100.0,1,0,0.0,1,4.8,0,0,,,,,60.3,60.8,63.6,,60.6,,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0,-6.22
Gio Lopez,172309,QB,N CAROLINA,1,35.71,0,21,245,66.7,15,15,14.7,3.61,0,1,5.6,66.7,10,9,0.0,20,95.2,0,7,,,,,69.9,60.8,74.1,,63.0,,,55.3,,,0,0,23,44.4,112.6,20.0,4,1,0,0,1,0,0.0,118,7.9,64.3,14,14,15.9,3.54,0,1,6.3,64.3,9,9,0.0,18,85.7,0,6,,,,,69.7,62.6,73.7,,63.4,,,58.1,,,0,0,20,44.4,112.5,22.2,4,0,0,0,1,0,0.0,111,7.9,100.0,2,2,-2.0,3.3,0,0,0.0,100.0,2,0,0.0,3,14.3,0,1,,,,,63.3,55.4,67.4,,60.7,,,57.3,,,0,0,4,,81.3,0.0,0,1,0,0,0,0,0.0,7,3.5,0,100.0,1,1,-1.0,1.5,0,0,0.0,100.0,1,0,0.0,1,4.8,0,0,,,,,60.3,60.8,63.6,,60.6,,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,-4.43
