player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Fernando Mendoza,158323,QB,CAL,1,18.97,0,60,130,78.3,46,50,8.3,2.36,0,0,0.0,68.0,34,18,5.6,54,90.0,2,23,,,,72.3,78.3,77.8,,75.0,,70.4,,,1,1,56,16.7,92.4,5.6,3,1,0,3,2,2,3.6,344,6.9,74.2,31,33,6.9,2.26,0,0,0.0,63.6,21,14,8.7,36,60.0,2,13,,,,71.7,74.8,76.8,,70.3,,70.4,,,0,1,37,14.3,76.3,5.6,2,1,0,2,1,1,2.7,188,5.7,90.5,21,23,7.4,2.25,0,0,0.0,82.6,19,4,0.0,24,40.0,0,11,,,,67.7,76.4,73.3,,75.9,,,,,1,0,25,25.0,116.8,4.2,1,0,0,1,1,1,4.0,197,8.6,0,100.0,6,6,-2.2,1.33,0,0,0.0,100.0,6,0,0.0,6,10.0,0,1,,,,64.2,66.2,68.6,,65.9,,,,,0,0,6,,95.1,0.0,0,0,0,0,0,0,0.0,41,6.8,2.87
Kyle McCord,145053,QB,SYRACUSE,1,32.11,0,53,304,68.4,38,43,12.5,2.53,1,2,4.3,60.5,26,14,0.0,48,90.6,0,17,,,,24.4,78.9,77.4,,74.3,,74.8,,,3,0,52,28.6,101.0,8.3,4,1,0,1,2,3,5.8,341,7.9,66.7,33,38,11.8,2.54,1,2,5.1,57.9,22,14,0.0,43,81.1,0,13,,,,23.0,75.8,77.0,,70.6,,74.8,,,3,0,45,28.6,90.9,9.3,4,1,0,1,1,2,4.4,290,7.6,90.0,10,10,6.8,1.96,0,0,0.0,90.0,9,0,0.0,10,18.9,0,6,,,,65.8,77.1,70.7,,76.5,,,,,0,0,12,,142.5,0.0,0,0,0,0,1,1,8.3,102,10.2,0,100.0,5,5,-3.4,1.56,0,0,0.0,100.0,5,0,0.0,5,9.4,0,2,,,,63.8,65.8,68.1,,65.5,,,,,0,0,5,,109.2,0.0,0,0,0,0,0,0,0.0,51,10.2,2.57
Billy Edwards Jr.,144185,QB,MARYLAND,1,10.48,0,51,215,51.7,29,36,11.8,2.86,6,0,0.0,38.9,14,22,6.7,43,84.3,1,11,,,,70.7,56.5,76.9,,55.8,,59.1,,,0,2,49,4.5,40.6,2.3,1,6,0,1,1,2,4.1,173,4.8,60.0,25,30,7.8,2.52,5,0,0.0,46.7,14,17,6.7,35,68.6,1,8,,,,70.3,56.4,76.4,,53.3,,64.1,,,0,2,41,5.9,37.1,2.9,1,4,0,0,1,2,4.9,92,3.1,66.7,12,14,11.0,2.88,1,0,0.0,57.1,8,6,0.0,16,31.4,0,4,,,,66.5,62.5,71.6,,67.2,,52.8,,,0,0,16,0.0,83.6,0.0,0,2,0,1,0,0,0.0,114,8.1,0,100.0,8,8,-2.0,1.44,0,0,0.0,100.0,8,1,0.0,8,15.7,0,1,,,,64.9,67.3,69.5,,67.0,,,,,0,0,8,0.0,83.9,0.0,0,0,0,0,0,0,0.0,33,4.1,5.07
Shedeur Sanders,131396,QB,COLORADO,1,7.02,0,51,143,70.8,24,27,9.2,3.61,0,0,0.0,63.0,17,13,0.0,33,64.7,0,11,,,,69.3,61.5,19.5,,60.6,,64.3,,,0,0,37,15.4,90.5,6.1,2,4,0,3,1,0,0.0,153,5.7,72.7,22,24,7.3,3.72,0,0,0.0,66.7,16,13,0.0,31,60.8,0,10,,,,69.1,61.7,18.4,,60.8,,64.3,,,0,0,35,23.1,95.3,9.7,3,4,0,2,1,0,0.0,137,5.7,94.4,18,19,1.0,2.03,0,0,0.0,73.7,14,4,17.6,20,39.2,3,8,,,,67.1,63.1,72.4,,62.7,,,,,0,0,20,25.0,132.3,5.0,1,0,0,1,2,0,0.0,154,8.1,0,100.0,16,16,-2.6,2.05,0,0,0.0,81.3,13,4,18.8,18,35.3,3,7,,,,66.8,63.6,72.0,,63.3,,,,,0,0,18,50.0,142.2,11.1,2,0,0,0,2,0,0.0,138,8.6,2.4
Max Brosmer,105568,QB,MINNESOTA,1,-11.54,0,51,225,65.8,38,42,10.6,2.95,0,1,2.3,57.1,24,18,4.0,48,94.1,1,12,,,,47.8,68.3,76.6,,63.9,,73.0,,,0,0,50,22.2,82.8,8.3,4,2,0,4,1,1,2.0,254,6.0,65.8,38,39,10.5,2.66,0,1,2.5,61.5,24,13,4.0,42,82.4,1,11,,,,69.7,77.2,76.2,,71.6,,77.6,,,0,0,43,15.4,79.0,4.8,2,1,0,1,0,1,2.3,240,6.2,100.0,3,6,-2.0,3.93,0,0,0.0,50.0,3,5,0.0,9,17.6,0,1,,,,22.1,32.6,70.1,,33.9,,57.3,,,0,0,10,40.0,98.6,22.2,2,1,0,3,1,0,0.0,22,3.7,0,100.0,3,3,-3.0,1.87,0,0,0.0,100.0,3,0,0.0,3,5.9,0,0,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,8,2.7,-2.48
Behren Morton,144747,QB,TEXAS TECH,1,-3.46,0,50,315,68.8,32,34,7.6,2.9,1,0,0.0,58.8,20,22,9.1,44,88.0,2,11,,,,69.8,59.3,77.8,,56.4,,64.4,,,1,1,48,31.8,78.4,15.9,7,3,0,0,1,2,4.2,243,7.1,71.0,31,33,4.7,2.72,1,0,0.0,60.6,20,19,9.1,41,82.0,2,10,,,,69.6,64.0,77.5,,61.2,,64.4,,,1,0,43,26.3,98.3,12.2,5,3,0,0,2,0,0.0,202,6.1,57.1,7,7,11.9,2.73,0,0,0.0,57.1,4,3,0.0,9,18.0,0,3,,,,65.4,48.8,70.4,,48.8,,,,,0,1,11,66.7,53.6,22.2,2,0,0,0,0,2,18.2,73,10.4,0,66.7,6,6,-2.7,1.38,0,0,0.0,66.7,4,0,0.0,6,12.0,0,2,,,,64.2,60.2,68.6,,60.0,,,,,0,0,6,,119.4,0.0,0,0,0,0,1,0,0.0,32,5.3,4.31
Danny O'Neil,184200,QB,S DIEGO ST,1,-2.96,0,49,284,59.1,22,26,14.1,3.4,1,1,3.1,42.3,11,10,15.4,33,67.3,2,8,,,,69.0,61.0,77.6,,65.1,59.5,51.0,,,1,0,40,10.0,68.9,3.0,1,6,0,2,1,0,0.0,117,4.5,72.0,25,27,6.4,3.01,0,0,0.0,63.0,17,7,5.6,33,67.3,1,9,,,,68.7,55.9,77.3,,59.7,,51.0,,,0,0,36,0.0,84.5,0.0,0,6,0,2,1,0,0.0,114,4.2,76.9,13,15,9.5,2.49,1,1,5.3,60.0,9,3,10.0,16,32.7,1,2,,,,67.1,75.0,72.8,,74.9,59.5,,,,1,0,20,33.3,74.6,6.3,1,0,0,0,0,0,0.0,81,5.4,0,93.8,16,16,-1.6,1.69,0,0,0.0,93.8,15,0,0.0,16,32.7,0,3,,,,66.5,69.5,71.6,,69.1,,,,,0,0,16,,87.0,0.0,0,0,0,0,0,0,0.0,78,4.9,1.18
Jalen Kitna,146688,QB,UAB,1,-3.13,0,49,321,51.7,29,31,14.4,3.04,0,3,9.7,38.7,12,13,20.0,38,77.6,3,7,,,,69.3,47.7,76.5,,50.2,60.0,50.3,,,1,2,38,23.1,38.2,7.9,3,3,0,1,1,3,7.9,149,4.8,66.7,30,32,8.8,2.58,0,2,6.3,53.1,17,12,15.0,38,77.6,3,7,,,,69.3,57.1,76.5,,59.0,60.0,52.8,,,1,1,38,25.0,55.2,7.9,3,2,0,1,0,1,2.6,168,5.3,55.6,9,10,12.9,3.11,0,1,10.0,50.0,5,2,0.0,11,22.4,0,3,,,,65.6,40.5,70.4,,42.7,,57.0,,,1,1,11,0.0,64.6,0.0,0,1,0,0,1,2,18.2,65,6.5,0,100.0,10,11,-3.9,1.52,0,0,0.0,90.9,10,1,0.0,11,22.4,0,3,,,,65.6,66.3,70.4,,66.0,,,,,1,0,11,0.0,98.5,0.0,0,0,0,0,0,0,0.0,84,7.6,1.25
Bryce Archie,156667,QB,USF,1,-26.11,0,48,327,72.7,33,38,14.8,3.33,1,2,5.3,55.3,21,16,12.5,43,89.6,3,13,,,,36.8,60.1,76.8,,58.5,,62.2,,,3,2,43,25.0,61.2,9.3,4,1,0,1,1,3,7.0,239,6.3,84.0,25,29,8.8,2.99,1,1,3.4,69.0,20,12,4.8,32,66.7,1,11,,,,69.9,81.9,76.1,,80.3,,65.6,,,2,1,32,25.0,91.0,9.4,3,0,0,1,1,0,0.0,239,8.2,61.5,13,14,19.7,3.43,0,1,7.1,42.9,6,5,25.0,16,33.3,2,3,,,,21.8,29.0,71.6,,29.4,,57.3,,,1,1,16,20.0,22.0,6.3,1,1,0,0,0,3,18.8,47,3.4,0,100.0,5,5,-2.2,1.46,0,0,0.0,100.0,5,1,0.0,5,10.4,0,1,,,,63.8,65.7,68.1,,65.4,,,,,0,0,5,0.0,105.8,0.0,0,0,0,0,0,0,0.0,47,9.4,-4.88
Spencer Petras,82136,QB,UTAH ST,1,-28.66,0,48,329,76.7,30,34,8.4,2.62,1,0,0.0,55.9,19,12,17.4,37,77.1,4,10,,,,70.0,55.1,76.7,,52.2,,65.3,,,2,1,42,8.3,76.7,2.7,1,1,0,1,2,2,4.8,169,5.0,82.8,29,29,3.5,2.14,0,0,0.0,72.4,21,7,12.5,31,64.6,3,9,,,,69.4,59.9,76.1,,56.4,,65.3,,,0,1,32,14.3,90.4,3.2,1,1,0,0,2,1,3.1,135,4.7,75.0,12,16,10.2,2.68,1,0,0.0,43.8,7,6,22.2,17,35.4,2,4,,,,67.2,56.1,72.5,,56.0,,,,,2,0,21,0.0,57.6,0.0,0,0,0,1,0,1,4.8,73,4.6,0,90.9,11,11,-2.7,1.35,0,0,0.0,81.8,9,1,10.0,11,22.9,1,3,,,,65.6,68.2,70.4,,67.9,,,,,0,0,11,0.0,81.4,0.0,0,0,0,0,0,0,0.0,39,3.5,-0.1
