player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Baylor Hayes,192135,QB,TULSA,1,-1.52,0,59,320,61.3,31,38,11.6,3.34,2,2,4.9,44.7,17,17,10.5,50,84.7,2,13,,,,,72.3,63.5,34.0,60.8,,65.9,2,2,54,23.5,34.4,8.0,4,8,0,3,0,1,1.9,155,4.1,66.7,30,33,8.7,3.1,0,2,5.7,51.5,17,13,15.0,41,69.5,3,11,,,,,71.9,68.1,77.7,66.5,,63.4,1,2,44,23.1,36.7,7.3,3,5,0,2,0,1,2.3,134,4.1,70.0,10,14,7.6,3.02,2,0,0.0,50.0,7,4,0.0,18,30.5,0,6,,,,,67.0,55.3,0.0,53.2,,66.4,1,0,19,25.0,73.8,5.6,1,3,0,1,0,0,0.0,101,7.2,0,88.9,9,9,-2.7,1.6,0,0,0.0,77.8,7,0,12.5,9,15.3,1,4,,,,,65.1,67.5,69.8,67.2,,,0,0,9,,103.7,0.0,0,0,0,0,0,0,0.0,80,8.9,3.15
Logan Fife,128176,QB,NEW MEX ST,1,-36.43,0,57,242,61.1,36,39,10.0,2.88,0,0,0.0,53.8,21,15,4.5,49,86.0,1,16,,,,,42.2,57.0,28.4,60.0,,54.6,0,2,55,33.3,66.4,10.2,5,5,0,3,2,4,7.3,222,5.7,69.2,39,40,7.2,2.69,0,0,0.0,65.0,26,13,3.7,49,86.0,1,17,,,,,42.2,64.5,77.5,65.9,,56.5,0,1,55,38.5,88.2,10.2,5,4,0,1,2,3,5.5,247,6.2,40.0,5,7,10.4,2.93,0,0,0.0,28.6,2,2,0.0,8,14.0,0,0,,,,,64.9,29.5,0.0,36.1,,57.3,0,1,8,0.0,0.0,0.0,0,1,0,2,0,1,12.5,-6,-0.9,0,87.5,8,8,-3.4,1.73,0,0,0.0,87.5,7,0,0.0,8,14.0,0,1,,,,,64.9,61.9,69.5,61.6,,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,19,2.4,-7.04
Nick Minicucci,173617,QB,DELAWARE,1,14.77,0,57,151,60.5,43,50,10.9,3.04,1,0,0.0,50.0,25,13,3.8,55,96.5,1,14,,,,,71.6,52.0,77.6,49.4,,62.1,3,2,61,0.0,65.4,0.0,0,5,0,3,2,2,3.3,300,6.0,59.5,37,44,11.1,3.12,1,0,0.0,47.7,21,11,4.5,48,84.2,1,11,,,,,71.2,54.2,77.3,49.7,,66.7,3,2,52,0.0,61.0,0.0,0,4,0,3,2,2,3.8,242,5.5,71.4,7,8,7.6,2.56,0,0,0.0,62.5,5,2,0.0,9,15.8,0,3,,,,,65.6,49.3,70.4,54.5,,52.7,0,0,11,0.0,86.5,0.0,0,1,0,1,0,0,0.0,62,7.8,0,100.0,1,2,-7.0,2.7,0,0,0.0,50.0,1,0,0.0,2,3.5,0,0,,,,,61.8,58.8,66.1,58.9,,,0,0,2,,56.3,0.0,0,0,0,1,0,0,0.0,4,2.0,2.25
AJ Swann,157186,QB,APP STATE,1,-44.16,0,55,108,71.7,46,48,11.5,2.85,1,4,8.0,66.7,32,13,3.0,52,94.5,1,20,,,,,24.5,70.5,77.1,74.0,,43.8,0,1,54,23.1,93.1,5.8,3,1,0,1,2,4,7.4,348,7.3,74.4,43,44,9.7,2.77,1,3,6.5,72.7,32,9,0.0,48,87.3,0,18,,,,,23.7,71.8,76.9,75.7,,43.8,0,0,50,33.3,102.0,6.3,3,1,0,0,1,3,6.0,335,7.6,50.0,6,7,18.2,2.99,0,1,14.3,28.6,2,4,33.3,7,12.7,1,2,,,,,64.6,55.8,69.1,55.7,,,0,1,7,0.0,39.6,0.0,0,0,0,1,1,1,14.3,13,1.9,0,66.7,3,3,-1.3,1.77,0,0,0.0,66.7,2,0,0.0,3,5.5,0,0,,,,,62.7,56.1,66.6,56.0,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,0,0.0,-5.75
Jaylen Raynor,172203,QB,ARK STATE,1,10.61,0,55,113,79.1,43,46,10.0,2.67,1,2,4.2,71.7,33,10,2.9,51,92.7,1,18,,,,,71.6,78.4,77.3,79.8,,59.4,0,4,53,10.0,69.4,2.0,1,4,2,0,2,4,7.5,323,7.0,80.5,41,44,8.9,2.52,1,1,2.2,72.7,32,9,3.0,48,87.3,1,17,,,,,71.5,74.8,77.1,74.8,,61.6,0,4,50,11.1,63.7,2.1,1,3,2,0,2,4,8.0,251,5.7,83.3,6,6,8.7,3.16,0,1,16.7,83.3,5,1,0.0,7,12.7,0,2,,,,,64.6,82.5,69.1,88.2,,57.3,0,0,7,0.0,118.8,0.0,0,1,0,0,0,0,0.0,80,13.3,0,100.0,4,4,-3.5,1.7,0,0,0.0,100.0,4,0,0.0,4,7.3,0,1,,,,,63.3,65.0,67.4,64.8,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,8,2.0,7.63
Ashton Daniels,157259,QB,AUBURN,1,-7.57,0,54,115,80.6,36,44,10.9,2.64,2,2,4.3,63.6,28,17,3.4,51,94.4,1,23,,,,,47.5,82.0,77.8,74.6,,76.0,0,0,55,11.8,99.6,3.9,2,5,2,4,2,1,1.8,310,7.0,80.6,31,37,7.8,2.53,1,1,2.5,67.6,25,12,0.0,42,77.8,0,18,,,,,44.7,74.5,77.4,64.5,,76.6,0,0,46,16.7,87.7,4.8,2,3,2,3,0,1,2.2,260,7.0,87.5,8,10,17.6,2.63,1,1,10.0,60.0,6,5,14.3,12,22.2,1,6,,,,,65.8,90.3,70.7,90.6,,62.0,0,0,12,0.0,130.4,0.0,0,2,0,1,2,0,0.0,93,9.3,0,100.0,3,3,-3.7,1.13,0,0,0.0,100.0,3,0,0.0,3,5.6,0,1,,,,,62.7,64.0,66.6,63.8,,,0,0,3,,118.8,0.0,0,0,0,0,0,0,0.0,43,14.3,2.27
Josh Hoover,127148,QB,TCU,1,16.56,0,51,305,67.5,40,41,10.5,2.85,0,0,0.0,61.0,25,8,7.4,42,82.4,2,19,,,,,69.4,66.1,77.6,64.0,,64.3,0,2,45,0.0,68.0,0.0,0,1,0,1,1,4,8.9,269,6.6,67.9,28,28,9.8,2.67,0,0,0.0,60.7,17,4,10.5,29,56.9,2,12,,,,,68.2,55.0,76.8,51.8,,64.3,0,1,30,0.0,60.1,0.0,0,1,0,0,0,3,10.0,150,5.4,81.0,21,22,6.4,2.56,0,0,0.0,77.3,17,4,0.0,22,43.1,0,10,,,,,67.6,79.1,73.0,78.4,,,0,1,24,0.0,94.7,0.0,0,0,0,1,1,1,4.2,169,7.7,0,100.0,9,9,-1.2,1.57,0,0,0.0,100.0,9,0,0.0,9,17.6,0,3,,,,,65.1,62.6,69.8,62.3,,,0,0,9,,89.8,0.0,0,0,0,0,0,0,0.0,50,5.6,2.32
Tommy Castellanos,158433,QB,FLORIDA ST,1,-19.6,0,51,167,64.7,34,36,13.5,3.27,0,0,0.0,50.0,18,19,18.2,43,84.3,4,13,,,,,38.9,61.3,19.7,62.3,,60.2,0,1,45,21.1,67.9,9.3,4,2,0,2,1,0,0.0,229,6.4,67.7,31,31,10.9,3.04,0,0,0.0,58.1,18,15,14.3,38,74.5,3,11,,,,,35.8,61.9,76.2,61.3,,60.2,0,1,39,26.7,74.3,10.5,4,2,0,0,1,0,0.0,197,6.4,63.6,11,13,8.7,3.08,0,0,0.0,38.5,5,5,28.6,13,25.5,2,2,,,,,66.2,56.8,0.0,60.7,,,0,0,14,0.0,51.1,0.0,0,0,0,2,0,0,0.0,53,4.1,0,75.0,8,8,-3.0,1.91,0,0,0.0,62.5,5,1,16.7,8,15.7,1,0,,,,,64.9,56.7,69.5,56.5,,,0,0,8,0.0,66.7,0.0,0,0,0,0,0,0,0.0,21,2.6,-2.27
Jaron-Keawe Sagapolutele,198237,QB,CAL,1,-13.8,0,50,130,57.1,35,37,11.1,2.82,2,3,7.9,54.1,20,15,0.0,40,80.0,0,17,,,,,69.5,62.7,76.9,63.9,49.0,58.3,0,0,41,20.0,98.7,7.5,3,0,0,0,2,0,0.0,298,8.1,69.7,33,34,7.1,2.36,1,1,2.9,67.6,23,13,0.0,36,72.0,0,11,,,,,69.3,53.1,76.6,53.6,54.3,58.3,0,0,38,15.4,95.3,5.6,2,0,0,0,1,0,0.0,221,6.5,58.3,12,13,10.3,3.04,1,2,15.4,53.8,7,3,0.0,14,28.0,0,6,,,,,66.2,83.1,71.6,84.4,55.0,,0,0,14,33.3,105.3,7.1,1,0,0,0,1,0,0.0,102,7.8,0,100.0,10,10,-3.1,1.47,0,0,0.0,100.0,10,1,0.0,10,20.0,0,0,,,,,65.6,66.2,70.4,65.9,,,0,0,11,0.0,79.2,0.0,0,0,0,0,0,0,0.0,25,2.5,1.35
Julian Lewis,198304,QB,COLORADO,1,25.71,0,49,143,67.9,28,31,13.2,3.68,1,3,9.4,61.3,19,18,0.0,42,85.7,0,11,,,,,69.2,81.4,77.0,81.3,,62.4,0,0,43,38.9,114.7,16.7,7,4,0,2,2,1,2.3,298,9.6,66.7,27,30,12.4,3.57,1,2,6.5,60.0,18,15,0.0,38,77.6,0,9,,,,,68.9,77.7,76.7,75.7,,66.1,0,0,39,33.3,109.7,13.2,5,3,0,2,2,1,2.6,255,8.5,100.0,6,7,3.3,3.38,1,1,14.3,85.7,6,5,0.0,11,22.4,0,2,,,,,65.6,73.1,70.4,82.6,,52.6,0,0,11,40.0,96.4,18.2,2,2,0,0,0,0,0.0,50,7.1,0,100.0,5,6,-3.0,2.61,1,0,0.0,83.3,5,2,0.0,7,14.3,0,0,,,,,64.6,58.5,69.1,63.2,,57.3,0,0,7,0.0,79.2,0.0,0,1,0,0,0,0,0.0,7,1.2,-1.36
