player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jaxson Dart,146409,QB,USC,1,22.22,0,29,326,76.5,17,20,11.2,3.14,2,0,0.0,55.0,11,7,15.4,22,75.9,2,7,67.6,74.1,15.6,77.8,57.3,0,0,24,14.3,96.7,4.5,1,1,0,1,1,0,0.0,154,7.7,80.0,15,18,10.4,2.73,2,0,0.0,55.6,10,5,16.7,18,62.1,2,6,67.0,76.5,12.3,78.6,,0,0,19,0.0,99.1,0.0,0,0,0,1,1,0,0.0,139,7.7,87.5,8,9,3.1,2.98,0,0,0.0,77.8,7,3,0.0,11,37.9,0,2,65.8,62.3,70.7,65.5,57.3,0,0,12,33.3,89.8,9.1,1,1,0,1,0,0,0.0,50,5.6,0,100.0,6,7,-1.7,1.84,0,0,0.0,85.7,6,1,0.0,7,24.1,0,1,64.6,64.2,69.1,63.9,,0,0,7,0.0,87.5,0.0,0,0,0,1,0,0,0.0,35,5.0,-2.16
Chase Garbers,60356,QB,CAL,1,15.79,0,26,130,100.0,13,15,5.5,2.88,0,0,0.0,86.7,13,9,0.0,20,76.9,0,7,70.3,76.2,75.4,82.5,59.2,0,0,21,33.3,104.2,15.0,3,2,0,2,0,0,0.0,135,9.0,94.1,17,19,2.2,2.31,0,0,0.0,84.2,16,5,0.0,21,80.8,0,7,70.3,77.5,75.5,80.9,61.8,0,0,22,20.0,100.2,4.8,1,1,0,2,0,0,0.0,153,8.1,100.0,2,2,8.0,3.52,0,0,0.0,100.0,2,4,0.0,5,19.2,0,1,63.8,62.1,68.1,67.8,57.3,0,0,5,50.0,116.7,40.0,2,1,0,0,0,0,0.0,24,12.0,0,83.3,6,6,-3.0,1.43,0,0,0.0,83.3,5,0,0.0,6,23.1,0,1,64.2,66.1,68.6,65.9,,0,0,6,,95.8,0.0,0,0,0,0,0,0,0.0,42,7.0,3.95
Miller Moss,70727,QB,USC,1,55.56,0,15,326,60.0,10,11,5.5,3.01,0,0,0.0,54.5,6,2,0.0,13,86.7,0,2,21.7,36.7,73.1,32.6,60.9,0,0,14,50.0,63.4,7.7,1,1,0,1,0,2,14.3,42,3.8,50.0,8,9,6.6,3.08,0,0,0.0,44.4,4,2,0.0,11,73.3,0,2,20.5,33.7,72.8,29.7,60.9,0,0,12,50.0,57.2,9.1,1,1,0,1,0,2,16.7,39,4.3,100.0,4,4,0.5,2.1,0,0,0.0,100.0,4,0,0.0,4,26.7,0,2,63.3,64.4,67.4,64.1,,0,0,4,,142.7,0.0,0,0,0,0,1,0,0.0,35,8.8,0,100.0,2,2,0.0,1.6,0,0,0.0,100.0,2,0,0.0,2,13.3,0,2,61.8,62.9,65.5,62.7,,0,0,2,,158.3,0.0,0,0,0,0,1,0,0.0,32,16.0,4.42
