player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Nicholas Vattiato,145302,QB,MIDDLE TN,1,38.57,0,57,224,72.2,36,39,8.8,2.98,0,1,2.4,53.8,21,19,19.2,51,89.5,5,15,,,,,70.2,64.0,77.0,,66.8,,,54.2,,,0,1,53,21.1,67.6,7.8,4,8,1,2,1,0,0.0,213,5.5,68.8,32,35,8.6,2.94,0,1,2.8,51.4,18,19,18.2,47,82.5,4,14,,,,,69.9,61.5,76.7,,64.3,,,54.2,,,0,1,48,21.1,61.8,8.5,4,8,1,2,1,0,0.0,162,4.6,100.0,10,10,2.4,2.13,0,0,0.0,90.0,9,0,10.0,10,17.5,1,2,,,,,65.6,72.2,70.4,,71.7,,,,,,0,0,11,,102.1,0.0,0,0,0,0,0,0,0.0,85,8.5,0,100.0,6,6,-3.0,1.32,0,0,0.0,100.0,6,0,0.0,6,10.5,0,1,,,,,64.2,66.3,68.6,,66.0,,,,,,0,0,6,,90.3,0.0,0,0,0,0,0,0,0.0,34,5.7,3.87
Caden Veltkamp,156642,QB,FAU,1,0.0,0,56,165,71.4,42,45,10.7,2.93,1,3,6.4,62.2,28,19,6.7,50,89.3,2,13,,,,,71.6,58.7,77.4,,61.1,,,52.9,,,0,3,52,10.5,70.8,4.0,2,3,0,2,2,5,9.6,322,7.2,71.9,32,34,7.8,2.97,0,2,5.6,64.7,22,18,4.3,39,69.6,1,9,,,,,71.1,53.8,76.8,,56.2,,,52.9,,,0,2,41,11.1,67.2,5.1,2,3,0,2,1,3,7.3,211,6.2,75.0,16,17,11.9,2.27,1,1,5.9,64.7,11,1,8.3,17,30.4,1,6,,,,,66.7,72.2,71.8,,71.6,,,,,,0,1,17,0.0,83.5,0.0,0,0,0,0,1,2,11.8,132,7.8,0,83.3,6,6,-1.5,1.33,0,0,0.0,83.3,5,0,0.0,6,10.7,0,2,,,,,64.2,66.2,68.6,,65.9,,,,,,0,0,6,,81.3,0.0,0,0,0,0,0,0,0.0,21,3.5,1.55
DJ Lagway,184426,QB,FLORIDA,1,3.33,0,55,163,67.6,37,39,9.4,2.8,0,3,7.0,61.5,24,16,4.0,45,81.8,1,10,,,,,70.8,63.4,77.0,,59.7,,,67.4,,,0,5,49,18.8,45.6,6.7,3,3,0,2,1,7,14.3,218,5.6,72.2,36,39,6.8,2.54,1,2,4.7,66.7,26,15,0.0,44,80.0,0,9,,,,,70.7,58.0,77.0,,55.4,,,64.3,,,0,5,48,20.0,49.7,6.8,3,2,0,2,1,7,14.6,216,5.5,80.0,10,10,6.4,2.43,0,1,10.0,70.0,7,3,12.5,11,20.0,1,3,,,,,65.6,80.5,70.4,,76.8,,,64.0,,,0,0,11,0.0,90.0,0.0,0,1,0,0,0,0,0.0,71,7.1,0,100.0,9,10,-4.3,1.24,1,0,0.0,90.0,9,2,0.0,10,18.2,0,2,,,,,65.4,65.8,70.1,,65.5,,,,,,0,0,10,0.0,95.4,0.0,0,0,0,0,0,0,0.0,69,6.9,1.56
Darian Mensah,169984,QB,DUKE,1,1.3,0,52,154,70.5,44,48,11.3,3.18,1,4,7.7,58.3,28,18,9.7,49,94.2,3,17,,,,,69.9,79.4,77.3,,79.7,,,57.3,,,0,1,54,0.0,89.0,0.0,0,1,0,3,3,1,1.9,301,6.3,72.1,43,46,10.6,3.06,1,4,7.8,58.7,27,14,12.9,46,88.5,4,16,,,,,69.8,80.1,77.2,,79.2,,,,,,0,1,52,0.0,83.1,0.0,0,0,0,2,2,1,1.9,294,6.4,75.0,4,5,9.0,3.32,0,0,0.0,60.0,3,4,0.0,6,11.5,0,2,,,,,64.2,64.3,68.6,,68.9,,,57.3,,,0,0,6,0.0,107.5,0.0,0,1,0,1,1,0,0.0,19,3.8,0,100.0,3,3,-2.3,1.63,0,0,0.0,66.7,2,0,33.3,3,5.8,1,1,,,,,63.3,64.9,67.4,,64.7,,,,,,0,0,4,,74.3,0.0,0,0,0,0,0,0,0.0,12,4.0,-2.59
Luke Weaver,198494,QB,HAWAII,1,20.54,0,52,180,69.4,36,37,9.1,2.64,1,1,2.4,56.8,21,10,16.0,47,90.4,4,9,,,,,70.5,62.8,76.8,,63.7,,,58.2,,,0,0,52,20.0,78.2,4.3,2,8,0,0,1,1,1.9,176,4.8,72.2,36,37,8.3,2.67,1,1,2.5,59.5,22,10,15.4,47,90.4,4,10,,,,,70.5,62.9,76.8,,63.8,,,58.2,,,0,0,51,20.0,94.0,4.3,2,8,0,0,2,1,2.0,216,5.8,80.0,5,5,2.8,1.26,0,0,0.0,80.0,4,0,0.0,5,9.6,0,1,,,,,64.2,64.9,68.6,,64.6,,,,,,0,0,6,,86.7,0.0,0,0,0,0,0,0,0.0,24,4.8,0,100.0,5,5,-3.0,1.62,0,0,0.0,100.0,5,0,0.0,5,9.6,0,2,,,,,63.8,65.5,68.1,,65.3,,,,,,0,0,5,,158.3,0.0,0,0,0,0,1,0,0.0,64,12.8,-1.04
Kyron Drones,144506,QB,VA TECH,1,9.29,0,50,337,68.6,35,37,10.2,3.82,0,2,5.1,64.9,24,21,0.0,48,96.0,0,12,,,,,26.3,68.0,77.4,,66.2,,,63.8,,,0,1,51,19.0,101.1,8.3,4,7,0,2,3,3,5.9,259,7.0,69.7,33,35,8.6,3.77,0,2,5.4,65.7,23,20,0.0,45,90.0,0,11,,,,,25.8,73.7,77.3,,72.0,,,65.5,,,0,0,48,20.0,105.1,8.9,4,6,0,2,2,2,4.2,245,7.0,75.0,4,4,16.0,3.18,0,0,0.0,75.0,3,1,0.0,5,10.0,0,1,,,,,63.8,38.7,68.1,,41.2,,,57.3,,,0,1,5,0.0,86.5,0.0,0,1,0,0,1,1,20.0,21,5.3,0,100.0,2,2,-4.5,1.05,0,0,0.0,100.0,2,0,0.0,2,4.0,0,0,,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,81.3,0.0,0,0,0,0,0,0,0.0,7,3.5,-1.75
Tad Hudson,170107,QB,COAST CAR,1,29.29,0,49,141,64.5,31,34,10.5,2.81,0,4,10.5,47.1,16,23,20.0,43,87.8,4,11,,,,,34.3,83.8,76.5,,87.4,,,50.3,,,0,2,47,26.1,36.6,14.0,6,3,0,3,0,3,6.4,162,4.8,65.6,32,35,9.1,2.7,1,4,10.5,45.7,16,24,23.8,44,89.8,5,10,,,,,34.3,80.5,76.5,,84.1,,,50.3,,,0,2,47,25.0,33.6,13.6,6,3,0,2,0,3,6.4,145,4.1,100.0,3,4,5.7,2.62,0,0,0.0,75.0,3,1,0.0,5,10.2,0,3,,,,,64.2,80.7,68.6,,78.2,,,61.7,,,0,0,6,0.0,92.7,0.0,0,1,0,1,0,0,0.0,27,6.8,0,100.0,4,5,-4.5,1.85,1,0,0.0,60.0,3,2,25.0,6,12.2,1,2,,,,,64.2,66.4,68.6,,62.4,,,61.7,,,0,0,6,0.0,64.6,0.0,0,1,0,0,0,0,0.0,10,2.0,2.61
Eli Holstein,172381,QB,PITTSBURGH,1,26.05,0,48,268,59.3,27,31,12.3,3.13,1,1,3.1,51.6,16,21,0.0,41,85.4,0,8,,,,,38.3,53.6,77.0,,49.4,,,64.1,,,0,1,42,28.6,78.6,14.6,6,4,0,3,1,4,9.5,269,8.7,61.5,26,29,10.5,2.92,1,1,3.3,51.7,15,15,6.3,36,75.0,1,7,,,,,70.6,63.2,76.7,,58.8,,,67.0,,,0,1,37,26.7,78.5,11.1,4,3,0,2,1,2,5.4,252,8.7,87.5,8,9,5.0,2.75,0,0,0.0,77.8,7,6,0.0,12,25.0,0,1,,,,,19.6,33.4,70.7,,35.1,,,57.0,,,0,0,12,33.3,90.3,16.7,2,1,0,1,0,2,16.7,51,5.7,0,100.0,7,7,-2.7,1.37,0,0,0.0,85.7,6,0,14.3,7,14.6,1,0,,,,,64.6,61.1,69.1,,60.8,,,,,,0,0,7,,86.9,0.0,0,0,0,0,0,0,0.0,34,4.9,-3.02
Dylan Lonergan,172386,QB,BOSTON COL,1,-10.59,0,48,121,69.2,39,40,8.7,2.65,1,2,5.0,65.0,26,15,3.7,44,91.7,1,16,,,,,35.6,50.1,76.7,,55.5,,,41.1,,,0,1,45,13.3,87.3,4.5,2,2,0,0,1,3,6.7,318,8.0,72.7,33,34,6.7,2.47,1,1,2.9,70.6,24,11,0.0,38,79.2,0,13,,,,,31.8,43.4,76.3,,49.2,,,41.1,,,0,1,39,18.2,88.1,5.3,2,2,0,0,1,3,7.7,242,7.1,70.0,10,10,11.0,2.79,0,1,10.0,60.0,6,4,14.3,10,20.8,1,4,,,,,65.4,75.0,70.1,,74.5,,,,,,0,0,10,0.0,90.0,0.0,0,0,0,0,0,0,0.0,91,9.1,0,100.0,4,4,-2.8,1.23,0,0,0.0,100.0,4,0,0.0,4,8.3,0,1,,,,,63.3,65.0,67.4,,64.8,,,,,,0,0,4,,82.3,0.0,0,0,0,0,0,0,0.0,15,3.8,1.98
Noah Kim,129623,QB,E MICHIGAN,1,14.29,0,48,160,72.2,36,38,9.2,3.13,0,2,5.1,57.9,22,14,15.4,44,91.7,4,13,,,,,70.6,79.2,77.1,,81.4,60.0,,59.1,,,0,1,45,14.3,83.3,4.5,2,4,0,2,1,0,0.0,321,8.4,71.9,32,35,10.2,3.09,1,2,5.6,57.1,20,12,13.0,39,81.3,3,12,,,,,70.3,83.4,76.8,,84.6,,,61.3,,,0,1,40,8.3,83.3,2.6,1,3,0,2,1,0,0.0,302,8.6,85.7,7,7,0.3,2.87,0,0,0.0,71.4,5,2,16.7,9,18.8,1,1,,,,,65.1,52.1,70.1,,55.3,60.0,,57.3,,,0,0,9,50.0,78.3,11.1,1,1,0,0,0,0,0.0,28,4.0,0,100.0,3,4,-1.3,2.2,1,0,0.0,75.0,3,0,0.0,4,8.3,0,0,,,,,63.3,61.5,67.4,,61.4,,,,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,9,2.3,-4.63
