player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jeremy James,98423,T,OLE MISS,1,100.0,0,226,72.8,80.6,71.4,0,0,55,100.0,100.0,100.0,1,0,0,103,0,0,0,103,56,56,0,103,47,0
Orlando Umana,60185,C,OLE MISS,1,100.0,0,226,69.0,80.6,63.8,0,1,55,100.0,100.0,99.1,0,1,0,103,103,0,0,103,56,56,0,0,47,0
Nick Broeker,99084,T,OLE MISS,1,100.0,0,226,64.4,75.3,62.8,0,2,55,100.0,100.0,98.2,1,2,0,103,0,0,103,103,56,56,0,0,47,0
Ben Brown,59869,G,OLE MISS,1,100.0,0,226,68.9,64.8,69.3,0,1,55,100.0,100.0,99.1,0,1,0,103,0,0,0,103,56,56,103,0,47,0
Jacob Gardner,128229,T,NEVADA,1,100.0,0,239,49.7,79.5,35.5,0,0,57,100.0,100.0,100.0,0,0,0,95,0,0,95,95,61,61,0,0,34,0
Chris Paul,77579,T,TULSA,1,100.0,0,320,72.6,67.0,71.4,0,2,41,100.0,100.0,97.6,0,2,0,95,0,0,0,95,47,47,0,95,48,0
X'Zauvea Gadlin,77580,G,TULSA,1,100.0,0,320,63.7,81.8,59.0,0,1,41,100.0,100.0,98.8,0,1,0,95,14,80,1,95,47,47,0,0,48,0
Tyler Smith,98385,T,TULSA,1,100.0,1,320,90.2,76.2,91.4,0,1,41,100.0,100.0,98.8,2,1,0,95,0,0,94,95,47,47,0,0,48,1
Dylan Couch,41390,G,TULSA,1,100.0,0,320,67.6,81.8,64.5,0,0,41,100.0,100.0,100.0,0,0,0,94,0,1,0,94,47,47,93,0,47,0
Matthew Bedford,101579,G,INDIANA,1,100.0,0,190,61.2,70.8,56.9,1,1,58,100.0,100.0,96.6,0,3,1,93,0,0,0,93,63,63,93,0,30,0
Mike Katic,101575,G,INDIANA,1,100.0,0,190,58.8,54.7,58.0,2,2,58,100.0,100.0,96.6,0,4,0,93,0,93,0,93,63,63,0,0,30,0
Luke Haggard,129442,T,INDIANA,1,100.0,0,190,66.0,70.3,60.8,0,4,58,100.0,100.0,96.6,0,4,0,93,0,0,93,93,63,63,0,0,30,0
Dylan Powell,41118,C,INDIANA,1,100.0,0,190,62.3,73.6,56.9,1,0,58,100.0,100.0,99.1,0,1,0,93,93,0,0,93,63,63,0,0,30,0
Myron Cunningham,33168,T,ARKANSAS,1,100.0,0,111,65.3,68.4,62.0,0,0,45,100.0,100.0,97.8,0,1,1,91,0,0,91,91,47,47,0,0,44,0
Brady Latham,99068,G,ARKANSAS,1,100.0,0,111,62.9,78.1,59.2,0,1,45,100.0,100.0,98.9,0,1,0,91,0,91,0,91,47,47,0,0,44,0
Beaux Limmer,99067,G,ARKANSAS,1,100.0,0,111,71.0,47.7,74.7,1,0,45,100.0,100.0,98.9,0,1,0,91,0,0,0,91,47,47,91,0,44,0
Ricky Stromberg,99066,C,ARKANSAS,1,100.0,0,111,77.2,73.2,76.8,0,1,45,100.0,100.0,96.7,1,2,1,91,91,0,0,91,47,47,0,0,44,0
Ty Clary,58490,T,ARKANSAS,1,100.0,0,111,69.4,71.0,66.0,0,0,45,100.0,100.0,97.8,0,1,1,91,0,0,0,91,47,47,0,91,44,0
Tyler Orsini,101264,C,NEVADA,1,100.0,0,239,51.6,45.7,57.0,1,3,55,100.0,100.0,94.5,1,5,1,89,89,0,0,89,59,59,0,0,30,0
Aaron Frost,82350,T,NEVADA,1,100.0,0,239,61.4,69.0,65.5,1,1,55,100.0,100.0,98.2,2,2,0,89,0,0,0,89,59,59,0,89,30,0
Josh Priebe,129733,G,NWESTERN,1,100.0,0,256,76.2,65.9,77.6,0,1,35,100.0,100.0,98.6,0,1,0,86,0,86,0,86,40,40,0,0,46,0
Matthew Cindric,81604,C,CAL,1,100.0,0,130,72.4,65.0,79.7,0,0,47,100.0,100.0,100.0,2,0,0,86,86,0,0,86,52,52,0,0,34,0
Peter Skoronski,129737,T,NWESTERN,1,100.0,0,256,63.8,86.0,54.9,0,1,35,100.0,100.0,98.6,1,1,0,86,0,0,86,86,40,40,0,0,46,0
Sam Gerak,59970,C,NWESTERN,1,100.0,0,256,64.1,58.8,63.2,0,0,35,100.0,100.0,100.0,0,0,0,86,86,0,0,86,40,40,0,0,46,0
Ethan Wiederkehr,59969,T,NWESTERN,1,100.0,0,256,74.9,76.3,71.1,0,1,35,100.0,100.0,98.6,0,1,0,86,0,0,0,86,40,40,0,86,46,0
Navaughn Donaldson,59848,G,MIAMI FL,1,100.0,0,220,62.1,86.8,52.4,0,0,54,100.0,100.0,100.0,0,0,0,86,0,86,0,86,61,61,0,0,25,0
Cole Birmingham,99427,T,OKLA STATE,1,100.0,0,262,81.4,81.5,77.3,0,0,35,100.0,100.0,100.0,0,0,0,86,0,0,86,86,39,39,0,0,47,0
Jarrid Williams,38432,T,MIAMI FL,1,100.0,0,220,66.9,78.6,56.4,0,2,54,100.0,100.0,98.1,0,2,0,86,0,0,0,86,61,61,0,86,25,0
