player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Taylor Miterko,99428,G,OKLA STATE,1,100.0,1,262,48.4,23.2,53.2,1,3,67,100.0,100.0,97.0,1,4,0,105,0,105,0,105,74,74,0,0,31,0
Jake Springfield,99425,T,OKLA STATE,1,100.0,1,262,59.5,74.9,52.6,1,2,67,100.0,100.0,97.8,1,3,0,105,0,0,0,105,74,74,0,105,31,0
Joe Michalski,99426,G,OKLA STATE,1,100.0,0,262,51.8,52.5,50.7,0,4,67,100.0,100.0,97.0,0,4,0,105,105,0,0,105,74,74,0,0,31,0
Caleb Rogers,123157,T,TEXAS TECH,1,100.0,0,315,75.5,83.5,68.5,0,3,55,100.0,100.0,97.3,0,3,0,102,0,0,101,102,55,55,0,1,47,0
Landon Peterson,99457,G,TEXAS TECH,1,100.0,0,315,62.9,80.3,58.2,0,0,55,100.0,100.0,100.0,0,0,0,102,0,0,0,102,55,55,102,0,47,0
Weston Wright,77494,G,TEXAS TECH,1,100.0,0,315,60.5,82.0,54.5,0,1,55,100.0,100.0,99.1,1,1,0,102,0,102,0,102,55,55,0,0,47,0
Dennis Wilburn,157314,C,TEXAS TECH,1,100.0,0,315,56.8,75.3,51.4,0,1,55,100.0,100.0,99.1,0,1,0,102,102,0,0,102,55,55,0,0,47,0
Matt Keeler,144743,T,TEXAS TECH,1,100.0,0,315,57.3,67.2,51.6,0,4,55,100.0,100.0,96.4,0,4,0,102,0,0,0,102,55,55,0,101,47,1
Ahofitu Maka,100803,C,UTSA,1,100.0,0,331,64.9,69.2,62.0,0,1,48,100.0,100.0,99.0,1,1,0,97,97,0,0,97,50,50,0,0,47,0
Ernesto Almaraz,90765,T,UTSA,1,100.0,0,331,63.6,67.9,64.6,0,0,48,100.0,100.0,97.9,1,1,1,97,0,0,0,97,50,50,0,97,47,0
