player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cole Motes,128393,T,UTAH ST,1,100.0,0,329,45.6,50.0,57.9,1,0,31,100.0,100.0,98.4,2,1,0,52,0,0,52,52,32,32,0,0,20,0
Travis Burke,147952,T,FIU,1,100.0,0,166,76.8,81.7,72.4,0,0,21,100.0,100.0,100.0,0,0,0,52,0,0,52,52,24,24,0,0,28,0
Ben Purvis,162577,G,NAVY,1,100.0,0,237,81.8,80.7,80.3,0,0,10,100.0,100.0,100.0,0,0,0,52,0,52,0,52,11,11,0,0,41,0
Teague Andersen,163424,T,UTAH ST,1,100.0,0,329,65.3,60.3,65.5,0,1,31,100.0,100.0,95.2,0,2,1,52,0,0,0,52,32,32,0,52,20,0
Michael Nichols,123094,T,TCU,1,100.0,0,305,82.7,81.8,78.5,0,0,22,100.0,100.0,100.0,0,0,0,52,0,0,0,52,23,23,0,52,29,0
Garner Langlo,146670,G,APP STATE,1,100.0,0,108,41.2,8.1,51.2,1,3,30,100.0,100.0,93.3,0,4,0,52,0,0,0,52,34,34,19,33,18,0
Wyatt Bowles,81896,G,UTAH ST,1,100.0,0,329,48.6,50.8,56.8,0,2,31,100.0,100.0,96.8,2,2,0,52,0,43,0,52,32,32,9,0,20,0
Xavior Gray,100263,T,LIBERTY,1,100.0,0,206,51.7,30.9,76.6,0,4,26,100.0,100.0,92.3,3,4,0,52,0,0,0,52,29,29,0,52,23,0
Tyler Doty,130407,G,BUFFALO,1,100.0,0,126,70.6,85.8,67.8,0,0,24,100.0,100.0,100.0,0,0,0,52,0,0,0,52,24,24,52,0,28,0
Ty Furnish,151082,G,VIRGINIA,1,100.0,0,335,52.1,64.9,52.9,0,1,31,100.0,100.0,95.2,1,2,1,52,0,0,0,52,32,32,52,0,20,0
Gaard Memmelaar,131906,G,WASHINGTON,1,100.0,0,340,63.1,78.3,59.9,0,0,30,100.0,100.0,100.0,1,0,0,51,0,51,0,51,30,30,0,0,21,0
Flavio Gonzalez,162473,G,OREGON ST,1,100.0,0,265,72.1,77.2,71.0,0,0,17,100.0,100.0,100.0,0,0,0,51,0,0,0,51,19,19,51,0,32,0
Ethan Newman,173798,G,KENNESAW,1,100.0,0,200,56.5,70.4,54.6,0,0,14,100.0,100.0,100.0,0,0,0,51,0,0,0,51,14,14,51,0,37,0
Caelan Shepard,98489,T,BUFFALO,1,100.0,0,126,54.7,18.6,67.2,2,0,24,100.0,100.0,91.7,0,3,1,51,0,0,0,51,24,24,0,51,27,0
Knijeah Harris,174244,G,FLORIDA,1,100.0,0,163,56.0,68.4,58.7,0,1,22,100.0,100.0,97.7,1,1,0,51,9,42,0,51,23,23,0,0,28,0
Jordan Spasojevic-Moko,147012,G,CHARLOTTE,1,100.0,0,136,65.0,64.8,64.9,0,1,34,100.0,100.0,98.5,0,1,0,51,0,51,0,51,34,34,0,0,17,0
Jacob Norcross,190299,C,KENNESAW,1,100.0,0,200,49.2,79.5,48.7,0,0,14,100.0,100.0,100.0,0,0,0,51,51,0,0,51,14,14,0,0,37,0
Kamaar Bell,99073,G,S CAROLINA,1,100.0,0,289,55.2,77.9,50.1,0,1,21,100.0,100.0,97.6,0,1,0,51,0,51,0,51,25,25,0,0,26,0
Enokk Vimahi,101548,G,WASHINGTON,1,100.0,0,340,69.5,84.7,66.7,0,0,30,100.0,100.0,100.0,0,0,0,51,0,0,0,51,30,30,51,0,21,0
Drew Azzopardi,158777,T,WASHINGTON,1,100.0,0,340,64.1,82.1,56.1,0,0,30,100.0,100.0,100.0,0,0,0,51,0,0,0,51,30,30,0,50,21,1
JT Pennington,150312,G,KENNESAW,1,100.0,0,200,51.5,53.6,54.9,0,1,14,100.0,100.0,96.4,2,1,0,51,0,51,0,51,14,14,0,0,37,0
Jacob Kettels,102317,T,KENNESAW,1,100.0,0,200,66.2,60.8,65.0,1,0,14,100.0,100.0,96.4,0,1,0,51,0,0,51,51,14,14,0,0,37,0
Seaburn Hines,147115,T,KENNESAW,1,100.0,0,200,68.8,72.9,65.7,0,0,14,100.0,100.0,100.0,0,0,0,51,0,0,0,51,14,14,0,51,37,0
Gunnar Hansen,146959,T,VANDERBILT,1,100.0,0,333,68.8,64.9,67.3,0,0,18,100.0,100.0,100.0,2,0,0,51,0,0,26,51,19,19,0,20,32,5
Brandon Baldwin,144945,G,MICH STATE,1,100.0,0,223,52.5,19.0,65.6,1,3,30,100.0,100.0,90.0,0,5,1,50,0,0,35,50,31,31,0,15,19,0
Zylon Crisler,158202,G,ILLINOIS,1,100.0,0,187,60.9,76.4,57.9,0,1,24,100.0,100.0,97.9,0,1,0,50,0,0,0,50,24,24,50,0,26,0
Chase Mitchell,123886,T,VANDERBILT,1,100.0,0,333,84.8,67.9,83.8,1,0,18,100.0,100.0,97.2,0,1,0,50,0,0,19,50,19,19,0,31,31,0
Anez Cooper,162732,G,MIAMI FL,1,100.0,0,220,72.0,77.8,72.2,0,0,31,100.0,100.0,100.0,0,0,0,50,0,0,0,50,33,33,49,0,17,1
Francis Mauigoa,170088,T,MIAMI FL,1,100.0,0,220,71.9,81.9,65.3,0,0,31,100.0,100.0,100.0,0,0,0,50,0,0,0,50,33,33,0,49,17,1
Kevo Wesley,124364,G,VANDERBILT,1,100.0,0,333,53.8,54.0,52.6,0,1,18,100.0,100.0,97.2,0,1,0,50,0,31,0,50,19,19,19,0,31,0
Dalton Cooper,98482,T,OKLA STATE,1,100.0,0,262,64.1,78.1,55.0,0,0,28,100.0,100.0,100.0,1,0,0,50,0,0,50,50,33,33,0,0,17,0
Markel Bell,183226,T,MIAMI FL,1,100.0,0,220,55.4,68.6,56.5,0,1,31,100.0,100.0,95.2,1,2,1,50,0,1,49,50,33,33,0,0,17,0
Jordyn Tyson,157690,WR,ARIZONA ST,1,68.5,0,110,52.3,,59.5,0,0,0,0.0,0.0,,1,0,0,50,0,0,0,73,0,23,0,0,50,0
Luke Baklenko,176606,T,STANFORD,1,100.0,0,300,63.3,61.2,62.4,0,1,25,100.0,100.0,98.0,0,1,0,49,0,0,1,49,27,27,0,48,22,0
Jaheim Buchanon,175543,C,FIU,1,100.0,0,166,57.6,28.1,61.6,0,0,19,100.0,100.0,100.0,0,0,0,49,35,14,0,49,22,22,0,0,27,0
Dontae Lucas,98047,G,SO MISS,1,100.0,0,296,72.5,77.6,71.9,0,1,24,100.0,100.0,97.9,0,1,0,49,0,0,0,49,26,26,49,0,23,0
Zach Carpenter,101539,C,MIAMI FL,1,100.0,0,220,68.7,81.7,63.3,0,1,31,100.0,100.0,98.4,0,1,0,49,49,0,0,49,33,33,0,0,16,0
Tony Georges,130291,C,KENT STATE,1,100.0,0,201,61.8,74.8,56.7,0,0,33,100.0,100.0,100.0,0,0,0,49,0,49,0,49,36,36,0,0,13,0
Matthew McCoy,162736,G,MIAMI FL,1,100.0,0,220,61.8,68.6,66.4,0,1,31,100.0,100.0,98.4,1,1,0,49,0,49,0,49,33,33,0,0,16,0
