player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Quinn Ewers,127253,QB,TEXAS,1,32.9,0,311,60.7,,60.0,0,0,0,0.0,0.0,,0,0,0,23,0,0,0,70,0,47,0,0,23,0
Mitchell Evans,147486,TE,NOTRE DAME,1,38.6,0,258,66.2,65.4,46.3,0,0,1,2.9,2.8,100.0,0,0,0,22,0,0,0,57,1,36,0,0,21,19
Rocco Spindler,147478,G,NOTRE DAME,1,100.0,0,258,60.2,49.8,60.9,1,0,12,100.0,100.0,95.8,0,1,0,22,0,0,0,22,12,12,22,0,10,0
Julian Fleming,129745,WR,PENN STATE,1,61.8,0,266,60.5,,84.7,0,0,0,0.0,0.0,,0,0,0,21,0,0,0,34,0,13,0,0,21,0
Riley Leonard,143862,QB,NOTRE DAME,1,31.8,0,258,64.0,,60.0,0,0,0,0.0,0.0,,1,0,0,21,0,0,0,66,0,31,0,0,21,0
Ryan Wingo,184520,WR,TEXAS,1,32.3,0,311,54.1,,68.1,0,0,0,0.0,0.0,,0,0,0,21,0,0,0,65,0,43,0,0,21,0
Jordan Faison,171081,WR,NOTRE DAME,1,38.3,0,258,59.8,,45.5,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,47,0,29,0,0,18,2
Jeremiah Smith,183710,WR,OHIO STATE,1,32.1,0,260,55.4,,60.0,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,56,0,38,0,0,18,2
Kris Mitchell,97659,WR,NOTRE DAME,1,60.7,0,258,55.7,,60.4,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,28,0,11,0,0,17,0
Austin Siereveld,170269,G,OHIO STATE,1,100.0,0,260,57.2,54.4,56.8,0,0,12,100.0,100.0,91.7,1,1,1,17,0,0,0,17,13,13,17,0,4,0
Will Howard,122599,QB,OHIO STATE,1,28.3,0,260,67.2,,60.0,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,60,0,38,0,0,17,0
Omari Evans,164168,WR,PENN STATE,1,53.6,0,266,53.6,,60.2,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,28,0,13,0,0,15,0
Eli Raridon,156970,TE,NOTRE DAME,1,75.0,0,258,59.1,65.4,62.7,0,0,1,20.0,16.7,100.0,0,0,0,15,0,0,0,20,1,6,0,0,14,15
Emeka Egbuka,145055,WR,OHIO STATE,1,29.4,0,260,63.6,,55.5,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,51,0,35,0,0,15,0
Carnell Tate,170273,WR,OHIO STATE,1,31.3,0,260,66.8,,44.3,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,48,0,33,0,0,15,0
Jeremiyah Love,171090,HB,NOTRE DAME,1,43.8,0,258,70.2,30.2,53.8,0,0,2,25.0,22.2,100.0,0,0,0,14,0,0,0,32,2,9,0,0,12,0
Anthonie Knapp,184097,T,NOTRE DAME,1,100.0,0,258,57.3,80.7,64.2,0,0,6,100.0,100.0,100.0,1,0,0,14,0,0,14,14,6,6,0,0,8,0
DeAndre Moore Jr.,173164,WR,TEXAS,1,28.9,0,311,58.7,,60.7,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,45,0,32,0,0,13,0
Juan Davis,144725,TE,TEXAS,1,52.2,0,311,47.2,47.0,44.5,0,0,2,18.2,15.4,100.0,0,0,0,12,0,0,0,23,2,13,0,0,10,13
Kaytron Allen,164158,HB,PENN STATE,1,26.8,0,266,69.2,14.0,67.1,0,0,1,9.1,15.4,100.0,0,0,0,11,0,0,0,41,2,13,0,0,9,0
Quinshon Judkins,157128,HB,OHIO STATE,1,31.3,0,260,75.9,23.6,71.3,0,0,4,26.7,25.0,100.0,0,0,0,10,0,0,0,32,4,16,0,0,6,0
Silas Bolden,71674,WR,TEXAS,1,34.5,0,311,64.8,,60.6,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,29,0,19,0,0,10,0
Quintrevion Wisner,176190,HB,TEXAS,1,19.2,0,311,68.0,27.5,67.8,0,1,6,20.7,21.9,91.7,0,1,0,10,0,0,0,52,7,32,0,0,3,0
Liam Clifford,145089,WR,PENN STATE,1,45.0,0,266,53.6,,60.9,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,20,0,11,0,0,9,0
Bennett Christian,156482,TE,OHIO STATE,1,100.0,0,260,83.5,43.4,81.9,1,0,2,100.0,100.0,75.0,0,1,0,9,0,0,0,9,2,2,0,0,7,8
Deion Colzie,147473,WR,NOTRE DAME,1,53.3,0,258,54.1,,54.7,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,15,0,7,0,0,8,1
