player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Trent Holler,105818,C,MEMPHIS,1,100.0,0,218,68.2,74.3,64.0,0,0,62,100.0,100.0,100.0,0,0,0,99,99,0,0,99,66,66,0,0,33,0
Esa Pole,174220,T,WASH STATE,1,100.0,0,341,72.2,76.9,66.8,0,2,60,100.0,100.0,98.3,0,2,0,99,0,0,98,99,64,64,0,0,35,0
Devin Kylany,131938,C,WASH STATE,1,100.0,0,341,51.9,60.8,56.1,0,2,60,100.0,100.0,98.3,3,2,0,99,98,0,0,99,64,64,0,0,35,0
Rodrick Tialavea,131959,G,WASH STATE,1,100.0,0,341,55.4,72.9,56.8,0,1,60,100.0,100.0,97.5,2,2,1,99,0,98,0,99,64,64,0,0,35,0
Xavier Hill,124098,G,MEMPHIS,1,100.0,0,218,69.0,79.4,66.1,0,0,62,100.0,100.0,100.0,0,0,0,99,0,99,0,99,66,66,0,0,33,0
Keydrell Lewis,154704,T,MEMPHIS,1,100.0,0,218,69.3,72.4,64.5,0,1,62,100.0,100.0,99.2,0,1,0,99,0,0,0,99,66,66,0,99,33,0
Chris Adams,145359,T,MEMPHIS,1,100.0,0,218,89.2,89.5,85.1,0,0,62,100.0,100.0,100.0,0,0,0,99,0,0,99,99,66,66,0,0,33,0
Brock Dieu,146503,G,WASH STATE,1,100.0,0,341,78.5,82.8,87.4,0,1,60,100.0,100.0,99.2,2,1,0,98,0,0,0,98,64,64,98,0,34,0
Jonah Gambill,121763,G,MEMPHIS,1,100.0,0,218,69.8,89.8,68.9,0,0,61,100.0,100.0,100.0,1,0,0,98,0,0,0,98,65,65,98,0,33,0
Albert Reese IV,146848,T,MISS STATE,1,100.0,0,227,67.9,68.4,65.1,1,2,45,100.0,100.0,96.7,0,3,0,95,0,0,0,95,50,50,0,95,45,0
Jacoby Jackson,144756,G,MISS STATE,1,100.0,0,227,60.3,52.5,60.5,0,1,45,100.0,100.0,98.9,0,1,0,95,0,95,0,95,50,50,0,0,45,0
Ethan Miner,98068,C,MISS STATE,1,100.0,0,227,67.1,73.7,63.3,0,2,45,100.0,100.0,97.8,0,2,0,95,95,0,0,95,50,50,0,0,45,0
Hank Zilinskas,171911,C,COLORADO,1,100.0,0,143,59.8,71.6,58.4,1,0,55,100.0,100.0,97.3,1,2,1,92,92,0,0,92,63,63,0,0,29,0
Tyler Brown,98070,G,COLORADO,1,100.0,0,143,59.4,72.5,52.8,0,2,55,100.0,100.0,98.2,0,2,0,92,0,92,0,92,63,63,0,0,29,0
Jordan Seaton,183886,T,COLORADO,1,100.0,0,143,61.7,77.6,60.7,0,3,55,100.0,100.0,97.3,3,3,0,92,0,0,92,92,63,63,0,0,29,0
Baraka Beckett,81883,G,NEW MEXICO,1,100.0,0,241,68.9,82.4,70.8,0,1,56,100.0,100.0,99.1,2,1,0,89,0,89,0,89,61,61,0,0,28,0
Wallace Unamba,169929,T,NEW MEXICO,1,100.0,0,241,71.6,74.9,67.6,0,1,56,100.0,100.0,99.1,0,1,0,89,0,0,1,89,61,61,0,87,28,1
Richard Pearce,151054,G,NEW MEXICO,1,100.0,0,241,66.2,82.7,72.1,0,0,56,100.0,100.0,100.0,2,0,0,89,0,0,1,89,61,61,88,0,28,0
Dalton Merryman,176436,T,TEXAS TECH,1,100.0,1,315,69.0,66.2,72.8,0,0,47,100.0,100.0,100.0,3,0,0,88,0,0,88,88,51,51,0,0,37,0
Caleb Rogers,123157,T,TEXAS TECH,1,100.0,0,315,52.8,56.4,53.8,0,3,47,100.0,100.0,96.8,1,3,0,88,0,88,0,88,51,51,0,0,37,0
Evan Malcore,158043,T,N ILLINOIS,1,100.0,0,254,59.8,51.8,61.2,1,2,48,100.0,100.0,96.9,0,3,0,88,0,0,88,88,49,49,0,0,39,0
John Champe,130545,G,N ILLINOIS,1,100.0,0,254,65.2,62.9,65.0,2,1,48,100.0,100.0,96.9,0,3,0,88,0,10,0,88,49,49,78,0,39,0
McKenzie Agnello,160062,C,NEW MEXICO,1,100.0,0,241,69.4,74.9,65.5,0,0,56,100.0,100.0,100.0,1,0,0,88,84,0,1,88,60,60,0,1,28,2
Davion Carter,158004,G,TEXAS TECH,1,100.0,0,315,58.6,88.0,51.0,0,0,47,100.0,100.0,100.0,0,0,0,88,0,0,0,88,51,51,88,0,37,0
Evan Buss,130543,T,N ILLINOIS,1,100.0,0,254,71.6,69.4,69.3,1,0,48,100.0,100.0,99.0,0,1,0,88,0,0,0,88,49,49,0,88,39,0
Ty Buchanan,146417,T,TEXAS TECH,1,100.0,0,315,58.7,63.4,54.9,1,3,47,100.0,100.0,95.7,0,4,0,88,0,0,0,88,51,51,0,88,37,0
Sheridan Wilson,157336,C,TEXAS TECH,1,100.0,0,315,61.3,70.4,61.3,1,0,47,100.0,100.0,98.9,1,1,0,88,88,0,0,88,51,51,0,0,37,0
E'Marion Harris,157022,G,ARKANSAS,1,100.0,0,111,51.2,73.0,45.7,0,2,38,100.0,100.0,97.4,0,2,0,86,0,86,0,86,40,40,0,0,46,0
Addison Nichols,157622,C,ARKANSAS,1,100.0,0,111,55.2,61.3,54.0,0,1,38,100.0,100.0,98.7,1,1,0,86,86,0,0,86,40,40,0,0,46,0
Willie Lampkin,122344,G,N CAROLINA,1,100.0,0,245,77.3,67.4,85.4,2,1,56,100.0,100.0,97.3,0,3,0,86,0,0,0,86,63,63,86,0,23,0
Austin Blaske,124011,C,N CAROLINA,1,100.0,0,245,71.7,61.0,73.7,1,0,56,100.0,100.0,99.1,0,1,0,86,86,0,0,86,63,63,0,0,23,0
Joshua Braun,124371,G,ARKANSAS,1,100.0,0,111,72.2,73.0,71.8,0,2,38,100.0,100.0,97.4,0,2,0,86,0,0,0,86,40,40,86,0,46,0
Fernando Carmona,146185,T,ARKANSAS,1,100.0,0,111,51.0,72.7,43.2,0,2,38,100.0,100.0,97.4,0,2,0,86,0,0,86,86,40,40,0,0,46,0
Keyshawn Blackstock,174044,T,ARKANSAS,1,100.0,0,111,48.6,57.0,45.9,0,3,38,100.0,100.0,93.4,0,4,1,86,0,0,0,86,40,40,0,83,46,3
Falepule Alo,128376,C,UTAH ST,1,100.0,0,329,63.0,66.9,60.5,0,0,47,100.0,100.0,97.9,0,1,1,84,84,0,0,84,49,49,0,0,35,0
Tanoa Togiai,131879,G,UTAH,1,100.0,0,328,64.0,59.0,63.7,0,1,34,100.0,100.0,95.6,0,2,1,84,0,84,0,84,35,35,0,0,49,0
