player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Kasen Carpenter,173292,C,TULSA,1,100.0,0,320,62.7,70.8,59.2,0,2,47,100.0,100.0,97.9,0,2,0,95,95,0,0,95,50,50,0,0,45,0
Kamar Missouri,129890,T,UTSA,1,100.0,0,331,68.8,86.3,56.2,0,2,57,100.0,100.0,98.2,0,2,0,91,0,0,91,91,59,59,0,0,32,0
CJ James Jr.,151192,C,UTSA,1,100.0,0,331,68.4,86.4,64.6,0,0,57,100.0,100.0,100.0,1,0,0,91,91,0,0,91,59,59,0,0,32,0
Dominic Serapiglia III,141881,C,C MICHIGAN,1,100.0,0,134,72.6,82.8,66.9,0,0,50,100.0,100.0,100.0,0,0,0,90,90,0,0,90,54,54,0,0,36,0
Martin Koivisto,158592,G,C MICHIGAN,1,100.0,0,134,61.1,22.8,78.9,1,3,50,100.0,100.0,94.0,0,5,1,90,0,0,0,90,54,54,0,90,36,0
Brady Ploucha,158599,G,C MICHIGAN,1,100.0,0,134,67.1,52.8,70.2,1,2,50,100.0,100.0,97.0,0,3,0,90,0,0,0,90,54,54,90,0,36,0
Davis Heinzen,145705,G,C MICHIGAN,1,100.0,0,134,67.2,88.7,61.7,0,0,50,100.0,100.0,100.0,0,0,0,90,0,90,0,90,54,54,0,0,36,0
Vashon Bailey,130425,T,C MICHIGAN,1,100.0,0,134,53.0,59.8,48.4,1,1,50,100.0,100.0,96.0,0,3,1,90,0,0,90,90,54,54,0,0,36,0
Pichon Wimbley,158371,G,GA SOUTHRN,1,100.0,0,174,57.7,74.6,53.6,1,0,45,100.0,100.0,98.9,0,1,0,88,0,88,0,88,46,46,0,0,42,0
Bryson Broadway,137997,T,GA SOUTHRN,1,100.0,0,174,73.0,81.3,66.9,0,1,45,100.0,100.0,98.9,0,1,0,88,0,0,0,88,46,46,0,88,42,0
Elijah Paige,174221,T,USC,1,100.0,0,326,54.7,57.4,51.5,0,3,47,100.0,100.0,94.7,0,4,1,86,0,0,86,86,51,51,0,0,35,0
Mason Murphy,74236,T,USC,1,100.0,0,326,50.2,51.8,53.9,2,3,47,100.0,100.0,94.7,1,5,0,86,0,0,0,86,51,51,0,86,35,0
Emmanuel Pregnon,128427,G,USC,1,100.0,1,326,75.8,54.4,82.0,0,6,47,100.0,100.0,93.6,1,6,0,86,0,86,0,86,51,51,0,0,35,0
Jonah Monheim,86461,C,USC,1,100.0,0,326,67.4,74.4,63.3,0,1,47,100.0,100.0,98.9,0,1,0,86,86,0,0,86,51,51,0,0,35,0
Isaia Glass,146274,T,OKLA STATE,1,100.0,0,262,53.1,60.5,47.9,0,4,50,100.0,100.0,96.0,0,4,0,85,0,0,0,85,55,55,0,85,30,0
Preston Wilson,99429,G,OKLA STATE,1,100.0,0,262,56.6,72.0,50.3,0,2,50,100.0,100.0,98.0,0,2,0,85,0,0,0,85,55,55,85,0,30,0
Joe Michalski,99426,C,OKLA STATE,1,100.0,0,262,64.6,86.1,56.2,0,0,50,100.0,100.0,100.0,0,0,0,85,85,0,0,85,55,55,0,0,30,0
Dalton Cooper,98482,T,OKLA STATE,1,100.0,0,262,68.4,83.5,57.7,0,1,50,100.0,100.0,99.0,0,1,0,85,0,0,85,85,55,55,0,0,30,0
"Earnest Greene, III",157074,T,GEORGIA,1,100.0,0,173,64.0,80.4,46.8,0,2,58,100.0,100.0,98.3,0,2,0,84,0,0,84,84,65,65,0,0,19,0
Evan Wibberley,156645,C,W KENTUCKY,1,100.0,0,346,63.3,78.9,57.4,0,1,44,100.0,100.0,98.9,0,1,0,84,84,0,0,84,48,48,0,0,36,0
Dylan Fairchild,146716,G,GEORGIA,1,100.0,0,173,61.2,87.3,47.4,0,1,58,100.0,100.0,99.1,0,1,0,84,0,84,0,84,65,65,0,0,19,0
Quantavious Leslie,123456,G,W KENTUCKY,1,100.0,0,346,55.3,79.1,52.1,1,0,44,100.0,100.0,98.9,2,1,0,84,0,84,0,84,48,48,0,0,36,0
Rodney Newsom Jr.,121781,G,W KENTUCKY,1,100.0,0,346,63.4,84.8,57.6,0,0,44,100.0,100.0,100.0,0,0,0,84,0,0,0,84,48,48,84,0,36,0
Marshall Jackson,72689,T,W KENTUCKY,1,100.0,0,346,65.5,64.3,63.8,1,2,44,100.0,100.0,96.6,0,3,0,84,0,0,0,84,48,48,0,84,36,0
Travon Taylor,102192,T,W KENTUCKY,1,100.0,0,346,38.8,25.5,45.6,1,1,44,100.0,100.0,90.9,1,5,3,84,0,0,84,84,48,48,0,0,36,0
Jared Wilson,146717,C,GEORGIA,1,100.0,1,173,71.1,75.3,67.9,0,0,58,100.0,100.0,100.0,1,0,0,83,83,0,0,83,65,65,0,0,18,0
Richard Pearce,151054,G,NEW MEXICO,1,100.0,0,241,64.7,70.9,62.9,0,0,29,100.0,100.0,100.0,0,0,0,83,0,0,1,83,34,34,82,0,49,0
Walter Young Bear,133127,G,TULSA,1,100.0,0,320,58.3,67.7,54.9,0,0,43,100.0,100.0,97.7,0,1,1,83,0,83,0,83,46,46,0,0,37,0
