player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Connor McMahon,144330,T,NAVY,1,100.0,0,237,73.8,84.1,67.9,0,0,34,100.0,100.0,100.0,0,0,0,65,0,0,64,65,35,35,0,0,30,1
Ben Purvis,162577,G,NAVY,1,100.0,0,237,47.5,58.6,53.2,1,1,34,100.0,100.0,97.1,2,2,0,65,0,65,0,65,35,35,0,0,30,0
Joshua Pena,121864,G,NAVY,1,100.0,0,237,61.5,38.8,63.8,0,2,34,100.0,100.0,97.1,0,2,0,65,0,0,0,65,35,35,65,0,30,0
Brent Self,144344,C,NAVY,1,100.0,0,237,60.4,51.8,65.3,0,1,34,100.0,100.0,95.6,1,2,1,65,65,0,0,65,35,35,0,0,30,0
Shayne Buckingham,102911,T,ARMY,1,100.0,0,114,75.6,81.7,71.5,0,0,15,100.0,100.0,100.0,0,0,0,61,0,0,61,61,15,15,0,0,46,0
Connor Finucane,121569,T,ARMY,1,100.0,0,114,58.7,77.8,68.7,0,0,15,100.0,100.0,100.0,3,0,0,61,0,0,0,61,15,15,0,61,46,0
Lucas Scott,147358,G,ARMY,1,100.0,0,114,60.0,81.0,61.4,0,0,15,100.0,100.0,100.0,1,0,0,61,0,0,0,61,15,15,61,0,46,0
Brady Small,171015,C,ARMY,1,100.0,0,114,77.8,79.2,75.6,0,0,15,100.0,100.0,100.0,1,0,0,61,61,0,0,61,15,15,0,0,46,0
Jackson Filipowicz,121567,G,ARMY,1,100.0,0,114,58.7,79.8,56.7,0,0,10,100.0,100.0,100.0,0,0,0,55,0,55,0,55,10,10,0,0,45,0
Tyson Riley,121605,FB,ARMY,1,86.2,0,114,67.7,73.3,61.3,0,0,7,46.7,46.7,100.0,0,0,0,50,0,0,0,58,7,15,0,0,43,49
Joshua Lingenfelter,121584,TE,ARMY,1,97.7,0,114,66.0,71.6,69.3,0,0,4,80.0,80.0,100.0,1,0,0,42,0,0,0,43,4,5,0,0,38,42
Trey Cummings,144299,T,NAVY,1,100.0,0,237,68.9,73.3,65.9,1,0,27,100.0,100.0,98.1,1,1,0,35,0,0,0,35,28,28,0,34,7,1
Alex Tecza,162587,FB,NAVY,1,57.1,0,237,65.3,81.7,54.0,0,0,15,51.7,50.0,100.0,0,0,0,32,0,0,0,56,15,30,0,0,17,0
Sam Glover,121844,T,NAVY,1,100.0,0,237,73.7,81.1,70.0,0,0,7,100.0,100.0,100.0,0,0,0,30,0,0,0,30,7,7,0,29,23,1
Cody Howard,162556,TE,NAVY,1,80.0,0,237,57.9,87.8,57.5,0,0,6,46.2,46.2,100.0,0,0,0,28,0,0,1,35,6,13,0,2,22,16
Jayden Umbarger,121874,WR,NAVY,1,43.3,0,237,68.0,,60.7,0,0,0,0.0,0.0,,0,0,0,26,0,0,0,60,0,34,0,0,26,0
Veshe Daniyan,102946,WR,ARMY,1,86.2,0,114,55.9,,57.6,0,0,0,0.0,0.0,,0,0,0,25,0,0,0,29,0,4,0,0,25,1
Ay'Jaun Marshall,121589,WR,ARMY,1,72.7,0,114,70.9,,63.3,0,0,0,0.0,0.0,,0,0,0,24,0,0,0,33,0,7,0,0,24,2
Bryson Daily,147303,QB,ARMY,1,32.8,0,114,64.6,,60.5,0,0,0,0.0,0.0,,0,0,0,20,0,0,0,61,0,15,0,0,20,0
Noah Short,163220,WR,ARMY,1,70.4,0,114,57.2,,69.8,0,0,0,0.0,0.0,,0,0,0,19,0,0,0,27,0,8,0,0,19,5
