player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Mohamed Ibrahim,55226,HB,MINNESOTA,1,39,5,5,54.4,143,0,263,0,0,5,144,46.2,5,12,225,1,24,52.5,73.0,76.2,,70.8,59.4,71.7,58.1,54,0,7,1,10,42,0,0,1,40,1,263,144,3.69,6.7,0.7,15
Brad Roberts,125398,HB,AIR FORCE,1,37,4,2,27.7,51,0,184,0,0,4,109,31.8,2,9,101,1,18,50.7,72.1,0.0,,72.2,,70.8,65.0,34,1,0,0,0,55,0,0,0,37,1,184,109,2.95,5.0,,0
Samson Evans,84228,HB,E MICHIGAN,1,33,3,0,0.0,0,0,94,0,0,3,59,15.8,1,6,160,0,25,79.8,65.1,78.2,,70.6,57.0,64.6,60.0,10,0,4,1,16,36,0,0,1,34,1,94,59,1.79,2.8,0.25,8
Calvin Tyler Jr.,52133,HB,UTAH ST,1,30,7,0,0.0,0,0,125,0,0,7,84,63.2,1,8,329,1,30,46.3,67.7,77.5,,52.9,61.3,68.3,57.1,14,0,9,1,21,38,0,0,1,31,3,125,84,2.8,4.2,0.43,0
Ray Davis,101072,HB,VANDERBILT,1,30,5,2,33.6,41,0,122,0,1,5,76,49.0,4,7,333,0,11,79.3,73.2,75.7,,23.2,69.2,72.3,59.1,26,0,9,1,5,35,0,0,1,31,0,122,76,2.53,4.1,1.8,19
Chase Brown,77787,HB,ILLINOIS,1,29,4,1,26.4,37,0,140,0,2,4,91,58.8,2,6,187,0,14,79.1,68.7,76.8,,73.1,71.1,66.2,60.0,37,0,24,3,14,31,0,0,3,32,2,140,91,3.14,4.8,1.71,15
Kimani Vidal,123727,HB,TROY,1,29,11,6,56.0,130,0,232,0,0,11,101,132.1,7,11,318,0,9,79.1,92.7,77.5,,67.9,55.4,90.9,,40,0,0,0,7,30,0,0,0,29,2,232,101,3.48,8.0,0.0,20
Dallan Hayden,162865,HB,OHIO STATE,1,27,6,2,24.0,35,0,146,0,0,6,101,77.4,4,9,260,0,10,78.4,74.8,77.1,,76.4,71.0,71.6,59.2,18,0,10,2,10,29,0,0,2,29,3,146,101,3.74,5.4,1.0,17
Jalen Holston,57469,HB,VA TECH,1,26,2,0,0.0,0,0,99,1,0,2,58,15.9,3,9,337,0,1,78.2,62.2,76.3,,70.1,43.0,64.1,68.3,14,0,5,2,16,34,0,0,4,28,3,99,58,2.23,3.8,0.31,25
Sean Tyler,97124,HB,W MICHIGAN,1,26,10,4,68.5,124,0,181,0,0,10,173,255.9,4,7,347,0,15,78.5,83.7,77.0,,74.8,57.6,81.2,57.2,57,0,0,0,4,37,0,0,0,26,1,181,173,6.65,7.0,0.0,11
Deneric Prince,83774,HB,TULSA,1,26,7,6,75.0,165,0,220,0,0,7,133,132.6,8,12,320,0,11,78.2,72.0,76.4,,77.7,66.1,70.3,59.9,67,0,19,1,12,34,0,0,1,27,2,220,133,5.12,8.5,1.58,15
Bijan Robinson,123126,HB,TEXAS,1,25,11,5,49.8,121,0,243,0,0,11,145,255.2,9,14,311,1,18,39.2,91.1,76.0,,46.0,54.9,90.5,60.0,32,0,0,0,11,26,0,0,2,25,4,243,145,5.8,9.7,0.0,7
Raheim Sanders,146626,HB,ARKANSAS,1,24,7,6,79.7,185,0,232,0,3,7,62,89.1,6,8,111,0,5,77.9,78.6,76.9,,74.6,73.0,76.5,59.6,68,0,29,5,17,28,0,0,5,29,3,232,62,2.58,9.7,1.71,19
