player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Emmanuel Michel,145972,FB,AIR FORCE,1,28,4,0,0.0,0,0,106,0,0,4,46,23.5,0,9,101,0,6,78.9,79.0,79.0,,74.9,59.5,74.1,74.3,8,0,0,0,1,39,0,0,0,28,3,106,46,1.64,3.8,0.0,0
Bryson Daily,147303,QB,ARMY,1,26,9,0,0.0,0,0,91,0,0,9,67,96.5,1,6,114,0,7,77.0,63.5,77.6,46.6,,54.3,71.2,60.0,13,0,0,0,1,63,5,1,0,25,1,96,70,2.69,3.7,0.0,14
Kay'Ron Lynch-Adams,101643,HB,UMASS,1,26,8,3,41.9,54,0,129,0,1,8,91,112.5,5,8,216,0,14,78.2,82.8,76.8,,77.2,57.3,86.2,56.9,19,0,16,2,30,29,0,0,2,28,1,129,91,3.5,5.0,0.53,12
Nate Noel,122249,HB,APP STATE,1,24,3,3,57.5,111,0,193,0,0,3,57,26.4,5,7,108,0,6,78.0,73.8,78.0,,71.2,63.9,72.8,59.6,68,0,18,3,12,30,0,0,3,27,1,193,57,2.38,8.0,1.5,18
Trevor Etienne,157730,HB,FLORIDA,1,23,10,4,66.9,115,0,172,0,0,10,121,228.7,6,7,163,0,10,77.5,80.1,76.1,,76.6,56.0,77.7,60.0,62,0,0,0,5,26,0,0,0,23,1,172,121,5.26,7.5,0.0,13
Emani Bailey,122630,HB,TCU,1,23,7,1,12.7,16,0,126,0,1,7,69,92.3,5,8,305,0,7,77.8,83.9,76.8,,76.1,65.5,84.9,58.3,16,0,23,3,23,29,0,0,3,26,1,126,69,3.0,5.5,1.0,16
Darius Taylor,173422,HB,MINNESOTA,1,22,6,2,31.9,44,0,138,0,0,6,88,104.3,4,9,225,0,11,77.3,80.5,76.2,,78.3,64.1,79.0,,28,0,25,1,15,22,0,0,1,23,1,138,88,4.0,6.3,1.67,11
Marquez Cooper,130489,HB,BALL ST,1,22,9,4,52.0,92,0,177,0,0,9,103,191.5,8,10,117,0,10,77.8,88.8,76.4,,32.1,54.4,87.9,60.0,31,0,0,0,12,26,0,0,0,22,1,177,103,4.68,8.0,0.0,12
Garrett Shrader,98212,QB,SYRACUSE,1,22,8,4,51.4,107,0,137,0,0,2,40,35.6,7,13,304,1,3,74.1,78.0,77.4,66.1,,,77.3,60.0,39,0,0,0,0,32,71,7,0,15,4,208,111,5.05,9.5,,8
Isaiah Ifanse,91411,HB,CAL,1,22,11,2,26.3,36,0,137,0,1,11,89,194.2,5,9,130,0,6,77.3,86.0,76.2,,76.4,65.3,86.3,60.0,19,0,15,3,19,24,0,0,3,25,1,137,89,4.05,6.2,0.79,16
LJ Martin,175035,HB,BYU,1,22,5,1,59.2,45,0,76,0,1,5,44,50.0,2,4,128,0,10,77.3,63.3,77.1,,13.3,63.1,65.6,59.5,45,0,11,2,23,24,0,0,2,24,2,76,44,2.0,3.5,0.48,12
