player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Antwan Raymond,190489,HB,RUTGERS,1,41,18,5,42.1,101,0,240,0,0,18,145,155.3,8,14,278,0,10,81.0,76.3,77.4,,64.5,44.1,74.9,59.6,34,0,0,0,6,45,0,0,1,41,1,240,145,3.54,5.9,0.0,31
Cale Hellums,170981,QB,ARMY,1,37,2,0,0.0,0,0,97,0,0,2,47,8.1,3,14,114,0,19,79.7,75.1,77.0,72.1,,,67.3,60.0,12,0,0,0,0,63,17,3,0,34,1,114,55,1.49,3.1,,6
Anthony Hankerson,157691,HB,OREGON ST,1,33,3,2,21.1,35,0,166,1,1,3,88,28.1,7,10,265,0,9,79.8,72.6,78.1,,87.6,54.9,74.0,60.0,19,0,31,5,36,35,0,0,7,38,2,166,88,2.67,5.0,0.86,24
Carson Hansen,174669,HB,IOWA STATE,1,28,2,1,22.2,24,0,108,1,0,2,67,17.1,1,6,193,0,13,79.1,69.1,77.4,,25.5,39.9,74.6,60.0,24,0,0,0,20,33,0,0,3,28,1,108,67,2.39,3.9,0.0,15
Emmett Johnson,156473,HB,NEBRASKA,1,28,2,0,0.0,0,0,129,0,2,2,56,25.8,3,10,238,0,19,78.7,76.8,76.9,,70.8,90.2,71.0,60.0,13,0,103,3,11,35,0,0,3,31,1,129,56,2.0,4.6,9.36,9
Evan Dickens,170066,HB,LIBERTY,1,28,5,2,29.9,38,0,127,0,0,5,89,56.8,3,9,206,0,14,78.7,75.6,78.4,,81.6,59.0,77.5,49.3,20,0,0,0,24,41,0,0,0,28,1,127,89,3.18,4.5,0.0,14
Jordan Gant,159654,HB,AKRON,1,28,6,2,22.9,35,0,153,0,0,6,115,88.0,5,9,102,0,3,78.7,80.3,75.8,,48.9,54.8,79.3,60.0,19,0,0,0,9,30,0,0,1,28,2,153,115,4.11,5.5,0.0,25
Demond Claiborne,157523,HB,WAKE,1,25,4,0,0.0,0,0,75,0,0,4,51,30.2,2,5,339,0,14,78.0,68.6,75.9,,70.0,76.5,65.2,58.1,12,0,8,2,11,32,0,0,2,27,0,75,51,2.04,3.0,0.73,11
Liam Szarka,197814,QB,AIR FORCE,1,24,1,1,24.7,21,0,85,0,0,1,45,7.8,2,7,101,0,8,77.1,68.6,77.3,62.1,,,65.9,60.0,21,0,0,0,0,65,0,0,0,24,2,85,45,1.88,3.5,,9
Ajay Allen,156470,HB,TULSA,1,23,4,1,17.1,20,0,117,0,0,4,83,48.1,3,6,320,1,10,42.0,69.2,77.5,,27.3,76.3,68.4,55.9,20,0,67,7,21,27,0,0,7,30,1,117,83,3.61,5.1,3.19,12
Kamari Moulton,170168,HB,IOWA,1,23,2,1,18.4,16,0,87,0,0,2,67,24.3,1,5,192,0,3,77.5,64.3,76.5,,,57.3,64.5,58.6,16,0,-1,1,10,27,0,0,2,24,0,87,67,2.91,3.8,-0.1,20
Cameron Dickey,184897,HB,TEXAS TECH,1,23,9,1,27.3,33,0,121,0,0,9,87,141.8,4,8,315,0,12,77.5,72.5,76.9,,45.9,60.0,72.7,,33,0,24,1,14,23,0,0,2,24,1,121,87,3.78,5.3,1.71,11
