player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chase Brown,77787,HB,ILLINOIS,1,32,10,1,12.9,19,0,147,0,0,10,104,98.5,5,8,187,0,6,79.7,70.0,78.7,,75.5,59.8,68.8,59.7,19,0,6,1,10,43,0,0,1,33,0,147,104,3.25,4.6,0.6,25
Jaylan Knighton,122215,HB,MIAMI FL,1,32,8,2,27.7,43,0,155,0,0,8,92,71.9,3,9,220,1,8,46.7,66.0,77.6,,55.6,52.8,67.2,60.0,25,0,0,0,26,35,0,0,1,32,1,155,92,2.88,4.8,0.0,24
Ellis Merriweather,128096,HB,UMASS,1,30,1,1,14.4,17,0,118,0,0,1,60,6.5,3,8,216,0,19,79.1,71.2,77.2,,76.1,57.8,70.4,59.1,17,0,5,1,18,32,0,0,2,31,1,118,60,2.0,3.9,0.28,11
Pat Garwo III,97120,HB,BOSTON COL,1,30,6,0,0.0,0,0,116,0,0,6,99,66.0,2,9,121,0,6,79.1,69.2,76.2,,22.1,56.5,67.4,65.0,14,0,0,0,5,33,0,0,0,30,1,116,99,3.3,3.9,0.0,24
Rachaad White,131633,HB,ARIZONA ST,1,28,7,2,48.0,97,0,202,1,5,7,118,168.6,3,9,110,0,8,78.4,87.6,77.8,,26.0,76.8,85.1,59.2,50,0,35,2,16,36,0,0,3,30,3,202,118,4.21,7.2,2.19,19
Blake Watson,84363,HB,DOMINION,1,28,5,1,11.5,18,0,156,0,1,5,93,68.7,3,10,263,0,9,78.7,82.3,76.5,,57.0,58.6,84.0,58.2,18,0,11,1,24,30,0,0,2,29,2,156,93,3.32,5.6,0.46,19
Travis Dye,83738,HB,OREGON,1,28,4,4,51.7,109,0,211,0,0,4,144,68.6,6,10,264,1,12,44.0,74.3,76.6,,67.5,60.0,73.6,60.4,45,0,13,2,15,32,0,0,5,30,1,211,144,5.14,7.5,0.87,16
Carson Steele,145632,HB,BALL ST,1,27,6,2,31.2,48,0,154,0,0,6,109,86.5,5,8,117,0,13,78.7,83.4,77.7,,77.8,63.2,81.7,59.4,32,0,5,1,16,33,0,0,1,28,0,154,109,4.04,5.7,0.31,14
Hassan Haskins,83701,HB,MICHIGAN,1,27,3,2,48.2,81,0,168,0,0,3,71,28.2,3,7,222,0,21,78.7,81.4,78.4,,81.8,67.0,77.9,60.0,62,0,20,1,16,31,0,0,1,28,1,168,71,2.63,6.2,1.25,6
Lew Nichols,97187,HB,C MICHIGAN,1,26,8,1,37.4,61,0,163,0,0,8,103,121.9,4,8,134,0,16,78.2,80.0,77.7,,71.3,55.1,78.1,60.0,61,0,0,0,9,29,0,0,0,26,2,163,103,3.96,6.3,0.0,10
Shamari Brooks,61855,HB,TULSA,1,25,1,2,25.0,33,0,132,0,0,1,64,9.8,3,6,320,0,21,78.5,67.1,76.1,,23.1,56.4,68.8,59.3,18,0,7,1,16,30,0,0,1,26,1,132,64,2.56,5.3,0.44,4
Mataeo Durant,77719,HB,DUKE,1,24,2,1,16.9,15,0,89,0,0,2,67,19.9,1,5,154,0,3,77.5,62.4,77.7,,19.8,71.5,63.2,58.0,15,0,39,4,24,29,0,0,5,28,0,89,67,2.79,3.7,1.63,17
Jarek Broussard,83656,HB,COLORADO,1,24,5,3,53.0,80,0,151,0,0,5,91,79.0,4,6,143,0,10,77.8,72.8,78.3,,,56.9,73.0,57.3,49,0,0,0,11,29,0,0,0,24,0,151,91,3.79,6.3,0.0,14
Greg Bell,83716,HB,S DIEGO ST,1,24,5,0,0.0,0,0,77,0,0,5,57,47.5,1,3,284,1,5,38.7,65.0,77.1,,77.9,57.9,64.9,58.4,11,0,3,1,12,30,0,0,1,25,1,77,57,2.38,3.2,0.25,19
Nate Noel,122249,HB,APP STATE,1,23,5,2,31.1,38,0,122,0,0,5,52,49.1,3,9,108,0,3,77.5,69.3,77.5,,77.4,56.1,67.9,60.0,20,0,0,0,5,25,0,0,0,23,1,122,52,2.26,5.3,0.0,20
Tyrion Davis-Price,99169,HB,LSU,1,23,2,1,35.6,37,0,104,0,0,2,48,18.1,2,5,211,1,12,36.5,63.4,75.7,,84.0,52.4,63.3,60.0,37,0,0,0,15,24,0,0,1,23,0,104,48,2.09,4.5,0.0,11
Terrion Avery,102877,HB,S ALABAMA,1,23,3,0,0.0,0,0,75,0,2,3,39,31.4,1,6,288,0,12,77.6,70.0,77.4,,7.8,77.8,70.7,60.0,14,0,31,4,24,25,0,0,5,27,0,75,39,1.7,3.3,1.29,11
Tucker Gregg,83669,HB,GA STATE,1,23,3,1,16.2,16,0,99,0,0,3,62,33.7,2,7,175,0,2,77.5,72.3,74.5,,,58.7,70.3,65.1,16,0,2,1,10,27,0,0,1,24,1,99,62,2.7,4.3,0.2,21
Marquez Cooper,130489,HB,KENT STATE,1,23,1,3,47.4,82,0,173,0,0,1,80,15.1,5,9,201,0,9,77.5,76.7,76.1,,78.3,53.6,74.9,67.7,36,0,0,0,12,28,0,0,0,23,2,173,80,3.48,7.5,0.0,14
Andrew Henry,154703,HB,LA MONROE,1,23,2,0,0.0,0,0,82,2,0,2,52,16.1,0,6,209,0,1,77.5,67.5,77.7,,47.8,58.8,70.3,57.8,8,0,25,5,27,38,0,0,8,28,1,82,52,2.26,3.6,0.93,20
Kenneth Walker III,97199,HB,MICH STATE,1,22,8,3,66.2,90,0,136,0,0,8,95,143.9,4,6,223,1,7,39.5,70.3,79.4,,74.8,66.0,70.1,58.1,33,0,20,2,28,29,0,0,3,24,1,136,95,4.32,6.2,0.71,15
Isaac Ruoss,77033,FB,NAVY,1,22,2,0,0.0,0,0,73,0,0,2,53,21.9,1,5,237,0,5,77.3,62.9,78.7,,68.5,,62.8,57.5,10,0,0,0,0,36,0,0,0,22,0,73,53,2.41,3.3,,0
Alton McCaskill,144253,HB,HOUSTON,1,22,4,3,44.0,55,0,125,0,0,4,63,52.1,4,8,182,0,14,77.5,75.6,75.7,,76.8,58.5,74.3,,24,0,0,0,10,23,0,0,0,22,3,125,63,2.86,5.7,0.0,7
Charles Williams,41837,HB,UNLV,1,22,3,0,0.0,0,0,74,0,0,3,58,34.4,3,7,325,0,10,77.3,64.6,0.0,,57.5,54.0,67.8,60.0,14,1,6,1,17,24,0,0,1,23,2,74,58,2.64,3.4,0.35,12
