player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,1,37,6,0,0.0,0,0,120,0,0,6,64,37.5,3,13,114,2,16,53.0,74.7,77.3,83.7,,,63.3,60.0,16,0,0,0,0,58,38,5,0,32,2,158,70,1.89,4.3,,10
Kaytron Allen,164158,HB,PENN STATE,1,28,6,1,20.7,30,0,145,0,0,6,101,69.8,2,6,266,0,17,78.9,71.9,77.1,,74.7,64.9,70.9,57.8,30,0,7,3,15,35,0,0,4,31,2,145,101,3.61,5.2,0.47,11
Cole Tabb,188876,HB,STANFORD,1,28,1,2,30.8,33,0,107,0,0,1,76,9.7,3,6,300,0,15,78.9,76.3,76.4,,38.0,54.6,76.3,60.0,18,0,0,0,13,32,0,0,1,28,1,107,76,2.71,3.8,0.0,13
Liam Szarka,197814,QB,AIR FORCE,1,26,2,1,18.4,27,0,118,0,0,2,42,13.4,3,7,101,1,18,77.4,72.9,76.7,51.1,,,72.9,60.0,29,0,0,0,0,54,29,1,0,25,1,147,45,1.73,5.7,,4
LJ Martin,175035,HB,BYU,1,26,6,2,26.2,32,0,122,0,0,6,74,61.0,4,8,128,0,3,78.9,66.6,77.7,,81.9,63.8,65.2,57.2,17,0,5,2,13,40,0,0,2,28,0,122,74,2.85,4.7,0.38,23
Anthony Hankerson,157691,HB,OREGON ST,1,25,9,3,49.5,101,0,204,0,0,9,111,159.8,5,9,265,0,6,78.0,78.5,77.0,,74.9,53.3,81.0,47.5,65,1,0,0,20,33,0,0,0,25,4,204,111,4.44,8.2,0.0,18
Jordan Marshall,190837,HB,MICHIGAN,1,25,6,0,0.0,0,0,133,0,1,6,95,95.0,4,8,222,0,9,78.2,75.4,77.2,,49.2,60.6,76.8,58.3,14,0,20,3,22,30,0,0,4,28,1,133,95,3.8,5.3,0.91,14
Kevorian Barnes,145514,HB,TCU,1,25,8,0,0.0,0,0,106,0,0,8,71,90.9,2,9,305,0,10,78.5,68.1,77.1,,72.9,50.3,69.8,60.0,14,0,0,0,20,28,0,0,0,25,2,106,71,2.84,4.2,0.0,14
Darius Taylor,173422,HB,MINNESOTA,1,24,4,2,58.1,86,0,148,0,1,4,126,93.8,3,6,225,0,3,78.2,70.0,77.6,,58.7,75.4,67.0,60.0,71,0,16,4,15,27,0,0,4,28,1,148,126,5.25,6.2,1.07,21
Brandon Hood,190785,HB,UMASS,1,24,4,3,73.2,131,0,179,0,0,4,122,78.2,3,4,216,0,16,77.8,61.3,0.0,,72.6,60.8,62.7,60.0,90,1,8,2,15,26,0,0,4,26,1,179,122,5.08,7.5,0.53,8
Jordan McDonald,158449,HB,BOSTON COL,1,24,7,1,13.8,17,0,123,1,0,7,69,83.9,5,8,121,0,20,77.8,63.6,77.8,,22.1,35.7,70.5,59.4,17,0,0,0,16,29,0,0,1,24,0,123,69,2.88,5.1,0.0,4
Ahmad Hardy,190013,HB,MISSOURI,1,24,5,1,29.3,17,0,58,0,2,5,64,74.7,1,4,229,0,13,77.8,61.2,79.0,,80.0,58.7,61.9,49.5,17,0,11,1,15,31,0,0,1,25,2,58,64,2.67,2.4,0.73,11
Jeremiyah Love,171090,HB,NOTRE DAME,1,24,4,6,67.5,154,0,228,0,1,4,107,76.9,8,13,258,0,7,77.8,85.2,77.0,,74.7,62.4,85.1,68.1,63,0,37,5,16,29,0,0,5,29,1,228,107,4.46,9.5,2.31,17
Jordan Brunson,123342,HB,MIAMI OH,1,23,5,3,60.7,74,0,122,0,0,5,97,87.9,3,7,221,0,1,77.8,80.7,73.9,,67.5,62.4,77.9,60.0,38,0,5,1,5,26,0,0,1,24,1,122,97,4.22,5.3,1.0,22
