player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Omarion Hampton,162750,HB,N CAROLINA,1,35,8,4,45.5,111,0,244,0,1,8,176,113.1,7,13,245,1,14,52.7,74.0,78.2,,84.0,43.2,76.7,60.0,38,0,16,5,23,39,0,0,5,40,1,244,176,5.03,7.0,0.7,20
Ashton Jeanty,157196,HB,BOISE ST,1,32,10,1,22.6,36,0,159,0,2,10,103,117.0,5,11,120,0,13,79.5,70.3,79.3,,46.9,58.5,70.7,60.0,36,0,5,1,12,34,0,0,1,33,3,159,103,3.22,5.0,0.42,19
Devon Dampier,171556,QB,NEW MEXICO,1,28,5,3,38.9,75,0,156,0,0,5,61,63.0,4,11,241,1,17,49.9,82.1,77.3,72.1,,,75.1,60.0,33,0,0,0,0,44,37,6,0,22,3,193,72,2.57,6.9,,5
Nate Noel,122249,HB,MISSOURI,1,27,1,2,26.7,40,0,150,0,0,1,72,9.5,3,9,229,0,8,78.5,69.3,78.6,,75.4,54.4,69.4,60.0,23,0,-1,1,12,28,0,0,1,28,1,150,72,2.67,5.6,-0.08,19
Al-Jay Henderson,145676,HB,BUFFALO,1,27,3,1,23.0,29,0,126,0,0,3,94,36.0,2,8,126,1,8,44.0,67.9,77.0,,50.0,63.2,68.6,56.4,29,0,19,2,23,35,0,0,3,29,2,126,94,3.48,4.7,0.83,19
Marquez Cooper,130489,HB,S DIEGO ST,1,26,3,0,0.0,0,0,97,0,0,3,68,28.0,2,4,284,0,5,78.4,69.3,76.6,,18.2,67.1,69.3,60.0,10,0,14,2,25,29,0,0,2,28,0,97,68,2.62,3.7,0.56,19
Dylan Carson,173850,FB,AIR FORCE,1,26,1,0,0.0,0,0,97,0,0,1,64,9.5,0,5,101,0,11,78.2,66.9,79.7,,85.2,58.4,66.2,53.5,8,0,0,0,2,44,0,0,0,26,1,97,64,2.46,3.7,0.0,0
Kyle Monangai,129891,HB,RUTGERS,1,25,4,2,33.0,32,0,97,0,0,4,80,49.2,4,7,278,0,1,78.0,67.1,76.4,,69.9,57.5,66.9,59.3,16,0,3,1,13,32,0,0,1,26,2,97,80,3.2,3.9,0.23,24
Jordan James,163295,HB,OREGON,1,25,8,0,0.0,0,0,121,0,1,8,79,105.3,4,7,264,0,10,78.0,73.4,77.2,,75.6,67.2,72.8,49.3,14,0,25,2,21,32,0,0,3,27,1,121,79,3.16,4.8,1.19,13
Cam Skattebo,147787,HB,ARIZONA ST,1,25,9,0,0.0,0,0,73,0,5,9,57,110.1,1,5,110,0,18,78.2,70.9,77.9,,27.1,74.9,69.4,64.9,11,0,44,4,22,28,0,0,4,29,0,73,57,2.28,2.9,2.0,7
