player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Xavier Arline,121831,QB,NAVY,1,28,2,1,27.5,28,0,81,0,0,2,39,12.5,2,4,237,0,10,77.6,58.6,21.0,70.0,,,57.9,60.0,28,1,0,0,0,53,21,3,0,25,0,102,44,1.57,3.6,,10
Tyhier Tyler,82083,QB,ARMY,1,22,5,0,0.0,0,0,72,0,0,5,32,33.1,3,4,114,0,5,77.0,66.5,76.0,54.3,,58.0,66.2,60.0,13,0,0,0,3,29,0,0,1,22,0,72,32,1.45,3.3,0.0,14
Daba Fofana,144305,FB,NAVY,1,11,4,0,0.0,0,0,20,0,0,4,21,69.4,0,2,237,0,2,73.5,59.8,75.5,,74.4,,61.6,52.3,7,0,0,0,0,25,0,0,0,11,0,20,21,1.91,1.8,,7
Cade Ballard,102861,QB,ARMY,1,10,1,0,0.0,0,0,20,0,0,1,16,19.8,1,1,114,1,1,71.6,49.2,74.7,45.6,,,58.7,60.0,11,0,0,0,0,24,3,1,0,9,0,23,18,1.8,2.3,,5
Anton Hall Jr.,144311,FB,NAVY,1,7,0,1,77.8,77,0,99,0,0,0,11,0.0,2,2,237,1,5,19.3,59.6,76.4,,84.3,60.0,57.7,61.1,77,0,0,0,1,29,0,0,0,7,1,99,11,1.57,14.1,0.0,2
Markel Johnson,147308,FB,ARMY,1,6,3,1,62.5,25,0,40,0,0,3,35,291.7,1,2,114,0,2,70.5,84.8,71.1,,,,79.9,60.0,25,0,0,0,0,8,0,0,0,6,1,40,35,5.83,6.7,,3
Vincent Terrell II,121872,HB,NAVY,1,5,1,0,0.0,0,0,17,0,0,1,9,36.0,0,0,237,0,5,70.1,58.5,74.8,,65.5,57.5,59.2,57.0,8,0,0,0,3,20,0,0,0,5,0,17,9,1.8,3.4,0.0,0
Maquel Haywood,144314,HB,NAVY,1,4,3,0,0.0,0,0,22,0,0,3,20,300.0,1,1,237,0,3,68.9,73.7,73.9,,,70.0,74.1,54.1,13,0,25,1,2,21,0,0,1,5,0,22,20,5.0,5.5,12.5,0
Ay'Jaun Marshall,121589,HB,ARMY,1,3,2,0,0.0,0,1,14,1,0,2,14,311.1,1,0,114,0,0,69.3,43.6,0.0,,17.6,43.0,57.8,56.1,11,1,0,0,9,29,0,0,1,3,0,14,14,4.67,4.7,0.0,1
Daniel Jones,121851,HB,NAVY,1,2,0,0,0.0,0,0,-1,0,0,0,2,0.0,0,0,237,0,1,65.5,53.2,72.3,,,59.9,55.7,57.0,0,0,0,0,1,11,0,0,1,2,0,-1,2,1.0,-0.5,0.0,0
Tyson Riley,121605,FB,ARMY,1,2,1,0,0.0,0,0,6,0,0,1,4,100.0,0,1,114,0,1,65.5,51.5,79.1,,15.1,57.2,63.1,57.1,4,0,0,0,4,44,0,0,1,2,0,6,4,2.0,3.0,0.0,0
Braheam Murphy,102882,HB,ARMY,1,2,1,0,0.0,0,0,7,0,0,1,7,87.5,0,0,114,0,2,68.2,62.9,76.8,,70.8,63.9,60.5,59.6,7,0,28,2,13,42,0,0,5,4,0,7,7,3.5,3.5,2.15,0
