player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Emmanuel Michel,145972,FB,AIR FORCE,1,33,2,2,21.6,32,0,148,0,0,2,77,14.1,3,11,101,0,7,79.7,75.4,80.2,,73.4,,73.6,56.2,17,0,0,0,0,52,0,0,0,33,3,148,77,2.33,4.5,,4
Darius Taylor,173422,HB,MINNESOTA,1,31,9,4,64.1,127,0,198,0,1,9,127,120.5,4,7,225,0,18,79.3,74.8,76.2,,,66.8,73.0,60.0,43,0,18,3,11,32,0,0,3,34,2,198,127,4.1,6.4,1.64,13
DJ Giddens,144595,HB,KANSAS ST,1,30,9,5,57.5,119,0,207,0,1,9,109,95.6,6,10,199,0,22,79.3,84.2,78.4,,65.2,68.0,86.1,58.3,36,0,86,8,32,37,0,0,8,38,4,207,109,3.63,6.9,2.69,8
Nate Noel,122249,HB,APP STATE,1,30,3,1,16.4,18,0,110,0,1,3,66,27.5,2,7,108,0,8,79.3,64.5,78.8,,22.4,72.8,64.4,60.0,18,0,4,2,22,32,0,0,3,32,0,110,66,2.2,3.7,0.18,22
Jalen Buckley,163158,HB,W MICHIGAN,1,29,6,3,46.9,92,0,196,0,0,6,114,81.3,8,9,347,1,10,44.8,65.1,76.3,,70.0,53.6,65.4,59.7,39,0,0,0,12,35,0,0,0,29,2,196,114,3.93,6.8,0.0,19
Marcus Carroll,123849,HB,GA STATE,1,28,6,2,30.7,46,0,150,0,1,6,97,80.8,6,8,175,0,3,78.7,76.4,78.0,,69.4,69.2,75.0,57.7,30,0,36,2,17,38,0,0,2,30,1,150,97,3.46,5.4,2.12,23
Rasheen Ali,121717,HB,MARSHALL,1,27,1,2,67.2,117,0,174,0,0,1,54,7.4,2,5,214,0,11,78.5,63.2,0.0,,79.2,52.6,64.5,70.8,61,1,0,0,25,34,0,0,2,27,2,174,54,2.0,6.4,0.0,16
Kimani Vidal,123727,HB,TROY,1,27,12,3,37.1,56,0,151,0,4,12,115,219.8,5,9,318,1,4,44.3,86.4,76.9,,54.9,89.5,82.8,60.0,22,0,57,4,12,29,0,0,4,31,2,151,115,4.26,5.6,4.75,23
Mario Anderson Jr.,169699,HB,S CAROLINA,1,26,6,0,0.0,0,0,88,0,0,6,69,59.0,0,7,289,0,2,78.2,67.7,77.1,,22.3,60.5,68.2,60.0,9,0,10,1,17,30,0,0,1,27,1,88,69,2.65,3.4,0.59,24
Kay'Ron Lynch-Adams,101643,HB,UMASS,1,26,8,3,52.6,51,0,97,0,0,8,58,66.1,3,5,216,0,13,78.2,57.4,77.8,,16.7,56.6,61.3,56.4,21,0,7,1,21,37,0,0,1,27,1,97,58,2.23,3.7,0.33,12
Tahj Brooks,123133,HB,TEXAS TECH,1,25,6,1,18.1,27,0,149,1,0,6,81,74.8,2,9,315,0,17,78.2,67.5,77.5,,22.0,42.5,76.5,46.5,27,0,6,1,35,32,0,0,3,26,0,149,81,3.24,6.0,0.17,8
