player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chavon Wright,205258,HB,N ILLINOIS,1,36,14,2,21.7,35,0,161,0,0,14,121,130.7,5,8,254,1,13,50.7,70.9,77.1,,73.7,55.2,69.5,58.8,18,0,0,0,8,40,0,0,0,36,0,161,121,3.36,4.5,0.0,23
Antwan Raymond,190489,HB,RUTGERS,1,29,6,0,0.0,0,0,117,0,1,6,77,60.0,3,6,278,1,13,46.0,63.0,77.0,,60.0,72.8,61.1,60.0,12,0,18,2,24,32,0,0,2,31,1,117,77,2.66,4.0,0.75,16
Jeremiah Cobb,172443,HB,AUBURN,1,28,2,2,25.5,39,0,153,0,1,2,87,31.1,4,9,115,0,23,78.7,79.0,77.5,,77.2,73.4,76.3,65.6,20,0,19,2,16,42,0,0,2,30,0,153,87,3.11,5.5,1.19,5
Kewan Lacy,190221,HB,OLE MISS,1,28,9,1,41.2,28,0,68,0,1,9,76,90.5,2,5,226,0,11,78.7,64.4,79.9,,78.7,58.9,63.9,56.8,28,0,17,2,27,36,0,0,2,30,2,68,76,2.71,2.4,0.63,15
Emmett Johnson,156473,HB,NEBRASKA,1,27,10,2,24.2,30,0,124,0,0,10,80,102.2,2,10,238,0,14,78.4,77.0,78.9,,70.3,62.5,76.6,60.0,15,0,15,2,22,30,0,0,2,29,2,124,80,2.96,4.6,0.68,12
Justice Haynes,172379,HB,MICHIGAN,1,26,2,2,31.6,48,0,152,0,2,2,73,38.7,3,9,222,1,8,43.6,60.7,75.9,,65.2,67.3,59.2,60.0,28,0,19,3,10,30,0,0,3,29,2,152,73,2.81,5.8,1.9,17
Jordan Gant,159654,HB,AKRON,1,25,2,1,16.3,15,0,92,0,0,2,69,22.1,4,3,102,1,4,39.2,50.3,75.9,,55.0,54.4,51.5,60.0,15,0,0,0,10,28,0,0,0,25,0,92,69,2.76,3.7,0.0,20
Davon Booth,174754,HB,MISS STATE,1,24,4,1,22.2,22,1,99,2,2,4,69,63.9,3,4,227,0,8,78.2,65.5,77.4,,12.2,46.5,72.8,67.0,22,1,85,3,28,29,0,0,6,27,0,99,69,2.88,4.1,3.04,16
Mark Fletcher Jr.,175374,HB,MIAMI FL,1,23,9,1,15.1,16,0,106,0,0,9,67,100.8,3,9,220,0,11,77.5,76.1,76.3,,77.8,73.0,73.7,60.0,16,0,13,3,19,24,0,0,3,26,3,106,67,2.91,4.6,0.68,12
Blake Horvath,162555,QB,NAVY,1,23,4,4,51.8,86,0,166,0,0,4,73,55.2,6,10,237,1,11,76.5,82.3,76.9,65.7,,54.3,78.2,60.0,31,0,0,0,1,56,0,0,0,23,4,166,73,3.17,7.2,0.0,7
Kiael Kelly,145634,QB,BALL ST,1,23,6,1,17.0,19,0,82,0,0,3,49,57.4,3,5,117,1,14,45.2,58.1,24.2,61.0,,,57.9,60.0,19,1,0,0,0,32,30,7,0,16,0,112,66,2.87,4.9,,1
Demond Claiborne,157523,HB,WAKE,1,22,3,1,22.7,17,0,75,0,0,3,56,33.2,1,2,339,1,18,37.4,55.1,77.3,,19.5,42.9,60.2,59.3,17,0,1,1,28,27,0,0,1,23,0,75,56,2.55,3.4,0.04,4
Jordan Lovett,172356,HB,TROY,1,21,3,3,52.2,59,0,113,0,0,3,65,44.2,4,5,318,0,12,77.0,72.3,76.0,,78.9,54.5,71.8,60.0,22,0,0,0,13,26,0,0,0,21,2,113,65,3.1,5.4,0.0,9
Lucky Sutton,158807,HB,S DIEGO ST,1,21,5,2,47.3,62,0,131,0,0,5,56,63.5,3,7,284,0,12,77.3,69.2,75.6,,77.6,52.4,69.7,59.0,46,0,0,0,13,28,0,0,0,21,1,131,56,2.67,6.2,0.0,9
Conner Weigman,158683,QB,HOUSTON,1,21,6,2,55.9,66,0,118,0,0,6,96,130.6,2,6,182,0,17,47.4,85.7,77.3,86.3,,,68.7,60.0,50,0,0,0,0,47,0,0,0,21,2,118,96,4.57,5.6,,1
Shomari Lawrence,141839,HB,MO STATE,1,21,5,0,0.0,0,0,97,0,0,5,57,59.0,2,7,230,1,6,35.4,64.4,76.4,,79.3,62.1,63.6,60.0,11,0,15,2,21,22,0,0,2,23,0,97,57,2.71,4.6,0.71,14
Gideon Ituka,183661,HB,WISCONSIN,1,21,2,1,20.9,18,0,86,0,0,2,48,21.8,2,5,349,1,8,35.9,64.3,0.0,,25.5,59.2,68.1,58.7,18,1,0,0,8,26,0,0,0,21,0,86,48,2.29,4.1,0.0,13
Quinton Jackson,163001,HB,RICE,1,21,11,3,67.3,113,0,168,0,2,11,142,366.3,4,8,275,0,11,76.9,75.3,76.0,60.0,75.2,69.1,74.0,56.8,73,0,80,3,11,32,0,0,3,24,3,168,142,6.76,8.0,7.27,10
Marcellous Hawkins,200025,HB,VA TECH,1,21,8,3,46.7,78,0,167,0,0,8,117,212.2,5,7,337,0,7,77.0,81.2,0.0,,73.0,54.3,83.6,57.8,34,1,0,0,13,33,0,0,0,21,0,167,117,5.57,8.0,0.0,14
J'Mari Taylor,150482,HB,VIRGINIA,1,21,4,0,0.0,0,0,69,0,2,4,48,54.9,1,5,335,0,5,77.3,58.6,78.5,,60.8,56.7,59.1,60.0,10,0,11,4,31,24,0,0,6,25,1,69,48,2.29,3.3,0.35,15
Kejon Owens,123640,HB,FIU,1,20,5,4,84.3,140,0,166,0,0,5,124,140.9,4,5,166,0,5,77.0,71.3,0.0,,74.6,57.1,74.5,58.2,48,1,3,2,20,24,0,0,2,22,1,166,124,6.2,8.3,0.15,15
Kendrick Raphael,170378,HB,CAL,1,20,5,0,0.0,0,0,71,0,1,5,52,67.8,1,4,130,1,3,34.9,63.9,77.8,,20.6,61.3,68.9,38.1,11,0,16,3,33,21,0,0,3,23,3,71,52,2.6,3.6,0.48,16
Ahmad Hardy,190013,HB,MISSOURI,1,20,6,2,33.0,32,0,97,0,1,6,52,86.7,2,5,229,0,3,76.7,72.2,77.1,,74.4,64.5,70.8,60.0,17,0,2,1,11,21,0,0,1,21,0,97,52,2.6,4.9,0.18,16
Dean Connors,156624,HB,HOUSTON,1,20,0,0,0.0,0,0,48,0,0,0,40,0.0,1,2,182,0,4,76.8,66.2,77.4,,79.1,64.1,65.9,58.5,12,0,17,2,17,44,0,0,2,22,0,48,40,2.0,2.4,1.0,16
Austyn Dendy,190215,HB,BOWL GREEN,1,20,3,1,17.2,16,0,93,0,0,3,61,45.8,1,6,122,0,13,76.7,74.3,74.2,,70.4,58.7,71.9,60.0,16,0,0,0,2,21,0,0,0,20,1,93,61,3.05,4.7,0.0,7
Kentrel Bullock,124129,HB,S ALABAMA,1,20,6,1,21.2,24,0,113,0,0,6,79,118.5,3,7,288,0,11,76.7,84.7,75.0,,71.8,52.3,82.6,80.2,24,0,0,0,13,23,0,0,0,20,2,113,79,3.95,5.7,0.0,9
Byrum Brown,156206,QB,USF,1,20,13,2,45.7,59,0,99,0,0,6,77,205.3,3,5,327,0,6,74.4,81.9,77.7,74.2,,,75.7,60.0,44,0,0,0,0,32,30,5,0,15,2,129,120,6.0,6.5,,8
Joe Jackson,173106,HB,KANSAS ST,1,20,2,0,0.0,0,0,69,0,0,2,55,25.0,1,4,199,0,10,76.7,69.4,76.2,,1.8,69.5,67.4,65.4,11,0,1,2,9,28,0,0,2,22,0,69,55,2.75,3.5,0.11,10
Jordan McDonald,158449,HB,BOSTON COL,1,19,4,0,0.0,0,0,80,0,0,4,49,49.1,1,5,121,0,18,76.5,67.7,77.1,,71.4,57.7,67.0,67.6,11,0,8,2,18,23,0,0,3,21,0,80,49,2.58,4.2,0.44,1
