player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Drew Allar,164157,QB,PENN STATE,1,4,2,0,0.0,0,0,13,0,0,1,7,175.0,2,3,266,0,0,69.1,60.0,76.2,54.1,,60.0,68.3,60.0,13,0,0,0,1,26,17,2,0,2,0,30,19,4.75,7.5,0.0,0
Corey Smith,191341,HB,PENN STATE,1,4,1,0,0.0,0,0,6,0,0,1,10,62.5,0,0,266,0,2,68.6,60.6,69.9,,,59.7,60.6,,7,0,0,0,1,4,0,0,0,4,0,6,10,2.5,1.5,0.0,2
Quinn Ewers,127253,QB,TEXAS,1,4,0,0,0.0,0,0,-3,0,0,0,0,0.0,1,1,311,0,0,69.3,67.7,77.0,66.7,,,61.1,60.0,11,0,0,0,0,40,11,2,0,2,0,8,0,0.0,2.0,,0
Aneyas Williams,184108,HB,NOTRE DAME,1,4,2,0,0.0,0,0,24,0,4,2,18,337.5,1,2,258,0,1,69.7,66.8,74.2,,20.9,67.1,70.2,60.0,12,0,15,4,14,5,0,0,4,8,0,24,18,4.5,6.0,1.07,3
Arch Manning,173162,QB,TEXAS,1,3,1,0,0.0,0,0,0,0,0,0,0,0.0,0,1,311,1,1,11.6,42.2,67.4,,,,49.7,60.0,3,0,0,0,0,3,3,1,0,2,0,3,7,2.33,1.0,,0
Quinton Martin Jr.,183609,HB,PENN STATE,1,3,0,0,0.0,0,0,7,0,0,0,9,0.0,0,0,266,0,2,67.3,53.9,68.0,,,,55.4,,7,0,0,0,0,3,0,0,0,3,0,7,9,3.0,2.3,,1
Keith Adams Jr.,156236,HB,CLEMSON,1,3,0,0,0.0,0,0,11,0,0,0,4,0.0,0,0,140,0,2,67.8,66.2,73.6,,77.4,58.9,66.1,65.0,7,0,4,1,11,9,0,0,1,4,0,11,4,1.33,3.7,0.36,1
Jarvis Green,170007,HB,CLEMSON,1,2,1,0,0.0,0,0,7,0,1,1,8,200.0,0,0,140,0,0,66.9,69.8,71.2,,67.5,86.9,62.9,,4,0,35,2,9,2,0,0,2,4,0,7,8,4.0,3.5,3.89,1
Dylan Sampson,163772,HB,TENNESSEE,1,2,0,0,0.0,0,0,6,0,0,0,2,0.0,0,0,307,0,2,66.3,60.4,73.0,,77.8,60.9,58.6,60.0,3,0,2,1,9,3,0,0,1,3,0,6,2,1.0,3.0,0.22,0
Kurtis Rourke,97998,QB,INDIANA,1,2,0,0,0.0,0,0,1,0,0,0,2,0.0,0,1,190,0,1,69.6,55.1,76.8,53.8,,,61.5,60.0,7,0,0,0,0,25,7,1,0,1,0,8,3,1.5,4.0,,0
Derrick McFall,183252,HB,SMU,1,2,0,0,,0,0,0,0,0,0,2,0.0,0,0,287,0,1,65.5,56.1,67.3,,72.6,60.0,56.5,60.0,0,0,0,0,1,3,0,0,0,2,0,0,2,1.0,0.0,0.0,1
Phil Mafah,144123,HB,CLEMSON,1,2,0,0,0.0,0,0,9,0,0,0,5,0.0,0,1,140,0,1,66.9,62.7,70.2,,,61.2,62.7,,7,0,15,2,8,2,0,0,2,4,0,9,5,2.5,4.5,1.88,1
Tyler Warren,129798,TE,PENN STATE,1,1,2,0,0.0,0,0,6,0,1,2,5,300.0,0,0,266,0,1,66.7,70.5,78.5,60.4,,64.6,63.1,70.8,6,0,33,4,27,25,0,0,6,5,0,6,5,5.0,6.0,1.22,0
Ryan Wingo,184520,WR,TEXAS,1,1,2,0,0.0,0,0,7,0,0,2,14,933.3,0,1,311,0,0,65.3,60.8,77.7,,,56.2,63.2,71.6,7,0,23,2,27,37,0,0,4,3,0,7,14,14.0,7.0,0.85,0
Key'Shawn Smith,143950,WR,SMU,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,287,1,0,62.9,60.3,0.0,,,62.5,60.0,61.3,0,1,15,2,24,18,0,0,3,3,0,0,0,0.0,0.0,0.63,0
Emeka Egbuka,145055,WR,OHIO STATE,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,260,0,0,66.6,77.5,76.7,,,76.3,,60.5,-1,0,81,5,20,14,0,0,7,6,0,-1,0,0.0,-1.0,4.05,0
Roderick Daniels Jr.,144356,WR,SMU,1,1,0,0,0.0,0,0,-3,1,3,0,5,300.0,0,0,287,0,0,68.4,55.0,79.6,,,58.3,58.8,37.3,-3,0,64,4,36,24,0,0,7,5,0,-3,5,5.0,-3.0,1.78,0
Myles Price,123155,WR,INDIANA,1,1,0,0,0.0,0,0,2,0,3,0,0,0.0,0,0,190,0,0,68.7,76.6,75.1,,,76.3,59.6,61.9,2,0,56,5,23,11,0,0,6,6,0,2,0,0.0,2.0,2.43,0
