player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kewan Lacy,190221,HB,OLE MISS,1,31,14,3,53.1,119,0,224,1,0,14,138,188.9,6,12,226,1,19,47.7,73.4,78.5,,23.2,43.6,79.8,56.6,59,0,5,2,28,38,0,0,3,33,3,224,138,4.45,7.2,0.18,12
Cam Cook,173133,HB,JVILLE ST,1,28,6,1,16.3,20,0,123,1,0,6,102,75.4,4,8,196,0,7,78.7,71.0,77.5,,39.8,49.9,74.0,57.3,20,0,4,1,19,33,0,0,2,29,1,123,102,3.64,4.4,0.21,20
Evan Dickens,170066,HB,LIBERTY,1,28,1,0,0.0,0,0,106,0,0,1,49,6.0,1,8,206,0,24,78.7,60.8,0.0,,27.8,53.9,65.7,53.2,11,1,3,1,22,36,0,0,1,29,1,106,49,1.75,3.8,0.14,4
Caleb Hawkins,199001,HB,N TEXAS,1,27,13,3,44.4,84,0,189,0,0,13,134,230.4,7,14,251,0,10,78.5,84.1,76.3,,77.4,59.7,83.8,60.0,51,0,21,1,20,28,0,0,1,28,5,189,134,4.96,7.0,1.05,17
London Montgomery,170288,HB,E CAROLINA,1,27,3,1,22.3,23,0,103,0,0,3,70,27.8,1,5,156,0,8,78.7,64.1,76.9,,26.7,54.8,66.7,59.1,23,0,3,1,17,31,0,0,1,28,2,103,70,2.59,3.8,0.18,19
Dominic Richardson,122985,HB,TULSA,1,27,13,4,50.9,82,0,161,0,0,13,153,263.1,6,8,320,0,16,78.4,90.1,77.5,,77.5,60.1,87.0,60.0,24,0,6,1,7,29,0,0,1,28,1,161,153,5.67,6.0,0.86,11
Shomari Lawrence,141839,HB,MO STATE,1,25,3,1,18.1,21,0,116,1,0,3,97,43.1,5,5,230,0,12,78.7,63.4,79.2,,78.4,45.2,65.5,60.0,21,0,6,2,21,29,0,0,3,27,1,116,97,3.88,4.6,0.29,13
Kaytron Allen,164158,HB,PENN STATE,1,25,10,2,37.6,68,0,181,0,0,10,91,134.8,4,12,266,0,21,78.0,87.7,77.9,,81.6,62.8,84.7,59.8,42,0,10,2,9,29,0,0,2,27,2,181,91,3.64,7.2,1.11,4
Lucky Sutton,158807,HB,S DIEGO ST,1,25,6,1,18.0,27,0,150,0,1,6,113,121.7,4,6,284,0,10,78.0,74.0,76.2,,73.7,68.8,71.4,59.1,27,0,-4,1,7,31,0,0,1,26,0,150,113,4.52,6.0,-0.57,15
Ahmad Hardy,190013,HB,MISSOURI,1,25,6,5,63.8,190,0,298,1,0,6,146,140.2,8,10,229,1,9,39.2,81.6,76.9,,,29.3,82.1,60.0,72,0,0,0,7,26,0,0,1,25,3,298,146,5.84,11.9,0.0,16
Cam Edwards,158615,HB,UCONN,1,24,10,2,40.6,67,0,165,0,0,10,110,183.3,3,10,146,0,3,78.0,80.6,77.7,,70.0,61.2,79.1,60.0,36,0,9,1,13,27,0,0,1,25,2,165,110,4.58,6.9,0.69,21
Jeremiyah Love,171090,HB,NOTRE DAME,1,23,6,2,53.1,78,0,147,0,0,6,132,137.7,4,6,258,0,7,77.5,80.6,75.3,,55.5,69.6,78.1,60.0,56,0,20,2,10,25,0,0,2,25,1,147,132,5.74,6.4,2.0,15
Demond Claiborne,157523,HB,WAKE,1,23,3,1,20.4,20,0,98,1,1,3,72,50.1,2,6,339,1,10,38.2,58.7,75.9,,76.5,46.6,59.7,73.1,20,0,12,2,16,29,0,0,3,25,1,98,72,3.13,4.3,0.75,13
Owen Allen,127306,HB,AIR FORCE,1,22,2,0,0.0,0,0,123,0,0,2,76,31.4,2,7,101,0,8,77.3,77.5,78.2,,74.2,,73.4,68.6,13,0,0,0,0,37,0,0,0,22,0,123,76,3.45,5.6,,0
Jordan Gant,159654,HB,AKRON,1,22,0,1,18.8,18,0,96,0,0,0,66,0.0,4,9,102,0,0,77.3,68.5,78.0,,64.4,56.7,70.6,60.0,18,0,14,2,34,23,0,0,2,24,1,96,66,3.0,4.4,0.41,22
LJ Martin,175035,HB,BYU,1,21,1,0,0.0,0,0,88,0,3,1,44,33.5,1,6,128,0,8,77.0,72.2,78.4,,78.0,74.4,69.4,57.0,10,0,34,4,20,29,0,0,4,25,1,88,44,2.1,4.2,1.7,13
Dontae McMillan,103994,HB,E MICHIGAN,1,21,5,0,0.0,0,0,80,0,1,5,58,72.0,2,4,160,0,7,77.3,85.7,77.1,,68.5,75.9,80.6,85.0,11,0,13,2,18,33,0,0,2,23,0,80,58,2.76,3.8,0.72,14
Broc Lowry,173383,QB,W MICHIGAN,1,21,2,0,0.0,0,0,81,0,0,2,63,31.5,3,6,347,0,13,75.9,75.6,76.1,65.9,,,71.0,60.0,13,0,0,0,0,41,9,1,0,20,1,90,66,3.14,4.3,,4
Chip Trayanum,131631,HB,TOLEDO,1,21,0,1,31.9,29,0,91,0,0,0,22,0.0,3,5,316,0,9,77.0,69.0,76.8,,22.4,62.1,71.9,58.0,29,0,15,1,17,25,0,0,3,22,1,91,22,1.05,4.3,0.88,12
Jeff Sims,122496,QB,ARIZONA ST,1,21,5,1,33.9,21,0,40,0,0,2,26,18.0,3,5,110,2,9,26.4,68.0,76.9,78.3,,,52.7,60.0,21,0,0,0,0,34,22,4,0,17,0,62,48,2.29,3.0,,3
Blake Horvath,162555,QB,NAVY,1,21,4,1,30.9,21,0,59,0,0,3,29,26.9,1,3,237,1,12,42.9,61.3,76.2,73.8,,60.0,51.8,60.0,21,0,0,0,1,35,9,3,0,18,0,68,29,1.38,3.2,0.0,2
Lincoln Pare,121537,HB,TEXAS ST,1,21,4,1,16.9,20,0,118,1,0,4,72,62.3,4,9,314,0,8,78.0,68.6,0.0,,76.9,39.4,73.4,58.7,20,1,5,1,13,29,0,0,2,22,1,118,72,3.43,5.6,0.38,13
