player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Carson Hansen,174669,HB,IOWA STATE,1,19,2,0,0.0,0,0,63,0,0,2,46,22.0,0,5,193,0,12,76.5,71.8,76.1,,82.0,69.9,69.6,59.2,9,0,31,3,13,24,0,0,4,22,2,63,46,2.42,3.3,2.38,7
Greg Desrosiers Jr.,158759,HB,MEMPHIS,1,19,6,3,71.1,145,0,204,0,0,6,70,116.3,5,10,218,0,3,76.7,80.6,75.8,,63.5,54.2,81.8,59.1,90,0,0,0,15,25,0,0,0,19,3,204,70,3.68,10.7,0.0,16
Wayne Knight,156712,HB,JAMES MAD,1,19,4,2,39.7,60,0,151,0,0,4,74,67.7,5,7,197,0,8,78.4,82.9,76.5,,50.3,85.3,78.4,52.7,40,0,35,4,13,29,0,0,5,23,1,151,74,3.89,7.9,2.69,11
Caden Williams,184698,HB,LIBERTY,1,19,1,0,0.0,0,0,91,0,0,1,52,14.4,2,3,206,1,8,31.6,61.6,76.1,,80.8,55.6,61.0,58.4,13,0,0,0,6,28,0,0,0,19,0,91,52,2.74,4.8,0.0,11
Clay Thevenin,198671,HB,LA TECH,1,19,5,0,0.0,0,0,68,0,0,5,75,103.9,2,5,208,0,12,76.7,76.3,75.8,,75.1,55.7,74.9,59.0,14,0,0,0,6,24,0,0,0,19,1,68,75,3.95,3.6,0.0,7
Dylan Edwards,171893,HB,KANSAS ST,1,19,4,3,64.2,106,0,165,0,0,4,118,124.2,7,8,199,0,10,77.3,67.0,77.4,,72.9,54.1,68.7,58.7,75,0,5,1,20,32,0,0,1,20,1,165,118,6.21,8.7,0.25,9
Sieh Bangura,145886,HB,OHIO,1,18,5,2,39.1,45,0,115,0,0,5,78,120.4,4,6,259,0,13,76.2,70.2,78.2,,73.6,52.1,72.1,59.6,28,0,0,0,19,22,0,0,0,18,0,115,78,4.33,6.4,0.0,5
Carlos Del Rio-Wilson,146687,QB,MARSHALL,1,18,7,1,14.6,15,0,84,0,0,4,42,99.4,2,5,214,0,7,73.7,75.1,77.5,75.7,,,63.9,60.0,15,1,2,0,0,41,19,5,0,13,0,103,74,4.11,5.7,,4
Jeffery Pittman,172552,HB,SO MISS,1,18,5,1,31.3,25,0,80,0,0,5,55,84.9,1,6,296,0,5,76.2,71.6,74.1,,78.1,56.2,70.3,60.0,25,0,0,0,7,21,0,0,0,18,2,80,55,3.06,4.4,0.0,13
Tawee Walker,158097,HB,CINCINNATI,1,18,2,1,23.3,17,0,73,0,0,2,66,38.6,2,5,138,0,5,76.5,68.1,77.1,,76.8,52.9,71.5,53.7,17,0,4,1,20,24,0,0,2,19,2,73,66,3.67,4.1,0.2,13
Kamari Moulton,170168,HB,IOWA,1,18,2,1,29.3,22,0,75,0,0,2,72,38.1,3,3,192,0,6,76.2,65.7,76.3,,73.2,65.8,64.9,,22,0,21,3,22,18,0,0,4,21,0,75,72,4.0,4.2,0.95,12
Rashod Dubinion,157020,HB,APP STATE,1,17,4,2,48.2,55,0,114,0,1,4,55,89.9,2,4,108,0,6,75.8,67.4,75.3,,76.8,56.4,67.4,,39,0,10,1,13,17,0,0,1,18,0,114,55,3.24,6.7,0.77,10
Davon Booth,174754,HB,MISS STATE,1,17,2,0,0.0,0,0,58,0,0,2,52,36.0,1,4,227,0,7,76.2,69.5,75.1,,75.3,55.3,69.0,59.3,14,0,0,0,9,20,0,0,0,17,1,58,52,3.06,3.4,0.0,10
Gavin Sawchuk,158088,HB,FLORIDA ST,1,17,4,0,0.0,0,0,73,1,0,4,42,54.9,2,6,167,1,4,29.1,60.0,0.0,,49.6,35.5,65.7,69.6,13,1,4,1,14,29,0,0,2,18,1,73,42,2.47,4.3,0.29,11
