player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Marquez Cooper,130489,HB,S DIEGO ST,1,34,4,1,42.3,47,0,111,0,0,4,94,32.5,1,6,284,0,13,79.8,55.6,77.1,,25.7,52.2,58.4,60.0,47,0,0,0,20,35,0,0,1,34,1,111,94,2.76,3.3,0.0,21
Tahj Brooks,123133,HB,TEXAS TECH,1,32,9,5,61.6,106,0,172,0,0,9,118,103.7,5,9,315,0,17,79.7,78.1,78.3,,40.9,53.8,77.5,68.4,35,0,0,0,13,37,0,0,0,32,2,172,118,3.69,5.4,0.0,15
Anthony Tyus III,145037,HB,OHIO,1,30,9,1,25.0,26,0,104,0,2,9,70,82.8,1,3,259,2,19,24.9,64.2,78.3,,76.1,63.0,63.3,59.6,26,1,10,1,18,33,0,0,1,31,0,104,70,2.33,3.5,0.56,11
Star Thomas,156926,HB,DUKE,1,30,10,3,31.9,53,0,166,0,5,10,112,175.0,5,10,154,0,5,79.3,78.9,76.1,,66.9,74.2,76.7,60.0,19,0,45,2,19,32,0,0,2,32,1,166,112,3.73,5.5,2.37,25
Omarion Hampton,162750,HB,N CAROLINA,1,29,8,2,35.9,37,0,103,0,2,8,125,130.6,3,5,245,0,7,79.3,69.1,78.0,,54.1,70.7,68.4,59.1,20,0,50,4,32,32,0,0,4,33,0,103,125,4.31,3.6,1.56,22
Ahmad Hardy,190013,HB,LA MONROE,1,28,12,0,0.0,0,0,107,0,0,12,98,150.0,4,8,209,0,4,78.7,75.1,77.4,,48.0,57.1,73.2,60.0,12,0,0,0,5,31,0,0,0,28,1,107,98,3.5,3.8,0.0,23
Antario Brown,145868,HB,N ILLINOIS,1,28,5,1,29.8,34,0,114,0,0,5,59,36.3,5,6,254,1,18,43.4,53.9,78.3,,75.9,65.8,53.5,,34,0,11,1,10,28,0,0,1,29,0,114,59,2.11,4.1,1.1,10
Ashton Jeanty,157196,HB,BOISE ST,1,26,17,4,66.0,171,0,259,0,1,17,233,597.4,5,10,120,0,11,78.5,95.9,78.3,,78.4,57.0,96.7,60.0,64,0,7,1,19,29,0,0,3,27,4,259,233,8.96,10.0,0.37,15
Kyle Monangai,129891,HB,RUTGERS,1,25,8,2,51.5,68,0,132,0,0,8,90,110.8,2,6,278,0,10,78.2,73.7,75.4,,27.3,58.0,74.6,60.0,40,0,5,1,14,27,0,0,1,26,1,132,90,3.6,5.3,0.36,15
Hunter Watson,183993,QB,SM HOUSTON,1,25,2,2,32.2,39,0,85,0,0,2,30,11.3,5,10,281,1,17,48.2,66.2,77.5,51.3,,,71.0,60.0,25,0,0,0,0,52,36,2,0,23,2,121,30,1.2,4.8,,4
Rahjai Harris,123814,HB,E CAROLINA,1,25,1,0,0.0,0,0,60,0,0,1,49,7.5,1,2,156,0,13,78.0,58.1,77.1,,83.3,63.3,56.1,59.0,10,0,10,1,13,28,0,0,2,26,0,60,49,1.96,2.4,0.77,12
Jaden Nixon,144652,HB,W MICHIGAN,1,24,4,3,46.9,69,0,147,1,0,4,64,42.7,7,9,347,0,10,77.9,81.9,76.3,,29.3,36.1,84.3,60.0,36,0,4,1,9,25,0,0,2,25,1,147,64,2.67,6.1,0.44,14
