player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Blake Horvath,162555,QB,NAVY,1,26,2,3,50.5,104,0,176,0,0,2,80,30.2,6,11,237,1,13,43.5,75.9,75.9,49.9,,,76.8,60.0,48,0,0,0,0,42,30,3,0,23,2,206,84,3.23,7.9,,1
Bryson Daily,147303,QB,ARMY,1,20,0,0,0.0,0,0,51,0,0,0,28,0.0,0,6,114,1,5,42.7,49.3,76.2,30.2,,,68.1,60.0,5,0,0,0,0,39,0,0,0,20,0,51,28,1.4,2.6,,6
Kanye Udoh,171024,HB,ARMY,1,14,2,0,0.0,0,0,53,0,0,2,34,34.7,1,2,114,0,5,74.8,56.9,76.8,,23.7,56.2,59.2,61.5,12,0,0,0,4,34,0,0,0,14,0,53,34,2.43,3.8,0.0,7
Alex Tecza,162587,FB,NAVY,1,9,1,0,0.0,0,0,32,1,0,1,19,21.1,0,0,237,1,4,22.6,55.0,76.9,,74.6,25.9,64.8,63.3,8,0,31,1,8,33,0,0,2,10,0,32,19,2.11,3.6,3.88,2
Eli Heidenreich,162554,FB,NAVY,1,6,1,0,0.0,0,0,19,0,1,1,11,52.4,0,1,237,0,0,71.4,74.1,0.0,,72.2,83.9,67.2,60.6,8,1,52,1,12,41,0,0,1,7,0,19,11,1.83,3.2,4.33,4
Noah Short,163220,HB,ARMY,1,5,3,0,0.0,0,0,9,0,0,3,12,120.0,0,1,114,0,3,69.9,57.7,77.1,,,54.6,61.7,59.5,9,0,5,1,14,28,0,0,2,6,0,9,12,2.4,1.8,0.36,0
Luke Hutchison,175242,WR,NAVY,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,237,0,0,62.5,52.7,72.0,,,56.3,57.7,60.0,2,0,0,0,4,4,0,0,0,1,0,2,1,1.0,2.0,0.0,0
Amin Hassan,144313,HB,NAVY,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,237,0,0,62.5,65.3,70.5,,,,62.3,60.1,2,0,0,0,0,6,0,0,0,1,0,2,0,0.0,2.0,,0
Landon Robinson,162580,DI,NAVY,1,1,0,1,100.0,29,0,29,0,0,0,3,0.0,1,0,237,1,0,11.1,46.7,60.0,,,,49.8,,29,0,0,0,0,1,0,0,0,1,0,29,3,3.0,29.0,,0
Daba Fofana,144305,FB,NAVY,1,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,237,0,1,62.5,55.3,72.1,,22.6,60.0,59.7,56.5,-3,0,0,0,1,9,0,0,0,1,0,-3,0,0.0,-3.0,0.0,0
