player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Dominic Richardson,122985,HB,TULSA,1,32,5,2,39.7,58,0,146,0,0,5,130,59.7,3,7,320,1,3,48.5,68.4,76.8,,78.2,59.7,66.6,60.7,39,0,11,2,13,35,0,0,3,34,0,146,130,4.06,4.6,0.85,29
Chip Trayanum,131631,HB,TOLEDO,1,26,2,2,54.2,83,0,153,0,0,2,111,31.6,3,6,316,0,9,78.2,67.6,76.3,,69.3,62.7,66.6,60.0,63,0,6,1,16,28,0,0,3,27,1,153,111,4.27,5.9,0.38,16
Mark Fletcher Jr.,175374,HB,MIAMI FL,1,24,1,2,31.0,36,0,116,1,0,1,75,13.0,4,7,220,0,13,77.8,72.7,77.5,,82.6,33.1,75.9,58.4,20,0,0,0,17,30,0,0,1,24,1,116,75,3.13,4.8,0.0,10
Cam Edwards,158615,HB,UCONN,1,24,0,4,72.2,135,0,187,1,0,0,59,0.0,5,9,146,0,4,78.0,63.6,77.4,,57.2,37.7,68.4,60.0,67,0,0,0,23,29,0,0,2,24,2,187,59,2.46,7.8,0.0,20
Dewayne Coleman,163179,QB,ARMY,1,23,0,0,0.0,0,0,109,0,0,0,57,0.0,2,13,114,0,9,76.5,84.5,76.6,68.6,,,77.4,60.0,12,0,0,0,0,52,8,1,0,22,1,117,59,2.57,5.1,,10
Cam Cook,173133,HB,JVILLE ST,1,22,12,2,23.8,35,0,147,1,1,12,96,236.4,5,9,196,0,2,77.3,81.5,76.4,,71.8,45.4,87.7,60.0,19,0,5,2,21,24,0,0,3,24,2,147,96,4.36,6.7,0.24,20
Robert Henry Jr.,174094,HB,UTSA,1,22,7,1,52.1,76,0,146,1,1,7,48,75.9,2,1,331,0,8,77.3,63.1,76.3,,17.0,48.6,68.4,60.0,76,0,74,1,18,25,0,0,2,23,1,146,48,2.18,6.6,4.11,13
Ahmad Hardy,190013,HB,MISSOURI,1,22,9,2,47.1,65,0,138,0,0,9,118,219.4,3,5,229,0,7,77.8,73.7,78.1,,75.7,54.3,73.4,59.1,38,0,0,0,12,27,0,0,0,22,1,138,118,5.36,6.3,0.0,15
Al-Jay Henderson,145676,HB,BUFFALO,1,22,4,1,28.9,22,0,76,0,1,4,55,50.0,1,4,126,1,4,39.1,57.6,76.1,,45.0,66.2,56.8,60.0,22,0,35,3,18,25,0,0,3,25,1,76,55,2.5,3.5,1.94,18
Michael Allen,157405,HB,MARSHALL,1,21,7,0,0.0,0,0,90,0,1,7,67,116.0,2,5,214,0,5,77.0,66.0,76.7,,79.5,55.0,66.8,55.8,11,0,7,1,11,28,0,0,1,22,1,90,67,3.19,4.3,0.64,12
