player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cam Skattebo,147787,HB,ARIZONA ST,1,33,9,3,27.1,71,0,262,1,1,9,155,130.5,12,19,110,0,17,79.6,91.0,78.1,,76.0,49.3,91.4,55.0,39,0,35,3,15,40,0,0,4,36,0,262,155,4.7,7.9,2.33,16
Kyle Monangai,129891,HB,RUTGERS,1,27,6,2,51.9,108,0,208,0,0,6,131,104.0,3,10,278,0,4,78.5,70.6,75.3,,79.0,58.0,69.6,,62,0,3,1,14,27,0,0,1,28,3,208,131,4.85,7.7,0.21,23
Rahjai Harris,123814,HB,E CAROLINA,1,26,5,2,60.3,85,0,141,0,0,5,125,89.0,2,4,156,1,9,42.3,55.2,76.6,,58.7,56.5,55.6,58.8,63,0,3,1,21,30,0,0,2,27,2,141,125,4.81,5.4,0.14,17
Ashton Jeanty,157196,HB,BOISE ST,1,25,8,3,61.5,118,0,192,0,0,8,111,131.6,4,9,120,0,7,78.2,83.8,79.3,,65.8,59.7,85.6,60.0,70,0,8,2,24,28,0,0,4,27,3,192,111,4.44,7.7,0.33,18
Kaleb Johnson,156419,HB,IOWA,1,25,8,4,77.0,144,0,187,0,1,8,112,144.0,4,6,192,0,10,78.0,75.9,76.7,,8.2,61.7,76.3,60.0,54,0,9,3,12,26,0,0,3,28,2,187,112,4.48,7.5,0.75,15
Aaron Young,97161,HB,DOMINION,1,24,7,0,0.0,0,0,96,2,0,7,74,79.9,2,3,263,0,15,78.0,67.5,78.5,,49.3,36.6,75.1,60.0,11,0,20,3,25,27,0,0,6,27,1,96,74,3.08,4.0,0.8,9
Ja'Quinden Jackson,123119,HB,ARKANSAS,1,23,3,4,49.0,74,0,151,0,1,3,67,46.6,8,11,111,0,13,77.5,63.5,78.5,,81.0,61.0,64.4,48.9,26,0,21,2,27,33,0,0,2,25,3,151,67,2.91,6.6,0.78,10
Bhayshul Tuten,150568,HB,VA TECH,1,22,7,2,38.9,44,0,113,0,1,7,70,97.9,4,5,337,1,6,38.6,64.9,76.9,,74.7,61.9,64.7,58.5,25,0,7,4,18,29,0,0,4,26,1,113,70,3.18,5.1,0.39,16
Malik Sherrod,128189,HB,FRESNO ST,1,22,5,0,0.0,0,0,54,0,0,5,33,30.0,0,4,169,0,7,77.4,64.9,75.9,,33.7,66.0,64.9,59.5,9,0,19,3,18,24,0,0,3,25,2,54,33,1.5,2.5,1.06,15
Bryson Daily,147303,QB,ARMY,1,21,5,2,40.7,46,0,113,0,0,5,55,62.4,4,8,114,0,11,77.0,90.5,76.6,93.7,,,71.7,60.0,30,0,0,0,0,58,0,0,0,21,0,113,55,2.62,5.4,,2
