player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
TJ Ferguson,146597,G,SYRACUSE,1,0,304,74.8,0,1,60,100.0,100.0,99.2,0,1,0,62,62,58.2,0,1,19,100.0,100.0,97.4,1,0,20,20
Joe Cruz,158295,G,SYRACUSE,1,0,304,66.1,0,3,60,100.0,100.0,97.5,0,3,0,62,62,58.2,0,2,19,100.0,100.0,94.7,2,0,20,20
Austin Collins,122700,C,SYRACUSE,1,0,304,63.2,0,2,60,100.0,100.0,98.3,0,2,0,62,62,82.4,0,0,19,100.0,100.0,100.0,0,0,20,20
Omar Aigbedion,164383,G,BAYLOR,1,0,118,75.7,1,1,55,100.0,100.0,98.2,0,2,0,60,60,84.9,0,0,20,100.0,100.0,100.0,0,0,22,22
Ryan Lengyel,144516,G,BAYLOR,1,0,118,87.6,0,0,55,100.0,100.0,100.0,0,0,0,60,60,84.9,0,0,20,100.0,100.0,100.0,0,0,22,22
Da'Metrius Weatherspoon,154759,T,SYRACUSE,1,0,304,54.5,1,2,58,100.0,100.0,95.7,0,4,1,60,60,54.6,1,0,19,100.0,100.0,92.1,2,1,20,20
Kaden Sieracki,158571,T,BAYLOR,1,0,118,51.7,0,3,55,100.0,100.0,97.3,0,3,0,60,60,36.2,0,2,20,100.0,100.0,95.0,2,0,22,22
Sidney Fugar,148284,T,BAYLOR,1,1,118,58.9,0,1,53,100.0,100.0,99.1,2,1,0,58,58,86.6,0,0,19,100.0,100.0,100.0,0,0,21,21
Kai Wheeler,183982,C,NEW MEX ST,1,0,242,60.4,1,1,50,100.0,100.0,98.0,0,2,0,56,56,71.3,0,0,10,100.0,100.0,100.0,0,0,13,13
Malik Williams,128441,T,NEW MEX ST,1,0,242,20.5,0,0,50,100.0,100.0,98.0,0,1,1,56,56,35.0,0,0,10,100.0,100.0,90.0,1,1,13,13
Armando Nieves,198928,T,NEW MEX ST,1,0,242,18.5,1,2,50,100.0,100.0,97.0,2,3,0,56,56,0.0,1,2,10,100.0,100.0,85.0,3,0,13,13
Van Wells,157694,C,OREGON ST,1,0,265,86.3,0,0,52,100.0,100.0,100.0,0,0,0,55,55,81.6,0,0,13,100.0,100.0,100.0,0,0,14,14
